study,result_dir,experiment,league,evidence_class,candidate_method,baseline_method,tier,period,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better,season_cluster_se
2026-08-03_ridge_swap_downstream,results_template_dk,2026-08-03_ridge_swap_downstream__results_template_dk,dk,current_direct,ridge_swap,production,core_strict,development_2017_2022,ppg_crps,420,5,-0.003791903815117204,-0.009596771793801182,0.0020129641635667746,0.89,0.003016025002329467
2026-08-03_ridge_swap_downstream,results_template_dk,2026-08-03_ridge_swap_downstream__results_template_dk,dk,current_direct,ridge_swap,production,core_strict,development_2017_2022,contribution_crps,420,5,-0.026232447056228694,-0.09623100790414314,0.04376611379168575,0.7244,0.03652108625965428
2026-08-03_ridge_swap_downstream,results_template_dk,2026-08-03_ridge_swap_downstream__results_template_dk,dk,current_direct,ridge_swap,production,core_strict,development_2017_2022,played_crps,420,5,-0.0007333803297139394,-0.002389146017932906,0.0010980327611551817,0.795,0.0009338707822322279
2026-08-03_ridge_swap_downstream,results_template_dk,2026-08-03_ridge_swap_downstream__results_template_dk,dk,current_direct,ridge_swap,production,core_strict,temporal_2023_2025,ppg_crps,252,3,-0.00024038339998863314,-0.004295244578130662,0.005118061305916995,0.6358,0.0022533114960939984
2026-08-03_ridge_swap_downstream,results_template_dk,2026-08-03_ridge_swap_downstream__results_template_dk,dk,current_direct,ridge_swap,production,core_strict,temporal_2023_2025,contribution_crps,252,3,-0.0031400761177237096,-0.06634413245960566,0.0927097901761959,0.627,0.03985899743693083
2026-08-03_ridge_swap_downstream,results_template_dk,2026-08-03_ridge_swap_downstream__results_template_dk,dk,current_direct,ridge_swap,production,core_strict,temporal_2023_2025,played_crps,252,3,-0.0002437327108909176,-0.0041948257878879625,0.002838486776140016,0.5914,0.0017064905537449093
2026-08-03_ridge_swap_downstream,results_template_dk,2026-08-03_ridge_swap_downstream__results_template_dk,dk,current_direct,ridge_swap,production,core_main,development_2017_2022,ppg_crps,600,5,-0.0028874075254351453,-0.007415249524721598,0.0012464630843672902,0.9038,0.002243088969251049
2026-08-03_ridge_swap_downstream,results_template_dk,2026-08-03_ridge_swap_downstream__results_template_dk,dk,current_direct,ridge_swap,production,core_main,development_2017_2022,contribution_crps,600,5,-0.021160756222459356,-0.07191314125277729,0.02959162880785856,0.7752,0.026607389851139297
2026-08-03_ridge_swap_downstream,results_template_dk,2026-08-03_ridge_swap_downstream__results_template_dk,dk,current_direct,ridge_swap,production,core_main,development_2017_2022,played_crps,600,5,-0.0004745544828306847,-0.002378592852217749,0.0015646904542179992,0.6898,0.0010337303177172608
2026-08-03_ridge_swap_downstream,results_template_dk,2026-08-03_ridge_swap_downstream__results_template_dk,dk,current_direct,ridge_swap,production,core_main,temporal_2023_2025,ppg_crps,360,3,0.00038749537497782046,-0.0020038951732222715,0.002862177036446129,0.3764,0.0011434999286386667
2026-08-03_ridge_swap_downstream,results_template_dk,2026-08-03_ridge_swap_downstream__results_template_dk,dk,current_direct,ridge_swap,production,core_main,temporal_2023_2025,contribution_crps,360,3,-0.002304699589366847,-0.05268697425736516,0.05424404626847471,0.6348,0.02551799995761395
2026-08-03_ridge_swap_downstream,results_template_dk,2026-08-03_ridge_swap_downstream__results_template_dk,dk,current_direct,ridge_swap,production,core_main,temporal_2023_2025,played_crps,360,3,0.00013378876463391155,-0.0035279923015184857,0.0023929157097324627,0.3666,0.001493525563226407
2026-08-03_ridge_swap_downstream,results_template_dk,2026-08-03_ridge_swap_downstream__results_template_dk,dk,current_direct,ridge_swap,production,core_broad,development_2017_2022,ppg_crps,780,5,-0.001637343785240967,-0.004562040971491328,0.0010123156445537055,0.8786,0.0014538237474008766
2026-08-03_ridge_swap_downstream,results_template_dk,2026-08-03_ridge_swap_downstream__results_template_dk,dk,current_direct,ridge_swap,production,core_broad,development_2017_2022,contribution_crps,780,5,-0.007260901645244223,-0.039008044475394764,0.027910916263923297,0.658,0.017724951248224558
2026-08-03_ridge_swap_downstream,results_template_dk,2026-08-03_ridge_swap_downstream__results_template_dk,dk,current_direct,ridge_swap,production,core_broad,development_2017_2022,played_crps,780,5,-0.0010096490677100015,-0.003372192091710089,0.001190258506464586,0.7792,0.001213126815542812
2026-08-03_ridge_swap_downstream,results_template_dk,2026-08-03_ridge_swap_downstream__results_template_dk,dk,current_direct,ridge_swap,production,core_broad,temporal_2023_2025,ppg_crps,468,3,-0.0006649055611352115,-0.003275149933559408,0.001884806709360628,0.6334,0.001219805148042684
2026-08-03_ridge_swap_downstream,results_template_dk,2026-08-03_ridge_swap_downstream__results_template_dk,dk,current_direct,ridge_swap,production,core_broad,temporal_2023_2025,contribution_crps,468,3,-0.006462666320476901,-0.04878370404968546,0.039780426860836236,0.6164,0.02093466611133897
