season,pos,targets
2018,QB,37
2018,RB,87
2018,TE,46
2018,WR,119
2019,QB,36
2019,RB,88
2019,TE,44
2019,WR,116
2020,QB,37
2020,RB,90
2020,TE,46
2020,WR,116
2021,QB,35
2021,RB,83
2021,TE,48
2021,WR,120
2022,QB,39
2022,RB,87
2022,TE,48
2022,WR,120
2023,QB,36
2023,RB,85
2023,TE,48
2023,WR,120
2024,QB,39
2024,RB,81
2024,TE,47
2024,WR,120
2025,QB,38
2025,RB,82
2025,TE,48
2025,WR,120
