league,template_id,template_local_id,player,pos,team,season,avg_proj_points,preseason_proj_ppg,validation_pred_fp_per_game,builder_historical_pred_fp_per_game,builder_historical_projection_source,legacy_historical_pred_fp_per_game,legacy_historical_projection_source,v2_historical_pred_fp_per_game,v2_point_center_source,v2_template_center_available,v2_template_center_unavailable_reason,v2_template_center_position,v2_template_center_position_mismatch,v2_template_center_position_mismatch_reason,historical_center_policy,v2_recenter_promoted,validation_ensemble_sources,avg_pick,year_exp,source_year_exp,year_exp_source,year_exp_uncapped_delta,year_exp_bucket,exp_bucket,qb_team_rank,qb_team_rank_bucket,projection_rank_pct,projection_decile,projection_tier,active_games,played_games,active_ppg,active_ppg_resid,season_points,profile_total,managed_profile_total,template_eligible,template_exclusion_reason,match_projection_rank_pct,match_projection_ppg_scaled,year_exp_scaled,projection_x_exp,adp_rank_pct,market_projection_gap,projection_disagreement_frac,rank_disagreement_scaled,rush_proj_rank_pct,rec_proj_rank_pct,pass_proj_rank_pct,rush_share_of_own_points,rec_share_of_own_points,rb_rush_share_of_room,rb_rec_share_of_room,rb_combined_share_of_room,rb_room_rank_scaled,rb_gap_to_next_share,rb_room_concentration,team_rec_share,pass_catcher_rank_scaled,pass_catcher_gap_to_next_share,pass_catcher_room_concentration,team_qb_proj_points,qb_room_share,team_qb1_proj_points,team_qb2_proj_points,qb1_over_qb2_gap_pct,team_qb_pass_points,team_qb_pass_proj_rank_pct,avg_proj_rush_points,avg_proj_rec_points,avg_proj_pass_points,qb_avg_proj_pass_points,std_proj_points,std_pos_rank,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,managed_week_1,managed_week_2,managed_week_3,managed_week_4,managed_week_5,managed_week_6,managed_week_7,managed_week_8,managed_week_9,managed_week_10,managed_week_11,managed_week_12,managed_week_13,managed_week_14,managed_week_15,managed_week_16,played_week_1,played_week_2,played_week_3,played_week_4,played_week_5,played_week_6,played_week_7,played_week_8,played_week_9,played_week_10,played_week_11,played_week_12,played_week_13,played_week_14,played_week_15,played_week_16,player_key,proj_receptions,proj_receiving_yards_per_reception,proj_receiving_td_rate,proj_reception_rate_reliability,proj_receiving_ypr_position_pct,proj_receiving_td_rate_position_pct,match_proj_rec_ypr_profile,match_proj_rec_td_rate_profile,receiver_rate_source_position,receiver_rate_available,center_prediction,resid_calibration_available,pred_resid_5,pred_resid_10,pred_resid_25,pred_resid_75,pred_resid_90,pred_resid_95,historical_pred_fp_per_game,historical_projection_source,observed_ppg,observed_residual,observed_contribution,observed_total,observed_zero_contribution,observed_plus3,observed_plus5,impact_threshold,observed_impact,experience_group,preseason_pos_rank
dk,2002911,2911,Aaron Rodgers,QB,GB,2018,333.34,20.83375,25.787702114110154,25.787702114110154,validation_ensemble,25.787702114110154,validation_ensemble,21.498113189444183,v2_conditional_ppg_2026_candidate_v1,1,,QB,0,,legacy_validated_oos,0,"validation_all_current,validation_rush_pass_rec",37.23,13.0,13.0,draft_team_match,0.0,13,veteran,1,qb1,1.0,10,elite,15,15,21.69333333333333,-4.094368780776822,325.4,15.000000000000004,15.000000000000004,1,,1.0,2.1575293007551504,1.3,1.3,1.0,0.0,0.020429591408171837,0.0241025641025641,0.8205128205128205,0.02564102564102564,0.9743589743589743,0.13245935081298374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.34,1.0,333.34,0.0,1.0,291.2596,0.9743589743589743,44.153999999999996,0.0,291.2596,0.0,6.81,0.94,1.1496619545175168,0.7393976644130301,0.8712354025814384,0.8306699446834666,1.560848186846958,1.4474492931776275,0.0,0.7347879532882606,0.8832206515058391,0.8463429625076829,1.133066994468347,0.5494775660725262,0.7062077443146897,0.9330055316533499,0.5780577750460972,2.036570374923172,1.1496619545175168,0.7393976644130301,0.8712354025814384,0.8306699446834666,1.560848186846958,1.4474492931776275,0.0,0.7347879532882606,0.8832206515058391,0.8463429625076829,1.133066994468347,0.5494775660725262,0.7062077443146897,0.9330055316533499,0.5780577750460972,2.036570374923172,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,9916d928-6327-5a7f-9ae1-1ec039c6cb21,,,,,,,0.5,0.5,,0,21.575293007551505,1,-4.870299148659604,-3.993676190742616,-2.401129278822563,1.3974684736227094,3.6823374256599255,4.58896980757344,21.575293007551505,v2_conditional_ppg_ridge_swap_strict_prior,21.69333333333333,0.118040325781827,105.94000000000001,325.40000000000003,0,0,0,105.56,0,9+,1
dk,2002926,2926,Deshaun Watson,QB,HOU,2018,316.8,19.8,23.784017319346887,23.784017319346887,validation_ensemble,23.784017319346887,validation_ensemble,21.025506254816374,v2_conditional_ppg_2026_candidate_v1,1,,QB,0,,legacy_validated_oos,0,"validation_all_current,validation_rush_pass_rec",57.77,1.0,1.0,draft_team_match,0.0,1,young,1,qb1,0.972972972972973,10,elite,15,15,22.436,-1.3480173193468872,336.54,15.0,15.0,1,,0.972972972972973,2.105301942851267,0.1,0.0972972972972973,0.9743589743589743,0.001386001386001312,0.027114898989898988,0.026410256410256412,0.9743589743589743,0.41025641025641024,0.6923076923076923,0.2271022727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.43,0.9501244639054675,316.8,16.63,0.9475063131313132,248.38479999999998,0.6666666666666666,71.946,0.0,248.38479999999998,0.0,8.59,1.03,0.5856658940987699,1.1945088251025138,1.2479942948832234,1.564449991085755,1.0697093956141914,0.4180780887858799,0.49295774647887325,1.379925120342307,0.9056872882866821,0.0,0.4510607951506508,1.3148511321091103,0.7158138705651632,0.8103048671777501,1.001069709395614,1.8479229809235158,0.5856658940987699,1.1945088251025138,1.2479942948832234,1.564449991085755,1.0697093956141914,0.4180780887858799,0.49295774647887325,1.379925120342307,0.9056872882866821,0.0,0.4510607951506508,1.3148511321091103,0.7158138705651632,0.8103048671777501,1.001069709395614,1.8479229809235158,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,e7e519e5-a3ec-546f-84c7-ac13364c9dde,,,,,,,0.5,0.5,,0,21.05301942851267,1,-4.870299148659604,-3.993676190742616,-2.401129278822563,1.3974684736227094,3.6823374256599255,4.58896980757344,21.05301942851267,v2_conditional_ppg_ridge_swap_strict_prior,22.436,1.3829805714873302,127.84,336.53999999999996,0,0,0,105.56,0,0-2,2
dk,2002944,2944,Russell Wilson,QB,SEA,2018,315.63,19.726875,24.442202316856537,24.442202316856537,validation_ensemble,24.442202316856537,validation_ensemble,20.852840400651704,v2_conditional_ppg_2026_candidate_v1,1,,QB,0,,legacy_validated_oos,0,"validation_all_current,validation_rush_pass_rec",59.23,6.0,6.0,draft_team_match,0.0,6,prime,1,qb1,0.9459459459459459,10,elite,15,15,20.334666666666667,-4.10753565018987,305.02,15.0,15.0,1,,0.9459459459459459,2.080777622082685,0.6,0.5675675675675675,0.9487179487179487,0.002772002772002735,0.022526375819788995,0.035641025641025635,0.9487179487179487,0.8717948717948718,0.717948717948718,0.21118081297722016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.63,1.0,315.63,0.0,1.0,251.77479999999997,0.6923076923076923,66.655,0.0,251.77479999999997,0.0,7.11,1.39,1.102550652416235,0.8724018097173954,0.7710969772473936,0.44161038620418336,0.979607894564291,1.0858304373483707,0.0,1.1517277555570127,1.0081306143859419,1.388761392695561,0.9343649596747754,1.2422136253360436,1.2245098682053634,0.4062028719428235,0.9678053898105042,1.4231853648941053,1.102550652416235,0.8724018097173954,0.7710969772473936,0.44161038620418336,0.979607894564291,1.0858304373483707,0.0,1.1517277555570127,1.0081306143859419,1.388761392695561,0.9343649596747754,1.2422136253360436,1.2245098682053634,0.4062028719428235,0.9678053898105042,1.4231853648941053,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,805959bf-d59f-504f-abaa-98bcf0481637,,,,,,,0.5,0.5,,0,20.80777622082685,1,-4.870299148659604,-3.993676190742616,-2.401129278822563,1.3974684736227094,3.6823374256599255,4.58896980757344,20.80777622082685,v2_conditional_ppg_ridge_swap_strict_prior,20.334666666666667,-0.47310955416018174,92.78,305.02,0,0,0,105.56,0,6-8,3
dk,2002920,2920,Cam Newton,QB,CAR,2018,303.12,18.945,23.79297000338915,23.79297000338915,validation_ensemble,23.79297000338915,validation_ensemble,20.37715348994996,v2_conditional_ppg_2026_candidate_v1,1,,QB,0,,legacy_validated_oos,0,"validation_all_current,validation_rush_pass_rec",74.1,7.0,7.0,draft_team_match,0.0,7,veteran,1,qb1,0.918918918918919,10,elite,14,14,21.51142857142857,-2.28154143196058,301.15999999999997,14.000000000000002,14.000000000000002,1,,0.918918918918919,2.0383119572455057,0.7,0.6432432432432432,0.8974358974358975,-0.021483021483021503,0.019299287410926364,0.08153846153846155,1.0,0.2564102564102564,0.48717948717948717,0.30034639746634995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.12,1.0,303.12,0.0,1.0,216.87680000000003,0.38461538461538464,91.041,0.0,216.87680000000003,0.0,5.85,3.18,0.8758135210519326,1.4689865852038784,1.3806614424226324,0.0,0.8590782308407492,0.9985389826006109,1.108248107318369,1.2997742064019124,0.9985389826006111,0.7307743392216761,1.323947403373622,1.0943020321423829,1.0413069464736353,0.5531943153141188,0.2668349050338691,0.0,0.8758135210519326,1.4689865852038784,1.3806614424226324,0.0,0.8590782308407492,0.9985389826006109,1.108248107318369,1.2997742064019124,0.9985389826006111,0.7307743392216761,1.323947403373622,1.0943020321423829,1.0413069464736353,0.5531943153141188,0.2668349050338691,0.0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0e1c1cf3-a023-55da-9ef3-b52cbc04e1a1,,,,,,,0.5,0.5,,0,20.38311957245506,1,-4.870299148659604,-3.993676190742616,-2.401129278822563,1.3974684736227094,3.6823374256599255,4.58896980757344,20.38311957245506,v2_conditional_ppg_ridge_swap_strict_prior,21.51142857142857,1.1283089989735124,103.51999999999998,301.15999999999997,0,0,0,105.56,0,6-8,4
dk,2002948,2948,Tom Brady,QB,NE,2018,308.82,19.30125,24.466535410144125,24.466535410144125,validation_ensemble,24.466535410144125,validation_ensemble,20.31974308618902,v2_conditional_ppg_2026_candidate_v1,1,,QB,0,,legacy_validated_oos,0,"validation_all_current,validation_rush_pass_rec",66.9,18.0,13.0,draft_team_match,5.0,18,veteran,1,qb1,0.8918918918918919,9,elite,15,15,18.833333333333332,-5.633202076810793,282.5,14.999999999999998,14.999999999999998,1,,0.8918918918918919,2.030457495062672,1.8,1.6054054054054054,0.9230769230769231,0.031185031185031242,0.021986917945728903,0.06692307692307692,0.3076923076923077,0.9743589743589743,1.0,0.032951233728385466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.82,1.0,308.82,0.0,1.0,299.51240000000007,1.0,10.176,0.0,299.51240000000007,0.0,6.79,2.61,1.1299115044247787,0.9801769911504425,0.45238938053097344,1.112920353982301,1.7384070796460178,1.4283185840707966,1.2042477876106195,0.889911504424779,0.847433628318584,0.5394690265486726,0.0,1.025840707964602,1.0056637168141593,1.5727433628318586,0.751858407079646,0.32070796460176987,1.1299115044247787,0.9801769911504425,0.45238938053097344,1.112920353982301,1.7384070796460178,1.4283185840707966,1.2042477876106195,0.889911504424779,0.847433628318584,0.5394690265486726,0.0,1.025840707964602,1.0056637168141593,1.5727433628318586,0.751858407079646,0.32070796460176987,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,b4f0261b-58ea-51e6-8342-780b4f31418b,,,,,,,0.5,0.5,,0,20.30457495062672,1,-4.870299148659604,-3.993676190742616,-2.401129278822563,1.3974684736227094,3.6823374256599255,4.58896980757344,20.30457495062672,v2_conditional_ppg_ridge_swap_strict_prior,18.833333333333332,-1.471241617293387,78.62,282.5,0,0,0,105.56,0,9+,5
dk,2002913,2913,Andrew Luck,QB,IND,2018,302.38,18.89875,24.226443093785708,24.226443093785708,validation_ensemble,24.226443093785708,validation_ensemble,19.54274317977713,v2_conditional_ppg_2026_candidate_v1,1,,QB,0,,legacy_validated_oos,0,"validation_all_current,validation_rush_pass_rec",101.67,6.0,6.0,draft_team_match,0.0,6,prime,1,qb1,0.8648648648648649,9,elite,15,15,22.258666666666667,-1.9677764271190412,333.88,15.0,15.0,1,,0.8648648648648649,1.9655176170203448,0.6,0.518918918918919,0.7692307692307693,-0.09563409563409564,0.03922217077849064,0.035641025641025635,0.7435897435897436,0.07692307692307693,0.8205128205128205,0.13099742046431642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.38,1.0,302.38,0.0,1.0,264.7612,0.7948717948717948,39.611,0.0,264.7612,0.0,11.86,1.39,1.009045165927878,0.609200910506769,0.6226788067569187,1.695519348268839,1.195040134179945,1.2911824607643465,1.0216245357613514,0.9722055828441356,0.0,1.0063495866778482,1.0728405415119207,1.1779681322630884,0.472624895171918,1.2516472984305738,0.4483646819216485,1.153707919012819,1.009045165927878,0.609200910506769,0.6226788067569187,1.695519348268839,1.195040134179945,1.2911824607643465,1.0216245357613514,0.9722055828441356,0.0,1.0063495866778482,1.0728405415119207,1.1779681322630884,0.472624895171918,1.2516472984305738,0.4483646819216485,1.153707919012819,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,7b4909e3-c8b2-5d03-9727-65629b87a53f,,,,,,,0.5,0.5,,0,19.655176170203447,1,-4.870299148659604,-3.993676190742616,-2.401129278822563,1.3974684736227094,3.6823374256599255,4.58896980757344,19.655176170203447,v2_conditional_ppg_ridge_swap_strict_prior,22.258666666666667,2.6034904964632197,120.96000000000001,333.88,0,0,0,105.56,0,6-8,6
dk,2002935,2935,Kirk Cousins,QB,MIN,2018,289.46,18.09125,23.26078837604466,23.26078837604466,validation_ensemble,23.26078837604466,validation_ensemble,19.476878341469828,v2_conditional_ppg_2026_candidate_v1,1,,QB,0,,legacy_validated_oos,0,"validation_all_current,validation_rush_pass_rec",98.23,6.0,6.0,draft_name_match,0.0,6,prime,1,qb1,0.8108108108108109,9,elite,15,15,20.22533333333333,-3.0354550427113267,303.38,15.000000000000005,15.000000000000005,1,,0.8108108108108109,1.9418838976054196,0.6,0.4864864864864865,0.7948717948717948,-0.015939015939016032,0.011884198162094937,0.010512820512820513,0.6410256410256411,0.6410256410256411,0.7692307692307693,0.10738616734609274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.46,1.0,289.46,0.0,1.0,260.62440000000004,0.7435897435897436,31.084000000000003,0.0,260.62440000000004,0.0,3.44,0.41,1.0066583163029865,1.7591799063880282,0.7436218603731294,1.7186366932559827,0.9067835717581911,0.9799591271672491,0.8721735117674205,1.1698200276880482,0.43806447359746864,0.0,0.8434966049179249,1.511965192168238,0.49640714615333914,0.6388028215439383,0.8158085569253083,1.0986221899927486,1.0066583163029865,1.7591799063880282,0.7436218603731294,1.7186366932559827,0.9067835717581911,0.9799591271672491,0.8721735117674205,1.1698200276880482,0.43806447359746864,0.0,0.8434966049179249,1.511965192168238,0.49640714615333914,0.6388028215439383,0.8158085569253083,1.0986221899927486,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,9b030c9d-5325-5fdb-a8fa-a79631f2897c,,,,,,,0.5,0.5,,0,19.418838976054197,1,-4.870299148659604,-3.993676190742616,-2.401129278822563,1.3974684736227094,3.6823374256599255,4.58896980757344,19.418838976054197,v2_conditional_ppg_ridge_swap_strict_prior,20.22533333333333,0.806494357279135,91.56000000000002,303.38,0,0,0,105.56,0,6-8,7
dk,2002927,2927,Drew Brees,QB,NO,2018,298.87,18.679375,24.230651732321178,24.230651732321178,validation_ensemble,24.230651732321178,validation_ensemble,19.470013548287366,v2_conditional_ppg_2026_candidate_v1,1,,QB,0,,legacy_validated_oos,0,"validation_all_current,validation_rush_pass_rec",81.67,17.0,11.0,draft_name_match,6.0,17,veteran,1,qb1,0.8378378378378378,9,elite,15,15,21.650666666666666,-2.579985065654512,324.76,14.999999999999996,14.999999999999996,1,,0.8378378378378378,1.9484972941479541,1.7,1.4243243243243242,0.8717948717948718,0.03395703395703398,0.014287148258440123,0.011794871794871795,0.41025641025641024,0.4358974358974359,0.9487179487179487,0.05020242914979757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.87,1.0,298.87,0.0,1.0,285.33320000000003,0.9487179487179487,15.004,0.0,285.33320000000003,0.0,4.27,0.46,1.4613868703042248,0.7260746397339574,2.015642320482818,0.4101490331321591,1.3265180440941002,0.0,0.7796526665845547,0.36026604261608575,1.5999507328488731,1.3348318758467792,1.5482202241655374,1.00874491932504,0.38243626062322944,0.7916615346717577,0.3288582337726322,0.925606601798251,1.4613868703042248,0.7260746397339574,2.015642320482818,0.4101490331321591,1.3265180440941002,0.0,0.7796526665845547,0.36026604261608575,1.5999507328488731,1.3348318758467792,1.5482202241655374,1.00874491932504,0.38243626062322944,0.7916615346717577,0.3288582337726322,0.925606601798251,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,b53cd9da-5302-5803-8dc0-c4cb4ec42927,,,,,,,0.5,0.5,,0,19.48497294147954,1,-4.870299148659604,-3.993676190742616,-2.401129278822563,1.3974684736227094,3.6823374256599255,4.58896980757344,19.48497294147954,v2_conditional_ppg_ridge_swap_strict_prior,21.650666666666666,2.1656937251871256,127.67999999999999,324.76,0,0,0,105.56,0,9+,8
dk,2002939,2939,Matthew Stafford,QB,DET,2018,283.57,17.723125,23.052343033984606,23.052343033984606,validation_ensemble,23.052343033984606,validation_ensemble,18.968076328543884,v2_conditional_ppg_2026_candidate_v1,1,,QB,0,,legacy_validated_oos,0,"validation_all_current,validation_rush_pass_rec",95.33,9.0,9.0,draft_team_match,0.0,9,veteran,1,qb1,0.7837837837837838,8,elite,15,15,14.629333333333333,-8.423009700651273,219.44,15.0,15.0,1,,0.7837837837837838,1.9054320901860262,0.9,0.7054054054054054,0.8205128205128205,0.03672903672903671,0.025566879430123073,0.08871794871794872,0.5384615384615384,0.7435897435897436,0.7948717948717948,0.07479282011496281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.57,1.0,283.57,0.0,1.0,263.57720000000006,0.7692307692307693,21.209000000000003,0.0,263.57720000000006,0.0,7.25,3.46,0.7546481954064892,2.028800583302953,1.2632154575282537,1.6255012759752097,1.0472110827561065,0.0,1.215366387167335,1.572183740430186,0.5236055413780533,1.22083485235144,0.9364746627779804,0.5085672621217645,0.8886255924170616,0.2556507473569085,0.8421436383521692,0.3171709806780897,0.7546481954064892,2.028800583302953,1.2632154575282537,1.6255012759752097,1.0472110827561065,0.0,1.215366387167335,1.572183740430186,0.5236055413780533,1.22083485235144,0.9364746627779804,0.5085672621217645,0.8886255924170616,0.2556507473569085,0.8421436383521692,0.3171709806780897,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,5944c982-aadb-5aa6-b8a1-809cc5e6fce1,,,,,,,0.5,0.5,,0,19.05432090186026,1,-4.870299148659604,-3.993676190742616,-2.401129278822563,1.3974684736227094,3.6823374256599255,4.58896980757344,19.05432090186026,v2_conditional_ppg_ridge_swap_strict_prior,14.629333333333333,-4.424987568526928,40.900000000000006,219.44,0,0,0,105.56,0,9+,9
dk,2002921,2921,Carson Wentz,QB,PHI,2018,277.35,17.334375,22.278004635888713,22.278004635888713,validation_ensemble,22.278004635888713,validation_ensemble,18.912432568396948,v2_conditional_ppg_2026_candidate_v1,1,,QB,0,,legacy_validated_oos,0,"validation_all_current,validation_rush_pass_rec",90.77,2.0,2.0,draft_team_match,0.0,2,young,1,qb1,0.7567567567567568,8,elite,11,11,20.467272727272725,-1.8107319086159883,225.14,11.0,11.0,1,,0.7567567567567568,1.8821616235369745,0.2,0.15135135135135136,0.8461538461538461,0.08939708939708935,0.018784928790337118,0.06384615384615386,0.6666666666666666,0.28205128205128205,0.6153846153846154,0.12699837750135207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.35,1.0,277.35,0.0,1.0,243.754,0.5641025641025641,35.223,0.0,243.754,0.0,5.21,2.49,0.0,0.0,0.6937905303366795,1.2566403126943237,1.2722750288709248,1.198010127032069,1.1579461668295283,1.2478457848449855,0.0,1.2263480501021586,0.18761659411921475,0.6517722306120637,1.0905214533179357,1.0172337212401175,0.0,0.0,0.0,0.0,0.6937905303366795,1.2566403126943237,1.2722750288709248,1.198010127032069,1.1579461668295283,1.2478457848449855,0.0,1.2263480501021586,0.18761659411921475,0.6517722306120637,1.0905214533179357,1.0172337212401175,0.0,0.0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,9f08f3c3-af3e-508a-8b15-2cbfa4ad2f03,,,,,,,0.5,0.5,,0,18.821616235369746,1,-4.870299148659604,-3.993676190742616,-2.401129278822563,1.3974684736227094,3.6823374256599255,4.58896980757344,18.821616235369746,v2_conditional_ppg_ridge_swap_strict_prior,20.467272727272725,1.6456564919029795,73.76,225.14,0,0,0,105.56,0,0-2,10
