price,buy_ev,pass_ev,expected_starts,fit_rate,best_alternative,top_alternatives,trials,feasible,buy_edge,edge_per_week,edge_p10,edge_p90,edge_ci_low,edge_ci_high,buy_win_rate,decision_tier,smoothed_buy_edge,smoothed_buy_win_rate
71,1694.870068359375,1690.4049108886718,12.963999999999997,,Ja'Marr Chase,"[""Ja'Marr Chase"", 'Michael Wilson', 'Omarion Hampton']",100,True,4.465157470703125,0.2790723419189453,-45.885852050781246,61.53226318359376,-2.8725355224609377,12.075555175781249,55.00000000000001,BUY,6.099609781901042,55.00000000000001
72,1693.3453869628906,1687.8295263671876,12.975999999999997,,Ja'Marr Chase,"[""Ja'Marr Chase"", 'Michael Wilson', 'Omarion Hampton']",100,True,5.515860595703125,0.3447412872314453,-56.15408935546875,65.05583496093753,-2.9510460205078126,12.925141235351562,50.0,LEAN BUY,6.099609781901042,53.0
73,1694.3700939941407,1686.0522827148438,12.985999999999997,,Ja'Marr Chase,"[""Ja'Marr Chase"", 'Jayden Reed', 'Omarion Hampton']",100,True,8.317811279296874,0.5198632049560546,-48.59847412109375,72.85344238281252,0.5857719116210941,16.51534197998047,53.0,LEAN BUY,6.099609781901042,53.0
74,1692.6897375488281,1686.869207763672,12.967999999999996,,Ja'Marr Chase,"[""Ja'Marr Chase"", 'Jonathan Taylor', 'Omarion Hampton']",100,True,5.82052978515625,0.3637831115722656,-51.9397216796875,52.05437011718751,-1.0244567260742188,12.630090087890625,56.00000000000001,BUY,5.82052978515625,53.0
75,1692.6331311035156,1687.1629699707032,12.951999999999996,,Ja'Marr Chase,"[""Ja'Marr Chase"", 'Jayden Reed', 'Jonathan Taylor']",100,True,5.4701611328125,0.34188507080078123,-46.1747802734375,65.80939941406251,-1.648712463378906,12.336135192871089,53.0,LEAN BUY,5.4701611328125,53.0
76,1690.4483544921875,1689.0427685546874,12.968,23.0,Ja'Marr Chase,"[""Ja'Marr Chase"", 'Omarion Hampton', 'Jayden Reed']",100,True,1.4055859375,0.08784912109375,-47.9591796875,49.713354492187506,-5.2304689331054695,8.063180908203122,49.0,LEAN BUY,2.8285461425781246,51.5
77,1692.779608154297,1688.5281018066407,12.975999999999997,,Ja'Marr Chase,"[""Ja'Marr Chase"", 'Jonathan Taylor', 'Omarion Hampton']",100,True,4.25150634765625,0.2657191467285156,-47.71552734375,57.04938964843754,-3.0529786987304686,11.229721252441404,54.0,LEAN BUY,2.8285461425781246,51.5
78,1688.0799401855468,1688.9473547363282,12.982000000000001,,Ja'Marr Chase,"[""Ja'Marr Chase"", 'Omarion Hampton', 'Jonathan Taylor']",100,True,-0.86741455078125,-0.05421340942382812,-63.890087890625,66.49512939453126,-8.189888000488281,6.704193786621091,50.0,NEUTRAL,-0.86741455078125,50.0
79,1681.37166015625,1688.9419165039062,12.963999999999999,,Ja'Marr Chase,"[""Ja'Marr Chase"", 'Jayden Reed', 'Omarion Hampton']",100,True,-7.57025634765625,-0.47314102172851563,-60.04190673828125,51.14792480468752,-14.90010723876953,-0.6825122680664083,40.0,PASS,-4.2569338378906245,43.6
80,1681.0246252441407,1687.3964990234374,12.969999999999997,,Ja'Marr Chase,"[""Ja'Marr Chase"", 'Jayden Reed', 'Ashton Jeanty']",100,True,-6.371873779296875,-0.3982421112060547,-58.02132568359375,50.47797851562505,-13.080735900878906,0.18346813964843414,41.0,NEUTRAL,-4.2569338378906245,43.6
81,1684.4874951171876,1689.08984375,12.979999999999997,,Ja'Marr Chase,"[""Ja'Marr Chase"", 'Ashton Jeanty', 'Brian Thomas']",100,True,-4.6023486328125,-0.28764678955078127,-49.33656005859375,45.76916503906251,-11.620469482421875,2.149481018066405,41.0,NEUTRAL,-4.2569338378906245,43.6
82,1688.1308044433595,1687.7309814453124,12.987999999999998,,Ja'Marr Chase,"[""Ja'Marr Chase"", 'Brian Thomas', 'Ashton Jeanty']",100,True,0.399822998046875,0.024988937377929687,-51.63184814453125,57.95391845703127,-7.104455322265625,7.182825866699219,47.0,LEAN BUY,-4.2569338378906245,43.6
83,1685.2383666992187,1688.378380126953,12.973999999999998,,Ja'Marr Chase,"[""Ja'Marr Chase"", 'Jayden Reed', 'Ashton Jeanty']",100,True,-3.140013427734375,-0.19625083923339845,-61.289794921875,56.119506835937514,-9.872976440429689,3.4808074951171855,49.0,NEUTRAL,-4.2569338378906245,43.6
89,1679.083731689453,1690.081270751953,12.977999999999998,,Ja'Marr Chase,"[""Ja'Marr Chase"", 'Jonathan Taylor', 'Tyler Warren']",100,True,-10.9975390625,-0.68734619140625,-71.178369140625,52.08466796875002,-18.946871520996094,-2.8067472534179694,39.0,PASS,-10.9975390625,39.0
107,1657.8202978515626,1696.2156591796875,13.002,,Ja'Marr Chase,"[""Ja'Marr Chase"", 'Derrick Henry', 'Jonathan Taylor']",100,True,-38.395361328125,-2.3997100830078124,-94.26171875,17.91396484375001,-45.97355688476562,-30.732187988281257,19.0,PASS,-38.395361328125,19.0
143,1607.2429931640625,1698.2668493652343,13.021999999999998,,Derrick Henry,"['Derrick Henry', ""Ja'Marr Chase"", 'George Pickens']",100,True,-91.02385620117188,-5.688991012573243,-157.28818359375,-31.76484374999997,-99.80284918212891,-82.38390490722657,4.0,PASS,-91.02385620117188,4.0
286,1181.4609375,1676.001708984375,14.8,,Jadarian Price,"['Jadarian Price', 'Tyler Warren', 'Quentin Johnston']",1,True,-494.540771484375,-30.908798217773438,-494.540771484375,-494.540771484375,-494.540771484375,-494.540771484375,0.0,PASS,-494.540771484375,0.0
