         5498675 function calls (5438904 primitive calls) in 9.622 seconds

   Ordered by: cumulative time
   List reduced from 963 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    9.622    9.622 profile_glpk.py:737(<lambda>)
        1    0.010    0.010    9.621    9.621 zSim_Helper.py:2999(run_sim)
       25    0.002    0.000    7.911    0.316 profile_glpk.py:228(timed_contribution)
       25    0.044    0.002    7.908    0.316 zSim_Helper.py:1554(managed_roster_buy_pass_contributions)
      993    0.008    0.000    3.937    0.004 profile_glpk.py:216(timed_marginal)
      993    0.293    0.000    3.926    0.004 zSim_Helper.py:1194(managed_marginal_values)
      993    1.495    0.002    2.802    0.003 zSim_Helper.py:1097(managed_base_lineup_state)
      650    0.016    0.000    2.504    0.004 zSim_Helper.py:1675(solve_branch)
      675    0.003    0.000    1.599    0.002 profile_glpk.py:135(timed_solve)
      675    0.004    0.000    1.594    0.002 zSim_Helper.py:2043(solve_ilp)
      675    1.590    0.002    1.590    0.002 {built-in method cvxopt.glpk.ilp}
     5989    0.028    0.000    0.956    0.000 frame.py:4073(__getitem__)
      675    0.005    0.000    0.888    0.001 profile_glpk.py:192(timed_salary)
      675    0.008    0.000    0.881    0.001 zSim_Helper.py:1989(create_G_salaries)
     4152    0.028    0.000    0.684    0.000 _function_base_impl.py:4087(percentile)
     4152    0.007    0.000    0.617    0.000 _function_base_impl.py:4560(_quantile_unchecked)
     4152    0.016    0.000    0.609    0.000 _function_base_impl.py:3857(_ureduce)
        1    0.000    0.000    0.608    0.608 zSim_Helper.py:1312(sample_managed_value_matrix)
       25    0.002    0.000    0.608    0.024 zSim_Helper.py:1272(sample_managed_values)
     4152    0.009    0.000    0.569    0.000 _function_base_impl.py:4715(_quantile_ureduce_func)
       50    0.001    0.000    0.560    0.011 profile_glpk.py:210(timed_template)
       50    0.117    0.002    0.559    0.011 zSim_Helper.py:502(sample_template_weekly_scores)
     4152    0.082    0.000    0.552    0.000 _function_base_impl.py:4788(_quantile)
    17956    0.034    0.000    0.544    0.000 _arraysetops_impl.py:1060(isin)
      650    0.016    0.000    0.518    0.001 zSim_Helper.py:1603(score_roster)
     1350    0.012    0.000    0.517    0.000 indexing.py:883(__setitem__)
   180794    0.115    0.000    0.496    0.000 fromnumeric.py:51(_wrapfunc)
    17956    0.383    0.000    0.490    0.000 _arraysetops_impl.py:908(_in1d)
      650    0.005    0.000    0.487    0.001 profile_glpk.py:222(timed_multi)
      650    0.073    0.000    0.481    0.001 zSim_Helper.py:812(managed_lineup_multi_context_scores)
     1111    0.004    0.000    0.459    0.000 generic.py:6684(copy)
     1115    0.006    0.000    0.443    0.000 managers.py:576(copy)
       25    0.009    0.000    0.427    0.017 zSim_Helper.py:653(sample_managed_holdout_contexts)
     1084    0.010    0.000    0.389    0.000 base.py:6198(_get_indexer_strict)
      350    0.002    0.000    0.384    0.001 profile_glpk.py:198(timed_normalize)
      350    0.012    0.000    0.382    0.001 zSim_Helper.py:310(normalize_salary_market)
     1963    0.005    0.000    0.375    0.000 generic.py:4164(_take_with_is_copy)
     1964    0.011    0.000    0.357    0.000 generic.py:4049(take)
     1350    0.010    0.000    0.344    0.000 indexing.py:1786(_setitem_with_indexer)
    85067    0.059    0.000    0.329    0.000 fromnumeric.py:1129(argsort)
       75    0.001    0.000    0.324    0.004 zSim_Helper.py:490(load_weekly_template_profiles)
        1    0.008    0.008    0.324    0.324 zSim_Helper.py:356(read_weekly_template_profile_cache)
     1986    0.007    0.000    0.321    0.000 managers.py:888(take)
     1350    0.010    0.000    0.318    0.000 indexing.py:1947(_setitem_with_indexer_split_path)
