scope,branch,successful_scenarios,unique_rosters,unique_scenario_rosters,reusable_score_calls,reusable_score_rate
nomination,buy,1601,1087,1232,369,0.2304809494066209
nomination,open,100,100,100,0,0.0
nomination,pass,1700,569,584,1116,0.6564705882352941
