method,baseline_variant,challenger_variant,n_rows,baseline_rmse,challenger_rmse,pooled_delta,recent_delta,season_wins,season_count,season_95_low,season_95_high,player_95_low,player_95_high,nonworse_positions,position_count,position_deltas_json
controlled_equal_thirds,incumbent,raw_gap,3696,3.108192067087202,3.1027107330980526,-0.005481333989149295,0.0006887977446616844,5,9,-0.01378193584629056,0.002083009074632146,-0.013460602476840078,0.002642175338729497,2,4,"{""QB"": -0.03793316944544145, ""RB"": 0.0021067265201741847, ""TE"": 0.006439109624519546, ""WR"": -0.006924713221120982}"
controlled_equal_thirds,incumbent,smooth_k5,3696,3.108192067087202,3.1050257526072826,-0.003166314479919219,0.002108541530079666,4,9,-0.00909398688245846,0.0018008652102526664,-0.00838335113606622,0.0022300165095911675,2,4,"{""QB"": -0.02612433238448597, ""RB"": 0.0013551801101798766, ""TE"": 0.003349521706350611, ""WR"": -0.00277609234738474}"
controlled_equal_thirds,incumbent,smooth_k3,3696,3.108192067087202,3.1061398478774027,-0.0020522192097991443,0.0014038959774578252,3,9,-0.00742168072505135,0.0022941034749126735,-0.0066828370143016125,0.0026565367942229406,2,4,"{""QB"": -0.02643446590482368, ""RB"": 0.0020831990522802712, ""TE"": 0.0027387335927819834, ""WR"": -0.00027904768902597965}"
controlled_equal_thirds,incumbent,smooth_k8,3696,3.108192067087202,3.103226163703412,-0.0049659033837898825,0.0017447191768700243,5,9,-0.011137616746314827,0.0005620624645943946,-0.011044869957858717,0.0013844765857652702,2,4,"{""QB"": -0.03373933243853022, ""RB"": 0.0017385287938451732, ""TE"": 0.004131850235884915, ""WR"": -0.005652171341169687}"
controlled_equal_thirds,incumbent,hard_floor_k5,3696,3.108192067087202,3.106422470388409,-0.0017695966987929523,0.0007667696072601871,4,9,-0.007099759548449292,0.0031014911647000397,-0.006621768571706232,0.0030305783396767905,2,4,"{""QB"": -0.021806222654164653, ""RB"": 0.003615887674658147, ""TE"": 0.0029008284052243205, ""WR"": -0.002086948588480464}"
controlled_equal_thirds,incumbent,additive_k5,3696,3.108192067087202,3.1041476434566153,-0.004044423630586547,0.002127092226413385,4,9,-0.009976051824415789,0.0007867533545771012,-0.009772059473770956,0.001601154708649498,3,4,"{""QB"": -0.028942709994178806, ""RB"": -0.0005517745892169579, ""TE"": 0.00297008941634358, ""WR"": -0.00255977569707877}"
equal_thirds,incumbent,raw_gap,3696,3.106946985538066,3.1016904743034868,-0.005256511234579264,-0.0009044919168483823,6,9,-0.013363514515380148,0.0025623733088492298,-0.012732778731900773,0.0023926795880318758,2,4,"{""QB"": -0.04198843495143301, ""RB"": 0.003854998799365461, ""TE"": 0.004135067415976135, ""WR"": -0.005657080546300097}"
equal_thirds,incumbent,smooth_k5,3696,3.106946985538066,3.104188137008187,-0.0027588485298788434,0.0010274858885104265,5,9,-0.008628793928816169,0.0026566116308804435,-0.007978404518917815,0.0027435205973617813,2,4,"{""QB"": -0.028591031454503035, ""RB"": 0.0020186251094473917, ""TE"": 0.0010193813910213123, ""WR"": -0.0006779931005609363}"
equal_thirds,incumbent,smooth_k3,3696,3.106946985538066,3.1057864775196578,-0.0011605080184082794,0.0017220532183546133,4,9,-0.006641028131955195,0.003583552091030106,-0.005847003425125863,0.0035337259761489604,1,4,"{""QB"": -0.02708976661468787, ""RB"": 0.003216209683523097, ""TE"": 0.0005931348199239572, ""WR"": 0.0020753040443022286}"
equal_thirds,incumbent,smooth_k8,3696,3.106946985538066,3.1023993247928217,-0.004547660745244375,6.344791954226991e-05,6,9,-0.0108173053534941,0.0012370034439140084,-0.010454635757554797,0.0016314700706753114,2,4,"{""QB"": -0.03598699562296925, ""RB"": 0.0024759129670037794, ""TE"": 0.0020075521481706105, ""WR"": -0.0037228968771532145}"
equal_thirds,incumbent,hard_floor_k5,3696,3.106946985538066,3.1057713822874216,-0.0011756032506444747,0.0006673251393647384,5,9,-0.00656553558078955,0.004146069206894504,-0.005962087347739675,0.0036379156064364915,1,4,"{""QB"": -0.024385772036693343, ""RB"": 0.004949733873333972, ""TE"": 0.00044686931636794824, ""WR"": 4.267885872177857e-05}"
equal_thirds,incumbent,additive_k5,3696,3.106946985538066,3.1031659830491902,-0.0037810024888758065,0.0005395146611539836,5,9,-0.009663228373554267,0.0013189520005392197,-0.009577045546234387,0.0018516212789106846,2,4,"{""QB"": -0.03175346779651855, ""RB"": 2.279266950422354e-05, ""TE"": 0.0008066550654963756, ""WR"": -0.0007157990473123377}"
