comparison,challenger,reference,challenger_rmse,reference_rmse,pooled_delta,mean_season_delta,recent_mean_delta,season_wins,season_count,sign_flip_pvalue,bootstrap_95_low,bootstrap_95_high,primary_bh_qvalue
team_support_equal_thirds_vs_tree,team_support_equal_thirds,team_support_tree_average,3.0969370493046693,3.1157819477242934,-0.018844898419624112,-0.0191319333390262,-0.016619294058543527,8,9,0.0078125,-0.028613119633807138,-0.010208081461617346,
qb_yardage_equal_thirds_vs_tree,qb_yardage_equal_thirds,qb_yardage_tree_average,3.0949241042161506,3.112754526087023,-0.01783042187087247,-0.01798922784076846,-0.014944699473804501,8,9,0.0078125,-0.027807727900097903,-0.009128882630049854,
all_environment_equal_thirds_vs_tree,all_environment_equal_thirds,all_environment_tree_average,3.094645250170623,3.1119835178538566,-0.017338267683233433,-0.01766958805248632,-0.014221625901915372,9,9,0.00390625,-0.027603169801408093,-0.009038885048046475,
team_rush_scoring_equal_thirds_vs_tree,team_rush_scoring_equal_thirds,team_rush_scoring_tree_average,3.0949942631079064,3.111693484044124,-0.016699220936217785,-0.01699988481916965,-0.01461089616730312,8,9,0.015625,-0.02656951253737254,-0.008128604373059388,
qb_style_equal_thirds_vs_tree,qb_style_equal_thirds,qb_style_tree_average,3.0927926741398064,3.1085459067018375,-0.015753232562031094,-0.01594645117607316,-0.013745952292821903,8,9,0.01171875,-0.025558271661477616,-0.0070647309603349105,
qb_tds_equal_thirds_vs_tree,qb_tds_equal_thirds,qb_tds_tree_average,3.0977635735015667,3.1129019287874704,-0.015138355285903682,-0.015305260241542563,-0.012843663196167032,8,9,0.0078125,-0.024255008577671412,-0.006916216846531258,
all_environment_vs_trajectory_base_lasso,all_environment_lasso,trajectory_base_lasso,3.146309446617394,3.1522818302656175,-0.005972383648223278,-0.006460259078747378,-0.011610810578276324,6,9,0.31640625,-0.017874565285265896,0.004106348085263938,
qb_style_vs_trajectory_base_lasso,qb_style_lasso,trajectory_base_lasso,3.1469926768348,3.1522818302656175,-0.005289153430817262,-0.005419293052789233,-0.010657258848689732,8,9,0.05859375,-0.010322219376912453,-0.0009319794452925399,
team_support_vs_trajectory_base_lasso,team_support_lasso,trajectory_base_lasso,3.1470556238564216,3.1522818302656175,-0.00522620640919591,-0.005536974793402945,-0.003989309117506649,5,9,0.2109375,-0.013071393036245564,0.0010385547411674385,
qb_style_vs_trajectory_base_lightgbm,qb_style_lightgbm,trajectory_base_lightgbm,3.1164383849905346,3.120974012933486,-0.004535627942951592,-0.004481157205386073,-0.010675699923610912,6,9,0.18359375,-0.010181266226317785,0.0009903200150333585,
team_rush_scoring_vs_trajectory_base_lasso,team_rush_scoring_lasso,trajectory_base_lasso,3.1486374432105815,3.1522818302656175,-0.0036443870550360025,-0.0039687993855070935,-0.012976561947527276,5,9,0.33203125,-0.011120769763999927,0.002895417827816524,
qb_style_vs_trajectory_base_tree_average,qb_style_tree_average,trajectory_base_tree_average,3.1085459067018375,3.111206200187708,-0.0026602934858703797,-0.0028265762004832475,-0.009184003557873114,5,9,0.3828125,-0.008576759328519416,0.0031526020080162183,
qb_yardage_vs_trajectory_base_lasso,qb_yardage_lasso,trajectory_base_lasso,3.1497005404074376,3.1522818302656175,-0.002581289858179847,-0.002631241136728709,-0.009585122634685769,5,9,0.51171875,-0.009178387222492155,0.004511642865775656,
qb_style_vs_trajectory_base_equal_thirds,qb_style_equal_thirds,trajectory_base_equal_thirds,3.0927926741398064,3.0949235953964997,-0.002130921256693341,-0.002277120442595858,-0.008854093956593978,5,9,0.42578125,-0.007645278576818298,0.002990782640556707,0.8515625
team_rush_scoring_vs_trajectory_base_random_forest,team_rush_scoring_random_forest,trajectory_base_random_forest,3.1186585332474643,3.1202944616866537,-0.0016359284391893603,-0.001644977008318449,-0.006750915912129655,5,9,0.6640625,-0.008762816119382281,0.004864784442881841,
