variant,route,challenger_rmse,reference_rmse,pooled_delta,mean_season_delta,recent_mean_delta,season_wins,season_count,sign_flip_pvalue,bootstrap_95_low,bootstrap_95_high
qb_style,all_skill,3.0915381634954624,3.0949235953964997,-0.00338543190103735,-0.0034698237433055607,-0.008008871870051651,6,9,0.1328125,-0.007377334677186475,0.0002618123018998838
qb_style,pass_catcher_only,3.091601169612655,3.0949235953964997,-0.0033224257838448956,-0.0034158775490911175,-0.00849957569271679,7,9,0.1015625,-0.007037838998215257,0.00029629800512402226
qb_yardage,pass_catcher_only,3.092864927867151,3.0949235953964997,-0.002058667529348579,-0.002172751695668119,-0.008529487114024162,6,9,0.35546875,-0.006224343865204516,0.0022132328573798926
all_environment,pass_catcher_only,3.092876746537421,3.0949235953964997,-0.002046848859078576,-0.002293783348222266,-0.007664419876427224,6,9,0.48046875,-0.007925931883038417,0.0040309387011011255
team_rush_scoring,pass_catcher_only,3.0929170394268684,3.0949235953964997,-0.002006555969631396,-0.002079631283801447,-0.005110710362310034,7,9,0.31640625,-0.005542180982650604,0.0014669681303978068
qb_yardage,all_skill,3.093035558420687,3.0949235953964997,-0.0018880369758127458,-0.0020374429266153036,-0.007317135404615242,4,9,0.34765625,-0.005968647397847082,0.001686142176398558
team_rush_scoring,all_skill,3.0934901904716354,3.0949235953964997,-0.0014334049248643232,-0.0015537765024709789,-0.00686622164037128,4,9,0.6640625,-0.008166948621819683,0.0046291478267147645
all_environment,all_skill,3.0938621255399243,3.0949235953964997,-0.0010614698565754033,-0.0013962066548180749,-0.005998005341167012,5,9,0.73046875,-0.009260852442959709,0.0062731667959716
team_support,pass_catcher_only,3.094023546255025,3.0949235953964997,-0.0009000491414745682,-0.0010011825887407493,0.001232675181422967,6,9,0.44140625,-0.003390700498507377,0.001589799405682023
qb_tds,pass_catcher_only,3.0948489125378194,3.0949235953964997,-7.468285868039715e-05,-0.00010885474595781177,-0.004818436330369824,3,9,0.94921875,-0.002695433626587788,0.002134283800398149
qb_style,rb_only,3.0948606569182653,3.0949235953964997,-6.293847823446441e-05,-5.4685019285294345e-05,0.0004886538158384764,5,9,0.95703125,-0.0018641483681279194,0.0019419871818683009
qb_yardage,rb_only,3.095094112457017,3.0949235953964997,0.00017051706051729454,0.0001321419382061231,0.0012084915446014162,5,9,0.921875,-0.0023236987444841804,0.0023332278572123027
team_rush_scoring,rb_only,3.095496374914558,3.0949235953964997,0.0005727795180581197,0.0005320400348041154,-0.0017460320150501178,4,9,0.76953125,-0.003094042558996319,0.0038700972380734853
qb_tds,all_skill,3.0957047135637645,3.0949235953964997,0.0007811181672647827,0.0007375371409333494,-0.003945673566750092,4,9,0.625,-0.0018765768760768803,0.003439380585097822
qb_tds,rb_only,3.095779375777025,3.0949235953964997,0.0008557803805251396,0.0008457218484701182,0.0008697015769896232,4,9,0.38671875,-0.0007667622746922022,0.002581117619025649
all_environment,rb_only,3.0959083229192226,3.0949235953964997,0.000984727522722828,0.0009019034751429129,0.0016626784551968161,2,9,0.62890625,-0.0028561373875416584,0.004136802341173616
team_support,all_skill,3.097645232255025,3.0949235953964997,0.0027216368585252226,0.0025681163164071505,0.0031135922451179057,2,9,0.2265625,-0.0015073454228870335,0.005769095047108273
team_support,rb_only,3.0985442293880143,3.0949235953964997,0.003620633991514577,0.003568213189917834,0.0018823597593811137,1,9,0.05078125,0.0007365648609813149,0.006154901891467541
