player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,drops,thrown_aways,bats,spikes,hit_as_threw,drop_percent,accuracy_percent
Drew Brees,802,QB,16,NO,653,635,413,0,8,17,6,6,0.0,69.1
Jay Cutler,2956,QB,16,DEN,651,616,384,0,5,15,4,3,0.0,65.2
Kurt Warner,112,QB,16,ARZ,625,598,401,0,12,16,3,17,0.0,72.9
Donovan McNabb,438,QB,16,PHI,618,571,345,0,13,11,5,2,0.0,63.9
Peyton Manning,327,QB,16,IND,573,555,371,0,11,12,2,4,0.0,70.5
Aaron Rodgers,2241,QB,16,GB,599,536,341,0,23,6,5,6,0.0,68.8
David Garrard,1109,QB,16,JAX,616,535,335,0,18,8,2,9,0.0,67.3
Brett Favre,14,QB,16,NYJ,559,522,343,0,6,8,4,4,0.0,68.6
Matt Cassel,2447,QB,16,NE,602,516,327,0,13,18,3,6,0.0,68.7
Jason Campbell,2242,QB,16,WAS,571,506,315,0,13,17,3,8,0.0,67.7
Eli Manning,1722,QB,16,NYG,510,479,289,0,8,11,1,4,0.0,63.5
Philip Rivers,1725,QB,16,SD,515,478,312,0,27,6,0,7,0.0,71.2
Chad Pennington,596,QB,16,MIA,509,474,320,0,5,7,1,8,0.0,70.6
Ben Roethlisberger,1732,QB,16,PIT,532,468,280,0,9,6,4,7,0.0,63.3
Kyle Orton,2323,QB,15,CHI,501,465,272,0,13,17,2,7,0.0,63.8
Tony Romo,1693,QB,13,DAL,480,450,276,0,12,4,0,4,0.0,64.2
Marc Bulger,684,QB,15,STR,484,439,250,0,10,10,0,1,0.0,59.8
Matt Ryan,4317,QB,16,ATL,472,434,265,0,18,4,2,8,0.0,65.9
Joe Flacco,4332,QB,16,BLT,474,428,257,0,18,5,1,8,0.0,64.9
Tyler Thigpen,3833,QB,14,KC,480,420,230,0,8,3,4,3,0.0,57.2
Kerry Collins,115,QB,16,TEN,429,415,242,0,16,12,0,4,0.0,63.2
Jake Delhomme,303,QB,16,CAR,439,414,246,0,4,17,1,3,0.0,63.2
Matt Schaub,1811,QB,11,HST,416,380,251,0,15,10,5,8,0.0,73.4
Jeff Garcia,550,QB,12,TB,425,376,244,0,9,10,4,5,0.0,70.1
Trent Edwards,3708,QB,14,BUF,415,374,245,0,12,7,1,7,0.0,70.6
Ryan Fitzpatrick,2467,QB,12,CIN,448,372,221,0,5,19,2,6,0.0,65.0
JaMarcus Russell,3617,QB,15,OAK,409,368,198,0,16,4,1,8,0.0,58.4
Gus Frerotte,93,QB,11,MIN,334,301,178,0,4,11,1,2,0.0,62.9
Shaun Hill,1255,QB,9,SF,325,288,181,0,13,4,4,2,0.0,68.3
Derek Anderson,2430,QB,10,CLV,306,283,142,0,5,9,0,8,0.0,54.4
Dan Orlovsky,2362,QB,10,DET,272,255,143,0,10,5,1,4,0.0,60.9
Seneca Wallace,1422,QB,9,SEA,265,242,141,0,8,4,2,2,0.0,62.4
J.T. O'Sullivan,1169,QB,9,SF,273,220,128,0,12,2,1,2,0.0,63.1
Matt Hasselbeck,408,QB,7,SEA,239,209,109,0,5,5,0,1,0.0,55.1
Brian Griese,379,QB,5,TB,194,184,110,0,3,3,1,1,0.0,62.5
Sage Rosenfels,863,QB,6,HST,189,174,116,0,4,5,2,4,0.0,73.0
Tarvaris Jackson,3009,QB,7,MIN,178,149,88,0,6,2,2,4,0.0,65.2
Carson Palmer,1317,QB,4,CIN,144,129,75,0,2,5,2,2,0.0,63.6
Jon Kitna,217,QB,4,DET,139,120,68,0,3,2,1,0,0.0,59.6
Daunte Culpepper,446,QB,5,DET,134,115,60,0,5,3,2,2,0.0,58.3
J.P. Losman,1743,QB,4,BUF,125,104,63,0,4,0,3,1,0.0,65.6
Ken Dorsey,1535,QB,4,CLV,96,91,43,0,1,2,0,8,0.0,53.8
Brady Quinn,3638,QB,3,CLV,93,89,45,0,0,2,0,2,0.0,52.9
Damon Huard,215,QB,5,KC,91,81,50,0,0,4,1,1,0.0,66.7
Brad Johnson,31,QB,3,DAL,86,78,41,0,1,2,0,1,0.0,55.4
Trent Green,58,QB,3,STR,80,72,38,0,0,1,0,3,0.0,55.9
Rex Grossman,1338,QB,3,CHI,64,62,32,0,5,1,0,0,0.0,57.1
Andrew Walter,2286,QB,2,OAK,56,49,22,0,2,0,1,0,0.0,47.8
Byron Leftwich,1323,QB,5,PIT,40,36,21,0,0,1,1,0,0.0,61.8
Vince Young,2948,QB,3,TEN,45,36,22,0,0,1,0,0,0.0,62.9
Kevin Kolb,3652,QB,4,PHI,36,34,17,0,1,1,0,0,0.0,53.1
Jim Sorgi,1910,QB,1,IND,31,30,22,0,1,0,0,0,0.0,75.9
Matt Leinart,2955,QB,4,ARZ,32,29,15,0,0,1,0,1,0.0,55.6
Brodie Croyle,3030,QB,2,KC,30,29,20,0,0,1,0,0,0.0,71.4
Charlie Frye,2284,QB,1,SEA,28,23,12,0,0,1,0,1,0.0,57.1
Bruce Gradkowski,3139,QB,2,CLV,26,21,7,0,0,2,0,1,0.0,38.9
Brooks Bollinger,1502,QB,2,DAL,20,17,10,0,0,0,0,1,0.0,62.5
Drew Stanton,3659,QB,3,DET,26,17,9,0,0,0,0,0,0.0,52.9
David Carr,1009,QB,2,NYG,16,12,9,0,0,0,0,0,0.0,75.0
Chad Henne,4371,QB,1,MIA,12,12,7,0,0,0,0,1,0.0,63.6
Jordan Palmer,3821,QB,3,CIN,15,12,7,0,1,0,0,0,0.0,63.6
Tom Brady,698,QB,1,NE,11,11,7,0,0,0,0,0,0.0,63.6
Quinn Gray,1247,QB,1,KC,9,8,7,0,0,1,0,0,0.0,100.0
Kevin O'Connell,4408,QB,2,NE,7,6,4,0,0,0,0,0,0.0,66.7
Matt Flynn,4523,QB,1,GB,5,5,2,0,0,0,0,0,0.0,40.0
Kellen Clemens,2994,QB,1,NYJ,5,5,3,0,0,0,0,0,0.0,60.0
Joshua Cribbs,2544,WR,3,CLV,5,4,1,0,1,0,0,0,0.0,33.3
Troy Smith,3790,QB,3,BLT,5,4,3,0,0,0,0,0,0.0,75.0
Antwaan Randle El,1069,WR,3,WAS,3,3,2,0,1,0,0,0,0.0,100.0
Ronnie Brown,2219,HB,5,MIA,4,3,2,0,0,0,0,0,0.0,66.7
Patrick Ramsey,1039,QB,1,DEN,4,3,2,0,0,0,0,0,0.0,66.7
Brock Berlin,2495,QB,1,STR,3,3,1,0,0,0,0,0,0.0,33.3
Chris Simms,1411,QB,1,TEN,3,2,1,0,0,0,0,0,0.0,50.0
Brad Smith,3048,WR,2,NYJ,2,2,1,0,0,0,0,0,0.0,50.0
Drew Henson,1494,QB,2,DET,5,2,1,0,0,0,0,0,0.0,50.0
Marques Tuiasosopo,826,QB,1,OAK,4,2,1,0,0,1,0,0,0.0,100.0
Cleo Lemon,1271,QB,1,JAX,2,2,0,0,1,0,0,0,0.0,0.0
Dane Looker,755,WR,3,STR,3,2,1,0,1,0,0,0,0.0,100.0
Michael Bush,3716,HB,2,OAK,2,2,1,0,0,0,0,0,0.0,50.0
Lance Moore,2718,WR,1,NO,1,1,0,0,0,0,0,0,0.0,0.0
Dennis Dixon,4470,QB,1,PIT,1,1,1,0,0,0,0,0,0.0,100.0
DeSean Jackson,4363,WR,1,PHI,1,1,0,0,0,0,0,0,0.0,0.0
Larry Johnson,1343,HB,1,KC,1,1,1,0,0,0,0,0,0.0,100.0
Jason Witten,1384,TE,1,DAL,1,1,1,0,0,0,0,0,0.0,100.0
Jerheme Urban,1709,WR,1,ARZ,1,1,1,0,0,0,0,0,0.0,100.0
Marques Hagans,3089,QB,1,KC,2,1,1,0,0,0,0,0,0.0,100.0
Luke McCown,1827,QB,1,TB,3,1,0,0,0,0,0,0,0.0,0.0
Mark Bradley,2256,WR,1,KC,1,1,1,0,0,0,0,0,0.0,100.0
Patrick Crayton,1932,WR,1,DAL,1,1,0,0,0,0,0,0,0.0,0.0
Isaac Bruce,80,WR,1,SF,1,1,0,0,0,0,0,0,0.0,0.0
Dante' Hall,677,WR,1,STR,1,1,0,0,0,0,0,0,0.0,0.0
Kevin Faulk,470,HB,1,NE,1,1,1,0,0,0,0,0,0.0,100.0
Eddie Royal,4356,WR,1,DEN,1,1,0,0,1,0,0,0,0.0,
