player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,drops,thrown_aways,bats,spikes,hit_as_threw,drop_percent,accuracy_percent
Matt Schaub,1811,QB,16,HST,626,583,396,0,22,12,5,16,0.0,75.0
Peyton Manning,327,QB,16,IND,583,571,393,0,7,9,0,3,0.0,71.2
Tom Brady,698,QB,16,NE,587,565,371,0,11,5,0,9,0.0,68.7
Jay Cutler,2956,QB,16,CHI,609,555,336,0,15,6,5,6,0.0,64.2
Tony Romo,1693,QB,16,DAL,597,550,347,0,6,10,2,4,0.0,65.7
Kyle Orton,2323,QB,16,DEN,581,541,336,0,22,7,1,7,0.0,66.7
Aaron Rodgers,2241,QB,16,GB,623,541,350,0,14,9,3,6,0.0,68.8
Brett Favre,14,QB,16,MIN,566,531,363,0,8,6,3,4,0.0,71.2
David Garrard,1109,QB,16,JAX,593,516,314,0,20,13,3,18,0.0,68.0
Drew Brees,802,QB,15,NO,539,514,363,0,5,13,1,7,0.0,74.4
Kurt Warner,112,QB,15,ARZ,543,514,340,0,4,14,7,20,0.0,72.5
Eli Manning,1722,QB,16,NYG,546,509,317,0,6,11,2,6,0.0,65.5
Jason Campbell,2242,QB,16,WAS,577,507,327,0,22,16,2,13,0.0,72.0
Ben Roethlisberger,1732,QB,15,PIT,567,506,337,0,7,12,1,12,0.0,71.1
Joe Flacco,4332,QB,16,BLT,550,499,315,0,16,7,2,6,0.0,67.3
Matt Cassel,2447,QB,15,KC,566,494,272,0,12,14,4,9,0.0,59.8
Matt Hasselbeck,408,QB,14,SEA,537,488,293,0,18,8,0,6,0.0,64.3
Philip Rivers,1725,QB,16,SD,522,486,317,0,21,2,2,12,0.0,70.6
Carson Palmer,1317,QB,16,CIN,509,466,282,0,10,9,4,3,0.0,64.1
Matt Ryan,4317,QB,14,ATL,482,451,263,0,30,4,5,6,0.0,64.8
Chad Henne,4371,QB,14,MIA,484,451,274,0,9,11,3,7,0.0,65.1
Donovan McNabb,438,QB,14,PHI,494,443,267,0,12,18,2,6,0.0,65.9
Matthew Stafford,4924,QB,10,DET,415,377,201,0,9,5,7,6,0.0,57.4
Alex Smith,2218,QB,11,SF,405,372,225,0,20,13,1,11,0.0,68.8
Mark Sanchez,4928,QB,15,NYJ,406,363,196,0,16,4,2,3,0.0,58.0
Jake Delhomme,303,QB,11,CAR,350,321,178,0,3,6,5,6,0.0,59.1
Josh Freeman,4940,QB,10,TB,331,291,159,0,6,7,3,4,0.0,58.7
Vince Young,2948,QB,12,TEN,297,259,152,0,10,3,1,6,0.0,63.6
Brady Quinn,3638,QB,10,CLV,280,256,136,0,5,11,0,3,0.0,57.4
Marc Bulger,684,QB,9,STR,266,247,140,0,6,6,1,4,0.0,60.9
JaMarcus Russell,3617,QB,12,OAK,286,246,120,0,4,6,1,9,0.0,53.1
Ryan Fitzpatrick,2467,QB,10,BUF,266,227,127,0,1,5,1,9,0.0,60.2
Kerry Collins,115,QB,7,TEN,224,216,119,0,15,4,0,7,0.0,62.6
Trent Edwards,3708,QB,8,BUF,216,183,110,0,10,4,0,4,0.0,66.7
Derek Anderson,2430,QB,8,CLV,194,182,81,0,6,8,1,5,0.0,50.0
Kyle Boller,1335,QB,7,STR,201,176,98,0,4,6,1,7,0.0,62.0
Daunte Culpepper,446,QB,8,DET,182,157,89,0,5,3,1,3,0.0,61.4
Shaun Hill,1255,QB,6,SF,179,155,87,0,8,3,0,6,0.0,63.0
Bruce Gradkowski,3139,QB,7,OAK,172,150,82,0,7,5,2,1,0.0,60.7
Matt Moore,4018,QB,7,CAR,149,138,85,0,3,2,0,3,0.0,65.4
Josh Johnson,4474,QB,5,TB,154,125,63,0,0,6,0,3,0.0,54.3
Keith Null,5120,QB,4,STR,135,119,73,0,3,1,0,1,0.0,64.0
Chris Redman,635,QB,3,ATL,128,119,69,0,2,5,2,5,0.0,65.7
Seneca Wallace,1422,QB,7,SEA,132,118,76,0,1,4,0,0,0.0,67.3
Byron Leftwich,1323,QB,3,TB,111,107,58,0,5,0,0,4,0.0,59.2
Kevin Kolb,3652,QB,3,PHI,101,96,62,0,3,3,0,2,0.0,70.5
Charlie Frye,2284,QB,3,OAK,95,87,53,0,4,1,0,2,0.0,66.3
Matt Leinart,2955,QB,7,ARZ,79,77,51,0,0,0,0,1,0.0,67.1
Chad Pennington,596,QB,3,MIA,81,74,51,0,5,2,2,2,0.0,81.0
Drew Stanton,3659,QB,3,DET,62,51,26,0,2,0,0,0,0.0,53.1
Brodie Croyle,3030,QB,3,KC,42,39,23,0,2,1,0,0,0.0,63.9
David Carr,1009,QB,6,NYG,39,33,21,0,0,1,1,0,0.0,67.7
Billy Volek,768,QB,2,SD,32,31,20,0,0,0,0,0,0.0,64.5
Brian Brohm,4370,QB,1,BUF,31,29,17,0,1,1,0,1,0.0,65.4
Mark Brunell,51,QB,2,NO,30,29,15,0,0,0,0,3,0.0,57.7
Curtis Painter,5125,QB,2,IND,33,28,8,0,2,0,0,0,0.0,30.8
Brian Hoyer,5277,QB,4,NE,32,27,19,0,0,0,0,0,0.0,70.4
Kellen Clemens,2994,QB,3,NYJ,32,26,13,0,1,0,1,0,0.0,54.2
Dennis Dixon,4470,QB,1,PIT,26,26,12,0,0,2,0,0,0.0,50.0
Todd Collins,131,QB,3,WAS,25,23,12,0,2,2,0,1,0.0,66.7
Tarvaris Jackson,3009,QB,6,MIN,22,21,14,0,0,0,0,1,0.0,70.0
Chris Simms,1411,QB,2,DEN,22,17,5,0,1,1,0,3,0.0,41.7
Matt Flynn,4523,QB,4,GB,13,12,7,0,0,0,0,0,0.0,58.3
J.T. O'Sullivan,1169,QB,3,CIN,15,11,4,0,1,0,0,0,0.0,40.0
Michael Vick,773,QB,7,PHI,13,11,6,0,0,0,0,1,0.0,60.0
Troy Smith,3790,QB,3,BLT,10,9,5,0,0,0,0,0,0.0,55.6
Rex Grossman,1338,QB,1,HST,10,9,3,0,1,1,0,1,0.0,50.0
Tyler Thigpen,3833,QB,1,MIA,9,8,4,0,1,0,0,0,0.0,57.1
Caleb Hanie,4674,QB,2,CHI,7,7,3,0,0,0,0,1,0.0,50.0
Josh McCown,1085,QB,1,CAR,7,6,1,0,0,0,0,0,0.0,16.7
Ronnie Brown,2219,HB,4,MIA,7,6,2,0,1,1,0,0,0.0,50.0
Pat White,4967,QB,4,MIA,8,5,0,0,0,0,0,0,0.0,0.0
Joshua Cribbs,2544,WR,3,CLV,4,4,1,0,0,0,0,0,0.0,25.0
Brian St. Pierre,1470,QB,1,ARZ,4,4,2,0,0,0,0,0,0.0,50.0
Luke McCown,1827,QB,2,JAX,5,3,1,0,0,0,0,0,0.0,33.3
Charlie Batch,367,QB,1,PIT,2,2,1,0,0,0,0,0,0.0,50.0
Chris Johnson,4338,HB,1,TEN,1,1,0,0,0,0,0,1,0.0,
Ray Rice,4369,HB,1,BLT,1,1,0,0,0,0,0,0,0.0,0.0
Matt Gutierrez,3948,QB,1,KC,1,1,1,0,0,0,0,0,0.0,100.0
Clinton Portis,1058,HB,1,WAS,1,1,0,0,0,0,0,0,0.0,0.0
Brian Westbrook,1094,HB,1,PHI,1,1,0,0,0,0,0,0,0.0,0.0
Micheal Spurlock,3517,WR,1,SF,1,1,0,0,0,0,0,0,0.0,0.0
Michael Clayton,1736,WR,1,TB,1,1,0,0,0,0,0,1,0.0,
J.P. Losman,1743,QB,1,OAK,1,1,0,0,0,0,0,1,0.0,
Mewelde Moore,1840,HB,1,PIT,1,1,1,0,0,0,0,0,0.0,100.0
Mark Clayton,2239,WR,1,BLT,1,1,1,0,0,0,0,0,0.0,100.0
Chris Brown,1407,HB,1,HST,1,1,0,0,0,0,0,0,0.0,0.0
Fred Jackson,3368,HB,1,BUF,1,1,1,0,0,0,0,0,0.0,100.0
Sidney Rice,3660,WR,1,MIN,1,1,0,0,1,0,0,0,0.0,
Legedu Naanee,3788,WR,1,SD,1,1,1,0,0,0,0,0,0.0,100.0
Tim Castille,3906,FB,1,KC,1,1,0,0,0,0,0,0,0.0,0.0
Ricky Williams,440,HB,1,MIA,1,1,0,0,0,0,0,0,0.0,0.0
