player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,drops,thrown_aways,bats,spikes,hit_as_threw,drop_percent,accuracy_percent
Peyton Manning,327,QB,16,DEN,677,659,450,42,12,6,1,0,6.4,76.9
Matt Ryan,4317,QB,16,ATL,703,651,439,39,18,14,1,7,6.0,78.2
Drew Brees,802,QB,16,NO,699,650,446,24,25,6,1,6,3.7,76.8
Matthew Stafford,4924,QB,16,DET,668,634,371,56,17,17,3,2,8.8,71.8
Tom Brady,698,QB,16,NE,671,628,380,51,13,4,4,9,8.1,72.1
Joe Flacco,4332,QB,16,BLT,677,614,362,34,16,5,1,9,5.5,67.9
Ryan Tannehill,7014,QB,16,MIA,661,588,355,30,25,8,4,3,5.1,70.3
Andy Dalton,6187,QB,16,CIN,640,586,363,35,21,14,1,3,6.0,72.8
Ben Roethlisberger,1732,QB,16,PIT,639,584,375,37,14,10,6,4,6.3,74.9
Carson Palmer,1317,QB,16,ARZ,618,572,362,20,14,10,1,8,3.5,70.9
Andrew Luck,7007,QB,16,IND,645,570,343,32,15,13,0,8,5.6,70.2
Eli Manning,1722,QB,16,NYG,596,551,317,30,25,7,0,3,5.4,67.2
Philip Rivers,1725,QB,16,SD,590,544,378,24,14,12,1,6,4.4,78.7
Tony Romo,1693,QB,15,DAL,579,535,342,31,16,6,1,0,5.8,72.9
Alex Smith,2218,QB,15,KC,593,508,308,37,18,11,4,3,7.3,73.1
Chad Henne,4371,QB,15,JAX,551,503,305,30,16,20,1,5,6.0,72.7
Cam Newton,6153,QB,16,CAR,554,473,292,24,18,8,3,9,5.1,72.6
Robert Griffin III,7008,QB,13,WAS,530,456,274,34,14,9,2,3,7.5,72.0
Geno Smith,7820,QB,16,NYJ,517,443,247,24,26,9,1,2,5.4,66.9
Mike Glennon,7854,QB,13,TB,468,416,247,21,19,7,0,8,5.0,70.2
Colin Kaepernick,6188,QB,16,SF,502,416,243,24,14,13,0,1,5.8,68.8
Russell Wilson,7077,QB,16,SEA,502,407,257,16,21,6,2,1,3.9,72.4
Matt Schaub,1811,QB,10,HST,383,358,219,12,19,7,0,2,3.4,70.0
Jay Cutler,2956,QB,11,CHI,387,355,224,20,10,6,4,4,5.6,73.7
Ryan Fitzpatrick,2467,QB,11,TEN,399,350,217,25,12,3,3,4,7.1,73.8
Jason Campbell,2242,QB,9,CLV,346,317,180,21,19,5,1,4,6.6,69.8
Nick Foles,7089,QB,13,PHI,362,317,203,12,19,2,0,5,3.8,73.9
E.J. Manuel,7797,QB,10,BUF,358,306,180,18,5,3,1,6,5.9,68.0
Aaron Rodgers,2241,QB,9,GB,328,290,193,12,22,6,1,0,4.1,78.5
Terrelle Pryor,6944,QB,11,OAK,337,272,156,14,18,3,1,1,5.1,68.3
Brandon Weeden,7028,QB,8,CLV,301,267,141,23,16,3,1,5,8.6,67.8
Sam Bradford,5526,QB,7,STR,284,262,159,20,11,8,0,2,7.6,74.3
Matt Cassel,2447,QB,9,MIN,281,254,153,13,7,12,0,2,5.1,71.2
Case Keenum,7323,QB,8,HST,277,253,137,15,13,6,3,3,5.9,66.7
