player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,drops,thrown_aways,bats,spikes,hit_as_threw,drop_percent,accuracy_percent
Drew Brees,802,QB,16,NO,675,652,440,20,16,18,2,6,3.1,75.4
Tom Brady,698,QB,16,NE,615,578,398,19,19,6,0,5,3.3,76.1
Carson Palmer,1317,QB,16,CIN,596,575,373,11,8,8,3,5,1.9,69.7
Matt Hasselbeck,408,QB,16,SEA,612,562,352,11,25,8,2,1,2.0,69.0
Jon Kitna,217,QB,16,DET,624,561,355,13,26,8,1,4,2.3,70.5
Brett Favre,14,QB,16,GB,556,535,356,7,5,8,3,7,1.3,70.9
Eli Manning,1722,QB,16,NYG,565,529,297,16,10,13,2,8,3.0,63.1
Derek Anderson,2430,QB,16,CLV,554,527,298,15,18,7,8,5,2.8,64.0
Tony Romo,1693,QB,16,DAL,561,520,335,8,4,8,1,0,1.5,67.7
Peyton Manning,327,QB,16,IND,537,514,336,9,14,11,0,4,1.8,71.1
Donovan McNabb,438,QB,14,PHI,546,473,291,8,25,10,2,8,1.7,69.9
Jay Cutler,2956,QB,16,DEN,507,467,297,9,2,9,3,3,1.9,68.0
Philip Rivers,1725,QB,16,SD,491,460,277,8,31,8,0,4,1.7,68.3
Kurt Warner,112,QB,14,ARZ,474,451,282,13,12,7,4,9,2.9,70.4
Jason Campbell,2242,QB,13,WAS,459,416,249,4,18,5,4,6,1.0,66.1
Ben Roethlisberger,1732,QB,15,PIT,474,404,264,9,10,3,3,3,2.2,70.9
Vince Young,2948,QB,15,TEN,460,382,238,5,9,7,1,1,1.3,66.8
Marc Bulger,684,QB,12,STR,417,378,221,4,9,7,2,4,1.1,63.2
Joey Harrington,1011,QB,12,ATL,388,348,215,6,8,7,0,4,1.7,67.2
Damon Huard,215,QB,11,KC,371,332,206,2,11,9,1,1,0.6,67.1
Jeff Garcia,550,QB,13,TB,367,328,210,6,20,10,5,3,1.8,74.5
David Garrard,1109,QB,12,JAX,365,325,208,7,10,8,1,5,2.2,71.4
Cleo Lemon,1271,QB,9,MIA,348,309,173,6,12,8,2,5,1.9,63.5
Tarvaris Jackson,3009,QB,12,MIN,345,294,171,11,15,5,7,4,3.7,69.2
Matt Schaub,1811,QB,11,HST,313,289,192,1,16,5,4,4,0.3,74.2
Kyle Boller,1335,QB,12,BLT,311,275,168,4,7,5,4,4,1.5,67.5
Trent Edwards,3708,QB,10,BUF,288,269,151,11,12,10,2,4,4.1,67.2
Brian Griese,379,QB,7,CHI,283,264,163,1,4,5,4,3,0.4,66.1
Chad Pennington,596,QB,9,NYJ,291,260,179,2,5,3,2,3,0.8,73.3
Kellen Clemens,2994,QB,10,NYJ,290,250,130,7,15,2,4,5,2.8,61.2
Sage Rosenfels,863,QB,9,HST,253,240,154,10,6,5,1,3,4.2,72.9
Rex Grossman,1338,QB,8,CHI,255,225,122,6,13,4,4,3,2.7,63.7
Brodie Croyle,3030,QB,9,KC,246,224,127,15,8,4,1,1,6.7,67.6
Trent Dilfer,72,QB,7,SF,250,219,113,6,8,5,4,2,2.7,59.5
Steve McNair,114,QB,6,BLT,220,205,133,0,6,8,1,2,0.0,70.7
Alex Smith,2218,QB,7,SF,219,193,94,0,12,4,2,3,0.0,54.7
Josh McCown,1085,QB,9,OAK,220,190,111,2,10,3,0,2,1.1,64.6
Daunte Culpepper,446,QB,7,OAK,214,185,107,1,6,7,0,2,0.5,63.5
J.P. Losman,1743,QB,8,BUF,200,175,111,0,4,4,1,2,0.0,67.7
Vinny Testaverde,2866,QB,6,CAR,184,172,94,1,4,4,0,0,0.6,57.9
Gus Frerotte,93,QB,8,STR,179,167,94,4,1,5,1,3,2.4,62.4
Chris Redman,635,QB,6,ATL,164,149,89,9,3,4,1,3,6.0,71.0
Quinn Gray,1247,QB,7,JAX,159,144,80,2,2,2,0,2,1.4,59.4
Trent Green,58,QB,5,MIA,150,141,85,0,3,5,3,1,0.0,65.9
Luke McCown,1827,QB,5,TB,164,139,94,8,5,3,2,0,5.8,79.1
David Carr,1009,QB,6,CAR,160,136,73,1,11,4,0,0,0.7,61.2
Matt Leinart,2955,QB,5,ARZ,121,112,60,0,6,4,0,3,0.0,60.6
Matt Moore,4018,QB,8,CAR,118,111,63,3,2,2,0,0,2.7,61.7
John Beck,3656,QB,5,MIA,120,108,61,8,3,0,2,0,7.4,67.0
