lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.255,0.253,0.248,0.245,17.59,13.93,0.506,0.711,0.421,0.649
0.249,0.255,0.249,0.247,18.0,14.28,0.49,0.7,0.421,0.649
0.249,0.255,0.251,0.245,18.03,14.41,0.496,0.704,0.421,0.649
0.25,0.254,0.251,0.245,18.04,14.49,0.492,0.702,0.421,0.649
0.25,0.253,0.252,0.246,18.06,14.47,0.495,0.704,0.421,0.649
0.249,0.252,0.25,0.248,18.13,14.46,0.496,0.705,0.421,0.649
0.249,0.254,0.25,0.248,18.14,14.49,0.496,0.704,0.421,0.649
0.248,0.254,0.25,0.249,18.15,14.55,0.499,0.706,0.421,0.649
0.248,0.252,0.251,0.249,18.16,14.47,0.497,0.705,0.421,0.649
0.25,0.252,0.25,0.248,18.18,14.56,0.496,0.704,0.421,0.649
0.25,0.249,0.252,0.249,18.18,14.6,0.496,0.705,0.421,0.649
0.249,0.252,0.25,0.249,18.19,14.53,0.494,0.703,0.421,0.649
0.249,0.252,0.251,0.249,18.21,14.51,0.497,0.705,0.421,0.649
0.25,0.251,0.249,0.249,18.21,14.6,0.493,0.702,0.421,0.649
0.246,0.253,0.251,0.249,18.21,14.57,0.493,0.702,0.421,0.649
0.247,0.252,0.252,0.249,18.21,14.55,0.492,0.701,0.421,0.649
0.25,0.252,0.251,0.248,18.21,14.53,0.49,0.7,0.421,0.649
0.25,0.251,0.251,0.248,18.22,14.59,0.496,0.704,0.421,0.649
0.248,0.251,0.252,0.248,18.22,14.64,0.491,0.701,0.421,0.649
0.249,0.25,0.252,0.25,18.22,14.59,0.49,0.7,0.421,0.649
0.249,0.252,0.251,0.248,18.24,14.6,0.499,0.706,0.421,0.649
0.25,0.25,0.251,0.248,18.24,14.68,0.492,0.701,0.421,0.649
0.246,0.25,0.253,0.25,18.26,14.66,0.493,0.702,0.421,0.649
0.244,0.253,0.252,0.25,18.26,14.58,0.483,0.695,0.421,0.649
0.248,0.252,0.251,0.25,18.27,14.71,0.494,0.703,0.421,0.649
0.247,0.25,0.253,0.25,18.27,14.6,0.488,0.699,0.421,0.649
0.248,0.249,0.253,0.25,18.28,14.63,0.492,0.701,0.421,0.649
