lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.26,0.263,0.239,0.238,28.76,23.26,0.508,0.713,0.178,0.421
0.247,0.248,0.254,0.252,32.39,26.54,0.491,0.701,0.178,0.421
0.25,0.242,0.255,0.253,32.59,26.69,0.497,0.705,0.178,0.421
0.248,0.244,0.255,0.253,32.65,26.62,0.479,0.692,0.178,0.421
0.25,0.243,0.254,0.253,32.66,26.82,0.499,0.706,0.178,0.421
0.25,0.242,0.254,0.253,32.7,26.79,0.497,0.705,0.178,0.421
0.248,0.243,0.255,0.254,32.7,26.87,0.492,0.702,0.178,0.421
0.249,0.244,0.254,0.254,32.72,26.76,0.487,0.698,0.178,0.421
0.251,0.241,0.254,0.254,32.74,27.02,0.501,0.708,0.178,0.421
0.246,0.245,0.256,0.254,32.76,26.94,0.496,0.704,0.178,0.421
0.25,0.241,0.255,0.254,32.79,26.92,0.497,0.705,0.178,0.421
0.251,0.239,0.256,0.255,32.79,26.85,0.488,0.698,0.178,0.421
0.251,0.241,0.256,0.252,32.82,27.1,0.491,0.701,0.178,0.421
0.246,0.243,0.256,0.255,32.83,26.87,0.498,0.706,0.178,0.421
0.251,0.24,0.255,0.253,32.88,27.17,0.494,0.703,0.178,0.421
0.246,0.245,0.255,0.253,32.88,26.96,0.493,0.702,0.178,0.421
0.247,0.244,0.255,0.253,32.93,27.08,0.49,0.7,0.178,0.421
0.251,0.239,0.255,0.254,32.94,27.04,0.493,0.702,0.178,0.421
0.252,0.236,0.256,0.256,33.02,27.23,0.504,0.71,0.178,0.421
0.248,0.24,0.257,0.255,33.02,27.29,0.49,0.7,0.178,0.421
0.25,0.239,0.255,0.256,33.03,27.16,0.485,0.697,0.178,0.421
0.246,0.243,0.256,0.255,33.04,27.08,0.49,0.7,0.178,0.421
0.25,0.238,0.256,0.256,33.05,27.18,0.507,0.712,0.178,0.421
0.248,0.241,0.256,0.254,33.23,27.41,0.497,0.705,0.178,0.421
0.252,0.234,0.257,0.257,33.25,27.34,0.487,0.698,0.178,0.421
0.248,0.239,0.258,0.255,33.29,27.41,0.501,0.707,0.178,0.421
0.256,0.221,0.261,0.262,34.04,28.12,0.502,0.708,0.178,0.421
0.258,0.22,0.262,0.26,34.13,28.18,0.503,0.709,0.178,0.421
0.257,0.221,0.262,0.26,34.15,28.19,0.5,0.707,0.178,0.421
0.259,0.219,0.262,0.26,34.16,28.14,0.485,0.696,0.178,0.421
lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.26,0.264,0.222,0.254,0.39,0.31,0.309,0.556,0.185,0.431
0.257,0.256,0.228,0.259,0.41,0.32,0.323,0.568,0.185,0.431
0.256,0.257,0.228,0.259,0.41,0.31,0.319,0.564,0.185,0.431
0.258,0.252,0.229,0.261,0.41,0.32,0.319,0.564,0.185,0.431
0.257,0.257,0.228,0.259,0.41,0.31,0.318,0.564,0.185,0.431
0.256,0.258,0.228,0.258,0.41,0.31,0.313,0.56,0.185,0.431
0.255,0.257,0.229,0.259,0.41,0.31,0.312,0.559,0.185,0.431
0.255,0.258,0.229,0.259,0.41,0.32,0.312,0.559,0.185,0.431
0.258,0.253,0.229,0.26,0.41,0.32,0.311,0.558,0.185,0.431
0.252,0.257,0.231,0.26,0.41,0.32,0.311,0.558,0.185,0.431
0.253,0.256,0.231,0.26,0.41,0.32,0.31,0.557,0.185,0.431
0.257,0.254,0.229,0.26,0.41,0.32,0.31,0.557,0.185,0.431
0.258,0.254,0.228,0.26,0.41,0.31,0.309,0.556,0.185,0.431
0.256,0.255,0.229,0.26,0.41,0.32,0.308,0.555,0.185,0.431
0.256,0.254,0.23,0.26,0.41,0.32,0.308,0.555,0.185,0.431
0.259,0.253,0.229,0.259,0.41,0.32,0.308,0.555,0.185,0.431
0.256,0.254,0.229,0.261,0.41,0.31,0.308,0.555,0.185,0.431
0.257,0.254,0.228,0.26,0.41,0.32,0.308,0.555,0.185,0.431
0.256,0.254,0.23,0.259,0.41,0.31,0.306,0.553,0.185,0.431
