lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.247,0.249,0.254,0.249,12.55,9.62,0.193,0.439,0.225,0.475
0.243,0.249,0.257,0.252,12.73,9.79,0.201,0.449,0.225,0.475
0.246,0.247,0.255,0.251,12.76,9.82,0.201,0.448,0.225,0.475
0.243,0.248,0.257,0.252,12.79,9.84,0.197,0.444,0.225,0.475
0.238,0.251,0.258,0.254,12.79,9.82,0.192,0.438,0.225,0.475
0.245,0.246,0.257,0.253,12.83,9.86,0.192,0.438,0.225,0.475
0.241,0.249,0.258,0.252,12.84,9.83,0.198,0.445,0.225,0.475
0.244,0.247,0.257,0.252,12.84,9.88,0.196,0.443,0.225,0.475
0.24,0.247,0.259,0.254,12.85,9.84,0.186,0.432,0.225,0.475
0.242,0.246,0.258,0.254,12.85,9.86,0.186,0.431,0.225,0.475
0.235,0.248,0.261,0.256,12.86,9.87,0.181,0.425,0.225,0.475
0.242,0.247,0.257,0.253,12.88,9.85,0.197,0.444,0.225,0.475
0.244,0.246,0.257,0.253,12.9,9.91,0.19,0.436,0.225,0.475
0.245,0.242,0.259,0.254,12.91,9.96,0.186,0.431,0.225,0.475
0.238,0.249,0.259,0.254,12.91,9.98,0.181,0.425,0.225,0.475
0.238,0.249,0.26,0.254,12.93,9.95,0.184,0.429,0.225,0.475
0.242,0.243,0.26,0.255,12.93,9.94,0.181,0.426,0.225,0.475
0.242,0.243,0.26,0.255,12.94,9.95,0.181,0.426,0.225,0.475
0.245,0.243,0.258,0.254,12.95,9.97,0.188,0.434,0.225,0.475
0.243,0.243,0.26,0.254,12.95,9.94,0.177,0.421,0.225,0.475
0.238,0.243,0.262,0.256,12.96,9.95,0.179,0.423,0.225,0.475
0.239,0.246,0.259,0.256,12.97,10.0,0.184,0.428,0.225,0.475
0.237,0.247,0.261,0.256,12.99,9.93,0.181,0.426,0.225,0.475
0.24,0.245,0.26,0.256,12.99,10.0,0.181,0.426,0.225,0.475
0.243,0.24,0.262,0.255,13.01,9.97,0.18,0.425,0.225,0.475
0.246,0.242,0.259,0.253,13.01,10.02,0.179,0.423,0.225,0.475
0.247,0.24,0.26,0.253,13.04,10.01,0.176,0.419,0.225,0.475
0.246,0.242,0.26,0.253,13.06,10.04,0.177,0.421,0.225,0.475
0.247,0.24,0.26,0.253,13.08,10.02,0.185,0.43,0.225,0.475
0.247,0.238,0.259,0.256,13.1,10.12,0.188,0.434,0.225,0.475
lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.259,0.258,0.23,0.253,0.99,0.77,0.228,0.477,0.175,0.419
