league,domain,position,candidate,season,rows,production_rmse,opportunity_control_rmse,candidate_rmse,ppg_delta_vs_control,q90_events,opportunity_control_brier,candidate_brier,q90_brier_delta_vs_control,control_average_precision,candidate_average_precision,q90_ap_delta_vs_control
beta,receiving,RB,rec_adot,2018,109,3.874838135051197,3.830343559828724,3.8300947287243527,-0.00024883110437112776,11,0.050617427640070926,0.052985456434430624,0.0023680287943596973,0.8059186644860186,0.7877028414151668,-0.01821582307085179
beta,receiving,RB,rec_adot,2019,105,2.946084398667262,3.091559222127448,3.0793631435724858,-0.012196078554962408,11,0.07251472212687891,0.07352729740376861,0.0010125752768896934,0.5333721833721834,0.5148131141851238,-0.01855906918705963
beta,receiving,RB,rec_adot,2020,122,3.3388610322635595,3.3581955877042784,3.3705387677078256,0.012343180003547172,13,0.07089039227140329,0.06979794145733342,-0.0010924508140698619,0.4579484048714818,0.47463325254567734,0.016684847674195535
beta,receiving,RB,rec_adot,2021,116,3.255196364929645,3.264321696724089,3.2616486710468813,-0.002673025677207619,12,0.05436494184256744,0.05259347255345633,-0.0017714692891111078,0.7246397630410913,0.7591899214883087,0.034550158447217316
beta,receiving,RB,rec_adot,2022,122,2.7449802286629525,2.826862795597544,2.838353148087871,0.011490352490326927,13,0.06038081418793403,0.06017165020712726,-0.00020916398080676746,0.5773769912882816,0.5967099673830443,0.0193329760947627
beta,receiving,RB,rec_adot,2023,109,3.576739281884182,3.58154638543318,3.586532284771525,0.0049858993383451455,11,0.08853967621143984,0.09279975323793926,0.004260077026499429,0.32348429348429353,0.26052806348581,-0.06295622999848355
beta,receiving,RB,rec_adot,2024,109,3.351970868230575,3.361658892117861,3.3650034820203287,0.003344589902467554,11,0.05772929106720081,0.0580077552917731,0.0002784642245722904,0.6192714148596501,0.5890478208660026,-0.03022359399364749
beta,receiving,RB,rec_adot,2025,109,3.1237937675615783,3.1149204855923327,3.115033841641154,0.00011335604882134476,11,0.04885246616981851,0.048972921795356034,0.00012045562553752304,0.7279552965769975,0.7179145980282344,-0.010040698548763105
beta,receiving,RB,rec_first_downs_per_route,2018,109,3.874838135051197,3.852476116529683,3.821165380597198,-0.03131073593248512,11,0.051043545708538196,0.04822447378453308,-0.002819071924005115,0.7969626333262698,0.816385003885004,0.019422370558734192
beta,receiving,RB,rec_first_downs_per_route,2019,105,2.946084398667262,3.044068331033721,3.0821582540114965,0.03808992297777536,11,0.072305474515463,0.07398797656179314,0.0016825020463301366,0.517261949520014,0.47113926649893534,-0.04612268302107869
beta,receiving,RB,rec_first_downs_per_route,2020,122,3.3388610322635595,3.361398783955551,3.3699449108641732,0.00854612690862222,13,0.07048011307627179,0.0731249479517947,0.002644834875522903,0.4603197916546333,0.502894352569723,0.04257456091508971
beta,receiving,RB,rec_first_downs_per_route,2021,116,3.255196364929645,3.251596332614446,3.2562705231464006,0.004674190531954725,12,0.05415327922024835,0.05417111069715924,1.7831476910888655e-05,0.7246397630410913,0.730895102505386,0.006255339464294685
beta,receiving,RB,rec_first_downs_per_route,2022,122,2.7449802286629525,2.827463462314609,2.8202114814122985,-0.007251980902310606,13,0.06032393283367125,0.06019588689929019,-0.00012804593438105888,0.5773769912882816,0.5733433233433233,-0.004033667944958297
beta,receiving,RB,rec_first_downs_per_route,2023,109,3.576739281884182,3.5794253379584475,3.565531636847531,-0.013893701110916368,11,0.08845712597518096,0.08802229580720328,-0.0004348301679776845,0.323972693972694,0.3261570085139879,0.0021843145412938636
beta,receiving,RB,rec_first_downs_per_route,2024,109,3.351970868230575,3.3618394495886945,3.365560495874206,0.003721046285511509,11,0.057727215234371895,0.05897673712153283,0.0012495218871609315,0.6108798064680417,0.6111545317427669,0.0002747252747251627
beta,receiving,RB,rec_first_downs_per_route,2025,109,3.1237937675615783,3.115336788408428,3.1091130425581435,-0.006223745850284512,11,0.04878606965769186,0.04867039437873325,-0.0001156752789586088,0.7279552965769975,0.7241674177891188,-0.0037878787878787845
beta,receiving,RB,rec_mtf_per_reception,2018,109,3.874838135051197,3.8333894393487564,3.83154096087196,-0.0018484784767962559,11,0.05048891152151855,0.05027083990177281,-0.00021807161974574107,0.8136500665570434,0.8174362674362674,0.0037862008792239887
beta,receiving,RB,rec_mtf_per_reception,2019,105,2.946084398667262,3.086326284517214,3.0674289819773892,-0.01889730253982469,11,0.07244652226560952,0.07199904865950203,-0.00044747360610748743,0.5658283237230606,0.5644297223244591,-0.0013986013986014845
beta,receiving,RB,rec_mtf_per_reception,2020,122,3.3388610322635595,3.3599880728383646,3.3320300599741928,-0.027958012864171877,13,0.07109022123189696,0.06928956080195213,-0.0018006604299448253,0.4553049207724721,0.5293368856717273,0.07403196489925523
beta,receiving,RB,rec_mtf_per_reception,2021,116,3.255196364929645,3.2582702215608084,3.2768151261134295,0.018544904552621144,12,0.05432439689787369,0.05699601473199144,0.0026716178341177482,0.7311212445225729,0.6895666833166834,-0.04155456120588952
beta,receiving,RB,rec_mtf_per_reception,2022,122,2.7449802286629525,2.826690835187064,2.8391358668793867,0.012445031692322583,13,0.06040766307395949,0.0611787795362193,0.0007711164622598091,0.5773769912882816,0.58502331002331,0.007646318735028412
beta,receiving,RB,rec_mtf_per_reception,2023,109,3.576739281884182,3.5814221663978354,3.5762640599098217,-0.005158106488013736,11,0.0886880402796026,0.08786178639632315,-0.0008262538832794486,0.3256686080255874,0.32088501720542756,-0.004783590820159833
beta,receiving,RB,rec_mtf_per_reception,2024,109,3.351970868230575,3.3618280494739214,3.3689452708138328,0.007117221339911328,11,0.05781379323355198,0.05944198336795114,0.00162819013439916,0.6192714148596501,0.5645102669166839,-0.05476114794296616
beta,receiving,RB,rec_mtf_per_reception,2025,109,3.1237937675615783,3.114807004340998,3.145582133640505,0.030775129299506876,11,0.048951772402161566,0.04949451184344379,0.0005427394412822265,0.7279552965769975,0.6928563229699595,-0.035098973607038064
beta,receiving,RB,rec_route_grade,2018,109,3.874838135051197,3.852476116529683,3.8042029720691795,-0.04827314446050357,11,0.051043545708538196,0.04732491185180113,-0.003718633856737069,0.7969626333262698,0.8125348310693139,0.01557219774304408
