domain,position,candidate,existing_feature,rows,spearman
receiving,RB,rec_yprr,base_prediction,493,0.21205111986924866
receiving,RB,rec_yprr,expert_ppg_team_game_median,493,0.2290848118044315
receiving,RB,rec_yprr,adp_log,475,-0.14937196987417115
receiving,RB,rec_yprr,prior_year_ppg,493,0.2068674448907602
receiving,RB,rec_yprr,prior_3year_weighted_ppg,493,0.1466571068675232
receiving,RB,rec_yprr,career_weighted_ppg,493,0.13761263275501567
receiving,RB,rec_yprr,proj_targets,107,0.3731527515858049
receiving,RB,rec_yprr,projected_receiving_point_share,491,0.4616363018933093
receiving,RB,rec_yprr,proj_rush_attempts,479,0.005136028374306764
receiving,RB,rec_yprr,projected_rush_point_share,491,-0.4616363018933093
receiving,RB,rec_first_downs_per_route,base_prediction,493,0.17691219812068584
receiving,RB,rec_first_downs_per_route,expert_ppg_team_game_median,493,0.1936644170025127
receiving,RB,rec_first_downs_per_route,adp_log,475,-0.10409677370266784
receiving,RB,rec_first_downs_per_route,prior_year_ppg,493,0.18876555757855984
receiving,RB,rec_first_downs_per_route,prior_3year_weighted_ppg,493,0.12649376226251952
receiving,RB,rec_first_downs_per_route,career_weighted_ppg,493,0.11692528842960383
receiving,RB,rec_first_downs_per_route,proj_targets,107,0.4034346957604759
receiving,RB,rec_first_downs_per_route,projected_receiving_point_share,491,0.47017558568464285
receiving,RB,rec_first_downs_per_route,proj_rush_attempts,479,-0.02398895878366225
receiving,RB,rec_first_downs_per_route,projected_rush_point_share,491,-0.47017558568464285
receiving,RB,rec_targets_per_route,base_prediction,493,0.1907187277664781
receiving,RB,rec_targets_per_route,expert_ppg_team_game_median,493,0.20721819124636096
receiving,RB,rec_targets_per_route,adp_log,475,-0.10836859583694917
receiving,RB,rec_targets_per_route,prior_year_ppg,493,0.17970496450980164
receiving,RB,rec_targets_per_route,prior_3year_weighted_ppg,493,0.13741459649440496
receiving,RB,rec_targets_per_route,career_weighted_ppg,493,0.1270254269578336
receiving,RB,rec_targets_per_route,proj_targets,107,0.4866951255068979
