league,domain,position,candidate,rows,seasons,production_rmse,opportunity_control_rmse,candidate_rmse,candidate_delta_vs_production,candidate_delta_vs_opportunity_control,mean_season_delta_vs_control,season_wins_vs_control,season_bootstrap_low,season_bootstrap_high,development_2018_2022_delta_vs_control,temporal_2023_2025_delta_vs_control,q90_rows,q90_rmse_delta_vs_control
dk,rushing,RB,rush_gap_share,901,8,3.467789791187955,3.4891848953362614,3.491047730741969,0.02325793955401423,0.0018628354057077523,0.0016920421723148893,2,-0.0007867828743628458,0.004863422736279493,0.0026645904311464186,0.00045978609658714475,93,0.0023573851570377613
dk,rushing,RB,rush_explosive_per_attempt,901,8,3.467789791187955,3.4891848953362614,3.491405385974755,0.023615594786800198,0.0022204906384937217,0.0016112578015748391,5,-0.007109154511248383,0.01368579422880667,0.005246966183948043,-0.003080420256096339,93,-0.015001783762946808
dk,receiving,RB,rec_targets_per_route,901,8,3.467789791187955,3.4880723443339976,3.4918139785941906,0.024024187406235686,0.0037416342601930275,0.0049608463126338265,5,-0.007427831749228009,0.02289185626861251,0.006656862462440127,-0.0013276656095384531,93,-0.042617095467097243
dk,rushing,RB,rush_yco_per_attempt,901,8,3.467789791187955,3.4891848953362614,3.4939286735638753,0.026138882375920325,0.0047437782276138485,0.004755110495806125,2,-0.0005374512054812097,0.010772868245040739,0.0059504690221583445,0.0026317677697536013,93,-0.018562258428708844
dk,rushing,RB,rush_breakaway_yards_per_attempt,901,8,3.467789791187955,3.4891848953362614,3.4940173625333846,0.026227571345429634,0.004832467197123158,0.00412476038820303,5,-0.006317991215982408,0.017610673079459977,0.006246994077426127,0.002356486383400913,93,-0.008669305153356177
dk,receiving,RB,rec_slot_rate,901,8,3.467789791187955,3.4880723443339976,3.495446194481952,0.02765640329399721,0.007373850147954553,0.009034618727644883,4,-0.011107475978246073,0.03732654421180026,0.015932550622964392,-0.007542114981380799,93,-0.006368748242636002
dk,rushing,RB,rush_breakaway_percent,901,8,3.467789791187955,3.4891848953362614,3.499089903470118,0.031300112282163006,0.00990500813385653,0.008601431254540937,3,-0.005014542019824231,0.028508504609451424,0.01427308562305285,0.002250212663981621,93,-0.00039123134898311207
dk,rushing,RB,rush_elusive_rating,901,8,3.467789791187955,3.4891848953362614,3.499104205955044,0.03131441476708918,0.009919310618782706,0.009550016103604508,2,-3.145458329685525e-05,0.021421190894934106,0.013394783611432093,0.0038308973113809763,93,-0.06745147847830868
dk,receiving,RB,rec_wide_rate,901,8,3.467789791187955,3.4880723443339976,3.499118550766068,0.0313287595781131,0.011046206432070438,0.01342039923012045,1,-0.012513007334314208,0.048935597562548394,0.017165426677376416,0.00039203712970570237,93,-0.021665987010310417
dk,rushing,RB,rush_run_grade,901,8,3.467789791187955,3.4891848953362614,3.5019288394921637,0.034139048304208774,0.012743944155902298,0.012287038197005495,2,0.004550129200103838,0.02109333485049364,0.0179587751347432,0.003602210406023598,93,-0.059439553056933825
dk,receiving,RB,rec_route_rate,901,8,3.467789791187955,3.4880723443339976,3.5024114042992482,0.0346216131112933,0.014339059965250645,0.01830466300472705,3,-0.024946696827824466,0.07207818779658792,0.018498969429543877,0.007101973955585983,93,-0.20438024798698695
