domain,position,eligible_rows,identity_coverage,source_row_coverage,positive_opportunity_coverage,median_positive_opportunity,coverage_ge_1,coverage_ge_50,coverage_ge_100,coverage_ge_200,coverage_ge_25
receiving,RB,1011,1.0,0.7655786350148368,0.7655786350148368,138.0,0.7655786350148368,0.609297725024728,0.4876360039564787,0.26607319485657766,
receiving,WR,1503,1.0,0.8003992015968064,0.8003992015968064,347.0,0.8003992015968064,0.7305389221556886,0.6753160345974717,0.5642049234863606,
receiving,TE,802,1.0,0.8216957605985037,0.8216957605985037,207.0,0.8216957605985037,0.7281795511221946,0.6246882793017456,0.4226932668329177,
rushing,RB,1011,1.0,0.7675568743818002,0.7675568743818002,86.5,0.7675568743818002,0.5054401582591493,0.35212660731948564,,0.609297725024728
rushing,QB,380,1.0,0.8473684210526315,0.8473684210526315,33.5,0.8473684210526315,0.2578947368421053,0.06578947368421052,,0.5631578947368421
