league,domain,position,candidate,rows,events,base_brier,opportunity_control_brier,candidate_brier,candidate_brier_delta_vs_base,candidate_brier_delta_vs_opportunity_control,candidate_brier_bootstrap_low,candidate_brier_bootstrap_high,base_average_precision,control_average_precision,candidate_average_precision,candidate_ap_delta_vs_control,development_2018_2022_brier_delta_vs_control,development_2018_2022_ap_delta_vs_control,temporal_2023_2025_brier_delta_vs_control,temporal_2023_2025_ap_delta_vs_control
beta,rushing,QB,rush_mtf_per_attempt,269,30,0.08487132372093441,0.08213015795374447,0.08193483602836371,-0.0029364876925706968,-0.00019532192538075643,-0.004147319487394708,0.004312023626938945,0.3729004118285859,0.40411148220863713,0.4136416524500822,0.00953017024144509,-8.635148454551322e-05,-0.023002903771404237,-0.00032860808441891043,0.01647476097825462
beta,rushing,QB,rush_first_downs_per_attempt,269,30,0.08487132372093441,0.08213015795374447,0.082540940454607,-0.00233038326632741,0.00041078250086253043,-7.917495901809828e-05,0.0010112912968987995,0.3729004118285859,0.40411148220863713,0.40404196984741086,-6.951236122626492e-05,0.0008995721608484331,-0.016576142677019956,-0.00018707592622764502,0.01303629734673395
beta,rushing,QB,rush_explosive_per_attempt,269,30,0.08487132372093441,0.08213015795374447,0.08272654949724002,-0.0021447742236943845,0.0005963915434955558,9.947310694223565e-05,0.0011962029885342182,0.3729004118285859,0.40411148220863713,0.39020274073275496,-0.01390874147588217,0.0010655062212688166,-0.03185341311230366,2.2598383905100827e-05,-0.0016381933804699988
beta,rushing,QB,rush_designed_yards_per_attempt,269,30,0.08487132372093441,0.08213015795374447,0.08273981612219208,-0.0021315075987423243,0.000609658168447616,-0.002551101430079486,0.0036701214499121524,0.3729004118285859,0.40411148220863713,0.3734384015856528,-0.03067308062298435,0.0005088160798338431,-0.08462316392652608,0.0007330022107190498,0.0010864381582054161
beta,rushing,QB,rush_ypa,269,30,0.08487132372093441,0.08213015795374447,0.08320592443623699,-0.0016653992846974164,0.001075766482492524,0.00041088427366001303,0.0018414024149960902,0.3729004118285859,0.40411148220863713,0.3855272277740795,-0.018584254434557634,0.0018391053536233187,-0.05644349899060486,0.000142095797142458,0.0007576589118177823
beta,rushing,QB,rush_yco_per_attempt,269,30,0.08487132372093441,0.08213015795374447,0.0832823545022124,-0.0015889692187220084,0.001152196548467932,0.0001936443686785759,0.002105504639665094,0.3729004118285859,0.40411148220863713,0.3908802460185555,-0.013231236190081652,0.0010945434211581812,0.017413287042582715,0.0012227144231938963,-0.00990100653515269
beta,rushing,QB,rush_breakaway_percent,269,30,0.08487132372093441,0.08213015795374447,0.08363845194059526,-0.001232871780339151,0.0015082939868507894,-0.0034246383769742377,0.005897122997259644,0.3729004118285859,0.40411148220863713,0.3766396596182821,-0.02747182259035502,0.0012854107998338943,-0.08543534743393266,0.0017809114387392355,0.02173695636459405
beta,rushing,QB,rush_breakaway_yards_per_attempt,269,30,0.08487132372093441,0.08213015795374447,0.08372242466699376,-0.0011488990539406524,0.001592266713249288,-0.0019390901130365995,0.0050287813988124245,0.3729004118285859,0.40411148220863713,0.3723958704253257,-0.03171561178331145,0.0018722451791465672,-0.09293565708990487,0.0012498137136393583,0.008530138461453673
beta,rushing,QB,rush_zone_share,269,30,0.08487132372093441,0.08213015795374447,0.08402595001318157,-0.0008453737077528389,0.0018957920594371014,-0.003494787239662879,0.006065315172856685,0.3729004118285859,0.40411148220863713,0.38076121607618624,-0.023350266132450892,-0.001786758523402307,-0.012501126776763294,0.006400068805389431,-0.040721668992136584
beta,rushing,QB,rush_scramble_share,269,30,0.08487132372093441,0.08213015795374447,0.08416443023232112,-0.0007068934886132888,0.0020342722785766515,-0.0036796934964432415,0.006872163236748196,0.3729004118285859,0.40411148220863713,0.36669732773959973,-0.0374141544690374,0.002476036772074322,-0.1309932534378107,0.0014939322369431352,-0.01707887877031966
beta,rushing,QB,rush_gap_share,269,30,0.08487132372093441,0.08213015795374447,0.0843032306674802,-0.000568093053454205,0.0021730727137357353,0.0005623980657914092,0.004117422042505283,0.3729004118285859,0.40411148220863713,0.37074747923755935,-0.03336400297107778,0.0025420220453177544,-0.0556824496791169,0.0017217958453544374,-0.016431554950783134
beta,rushing,QB,rush_run_grade,269,30,0.08487132372093441,0.08213015795374447,0.08485464527766479,-1.6678443269621535e-05,0.0027244873239203188,-0.0014414519505315663,0.010136395008829426,0.3729004118285859,0.40411148220863713,0.368989678521914,-0.03512180368672313,0.0063121877901049644,-0.18987700995829576,-0.0016637744033137503,0.02351663313098884
beta,receiving,RB,rec_targeted_qb_rating,901,93,0.06191591421868349,0.06295338748473811,0.06274250692846121,0.0008265927097777237,-0.00021088055627689617,-0.0012655577942574615,0.0011344429161159147,0.5422351365305883,0.5285205680484525,0.534840530518495,0.006319962470042517,-0.0009498619898763647,0.017331496106672395,0.00108629174612708,-0.002054674115870514
beta,rushing,RB,rush_ypa,901,93,0.06191591421868349,0.06267167726677686,0.06251439720940176,0.0005984829907182687,-0.00015728005737510042,-0.0005701358770545985,0.0003760464105351724,0.5422351365305883,0.5308045431605386,0.5300807480572043,-0.0007237951033343126,-0.00018619817421981072,0.004171282090437378,-0.00010651859233272443,-0.005359422214593512
beta,rushing,RB,rush_explosive_per_attempt,901,93,0.06191591421868349,0.06267167726677686,0.06264014655013588,0.0007242323314523846,-3.15307166409845e-05,-0.00019563585801583963,0.00011925461498877427,0.5422351365305883,0.5308045431605386,0.537231116843354,0.006426573682815406,-8.619723895304104e-05,0.00958747789066261,6.442825524621831e-05,-8.071902209733084e-05
