domain,position,left,right,rows,spearman
receiving,RB,rec_yac_per_route,rec_slot_rate,493,0.07717926737088941
receiving,RB,rec_yac_per_route,rec_wide_rate,493,0.09214765786147493
receiving,RB,rec_yac_per_route,rec_route_grade,493,0.6354663035666948
receiving,RB,rec_yac_per_route,rec_targeted_qb_rating,493,0.42648042270545217
receiving,RB,rec_mtf_per_reception,rec_route_rate,493,-0.028994076441179753
receiving,RB,rec_mtf_per_reception,rec_slot_rate,493,-0.12260798642992668
receiving,RB,rec_mtf_per_reception,rec_wide_rate,493,-0.04810620853440486
receiving,RB,rec_mtf_per_reception,rec_route_grade,493,0.15231809739316143
receiving,RB,rec_mtf_per_reception,rec_targeted_qb_rating,493,0.07081400027889537
receiving,RB,rec_route_rate,rec_slot_rate,493,0.3245922102591603
receiving,RB,rec_route_rate,rec_wide_rate,493,0.44681702063498013
receiving,RB,rec_route_rate,rec_route_grade,493,0.17727387916215948
receiving,RB,rec_route_rate,rec_targeted_qb_rating,493,0.14184323029245224
receiving,RB,rec_slot_rate,rec_wide_rate,493,0.4642872265889306
receiving,RB,rec_slot_rate,rec_route_grade,493,0.11396143110250388
receiving,RB,rec_slot_rate,rec_targeted_qb_rating,493,0.08497377872755532
receiving,RB,rec_wide_rate,rec_route_grade,493,0.13791181035435016
receiving,RB,rec_wide_rate,rec_targeted_qb_rating,493,0.1251350059521104
receiving,RB,rec_route_grade,rec_targeted_qb_rating,493,0.4464973626347231
receiving,TE,rec_yprr,rec_first_downs_per_route,501,0.884530097630869
receiving,TE,rec_yprr,rec_targets_per_route,501,0.8006554531770124
receiving,TE,rec_yprr,rec_touchdowns_per_route,501,0.375587791050393
receiving,TE,rec_yprr,rec_yards_per_target,501,0.5961931028384482
receiving,TE,rec_yprr,rec_adot,501,0.3161858165575657
receiving,TE,rec_yprr,rec_yac_per_route,501,0.7201331221667586
receiving,TE,rec_yprr,rec_mtf_per_reception,501,0.14490591709276684
receiving,TE,rec_yprr,rec_route_rate,501,0.34122706706866646
receiving,TE,rec_yprr,rec_slot_rate,501,0.27525687720140324
receiving,TE,rec_yprr,rec_wide_rate,501,0.23099784269092988
receiving,TE,rec_yprr,rec_route_grade,501,0.8886306081554864
receiving,TE,rec_yprr,rec_targeted_qb_rating,501,0.3057012304612868
receiving,TE,rec_first_downs_per_route,rec_targets_per_route,501,0.7773949427374824
receiving,TE,rec_first_downs_per_route,rec_touchdowns_per_route,501,0.48458326063146856
receiving,TE,rec_first_downs_per_route,rec_yards_per_target,501,0.4582798265102555
receiving,TE,rec_first_downs_per_route,rec_adot,501,0.30590464277637736
receiving,TE,rec_first_downs_per_route,rec_yac_per_route,501,0.600775836177496
