name,domain,family,denominator,prior_strength,positions
rec_yprr,receiving,earning,routes,100.0,RB/WR/TE
rec_first_downs_per_route,receiving,earning,routes,100.0,RB/WR/TE
rec_targets_per_route,receiving,earning,routes,100.0,RB/WR/TE
rec_touchdowns_per_route,receiving,scoring,routes,100.0,RB/WR/TE
rec_yards_per_target,receiving,efficiency,targets,25.0,RB/WR/TE
rec_adot,receiving,role_style,targets,25.0,RB/WR/TE
rec_yac_per_route,receiving,role_style,routes,100.0,RB/WR/TE
rec_mtf_per_reception,receiving,tackle_breaking,receptions,20.0,RB/WR/TE
rec_route_rate,receiving,participation,routes,100.0,RB/WR/TE
rec_slot_rate,receiving,alignment,routes,100.0,RB/WR/TE
rec_wide_rate,receiving,alignment,routes,100.0,RB/WR/TE
rec_route_grade,receiving,grade,routes,100.0,RB/WR/TE
rec_targeted_qb_rating,receiving,efficiency,targets,25.0,RB/WR/TE
rush_ypa,rushing,efficiency,attempts,50.0,RB/QB
rush_first_downs_per_attempt,rushing,earning,attempts,50.0,RB/QB
rush_mtf_per_attempt,rushing,tackle_breaking,attempts,50.0,RB/QB
rush_yco_per_attempt,rushing,tackle_breaking,attempts,50.0,RB/QB
rush_explosive_per_attempt,rushing,explosiveness,attempts,50.0,RB/QB
rush_breakaway_percent,rushing,explosiveness,attempts,50.0,RB/QB
rush_breakaway_yards_per_attempt,rushing,explosiveness,attempts,50.0,RB/QB
rush_gap_share,rushing,scheme,attempts,50.0,RB/QB
rush_zone_share,rushing,scheme,attempts,50.0,RB/QB
rush_run_grade,rushing,grade,attempts,50.0,RB/QB
rush_elusive_rating,rushing,tackle_breaking,attempts,50.0,RB
rush_designed_yards_per_attempt,rushing,qb_style,attempts,50.0,QB
rush_scramble_share,rushing,qb_style,attempts,50.0,QB
