"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Saquon Barkley","NYG","RB1","11","1","3","1.6","0.8","1.0","0.0"
"2","1","","Christian McCaffrey","CAR","RB2","7","1","10","2.6","1.4","2.0","0.0"
"3","1","","Alvin Kamara","NO","RB3","9","1","5","2.8","1.1","3.0","0.0"
"4","1","","Ezekiel Elliott","DAL","RB4","8","1","47","5.2","7.3","4.0","0.0"
"5","1","","David Johnson","ARI","RB5","12","3","17","6.0","2.6","7.0","+2.0"
"6","2","","DeAndre Hopkins","HOU","WR1","10","4","17","7.4","2.3","5.0","-1.0"
"7","2","","Davante Adams","GB","WR2","11","5","20","8.9","3.5","8.0","+1.0"
"8","2","","Julio Jones","ATL","WR3","9","6","16","10.2","2.3","10.0","+2.0"
"9","2","","Odell Beckham Jr.","CLE","WR4","7","4","24","12.6","4.8","13.0","+4.0"
"10","2","","James Conner","PIT","RB6","7","5","29","12.6","5.6","12.0","+2.0"
"11","2","","Michael Thomas","NO","WR5","9","5","25","13.3","4.1","9.0","-2.0"
"12","2","","Le'Veon Bell","NYJ","RB7","4","5","42","13.6","6.4","6.0","-6.0"
"13","3","","Travis Kelce","KC","TE1","12","6","20","13.8","2.4","15.0","+2.0"
"14","3","","Joe Mixon","CIN","RB8","9","7","31","15.1","5.3","18.0","+4.0"
"15","3","","JuJu Smith-Schuster","PIT","WR6","7","6","30","15.8","4.8","17.0","+2.0"
"16","3","","Tyreek Hill","KC","WR7","12","9","31","18.4","5.9","16.0","0.0"
"17","3","","Todd Gurley","LAR","RB9","9","5","49","18.5","9.6","14.0","-3.0"
"18","3","","Dalvin Cook","MIN","RB10","12","7","44","18.7","6.6","21.0","+3.0"
"19","3","","Nick Chubb","CLE","RB11","7","6","57","18.9","9.4","22.0","+3.0"
"20","3","","Antonio Brown","OAK","WR8","6","13","35","22.1","4.9","19.0","-1.0"
"21","3","","Mike Evans","TB","WR9","7","14","34","22.1","3.9","23.0","+2.0"
"22","4","","George Kittle","SF","TE2","4","13","69","24.0","7.9","29.0","+7.0"
"23","4","","Melvin Gordon","LAC","RB12","12","5","98","25.9","16.3","11.0","-12.0"
"24","4","","T.Y. Hilton","IND","WR10","6","20","34","26.9","3.3","26.0","+2.0"
"25","4","","Keenan Allen","LAC","WR11","12","19","40","27.0","3.8","24.0","-1.0"
"26","4","","Zach Ertz","PHI","TE3","10","18","69","28.6","11.4","25.0","-1.0"
"27","4","","Amari Cooper","DAL","WR12","8","12","43","29.9","4.6","30.0","+3.0"
"28","4","","Adam Thielen","MIN","WR13","12","24","43","31.3","3.7","28.0","0.0"
"29","4","","Marlon Mack","IND","RB13","6","14","60","31.6","10.1","37.0","+8.0"
"30","4","","Stefon Diggs","MIN","WR14","12","22","42","33.1","3.4","34.0","+4.0"
"31","4","","Damien Williams","KC","RB14","12","6","52","25.5","10.3","27.0","-4.0"
"32","4","","Kerryon Johnson","DET","RB15","5","16","66","35.3","11.4","32.0","0.0"
"33","4","","Patrick Mahomes","KC","QB1","12","1","74","35.6","13.6","20.0","-13.0"
"34","4","","Devonta Freeman","ATL","RB16","9","14","60","35.7","9.7","35.0","+1.0"
"35","5","","Brandin Cooks","LAR","WR15","9","20","55","36.5","5.4","40.0","+5.0"
"36","5","","Aaron Jones","GB","RB17","11","6","80","36.6","13.6","33.0","-3.0"
"37","5","","Leonard Fournette","JAC","RB18","10","18","52","36.7","8.1","31.0","-6.0"
"38","5","","Julian Edelman","NE","WR16","10","26","68","37.1","7.6","38.0","0.0"
"39","5","","Robert Woods","LAR","WR17","9","28","55","38.0","6.1","42.0","+3.0"
"40","5","","Kenny Golladay","DET","WR18","5","30","93","41.3","10.4","41.0","+1.0"
"41","5","","Chris Godwin","TB","WR19","7","29","62","42.5","6.5","48.0","+7.0"
"42","5","","Derrick Henry","TEN","RB19","11","13","93","42.7","10.8","39.0","-3.0"
"43","5","","Josh Jacobs","OAK","RB20","6","15","80","46.5","14.3","36.0","-7.0"
"44","5","","Cooper Kupp","LAR","WR20","9","33","75","47.1","9.2","47.0","+3.0"
"45","5","","Tyler Lockett","SEA","WR21","11","33","75","45.7","9.3","51.0","+6.0"
"46","6","","Chris Carson","SEA","RB21","11","31","89","54.8","13.1","53.0","+7.0"
"47","6","","Sony Michel","NE","RB22","10","32","80","55.4","9.9","46.0","-1.0"
"48","6","","Tyler Boyd","CIN","WR22","9","32","100","57.0","11.6","57.0","+9.0"
"49","6","","Calvin Ridley","ATL","WR23","9","34","99","57.1","11.0","55.0","+6.0"
"50","6","","A.J. Green","CIN","WR24","9","29","101","58.9","19.0","43.0","-7.0"
"51","6","","Alshon Jeffery","PHI","WR25","10","34","76","52.2","10.0","70.0","+19.0"
"52","6","","Allen Robinson","CHI","WR26","6","36","107","54.5","14.1","68.0","+16.0"
"53","6","","David Montgomery","CHI","RB23","6","17","107","61.6","19.4","58.0","+5.0"
"54","6","","D.J. Moore","CAR","WR27","7","34","96","54.6","11.9","56.0","+2.0"
"55","6","","O.J. Howard","TB","TE4","7","22","92","55.6","12.7","61.0","+6.0"
"56","6","","Mark Ingram","BAL","RB24","8","19","83","55.8","12.0","49.0","-7.0"
"57","6","","Deshaun Watson","HOU","QB2","10","21","89","56.3","12.0","44.0","-13.0"
"58","6","","Aaron Rodgers","GB","QB3","11","41","87","57.8","11.2","54.0","-4.0"
"59","6","","Andrew Luck","IND","QB4","6","21","90","58.0","14.2","50.0","-9.0"
"60","6","","James White","NE","RB25","10","37","100","65.8","13.3","52.0","-8.0"
"61","6","","Mike Williams","LAC","WR28","12","37","80","59.0","10.4","66.0","+5.0"
"62","6","","Phillip Lindsay","DEN","RB26","10","35","85","61.4","12.1","45.0","-17.0"
"63","6","","Evan Engram","NYG","TE5","11","45","102","62.6","11.1","59.0","-4.0"
"64","6","","Robby Anderson","NYJ","WR29","4","36","98","64.1","13.1","74.0","+10.0"
"65","6","","Hunter Henry","LAC","TE6","12","48","94","67.4","9.4","65.0","0.0"
"66","6","","Kenyan Drake","MIA","RB27","5","14","126","67.7","17.7","64.0","-2.0"
"67","6","","Jarvis Landry","CLE","WR30","7","37","130","67.8","17.4","63.0","-4.0"
"68","7","","Lamar Miller","HOU","RB28","10","37","105","71.0","14.2","72.0","+4.0"
"69","7","","Sammy Watkins","KC","WR31","12","40","138","71.2","17.4","79.0","+10.0"
"70","7","","Tarik Cohen","CHI","RB29","6","40","115","73.3","14.8","62.0","-8.0"
"71","7","","Corey Davis","TEN","WR32","11","45","122","73.4","14.4","82.0","+11.0"
"72","7","","Baker Mayfield","CLE","QB5","7","50","125","73.8","15.7","60.0","-12.0"
"73","7","","Dante Pettis","SF","WR33","4","45","141","74.8","14.7","77.0","+4.0"
"74","7","","Matt Ryan","ATL","QB6","9","45","118","74.9","16.3","73.0","-1.0"
"75","7","","Tevin Coleman","SF","RB30","4","44","126","77.7","16.3","71.0","-4.0"
"76","7","","Christian Kirk","ARI","WR34","12","50","124","78.9","15.0","80.0","+4.0"
"77","7","","Will Fuller","HOU","WR35","10","47","173","79.5","19.2","78.0","+1.0"
"78","7","","Marvin Jones","DET","WR36","5","48","203","84.0","22.3","96.0","+18.0"
"79","7","","Cam Newton","CAR","QB7","7","56","116","86.3","15.5","90.0","+11.0"
"80","7","","Latavius Murray","NO","RB31","9","38","124","86.5","14.6","101.0","+21.0"
"81","7","","Sterling Shepard","NYG","WR37","11","57","151","87.1","16.7","89.0","+8.0"
"82","7","","Russell Wilson","SEA","QB8","11","55","142","87.2","20.7","86.0","+4.0"
"83","7","","Rashaad Penny","SEA","RB32","11","52","119","87.5","13.6","76.0","-7.0"
"84","7","","Jared Cook","NO","TE7","9","59","139","88.9","16.9","69.0","-15.0"
"85","7","","David Njoku","CLE","TE8","7","53","136","90.2","18.6","87.0","+2.0"
"86","7","","Courtland Sutton","DEN","WR38","10","58","128","90.6","14.3","97.0","+11.0"
"87","7","","Carson Wentz","PHI","QB9","10","54","162","90.7","22.3","91.0","+4.0"
"88","7","","Curtis Samuel","CAR","WR39","7","57","141","90.8","15.2","109.0","+21.0"
"89","7","","Derrius Guice","WAS","RB33","10","52","123","92.0","14.0","67.0","-22.0"
"90","7","","Larry Fitzgerald","ARI","WR40","12","50","138","92.4","16.3","92.0","+2.0"
"91","7","","Eric Ebron","IND","TE9","6","63","154","92.7","22.4","75.0","-16.0"
"92","7","","Dede Westbrook","JAC","WR41","10","39","151","92.7","17.0","99.0","+7.0"
"93","8","","Vance McDonald","PIT","TE10","7","69","153","98.4","20.3","93.0","0.0"
"94","8","","Drew Brees","NO","QB10","9","59","145","98.4","18.8","85.0","-9.0"
"95","8","","Royce Freeman","DEN","RB34","10","66","128","98.5","13.9","103.0","+8.0"
"96","8","","Miles Sanders","PHI","RB35","10","46","235","99.6","34.3","83.0","-13.0"
"97","8","","Jared Goff","LAR","QB11","9","70","146","100.2","16.0","100.0","+3.0"
"98","8","","Keke Coutee","HOU","WR42","10","73","146","100.4","15.0","111.0","+13.0"
"99","8","","Austin Ekeler","LAC","RB36","12","65","143","103.8","19.3","81.0","-18.0"
"100","8","","Kyler Murray","ARI","QB12","12","61","177","107.0","25.5","107.0","+7.0"
"101","8","","Anthony Miller","CHI","WR43","6","79","176","107.7","17.5","136.0","+35.0"
"102","8","","Geronimo Allison","GB","WR44","11","68","169","108.7","18.2","121.0","+19.0"
"103","8","","Jameis Winston","TB","QB13","7","63","204","108.9","21.4","116.0","+13.0"
"104","8","","Austin Hooper","ATL","TE11","9","63","186","109.5","21.6","108.0","+4.0"
"105","8","","Jordan Howard","PHI","RB37","10","61","145","103.4","17.6","94.0","-11.0"
"106","8","","Ben Roethlisberger","PIT","QB14","7","70","157","111.7","19.3","112.0","+6.0"
"107","8","","Golden Tate","NYG","WR45","11","45","216","115.3","30.2","117.0","+10.0"
"108","8","","DeSean Jackson","PHI","WR46","10","73","169","116.1","16.8","130.0","+22.0"
"109","8","","Dak Prescott","DAL","QB15","8","70","189","116.2","19.4","124.0","+15.0"
"110","8","","Lamar Jackson","BAL","QB16","8","70","188","119.8","22.2","133.0","+23.0"
"111","8","","Philip Rivers","LAC","QB17","12","91","161","120.1","16.5","120.0","+9.0"
"112","8","","Darrell Henderson","LAR","RB38","9","50","258","116.3","37.9","84.0","-28.0"
"113","8","","Trey Burton","CHI","TE12","6","72","193","123.5","20.0","128.0","+15.0"
"114","8","","LeSean McCoy","BUF","RB39","6","76","188","113.2","25.5","98.0","-16.0"
"115","8","","Marquez Valdes-Scantling","GB","WR47","11","60","223","121.0","30.6","114.0","-1.0"
"116","8","","Delanie Walker","TEN","TE13","11","86","299","128.3","34.5","137.0","+21.0"
"117","8","","Matt Breida","SF","RB40","4","75","234","128.5","29.3","152.0","+35.0"
"118","9","","Ronald Jones II","TB","RB41","7","78","245","124.1","28.8","105.0","-13.0"
"119","9","","Michael Gallup","DAL","WR48","8","90","226","125.4","23.2","160.0","+41.0"
"120","9","","Dion Lewis","TEN","RB42","11","84","182","127.1","21.0","153.0","+33.0"
"121","9","","Kirk Cousins","MIN","QB18","12","76","233","133.1","25.3","144.0","+23.0"
"122","9","","Devin Funchess","IND","WR49","6","45","198","127.6","25.5","145.0","+23.0"
"123","9","","Mitch Trubisky","CHI","QB19","6","68","199","133.5","22.3","147.0","+24.0"
"124","9","","Nyheim Hines","IND","RB43","6","92","184","128.0","19.5","122.0","-2.0"
"125","9","","Donte Moncrief","PIT","WR50","7","64","222","135.8","30.1","140.0","+15.0"
"126","9","","Emmanuel Sanders","DEN","WR51","10","61","228","136.9","34.1","110.0","-16.0"
"127","9","","Jack Doyle","IND","TE14","6","94","258","138.8","30.3","168.0","+41.0"
"128","9","","N'Keal Harry","NE","WR52","10","55","213","128.1","28.3","104.0","-24.0"
"129","9","","John Brown","BUF","WR53","6","48","205","142.5","23.9","173.0","+44.0"
"130","9","","Jordan Reed","WAS","TE15","10","106","221","143.2","20.8","150.0","+20.0"
"131","9","","Kyle Rudolph","MIN","TE16","12","94","242","144.3","24.2","134.0","+3.0"
"132","9","","Josh Allen","BUF","QB20","6","94","212","139.0","24.9","171.0","+39.0"
"133","9","","Adrian Peterson","WAS","RB44","10","92","168","127.5","18.7","151.0","+18.0"
"134","9","","Kalen Ballage","MIA","RB45","5","70","198","139.4","28.1","132.0","-2.0"
"135","9","","Jerick McKinnon","SF","RB46","4","57","219","130.6","29.5","113.0","-22.0"
"136","9","","Jimmy Garoppolo","SF","QB21","4","95","215","147.7","23.6","155.0","+19.0"
"137","9","","DaeSean Hamilton","DEN","WR54","10","81","207","136.9","26.4","194.0","+57.0"
"138","9","","Tom Brady","NE","QB22","10","104","210","148.4","19.5","125.0","-13.0"
"139","9","","James Washington","PIT","WR55","7","66","262","143.6","40.8","119.0","-20.0"
"140","9","","Peyton Barber","TB","RB47","7","85","225","138.2","31.5","118.0","-22.0"
"141","9","","Kenny Stills","MIA","WR56","5","62","204","144.8","29.8","189.0","+48.0"
"142","9","","Jimmy Graham","GB","TE17","11","93","267","150.4","34.7","156.0","+14.0"
"143","9","","Greg Olsen","CAR","TE18","7","79","307","146.8","40.0","142.0","-1.0"
"144","9","","Ito Smith","ATL","RB48","9","104","278","146.9","32.0","135.0","-9.0"
"145","9","","Mark Andrews","BAL","TE19","8","88","258","144.7","38.0","158.0","+13.0"
"146","9","","Tyrell Williams","OAK","WR57","6","77","276","150.9","34.3","143.0","-3.0"
"147","9","","Jamison Crowder","NYJ","WR58","4","93","203","152.2","21.0","192.0","+45.0"
"148","9","","Robert Foster","BUF","WR59","6","90","253","159.1","39.8","238.0","+90.0"
"149","9","","Chris Herndon IV","NYJ","TE20","4","92","242","155.5","28.7","176.0","+27.0"
"150","9","","Jaylen Samuels","PIT","RB49","7","83","310","161.2","44.9","126.0","-24.0"
"151","9","","Carlos Hyde","KC","RB50","12","85","312","150.8","36.2","138.0","-13.0"
"152","9","","Damien Harris","NE","RB51","10","68","299","158.7","45.2","123.0","-29.0"
"153","9","","Duke Johnson","CLE","RB52","7","110","229","159.1","29.4","185.0","+32.0"
"154","10","","Chicago (CHI)","","DST1","6","113","245","153.4","28.0","88.0","-66.0"
"155","10","","Dallas Goedert","PHI","TE21","10","119","273","170.3","33.2","182.0","+27.0"
"156","10","","Matthew Stafford","DET","QB23","5","124","262","170.7","24.3","187.0","+31.0"
"157","10","","Marquise Goodwin","SF","WR60","4","97","327","165.7","40.6","213.0","+56.0"
"158","10","","Chris Thompson","WAS","RB53","10","114","214","168.6","19.7","196.0","+38.0"
"159","10","","Kareem Hunt","CLE","RB54","7","111","282","169.5","30.0","95.0","-64.0"
"160","10","","D.K. Metcalf","SEA","WR61","11","101","285","160.1","38.9","115.0","-45.0"
"161","10","","Sam Darnold","NYJ","QB24","4","118","296","176.2","31.5","177.0","+16.0"
"162","10","","Devin Singletary","BUF","RB55","6","84","283","173.3","37.1","154.0","-8.0"
"163","10","","Derek Carr","OAK","QB25","6","125","259","179.3","28.6","183.0","+20.0"
"164","10","","Tre'Quan Smith","NO","WR62","9","127","226","178.5","25.4","175.0","+11.0"
"165","10","","Devante Parker","MIA","WR63","5","93","268","174.1","32.4","204.0","+39.0"
"166","10","","Albert Wilson","MIA","WR64","5","102","265","176.3","34.6","221.0","+55.0"
"167","10","","Mohamed Sanu","ATL","WR65","9","88","266","177.1","30.1","188.0","+21.0"
"168","10","","C.J. Anderson","DET","RB56","5","119","310","177.7","34.3","208.0","+40.0"
"169","10","","Quincy Enunwa","NYJ","WR66","4","105","258","185.5","29.7","275.0","+106.0"
"170","10","","Jacksonville (JAC)","","DST2","10","136","281","160.3","25.2","139.0","-31.0"
"171","10","","Andy Dalton","CIN","QB26","9","120","267","187.6","24.4","236.0","+65.0"
"172","10","","Los Angeles (LAR)","","DST3","9","135","243","164.1","19.4","102.0","-70.0"
"173","10","","Parris Campbell","IND","WR67","6","98","292","175.4","37.2","141.0","-32.0"
"174","10","","T.J. Hockenson","DET","TE22","5","121","274","176.6","38.1","131.0","-43.0"
"175","10","","Jamaal Williams","GB","RB57","11","123","316","177.0","38.4","203.0","+28.0"
"176","10","","Adam Humphries","TEN","WR68","11","121","247","182.5","34.8","198.0","+22.0"
"177","10","","Baltimore (BAL)","","DST4","8","135","245","166.6","21.8","159.0","-18.0"
"178","10","","Greg Zuerlein","LAR","K1","9","151","246","178.0","18.8","106.0","-72.0"
"179","10","","Minnesota (MIN)","","DST5","12","142","279","169.3","23.4","146.0","-33.0"
"180","10","","Justin Jackson","LAC","RB58","12","100","309","190.1","52.4","181.0","+1.0"
"181","10","","Giovani Bernard","CIN","RB59","9","130","321","190.4","33.2","201.0","+20.0"
"182","10","","Los Angeles (LAC)","","DST6","12","143","283","170.1","22.6","148.0","-34.0"
"183","10","","Noah Fant","DEN","TE23","10","77","309","186.3","42.8","161.0","-22.0"
"184","10","","Zay Jones","BUF","WR69","6","87","286","192.6","39.4","235.0","+51.0"
"185","10","","Mike Gesicki","MIA","TE24","5","128","266","189.9","36.1","223.0","+38.0"
"186","10","","Justice Hill","BAL","RB60","8","89","315","186.0","57.5","169.0","-17.0"
"187","10","","Marcus Mariota","TEN","QB27","11","114","294","198.6","34.1","206.0","+19.0"
"188","10","","David Moore","SEA","WR70","11","127","263","199.4","29.4","278.0","+90.0"
"189","10","","Houston (HOU)","","DST7","10","151","280","176.3","25.5","165.0","-24.0"
"190","10","","Nick Foles","JAC","QB28","10","143","302","202.2","35.7","214.0","+24.0"
"191","11","","Harrison Butker","KC","K2","12","161","231","184.6","13.1","149.0","-42.0"
"192","11","","Justin Tucker","BAL","K3","8","159","286","184.9","21.0","129.0","-63.0"
"193","11","","Taylor Gabriel","CHI","WR71","6","154","265","204.2","22.9","259.0","+66.0"
"194","11","","Cleveland (CLE)","","DST8","7","151","251","185.5","21.0","164.0","-30.0"
"195","11","","Deebo Samuel","SF","WR72","4","113","312","196.7","40.5","207.0","+12.0"
"196","11","","Mecole Hardman","KC","WR73","12","109","361","193.1","45.0","178.0","-18.0"
"197","11","","Marqise Lee","JAC","WR74","10","113","300","203.0","33.7","249.0","+52.0"
"198","11","","Jalen Richard","OAK","RB61","6","116","315","199.6","37.4","209.0","+11.0"
"199","11","","Randall Cobb","DAL","WR75","8","138","310","211.2","30.9","193.0","-6.0"
"200","11","","Mike Davis","CHI","RB62","6","123","314","186.9","38.7","243.0","+43.0"
"201","11","","Stephen Gostkowski","NE","K4","10","157","287","192.4","18.8","166.0","-35.0"
"202","11","","Antonio Callaway","CLE","WR76","7","129","314","203.6","30.3","228.0","+26.0"
