Rex Burkhead NE ,RB31,11,53,167,85.2,22.5,92,9
Devante Parker MIA ,WR37,11,60,144,87.1,15.2,88,4
Marlon Mack IND ,RB32,9,48,134,88.3,17,84,-1
Randall Cobb GB ,WR38,7,50,137,88.5,21.6,91,5
Matthew Stafford DET ,QB9,6,60,138,87,15.2,99,12
Duke Johnson CLE ,RB33,11,46,143,93.9,19.6,82,-6
Will Fuller HOU ,WR39,10,52,135,94.1,16.6,69,-20
Marquise Goodwin SF ,WR40,11,54,135,95.6,17.6,101,11
Julian Edelman NE S ,WR41,11,48,177,96.2,22.5,72,-19
Kerryon Johnson DET ,RB34,6,54,143,96.4,21.4,78,-14
Chris Thompson WAS ,RB35,4,47,237,97.3,28.3,108,15
Trey Burton CHI ,TE9,5,61,138,97.6,15.8,93,-1
Sterling Shepard NYG ,WR42,9,73,164,98.4,15.7,104,9
Tarik Cohen CHI ,RB36,5,61,180,98.8,22.9,73,-23
C.J. Anderson CAR ,RB37,4,47,153,99.1,24.3,107,10
Jordy Nelson OAK ,WR43,7,49,138,99.2,18.2,100,2
Jordan Reed WAS ,TE10,4,69,138,99.9,14.7,87,-12
Isaiah Crowell NYJ ,RB38,11,70,146,100.9,18.4,98,-2
Ben Roethlisberger PIT ,QB10,7,63,138,97.4,18.1,102,1
Carlos Hyde CLE ,RB39,11,58,186,102.4,24.4,90,-12
Jamaal Williams GB ,RB40,7,70,159,100.5,19.6,95,-8
Jimmy Garoppolo SF ,QB11,11,52,147,98.1,20.3,97,-7
Nelson Agholor PHI ,WR44,9,54,153,103.6,15.6,105,0
Andrew Luck IND ,QB12,9,48,173,101.2,27.2,94,-12
Philip Rivers LAC ,QB13,8,61,144,102.7,16.3,111,4
Kelvin Benjamin BUF ,WR45,11,75,192,108.1,19.3,113,5
Kenny Stills MIA ,WR46,11,71,188,111,26.3,126,17
,,,,,,,,
Jack Doyle IND ,TE11,9,73,165,112.7,17.5,114,4
Rishard Matthews TEN ,WR47,8,78,175,112.1,18.7,144,33
George Kittle SF ,TE12,11,81,156,114.3,17.1,119,7
Jared Goff LAR ,QB14,12,70,147,110.6,17.9,112,-1
Matt Ryan ATL ,QB15,8,71,141,113.7,16.6,103,-11
Marqise Lee JAC IR ,WR48,9,87,236,119.5,27.4,124,9
Patrick Mahomes KC ,QB16,12,64,193,115.2,23.2,110,-6
Marcus Mariota TEN ,QB17,8,70,187,118.6,22.1,121,4
Aaron Jones GB S ,RB41,7,67,219,124.1,32,109,-9
Nick Chubb CLE ,RB42,11,72,215,126.7,25.8,116,-3
Josh Doctson WAS ,WR49,4,91,179,126.5,19.1,142,22
Allen Hurns DAL ,WR50,8,72,231,127.7,34.9,118,-3
Ty Montgomery GB ,RB43,7,61,208,128.5,27.9,115,-7
David Njoku CLE ,TE13,11,92,180,129.2,17.7,122,-1
Giovani Bernard CIN ,RB44,9,92,198,134.2,25.4,134,10
Alex Smith WAS ,QB18,4,66,170,131.1,20.2,129,4
Kenny Golladay DET ,WR51,6,94,210,133.5,27.1,148,22
DeSean Jackson TB ,WR52,5,92,213,131,26.1,162,35
Dak Prescott DAL ,QB19,8,83,190,132.6,20.5,125,-3
Cameron Meredith NO ,WR53,6,98,201,135.9,25,135,6
Theo Riddick DET ,RB45,6,100,169,136.4,17.7,146,16
O.J. Howard TB ,TE14,5,95,183,138.1,19.4,140,9
Devontae Booker DEN ,RB46,10,94,223,137.7,26.5,127,-5
