"Name","Pos","Team","ETR Rank","ADP","Delta","ETR Pos Rank","ADP Pos Rank","Pos ADP Delta"
"Michael Pittman","WR","IND","93","124.6","31.6","WR48","WR49","1"
"Baker Mayfield","QB","TB","94","68.2","-25.8","QB09","QB07","-2"
"Brian Robinson","RB","WAS","95","84.4","-10.6","RB32","RB30","-2"
"Joe Mixon","RB","HOU","96","47.2","-48.8","RB33","RB19","-14"
"Tyrone Tracy Jr.","RB","NYG","97","88.6","-8.4","RB34","RB31","-3"
"Caleb Williams","QB","CHI","98","112.8","14.8","QB10","QB13","3"
"Mark Andrews","TE","BAL","99","77.6","-21.4","TE07","TE07","0"
"Justin Fields","QB","NYJ","100","106.8","6.8","QB11","QB10","-1"
"Evan Engram","TE","DEN","101","87.4","-13.6","TE08","TE08","0"
"David Njoku","TE","CLE","102","88.6","-13.4","TE09","TE09","0"
"Zach Charbonnet","RB","SEA","103","121.4","18.4","RB35","RB39","4"
"Rashid Shaheed","WR","NO","104","150.8","46.8","WR49","WR55","6"
"Darnell Mooney","WR","ATL","105","125.2","20.2","WR50","WR51","1"
"Cooper Kupp","WR","SEA","106","89.0","-17.0","WR51","WR39","-12"
"J.K. Dobbins","RB","DEN","107","125.2","18.2","RB36","RB41","5"
"Bo Nix","QB","DEN","108","77.2","-30.8","QB12","QB08","-4"
"Dak Prescott","QB","DAL","109","111.2","2.2","QB13","QB12","-1"
"Colston Loveland","TE","CHI","110","114.4","4.4","TE10","TE12","2"
"Rhamondre Stevenson","RB","NE","111","108.8","-2.2","RB37","RB36","-1"
"Jayden Higgins","WR","HOU","112","147.2","35.2","WR52","WR54","2"
"Bhayshul Tuten","RB","JAX","113","136.2","23.2","RB38","RB45","7"
"Justin Herbert","QB","LAC","114","120.0","6.0","QB14","QB15","1"
"Tyler Warren","TE","IND","115","111.8","-3.2","TE11","TE11","0"
"Dallas Goedert","TE","PHI","116","138.8","22.8","TE12","TE15","3"
"Tyjae Spears","RB","TEN","117","129.4","12.4","RB39","RB42","3"
"Drake Maye","QB","NE","118","145.4","27.4","QB15","QB19","4"
"Dalton Kincaid","TE","BUF","119","131.8","12.8","TE13","TE14","1"
"Rachaad White","RB","TB","120","123.8","3.8","RB40","RB40","0"
"Jake Ferguson","TE","DAL","121","147.8","26.8","TE14","TE17","3"
"J.J. McCarthy","QB","MIN","122","145.0","23.0","QB16","QB18","2"
"Tre Harris","WR","LAC","123","146.2","23.2","WR53","WR53","0"
"Jared Goff","QB","DET","124","113.0","-11.0","QB17","QB14","-3"
"Keon Coleman","WR","BUF","125","122.2","-2.8","WR54","WR48","-6"
"Luther Burden III","WR","CHI","126","162.6","36.6","WR55","WR59","4"
"Javonte Williams","RB","DAL","127","102.4","-24.6","RB41","RB35","-6"
"Tucker Kraft","TE","GB","128","116.8","-11.2","TE15","TE13","-2"
"C.J. Stroud","QB","HOU","129","141.6","12.6","QB18","QB17","-1"
"Jordan Love","QB","GB","130","137.6","7.6","QB19","QB16","-3"
"Christian Kirk","WR","HOU","131","164.0","33.0","WR56","WR60","4"
"Trevor Lawrence","QB","JAX","132","169.0","37.0","QB20","QB21","1"
"Tyler Allgeier","RB","ATL","133","163.4","30.4","RB42","RB50","8"
"Austin Ekeler","RB","WAS","134","135.0","1.0","RB43","RB44","1"
"Marquise Brown","WR","KC","135","152.0","17.0","WR57","WR56","-1"
"Brandon Aiyuk","WR","SF","136","120.2","-15.8","WR58","WR47","-11"
"Dylan Sampson","RB","CLE","137","194.0","57.0","RB44","RB57","13"
"Kyle Pitts","TE","ATL","138","146.6","8.6","TE16","TE16","0"
"Rashod Bateman","WR","BAL","139","175.0","36.0","WR59","WR61","2"
"Jaydon Blue","RB","DAL","140","132.4","-7.6","RB45","RB43","-2"
"Isaac Guerendo","RB","SF","141","142.0","1.0","RB46","RB46","0"
"Trey Benson","RB","ARI","142","160.2","18.2","RB47","RB48","1"
"Romeo Doubs","WR","GB","143","203.4","60.4","WR60","WR69","9"
"Quinshon Judkins","RB","CLE","144","81.2","-62.8","RB48","RB29","-19"
"Michael Penix Jr.","QB","ATL","145","175.0","30.0","QB21","QB22","1"
"Najee Harris","RB","LAC","146","110.8","-35.2","RB49","RB37","-12"
"Quentin Johnston","WR","LAC","147","206.0","59.0","WR61","WR70","9"
"Cam Ward","QB","TEN","148","180.4","32.4","QB22","QB23","1"
"Tua Tagovailoa","QB","MIA","149","167.2","18.2","QB23","QB20","-3"
"DEN DST","DST","DEN","150","107.5","-42.5","DST01","DST01","0"
"Brandon Aubrey","K","DAL","151","113.2","-37.8","K01","K01","0"
"Zach Ertz","TE","WAS","152","162.6","10.6","TE17","TE19","2"
"Jerome Ford","RB","CLE","153","171.0","18.0","RB50","RB52","2"
"Bryce Young","QB","CAR","154","186.0","32.0","QB24","QB25","1"
"Roschon Johnson","RB","CHI","155","194.0","39.0","RB51","RB57","6"
"Matt Gay","K","WAS","156","199.8","43.8","K02","K13","11"
"Tank Bigsby","RB","JAX","157","145.0","-12.0","RB52","RB47","-5"
"Brenton Strange","TE","JAX","158","194.8","36.8","TE18","TE23","5"
"Ray Davis","RB","BUF","159","166.0","7.0","RB53","RB51","-2"
"Will Reichard","K","MIN","160","235.0","75.0","K03","K21","18"
"Kyle Williams","WR","NE","161","182.0","21.0","WR62","WR64","2"
"Wan'Dale Robinson","WR","NYG","162","201.6","39.6","WR63","WR68","5"
"Cedric Tillman","WR","CLE","163","195.8","32.8","WR64","WR66","2"
"SF DST","DST","SF","164","160.3","-3.7","DST02","DST08","6"
"BAL DST","DST","BAL","165","133.3","-31.8","DST03","DST03","0"
"Younghoe Koo","K","ATL","166","214.3","48.3","K04","K18","14"
"Marvin Mims Jr.","WR","DEN","167","156.4","-10.6","WR65","WR57","-8"
"PIT DST","DST","PIT","168","133.8","-34.3","DST04","DST04","0"
"Mike Gesicki","TE","CIN","169","207.3","38.3","TE19","TE25","6"
"HOU DST","DST","HOU","170","148.0","-22.0","DST05","DST06","1"
"DAL DST","DST","DAL","171","179.5","8.5","DST06","DST10","4"
"BUF DST","DST","BUF","172","140.5","-31.5","DST07","DST05","-2"
"Cameron Dicker","K","LAC","173","126.8","-46.2","K05","K02","-3"
"Adam Thielen","WR","CAR","174","177.6","3.6","WR66","WR63","-3"
"Chad Ryland","K","ARI","175","279.5","104.5","K06","K29","23"
"Jonnu Smith","TE","PIT","176","107.0","-69.0","TE20","TE10","-10"
"MIN DST","DST","MIN","177","156.3","-20.8","DST08","DST07","-1"
"Jake Bates","K","DET","178","135.0","-43.0","K07","K03","-4"
"Nick Chubb","RB","HOU","179","162.0","-17.0","RB54","RB49","-5"
"Jalen McMillan","WR","TB","180","196.4","16.4","WR67","WR67","0"
"Geno Smith","QB","LV","181","206.0","25.0","QB25","QB28","3"
"PHI DST","DST","PHI","182","124.8","-57.3","DST09","DST02","-7"
"Matthew Stafford","QB","LA","183","180.8","-2.2","QB26","QB24","-2"
"Ka'imi Fairbairn","K","HOU","184","156.6","-27.4","K08","K05","-3"
