"Name","Position","Team","ETR Rank","ADP","ADP Dif","Pos Rank ETR","Pos Rank ADP","Pos Rank Dif"
"Justin Herbert","QB","LAC","110","109.7","-0.3","QB14","QB14","0"
"Tucker Kraft","TE","GB","111","106.7","-4.3","TE13","TE10","-3"
"Cam Skattebo","RB","NYG","112","106.0","-6.0","RB34","RB35","1"
"Jayden Higgins","WR","HOU","113","148.3","35.3","WR52","WR52","0"
"Christian Kirk","WR","HOU","114","163.3","49.3","WR53","WR59","6"
"Rhamondre Stevenson","RB","NE","115","112.0","-3.0","RB35","RB38","3"
"Dalton Kincaid","TE","BUF","116","125.0","9.0","TE14","TE15","1"
"Drake Maye","QB","NE","117","122.0","5.0","QB15","QB16","1"
"Jake Ferguson","TE","DAL","118","124.7","6.7","TE15","TE14","-1"
"Quinshon Judkins","RB","CLE","119","95.3","-23.7","RB36","RB33","-3"
"Chris Godwin","WR","TB","120","86.7","-33.3","WR54","WR37","-17"
"Jordan Love","QB","GB","121","132.7","11.7","QB16","QB18","2"
"Luther Burden III","WR","CHI","122","150.0","28.0","WR55","WR53","-2"
"Bhayshul Tuten","RB","JAX","123","154.3","31.3","RB37","RB53","16"
"Joe Mixon","RB","HOU","124","62.7","-61.3","RB38","RB25","-13"
"J.J. McCarthy","QB","MIN","125","135.3","10.3","QB17","QB19","2"
"Jared Goff","QB","DET","126","99.7","-26.3","QB18","QB10","-8"
"Rashod Bateman","WR","BAL","127","172.7","45.7","WR56","WR64","8"
"Tyler Allgeier","RB","ATL","128","164.7","36.7","RB39","RB55","16"
"Kyle Pitts","TE","ATL","129","132.7","3.7","TE16","TE16","0"
"C.J. Stroud","QB","HOU","130","130.0","0.0","QB19","QB17","-2"
"Keenan Allen","WR","LAC","131","156.3","25.3","WR57","WR56","-1"
"Braelon Allen","RB","NYJ","132","150.3","18.3","RB40","RB49","9"
"Tank Bigsby","RB","JAX","133","117.0","-16.0","RB41","RB41","0"
"Jaydon Blue","RB","DAL","134","134.7","0.7","RB42","RB42","0"
"Trevor Lawrence","QB","JAX","135","163.3","28.3","QB20","QB23","3"
"Javonte Williams","RB","DAL","136","113.0","-23.0","RB43","RB39","-4"
"Trey Benson","RB","ARI","137","150.7","13.7","RB44","RB51","7"
"Romeo Doubs","WR","GB","138","199.0","61.0","WR58","WR72","14"
"Jacory Croskey-Merritt","RB","WAS","139","207.0","68.0","RB45","RB63","18"
"Marquise Brown","WR","KC","140","166.3","26.3","WR59","WR60","1"
"Dylan Sampson","RB","CLE","141","162.0","21.0","RB46","RB54","8"
"DEN DST","DST","DEN","142","130.7","-11.3","DST01","DST01","0"
"Austin Ekeler","RB","WAS","143","140.7","-2.3","RB47","RB44","-3"
"Brian Robinson","RB","WAS","144","80.3","-63.7","RB48","RB29","-19"
"Rachaad White","RB","TB","145","141.0","-4.0","RB49","RB45","-4"
"Brandon Aubrey","K","DAL","146","124.7","-21.3","K01","K01","0"
"Tyjae Spears","RB","TEN","147","135.3","-11.7","RB50","RB43","-7"
"Zach Ertz","TE","WAS","148","164.7","16.7","TE17","TE19","2"
"Marvin Mims Jr.","WR","DEN","149","157.7","8.7","WR60","WR57","-3"
