"Name","Position","Team","ETR Rank","ADP","ADP Dif","Pos Rank ETR","Pos Rank ADP","Pos Rank Dif"
"Ja'Marr Chase","WR","CIN","1","1.0","0.0","WR01","WR01","0"
"Bijan Robinson","RB","ATL","2","2.5","0.5","RB01","RB01","0"
"CeeDee Lamb","WR","DAL","3","5.5","2.5","WR02","WR03","1"
"Saquon Barkley","RB","PHI","4","3.2","-0.8","RB02","RB02","0"
"Justin Jefferson","WR","MIN","5","4.5","-0.5","WR03","WR02","-1"
"Jahmyr Gibbs","RB","DET","6","4.5","-1.5","RB03","RB03","0"
"Christian McCaffrey","RB","SF","7","8.8","1.8","RB04","RB04","0"
"Amon-Ra St. Brown","WR","DET","8","9.5","1.5","WR04","WR05","1"
"Puka Nacua","WR","LA","9","9.3","0.3","WR05","WR04","-1"
"Malik Nabers","WR","NYG","10","9.8","-0.2","WR06","WR06","0"
"Nico Collins","WR","HOU","11","14.5","3.5","WR07","WR07","0"
"Ashton Jeanty","RB","LV","12","10.3","-1.7","RB05","RB05","0"
"Brian Thomas Jr.","WR","JAX","13","15.5","2.5","WR08","WR08","0"
"De'Von Achane","RB","MIA","14","12.3","-1.7","RB06","RB07","1"
"Brock Bowers","TE","LV","15","19.5","4.5","TE01","TE01","0"
"A.J. Brown","WR","PHI","16","19.3","3.3","WR09","WR09","0"
"Drake London","WR","ATL","17","20.0","3.0","WR10","WR10","0"
"Derrick Henry","RB","BAL","18","10.7","-7.3","RB07","RB06","-1"
"Chase Brown","RB","CIN","19","26.5","7.5","RB08","RB12","4"
"Bucky Irving","RB","TB","20","21.7","1.7","RB09","RB10","1"
"Ladd McConkey","WR","LAC","21","26.2","5.2","WR11","WR11","0"
"Trey McBride","TE","ARI","22","27.2","5.2","TE02","TE02","0"
"Josh Jacobs","RB","GB","23","17.0","-6.0","RB10","RB08","-2"
"Tee Higgins","WR","CIN","24","30.0","6.0","WR12","WR12","0"
"Tyreek Hill","WR","MIA","25","30.5","5.5","WR13","WR13","0"
"Jonathan Taylor","RB","IND","26","20.2","-5.8","RB11","RB09","-2"
"Omarion Hampton","RB","LAC","27","39.3","12.3","RB12","RB16","4"
"George Kittle","TE","SF","28","38.5","10.5","TE03","TE03","0"
"Jaxon Smith-Njigba","WR","SEA","29","33.3","4.3","WR14","WR14","0"
"James Cook","RB","BUF","30","31.5","1.5","RB13","RB13","0"
"Davante Adams","WR","LA","31","38.7","7.7","WR15","WR16","1"
"Kyren Williams","RB","LA","32","24.7","-7.3","RB14","RB11","-3"
"Garrett Wilson","WR","NYJ","33","37.5","4.5","WR16","WR15","-1"
"Josh Allen","QB","BUF","34","20.8","-13.2","QB01","QB01","0"
"Lamar Jackson","QB","BAL","35","21.2","-13.8","QB02","QB02","0"
"TreVeyon Henderson","RB","NE","36","53.7","17.7","RB15","RB20","5"
"Devonta Smith","WR","PHI","37","54.5","17.5","WR17","WR23","6"
"Tet McMillan","WR","CAR","38","63.2","25.2","WR18","WR28","10"
"DJ Moore","WR","CHI","39","48.2","9.2","WR19","WR20","1"
"Xavier Worthy","WR","KC","40","55.2","15.2","WR20","WR24","4"
"Marvin Harrison Jr.","WR","ARI","41","40.3","-0.7","WR21","WR18","-3"
"Breece Hall","RB","NYJ","42","33.7","-8.3","RB16","RB14","-2"
"Jaylen Waddle","WR","MIA","43","73.2","30.2","WR22","WR32","10"
"Terry McLaurin","WR","WAS","44","41.0","-3.0","WR23","WR19","-4"
"Alvin Kamara","RB","NO","45","37.7","-7.3","RB17","RB15","-2"
"Mike Evans","WR","TB","46","39.2","-6.8","WR24","WR17","-7"
"Kenneth Walker III","RB","SEA","47","40.2","-6.8","RB18","RB17","-1"
"Jayden Daniels","QB","WAS","48","30.8","-17.2","QB03","QB03","0"
"Courtland Sutton","WR","DEN","49","52.3","3.3","WR25","WR22","-3"
"Jalen Hurts","QB","PHI","50","35.3","-14.7","QB04","QB05","1"
"Zay Flowers","WR","BAL","51","61.2","10.2","WR26","WR26","0"
"George Pickens","WR","DAL","52","66.0","14.0","WR27","WR31","4"
"Travis Hunter","WR","JAX","53","65.7","12.7","WR28","WR30","2"
"Jameson Williams","WR","DET","54","61.2","7.2","WR29","WR26","-3"
"DK Metcalf","WR","PIT","55","50.3","-4.7","WR30","WR21","-9"
"Chuba Hubbard","RB","CAR","56","45.5","-10.5","RB19","RB18","-1"
"Calvin Ridley","WR","TEN","57","65.2","8.2","WR31","WR29","-2"
"RJ Harvey","RB","DEN","58","65.2","7.2","RB20","RB24","4"
"James Conner","RB","ARI","59","48.7","-10.3","RB21","RB19","-2"
"Chris Olave","WR","NO","60","80.8","20.8","WR32","WR34","2"
"Rashee Rice","WR","KC","61","57.8","-3.2","WR33","WR25","-8"
"Jerry Jeudy","WR","CLE","62","75.2","13.2","WR34","WR33","-1"
"Sam LaPorta","TE","DET","63","53.3","-9.7","TE04","TE04","0"
"David Montgomery","RB","DET","64","59.3","-4.7","RB22","RB21","-1"
"Jakobi Meyers","WR","LV","65","87.8","22.8","WR35","WR40","5"
"Aaron Jones","RB","MIN","66","64.2","-1.8","RB23","RB23","0"
"Tony Pollard","RB","TEN","67","70.0","3.0","RB24","RB27","3"
"Rome Odunze","WR","CHI","68","81.2","13.2","WR36","WR35","-1"
"D'Andre Swift","RB","CHI","69","60.0","-9.0","RB25","RB22","-3"
"Jauan Jennings","WR","SF","70","100.2","30.2","WR37","WR45","8"
"Stefon Diggs","WR","NE","71","85.2","14.2","WR38","WR37","-1"
"Joe Burrow","QB","CIN","72","34.0","-38.0","QB05","QB04","-1"
"Isiah Pacheco","RB","KC","73","66.0","-7.0","RB26","RB25","-1"
"Deebo Samuel","WR","WAS","74","84.5","10.5","WR39","WR36","-3"
"Ricky Pearsall","WR","SF","75","99.3","24.3","WR40","WR43","3"
"Emeka Egbuka","WR","TB","76","110.5","34.5","WR41","WR46","5"
"Jaylen Warren","RB","PIT","77","90.8","13.8","RB27","RB31","4"
"T.J. Hockenson","TE","MIN","78","63.0","-15.0","TE05","TE05","0"
"Matthew Golden","WR","GB","79","96.7","17.7","WR42","WR42","0"
"Travis Kelce","TE","KC","80","64.0","-16.0","TE06","TE06","0"
"Jordan Addison","WR","MIN","81","87.2","6.2","WR43","WR39","-4"
"Jayden Reed","WR","GB","82","113.8","31.8","WR44","WR47","3"
"Josh Downs","WR","IND","83","123.7","40.7","WR45","WR50","5"
"Kaleb Johnson","RB","PIT","84","76.0","-8.0","RB28","RB28","0"
"Patrick Mahomes","QB","KC","85","51.7","-33.3","QB06","QB06","0"
"Tyrone Tracy Jr.","RB","NYG","86","85.5","-0.5","RB29","RB30","1"
"Khalil Shakir","WR","BUF","87","99.7","12.7","WR46","WR44","-2"
"Travis Etienne","RB","JAX","88","100.5","12.5","RB30","RB33","3"
"Jordan Mason","RB","MIN","89","112.0","23.0","RB31","RB37","6"
"Brock Purdy","QB","SF","90","100.5","10.5","QB07","QB10","3"
"Kyler Murray","QB","ARI","91","86.3","-4.7","QB08","QB09","1"
"Justin Fields","QB","NYJ","92","108.3","16.3","QB09","QB13","4"
"Baker Mayfield","QB","TB","93","63.8","-29.2","QB10","QB07","-3"
"Michael Pittman","WR","IND","94","122.7","28.7","WR47","WR48","1"
"Mark Andrews","TE","BAL","95","75.2","-19.8","TE07","TE07","0"
"Caleb Williams","QB","CHI","96","119.2","23.2","QB11","QB15","4"
"David Njoku","TE","CLE","97","89.0","-8.0","TE08","TE09","1"
"Evan Engram","TE","DEN","98","85.8","-12.2","TE09","TE08","-1"
"Zach Charbonnet","RB","SEA","99","118.5","19.5","RB32","RB39","7"
"Tyler Warren","TE","IND","100","105.3","5.3","TE10","TE10","0"
"J.K. Dobbins","RB","DEN","101","110.8","9.8","RB33","RB36","3"
"Rashid Shaheed","WR","NO","102","148.5","46.5","WR48","WR54","6"
"Darnell Mooney","WR","ATL","103","137.8","34.8","WR49","WR52","3"
"Cooper Kupp","WR","SEA","104","86.8","-17.2","WR50","WR38","-12"
"Bo Nix","QB","DEN","105","71.8","-33.2","QB12","QB08","-4"
"Dak Prescott","QB","DAL","106","104.8","-1.2","QB13","QB12","-1"
"Justin Herbert","QB","LAC","107","111.2","4.2","QB14","QB14","0"
"Cam Skattebo","RB","NYG","108","101.5","-6.5","RB34","RB34","0"
"Keon Coleman","WR","BUF","109","123.2","14.2","WR51","WR49","-2"
"Colston Loveland","TE","CHI","110","115.7","5.7","TE11","TE12","1"
"Dallas Goedert","TE","PHI","111","134.8","23.8","TE12","TE15","3"
"Rhamondre Stevenson","RB","NE","112","112.2","0.2","RB35","RB38","3"
"Drake Maye","QB","NE","113","134.0","21.0","QB15","QB17","2"
"Jordan Love","QB","GB","114","137.3","23.3","QB16","QB18","2"
"Dalton Kincaid","TE","BUF","115","129.8","14.8","TE13","TE13","0"
"Jake Ferguson","TE","DAL","116","138.7","22.7","TE14","TE17","3"
"J.J. McCarthy","QB","MIN","117","143.5","26.5","QB17","QB19","2"
"Jared Goff","QB","DET","118","101.2","-16.8","QB18","QB11","-7"
"Jayden Higgins","WR","HOU","119","144.7","25.7","WR52","WR53","1"
"Bhayshul Tuten","RB","JAX","120","158.7","38.7","RB36","RB47","11"
"Christian Kirk","WR","HOU","121","155.7","34.7","WR53","WR56","3"
"Chris Godwin","WR","TB","122","90.2","-31.8","WR54","WR41","-13"
"Tucker Kraft","TE","GB","123","112.8","-10.2","TE15","TE11","-4"
"Joe Mixon","RB","HOU","124","69.0","-55.0","RB37","RB26","-11"
"Quinshon Judkins","RB","CLE","125","98.7","-26.3","RB38","RB32","-6"
"C.J. Stroud","QB","HOU","126","131.0","5.0","QB19","QB16","-3"
"Luther Burden III","WR","CHI","127","171.2","44.2","WR55","WR60","5"
"Javonte Williams","RB","DAL","128","107.2","-20.8","RB39","RB35","-4"
"Jaydon Blue","RB","DAL","129","138.5","9.5","RB40","RB41","1"
"Trevor Lawrence","QB","JAX","130","159.5","29.5","QB20","QB20","0"
"Rachaad White","RB","TB","131","139.0","8.0","RB41","RB42","1"
"Keenan Allen","WR","LAC","132","159.0","27.0","WR56","WR58","2"
"Austin Ekeler","RB","WAS","133","141.8","8.8","RB42","RB45","3"
"Braelon Allen","RB","NYJ","134","170.5","36.5","RB43","RB52","9"
"Tyler Allgeier","RB","ATL","135","167.0","32.0","RB44","RB51","7"
"Tyjae Spears","RB","TEN","136","139.8","3.8","RB45","RB43","-2"
"Trey Benson","RB","ARI","137","159.2","22.2","RB46","RB49","3"
"Kyle Pitts","TE","ATL","138","134.0","-4.0","TE16","TE14","-2"
"Rashod Bateman","WR","BAL","139","171.5","32.5","WR57","WR61","4"
"Tank Bigsby","RB","JAX","140","139.8","-0.2","RB47","RB43","-4"
"Michael Penix Jr.","QB","ATL","141","181.2","40.2","QB21","QB24","3"
"Dylan Sampson","RB","CLE","142","183.8","41.8","RB48","RB55","7"
"Jacory Croskey-Merritt","RB","WAS","143","251.5","108.5","RB49","RB70","21"
"Cam Ward","QB","TEN","144","174.8","30.8","QB22","QB22","0"
"Romeo Doubs","WR","GB","145","202.6","57.6","WR58","WR69","11"
"Tua Tagovailoa","QB","MIA","146","167.0","21.0","QB23","QB21","-2"
"Brian Robinson","RB","WAS","147","82.3","-64.7","RB50","RB29","-21"
"Anthony Richardson","QB","IND","148","229.6","81.6","QB24","QB30","6"
"Marquise Brown","WR","KC","149","166.7","17.7","WR59","WR59","0"
"DEN DST","DST","DEN","150","111.8","-38.2","DST01","DST01","0"
"Bryce Young","QB","CAR","151","178.2","27.2","QB25","QB23","-2"
"Brandon Aubrey","K","DAL","152","111.7","-40.3","K01","K01","0"
"Zach Ertz","TE","WAS","153","155.2","2.2","TE17","TE18","1"
"Tre Harris","WR","LAC","154","158.2","4.2","WR60","WR57","-3"
"Marvin Mims Jr.","WR","DEN","155","155.3","0.3","WR61","WR55","-6"
"Matt Gay","K","WAS","156","215.4","59.4","K02","K15","13"
"Brenton Strange","TE","JAX","157","203.3","46.3","TE18","TE21","3"
"Kyle Williams","WR","NE","158","208.4","50.4","WR62","WR71","9"
"Ray Davis","RB","BUF","159","170.8","11.8","RB51","RB53","2"
"Cedric Tillman","WR","CLE","160","201.3","41.3","WR63","WR68","5"
"Wan'Dale Robinson","WR","NYG","161","195.8","34.8","WR64","WR66","2"
"Josh Palmer","WR","BUF","162","198.8","36.8","WR65","WR67","2"
"Najee Harris","RB","LAC","163","128.0","-35.0","RB52","RB40","-12"
"Roschon Johnson","RB","CHI","164","219.4","55.4","RB53","RB59","6"
"PIT DST","DST","PIT","165","135.7","-29.3","DST02","DST04","2"
"Isaac Guerendo","RB","SF","166","157.7","-8.3","RB54","RB46","-8"
"Geno Smith","QB","LV","167","199.2","32.2","QB26","QB27","1"
"Matthew Stafford","QB","LA","168","184.5","16.5","QB27","QB25","-2"
"HOU DST","DST","HOU","169","138.5","-30.5","DST03","DST05","2"
"PHI DST","DST","PHI","170","121.2","-48.8","DST04","DST02","-2"
"BUF DST","DST","BUF","171","138.5","-32.5","DST05","DST05","0"
"Cameron Dicker","K","LAC","172","134.2","-37.8","K03","K03","0"
"Jerome Ford","RB","CLE","173","163.7","-9.3","RB55","RB50","-5"
"BAL DST","DST","BAL","174","125.3","-48.7","DST06","DST03","-3"
"SF DST","DST","SF","175","166.5","-8.5","DST07","DST08","1"
"Chad Ryland","K","ARI","176","298.3","122.3","K04","K30","26"
"Jonnu Smith","TE","PIT","177","135.0","-42.0","TE19","TE16","-3"
"Brandon Aiyuk","WR","SF","178","131.0","-47.0","WR66","WR51","-15"
"MIN DST","DST","MIN","179","143.5","-35.5","DST08","DST07","-1"
"Jake Bates","K","DET","180","131.7","-48.3","K05","K02","-3"
"Ka'imi Fairbairn","K","HOU","181","166.0","-15.0","K06","K06","0"
"Chris Boswell","K","PIT","182","155.7","-26.3","K07","K05","-2"
"Adam Thielen","WR","CAR","183","174.5","-8.5","WR67","WR62","-5"
"KC DST","DST","KC","184","171.8","-12.2","DST09","DST10","1"
"Justice Hill","RB","BAL","185","212.6","27.6","RB56","RB58","2"
"Hunter Henry","TE","NE","186","168.5","-17.5","TE20","TE19","-1"
"Woody Marks","RB","HOU","187","270.5","83.5","RB57","RB78","21"
"DAL DST","DST","DAL","188","212.3","24.3","DST10","DST15","5"
"SEA DST","DST","SEA","189","195.7","6.7","DST11","DST12","1"
"Younghoe Koo","K","ATL","190","215.8","25.8","K08","K16","8"
"LAC DST","DST","LAC","191","206.2","15.2","DST12","DST14","2"
"NE DST","DST","NE","192","224.4","32.4","DST13","DST21","8"
"Will Reichard","K","MIN","193","238.5","45.5","K09","K20","11"
"LA DST","DST","LA","194","218.8","24.8","DST14","DST19","5"
"Chase McLaughlin","K","TB","195","143.5","-51.5","K10","K04","-6"
"NYG DST","DST","NYG","196","221.0","25.0","DST15","DST20","5"
"NYJ DST","DST","NYJ","197","229.2","32.2","DST16","DST23","7"
"Chig Okonkwo","TE","TEN","198","204.4","6.4","TE21","TE23","2"
"IND DST","DST","IND","199","255.5","56.5","DST17","DST26","9"
"Jake Elliott","K","PHI","200","171.5","-28.5","K11","K07","-4"
"Rico Dowdle","RB","CAR","201","183.2","-17.8","RB58","RB54","-4"
"CLE DST","DST","CLE","202","231.8","29.8","DST18","DST25","7"
"Mike Gesicki","TE","CIN","203","229.2","26.2","TE22","TE28","6"
"CHI DST","DST","CHI","204","214.0","10.0","DST19","DST16","-3"
"ARI DST","DST","ARI","205","218.3","13.3","DST20","DST18","-2"
"Brandon McManus","K","GB","206","231.6","25.6","K12","K18","6"
"DET DST","DST","DET","207","166.8","-40.2","DST21","DST09","-12"
"Spencer Shrader","K","IND","208","367.0","159.0","K13","K32","19"
"GB DST","DST","GB","209","196.7","-12.3","DST22","DST13","-9"
"JAX DST","DST","JAX","210","286.8","76.8","DST23","DST30","7"
"Daniel Carlson","K","LV","211","220.0","9.0","K14","K17","3"
"LV DST","DST","LV","212","263.3","51.3","DST24","DST27","3"
"Miles Sanders","RB","DAL","213","231.3","18.3","RB59","RB61","2"
"Jason Sanders","K","MIA","214","182.3","-31.7","K15","K09","-6"
"WAS DST","DST","WAS","215","216.8","1.8","DST25","DST17","-8"
"Harrison Butker","K","KC","216","176.2","-39.8","K16","K08","-8"
"Evan McPherson","K","CIN","217","211.3","-5.7","K17","K14","-3"
"Will Shipley","RB","PHI","218","256.3","38.3","RB60","RB72","12"
"Jalen McMillan","WR","TB","219","192.3","-26.8","WR68","WR65","-3"
"Isaiah Likely","TE","BAL","220","187.2","-32.8","TE23","TE20","-3"
"CAR DST","DST","CAR","221","297.0","76.0","DST26","DST32","6"
"Tahj Brooks","RB","CIN","222","296.3","74.3","RB61","RB85","24"
"CIN DST","DST","CIN","223","229.3","6.3","DST27","DST24","-3"
"Xavier Legette","WR","CAR","224","180.5","-43.5","WR69","WR63","-6"
"Demario Douglas","WR","NE","225","207.6","-17.4","WR70","WR70","0"
"NO DST","DST","NO","226","268.0","42.0","DST28","DST29","1"
"TB DST","DST","TB","227","195.2","-31.8","DST29","DST11","-18"
"MIA DST","DST","MIA","228","266.0","38.0","DST30","DST28","-2"
"Jake Moody","K","SF","229","244.3","15.3","K18","K24","6"
"Jaylen Wright","RB","MIA","230","184.5","-45.5","RB62","RB56","-6"
"Nick Chubb","RB","HOU","231","159.0","-72.0","RB63","RB48","-15"
"Tyler Loop","K","BAL","232","197.0","-35.0","K19","K12","-7"
"Joshua Karty","K","LA","233","247.3","14.3","K20","K25","5"
"TEN DST","DST","TEN","234","288.3","54.3","DST31","DST31","0"
"ATL DST","DST","ATL","235","228.0","-7.0","DST32","DST22","-10"
"Tyler Bass","K","BUF","236","185.5","-50.5","K21","K10","-11"
"Cade Otton","TE","TB","237","206.7","-30.3","TE24","TE24","0"
"Kareem Hunt","RB","KC","238","206.0","-32.0","RB64","RB57","-7"
"DJ Giddens","RB","IND","239","237.5","-1.5","RB65","RB63","-2"
"Wil Lutz","K","DEN","240","192.3","-47.7","K22","K11","-11"
