"Player","Team","Position","ETR Rank","ETR Pos Rank","ADP","ADP Pos Rank","ADP Differential","Notes"
"Christian McCaffrey","SF","RB","1","RB1","1.0","RB1","0.0",
"CeeDee Lamb","DAL","WR","2","WR1","2.0","WR1","0.0",
"Tyreek Hill","MIA","WR","3","WR2","3.0","WR2","0.0",
"Ja'Marr Chase","CIN","WR","4","WR3","6.3","WR4","2.3",
"Bijan Robinson","ATL","RB","5","RB2","5.3","RB2","0.3",
"Breece Hall","NYJ","RB","6","RB3","5.7","RB3","-0.3",
"Amon-Ra St. Brown","DET","WR","7","WR4","7.3","WR5","0.3",
"Justin Jefferson","MIN","WR","8","WR5","5.7","WR3","-2.3",
"A.J. Brown","PHI","WR","9","WR6","9.3","WR6","0.3",
"Puka Nacua","LAR","WR","10","WR7","12.7","WR7","2.7",
"Garrett Wilson","NYJ","WR","11","WR8","13.0","WR8","2.0",
"Drake London","ATL","WR","12","WR9","23.0","WR11","11.0","1.08-1.12 drafters should snag London, our overall WR9, on the comeback since it's unlikely he's available in the third round."
"Jahmyr Gibbs","DET","RB","13","RB4","11.3","RB5","-1.7",
"Jonathan Taylor","IND","RB","14","RB5","11.0","RB4","-3.0",
"Marvin Harrison Jr.","ARI","WR","15","WR10","17.0","WR9","2.0",
"Saquon Barkley","PHI","RB","16","RB6","11.3","RB5","-4.7",
"De'Von Achane","MIA","RB","17","RB7","22.7","RB10","5.7","A gift at the second/third-round turn if there."
"Kyren Williams","LAR","RB","18","RB8","16.3","RB7","-1.7",
"Deebo Samuel","SF","WR","19","WR11","28.3","WR13","9.3",
"Jaylen Waddle","MIA","WR","20","WR12","36.3","WR17","16.3","Do not be afraid to draft him in the early-third round."
"Derrick Henry","BAL","RB","21","RB9","20.0","RB9","-1.0",
"Davante Adams","LV","WR","22","WR13","17.7","WR10","-4.3",
"Chris Olave","NO","WR","23","WR14","24.0","WR12","1.0",
"Nico Collins","HOU","WR","24","WR15","29.7","WR14","5.7",
"Malik Nabers","NYG","WR","25","WR16","52.3","WR24","27.3","Projected to be drafted in the mid-fourth round, we suggest ""reaching"" for Nabers in the third."
"Mike Evans","TB","WR","26","WR17","30.7","WR15","4.7",
"Cooper Kupp","LAR","WR","27","WR18","38.0","WR19","11.0",
"Devonta Smith","PHI","WR","28","WR19","47.7","WR23","19.7","A top-30 player worth being ahead of at the third/fourth-round turn."
"Brandon Aiyuk","SF","WR","29","WR20","31.3","WR16","2.3",
"Isiah Pacheco","KC","RB","30","RB10","23.7","RB11","-6.3",
"Josh Allen","BUF","QB","31","QB1","21.7","QB1","-9.3",
"Jalen Hurts","PHI","QB","32","QB2","32.3","QB2","0.3",
"Travis Etienne","JAX","RB","33","RB11","18.0","RB8","-15.0","Much more palatable in the third round."
"DK Metcalf","SEA","WR","34","WR21","39.3","WR22","5.3",
"Josh Jacobs","GB","RB","35","RB12","25.0","RB12","-10.0",
"D.J. Moore","CHI","WR","36","WR22","39.0","WR21","3.0",
"Sam LaPorta","DET","TE","37","TE1","26.0","TE1","-11.0",
"Tee Higgins","CIN","WR","38","WR23","57.7","WR26","19.7",
"Stefon Diggs","HOU","WR","39","WR24","38.3","WR20","-0.7",
"Tank Dell","HOU","WR","40","WR25","65.0","WR29","25.0","A steal in the fifth round."
"Travis Kelce","KC","TE","41","TE2","27.0","TE2","-14.0",
"Lamar Jackson","BAL","QB","42","QB3","38.0","QB4","-4.0",
"James Cook","BUF","RB","43","RB13","38.7","RB14","-4.3",
"Rashee Rice","KC","WR","44","WR26","87.3","WR37","43.3","Begin eyeing Rice in the sixth round (well ahead of ADP)."
"Michael Pittman","IND","WR","45","WR27","36.3","WR17","-8.7",
"Christian Kirk","JAX","WR","46","WR28","72.7","WR32","26.7",
"Zay Flowers","BAL","WR","47","WR29","58.7","WR27","11.7",
"Rachaad White","TB","RB","48","RB14","34.7","RB13","-13.3",
"Patrick Mahomes","KC","QB","49","QB4","33.0","QB3","-16.0",
"Joe Mixon","HOU","RB","50","RB15","42.3","RB15","-7.7",
"Kenneth Walker","SEA","RB","51","RB16","46.3","RB16","-4.7",
"Amari Cooper","CLE","WR","52","WR30","54.7","WR25","2.7",
"George Pickens","PIT","WR","53","WR31","59.0","WR28","6.0",
"Keenan Allen","CHI","WR","54","WR32","69.0","WR30","15.0",
"Kyle Pitts","ATL","TE","55","TE3","62.0","TE7","7.0",
"Trey McBride","ARI","TE","56","TE4","47.3","TE3","-8.7",
"Dalton Kincaid","BUF","TE","57","TE5","51.7","TE5","-5.3",
"Mark Andrews","BAL","TE","58","TE6","47.7","TE4","-10.3",
"David Montgomery","DET","RB","59","RB17","60.7","RB21","1.7",
"George Kittle","SF","TE","60","TE7","61.7","TE6","1.7",
"Chris Godwin","TB","WR","61","WR33","76.0","WR33","15.0",
"Xavier Worthy","KC","WR","62","WR34","98.0","WR40","36.0",
"Terry McLaurin","WAS","WR","63","WR35","71.3","WR31","8.3",
"Rome Odunze","CHI","WR","64","WR36","98.3","WR42","34.3","We are confident in drafting Odunze a full round ahead of ADP."
"Anthony Richardson","IND","QB","65","QB5","49.7","QB6","-15.3",
"Jayden Reed","GB","WR","66","WR37","83.7","WR35","17.7",
"Najee Harris","PIT","RB","67","RB18","69.0","RB24","2.0",
"Alvin Kamara","NO","RB","68","RB19","46.7","RB17","-21.3",
"Brian Thomas","JAX","WR","69","WR38","130.3","WR50","61.3","Typically being forgotten until the 10th, Thomas can be drafted comfortably in the eighth/ninth round."
"D'Andre Swift","CHI","RB","70","RB20","65.3","RB22","-4.7",
"James Conner","ARI","RB","71","RB21","58.7","RB19","-12.3",
"Rhamondre Stevenson","NE","RB","72","RB22","59.3","RB20","-12.7",
"Evan Engram","JAX","TE","73","TE8","71.0","TE8","-2.0",
"Jaylen Warren","PIT","RB","74","RB23","87.0","RB28","13.0",
"C.J. Stroud","HOU","QB","75","QB6","46.3","QB5","-28.7","Stroud would have to win MVP to return value at his current cost. This ranking leaves room for his floor."
"Calvin Ridley","TEN","WR","76","WR39","83.3","WR34","7.3",
