"Name","Pos","Team","ETR Rank","ADP","ADP Delta","ETR Pos Rank","ADP Pos Rank","Pos ADP Delta"
"Saquon Barkley","RB","PHI","1","2.7","1.7","RB01","RB01","0"
"Ja'Marr Chase","WR","CIN","2","1.0","-1.0","WR01","WR01","0"
"Bijan Robinson","RB","ATL","3","2.7","-0.3","RB02","RB01","-1"
"Jahmyr Gibbs","RB","DET","4","4.3","0.3","RB03","RB03","0"
"CeeDee Lamb","WR","DAL","5","5.3","0.3","WR02","WR03","1"
"Justin Jefferson","WR","MIN","6","5.0","-1.0","WR03","WR02","-1"
"Christian McCaffrey","RB","SF","7","10.3","3.3","RB04","RB06","2"
"Ashton Jeanty","RB","LV","8","9.3","1.3","RB05","RB04","-1"
"Amon-Ra St. Brown","WR","DET","9","9.0","0.0","WR04","WR04","0"
"Nico Collins","WR","HOU","10","13.0","3.0","WR05","WR07","2"
"Malik Nabers","WR","NYG","11","10.7","-0.3","WR06","WR06","0"
"Derrick Henry","RB","BAL","12","9.7","-2.3","RB06","RB05","-1"
"Puka Nacua","WR","LA","13","9.0","-4.0","WR07","WR04","-3"
"Brian Thomas Jr.","WR","JAX","14","14.7","0.7","WR08","WR08","0"
"De'Von Achane","RB","MIA","15","14.7","-0.3","RB07","RB07","0"
"Brock Bowers","TE","LV","16","17.3","1.3","TE01","TE01","0"
"A.J. Brown","WR","PHI","17","21.7","4.7","WR09","WR10","1"
"Chase Brown","RB","CIN","18","24.3","6.3","RB08","RB11","3"
"Bucky Irving","RB","TB","19","18.3","-0.7","RB09","RB09","0"
"Drake London","WR","ATL","20","20.0","0.0","WR10","WR09","-1"
"Josh Jacobs","RB","GB","21","17.0","-4.0","RB10","RB08","-2"
"Ladd McConkey","WR","LAC","22","25.0","3.0","WR11","WR11","0"
"Jonathan Taylor","RB","IND","23","19.7","-3.3","RB11","RB10","-1"
"Tyreek Hill","WR","MIA","24","30.7","6.7","WR12","WR12","0"
"Trey McBride","TE","ARI","25","27.0","2.0","TE02","TE02","0"
"Tee Higgins","WR","CIN","26","32.7","6.7","WR13","WR14","1"
"Breece Hall","RB","NYJ","27","31.0","4.0","RB12","RB13","1"
"Omarion Hampton","RB","LAC","28","43.3","15.3","RB13","RB16","3"
"Kyren Williams","RB","LA","29","25.3","-3.7","RB14","RB12","-2"
"James Cook","RB","BUF","30","32.0","2.0","RB15","RB14","-1"
"George Kittle","TE","SF","31","36.3","5.3","TE03","TE03","0"
"Josh Allen","QB","BUF","32","21.3","-10.7","QB01","QB01","0"
"Lamar Jackson","QB","BAL","33","22.7","-10.3","QB02","QB02","0"
"Jayden Daniels","QB","WAS","34","28.0","-6.0","QB03","QB03","0"
"Mike Evans","WR","TB","35","40.7","5.7","WR14","WR19","5"
"Marvin Harrison Jr.","WR","ARI","36","39.0","3.0","WR15","WR17","2"
"Xavier Worthy","WR","KC","37","65.3","28.3","WR16","WR28","12"
"Davante Adams","WR","LA","38","39.3","1.3","WR17","WR18","1"
"Jaxon Smith-Njigba","WR","SEA","39","31.0","-8.0","WR18","WR13","-5"
"Terry McLaurin","WR","WAS","40","37.7","-2.3","WR19","WR16","-3"
"Kenneth Walker III","RB","SEA","41","44.0","3.0","RB16","RB18","2"
"Garrett Wilson","WR","NYJ","42","35.0","-7.0","WR20","WR15","-5"
"Tet McMillan","WR","CAR","43","64.7","21.7","WR21","WR27","6"
"DJ Moore","WR","CHI","44","49.3","5.3","WR22","WR21","-1"
"Jameson Williams","WR","DET","45","59.7","14.7","WR23","WR26","3"
"George Pickens","WR","DAL","46","70.0","24.0","WR24","WR30","6"
"Courtland Sutton","WR","DEN","47","53.0","6.0","WR25","WR23","-2"
"Chuba Hubbard","RB","CAR","48","43.3","-4.7","RB17","RB16","-1"
"Devonta Smith","WR","PHI","49","57.0","8.0","WR26","WR24","-2"
"Zay Flowers","WR","BAL","50","58.7","8.7","WR27","WR25","-2"
"Jalen Hurts","QB","PHI","51","36.3","-14.7","QB04","QB04","0"
"DK Metcalf","WR","PIT","52","51.3","-0.7","WR28","WR22","-6"
