"Full Name",Position,"3-Cone Drill","Broad Jump","Throw Velocity","Vertical Jump","Burst Score","40-Yard Dash","Agility Score",SPARQ-x,"Wonderlic Score","Breakout Age"
"A.J. McCarron",QB,7.18,99,-,28.0,98.5,4.94,11.52,84.0,-,21.0
"Aaron Murray",QB,-,-,-,-,-,4.89,-,-,-,19.8
"Aaron Rodgers",QB,7.39,110,-,34.5,115.4,4.71,11.71,99.5,39,19.8
"Alek Torgersen",QB,7.75,117,-,30.0,111.0,4.96,12.43,76.5,-,-
"Alex McGough",QB,7.27,112,-,32.5,112.9,4.67,11.77,91.9,-,21.8
"Alex Smith",QB,6.82,113,-,32.0,112.5,4.71,10.79,108.0,40,19.3
"Alex Tanney",QB,7.13,103,-,29.0,102.3,5.01,11.58,80.2,-,-
"Andrew Luck",QB,6.80,124,-,36.0,125.0,4.67,11.08,105.6,37,20.0
"Andy Dalton",QB,6.93,106,"56 mph",29.5,104.6,4.87,11.20,89.0,29,20.9
"Anthony Boone",QB,7.47,100,"56 mph",26.5,96.4,5.03,12.09,74.1,20,21.9
"Antonio Pipkin",QB,7.07,116,-,36.5,121.9,4.71,11.32,104.5,-,-
"Austin Allen",QB,7.18,112,"54 mph",29.5,107.6,4.81,11.66,83.6,-,22.0
"Austin Appleby",QB,7.13,113,-,30.0,109.0,4.91,11.53,88.2,-,23.3
"Austin Davis",QB,6.73,109,"58 mph",31.0,108.8,4.76,10.84,100.5,-,21.3
"Austin Dodge",QB,7.06,105,-,28.0,101.5,5.05,11.47,77.8,-,-
"Baker Mayfield",QB,7.00,111,"60 mph",29.0,106.3,4.84,11.28,89.0,25,18.4
"Bart Houston",QB,7.00,118,-,29.0,109.8,5.17,11.44,79.5,-,-
"Ben Roethlisberger",QB,-,-,-,-,-,4.80,-,-,25,19.5
"Blaine Gabbert",QB,6.84,120,-,33.5,118.6,4.62,11.10,105.2,42,19.9
"Blake Bortles",QB,7.08,115,"56 mph",32.5,114.4,4.93,11.29,95.5,28,20.7
