"Full Name",Position,"Breakout Year","College QBR","College YPA"
"A.J. McCarron",QB,2011,82.5,9.1
"Aaron Murray",QB,2010,87.1,10.1
"Aaron Rodgers",QB,2003,75.1,8.1
"Alek Torgersen",QB,-,-,9.2
"Alex McGough",QB,2017,60.5,7.9
"Alex Smith",QB,2003,84.5,9.3
"Alex Tanney",QB,-,-,9.8
"Andrew Luck",QB,2009,93.2,8.9
"Andy Dalton",QB,2008,81.2,9.0
"Anthony Boone",QB,2013,74.1,6.0
"Antonio Pipkin",QB,-,-,7.6
"Austin Allen",QB,2016,64.4,8.1
"Austin Appleby",QB,2016,53.2,6.9
"Austin Davis",QB,2010,61.8,7.4
"Austin Dodge",QB,2012,-,9.6
"Baker Mayfield",QB,2013,92.6,11.5
"Bart Houston",QB,-,-,8.8
"Ben Roethlisberger",QB,2001,-,9.1
"Blaine Gabbert",QB,2009,59.7,7.4
"Blake Bortles",QB,2012,79.1,9.4
"Bo Wallace",QB,2012,72.1,8.4
"Brad Kaaya",QB,2014,69.0,8.3
"Brady Gustafson",QB,-,-,8.5
"Brandon Allen",QB,2013,87.9,9.3
"Brandon Bridge",QB,-,33.3,6.3
"Brandon Doughty",QB,2014,83.8,9.4
"Brandon Silvers",QB,2015,59.6,7.4
"Brandon Weeden",QB,2010,81.9,8.4
"Brendon Kay",QB,2013,78.4,8.4
"Brett Hundley",QB,2012,82.3,8.0
"Brett Rypien",QB,2015,71.8,8.3
"Brett Smith",QB,2011,76.0,7.8
"Brian Hoyer",QB,-,50.2,7.0
"Brock Jensen",QB,2011,-,7.7
"Brock Osweiler",QB,2011,70.2,7.8
"Brogan Roback",QB,2016,55.8,7.2
"Bruce Gradkowski",QB,2003,68.7,8.1
"Bryan Bennett",QB,-,-,8.6
"Bryce Petty",QB,2013,86.6,9.7
"Bryn Renner",QB,2011,63.3,8.4
"C.J. Beathard",QB,2015,56.6,7.1
"Cam Newton",QB,2010,89.4,10.2
"Cardale Jones",QB,2015,51.6,8.3
"Carson Palmer",QB,2002,-,8.1
"Carson Wentz",QB,2014,-,7.9
"Case Keenum",QB,2007,81.4,9.3
"Chad Henne",QB,2005,62.8,7.3
"Chad Kanoff",QB,-,-,9.4
"Chad Kelly",QB,2015,84.2,8.6
"Chandler Harnish",QB,2008,79.8,8.4
"Charlie Whitehurst",QB,2005,73.2,7.3
"Chase Daniel",QB,2006,79.5,8.2
"Chase Litton",QB,2015,60.9,7.0
"Christian Hackenberg",QB,2013,55.1,7.3
"Christian Ponder",QB,2008,71.9,7.5
"Clayton Thorson",QB,2016,65.4,6.5
"Cody Fajardo",QB,2011,79.1,6.8
"Cody Kessler",QB,2013,75.1,8.2
"Cole Jaeschke",QB,2011,-,6.6
"Cole Stoudt",QB,-,41.4,6.3
"Colin Kaepernick",QB,2007,88.3,8.4
"Colt McCoy",QB,2006,86.9,8.2
"Connor Cook",QB,2013,78.6,8.2
"Connor Halliday",QB,2013,61.8,7.4
"Connor Shaw",QB,2011,83.0,8.6
"Cooper Rush",QB,2014,62.7,7.7
"Corey Robinson",QB,2010,64.9,7.6
"Dak Prescott",QB,2013,83.8,8.0
"Dan Orlovsky",QB,2002,56.6,7.3
"Daniel Jones",QB,2016,72.0,6.8
"Danny Etling",QB,2016,78.7,9.0
"David Blough",QB,2015,77.1,8.0
"David Fales",QB,2012,78.9,9.0
"Davis Webb",QB,2013,75.1,7.2
"DeShone Kizer",QB,2015,74.3,8.4
"Dennis Dixon",QB,2006,85.0,8.4
"Derek Anderson",QB,2002,58.5,7.0
"Derek Carr",QB,2011,77.0,7.7
"Deshaun Watson",QB,2015,85.3,8.1
"Devlin Hodges",QB,-,-,7.8
"Dillon Buechel",QB,-,-,7.9
"Dominique Davis",QB,2010,69.6,6.5
"Drew Anderson",QB,-,-,8.2
"Drew Brees",QB,1998,-,7.1
"Drew Lock",QB,2016,81.8,8.0
"Drew Stanton",QB,2004,77.4,7.8
"Dustin Vaughan",QB,2011,-,8.6
"Dwayne Haskins",QB,2018,86.3,9.1
"Dylan Thompson",QB,2014,75.5,7.9
"E.J. Manuel",QB,2011,72.5,8.8
"Easton Stick",QB,-,-,11.8
"Eli Manning",QB,2001,-,8.2
"Gardner Minshew",QB,2017,78.3,7.2
"Garrett Fugate",QB,-,-,8.6
"Garrett Gilbert",QB,2013,62.8,7.0
"Garrett Grayson",QB,2014,69.6,9.5
"Geno Smith",QB,2010,77.5,8.1
"Greg McElroy",QB,2009,76.7,9.5
"Gunner Kiel",QB,2014,70.2,7.3
"J.T. Barrett",QB,2014,84.9,8.6
"Jacob Dolegala",QB,-,-,7.3
"Jacoby Brissett",QB,2014,68.2,6.9
"Jake Browning",QB,2015,78.4,8.5
"Jake Coker",QB,2015,74.9,7.9
"Jake Locker",QB,2007,63.4,7.0
"Jake Rudock",QB,2013,81.3,7.8
"Jameis Winston",QB,2013,89.4,9.5
"James Franklin",QB,2011,76.3,7.6
"Jared Goff",QB,2013,82.2,8.9
"Jarrett Stidham",QB,2015,74.6,9.6
"Jason Campbell",QB,2004,83.3,10.0
