scenario,block,path,managed_ev,managed_p10,salary_spend,unused_salary,qb,rb,wr,te,roster
burden,4,9,1646.687087059021,1471.774462890625,268.0,30.0,1,6,4,2,Chase Brown | Christian Watson | Chuba Hubbard | D'Andre Swift | Derrick Henry | Emeka Egbuka | Harold Fannin Jr. | Jordan Mason | Lamar Jackson | Luther Burden III | Marvin Harrison Jr. | Travis Kelce | TreVeyon Henderson
loveland,2,2,1652.8109607696533,1464.5847778320312,269.0,29.0,1,6,4,2,Aaron Jones | Chase Brown | Colston Loveland | DJ Moore | DK Metcalf | David Montgomery | Emeka Egbuka | George Kittle | Jalen Hurts | Jaylen Warren | Kyren Williams | Rome Odunze | Tony Pollard
tuten,7,3,1655.3679990768433,1478.115380859375,266.0,32.0,1,6,5,1,Aaron Jones | Bhayshul Tuten | Chase Brown | Christian Watson | Emeka Egbuka | George Kittle | Jameson Williams | Jaylen Warren | Josh Allen | Makai Lemon | Michael Pittman | Omarion Hampton | Tony Pollard
