scenario,reference,paired_cells,paired_mean_delta,paired_p10_delta,paired_median_delta,paired_win_rate,positive_blocks,blocks,block_mean_se,block_lcb80
tuten,tuten,24576,0.0,0.0,0.0,0.0,0,8,0.0,0.0
burden,tuten,24576,-8.677336504062017,-154.09405517578125,-8.17083740234375,0.4688720703125,2,8,4.3652612951359915,-12.35123310014247
loveland,tuten,24576,-3.0846044719219208,-146.83978271484375,-1.9520263671875,0.4927571614583333,1,8,3.2250450877425916,-5.7988708969961085
