scenario,player,pos,fixed,paths_selected,avg_paid_salary,selection_rate
burden,A.J. Brown,WR,False,3,43.333333333333336,0.015625
burden,AJ Barner,TE,False,2,2.5,0.010416666666666666
burden,Aaron Jones,RB,False,14,4.142857142857143,0.07291666666666667
burden,Adonai Mitchell,WR,False,1,3.0,0.005208333333333333
burden,Alec Pierce,WR,False,38,8.394736842105264,0.19791666666666666
burden,Amon-Ra St. Brown,WR,False,2,82.5,0.010416666666666666
burden,Bhayshul Tuten,RB,False,24,28.708333333333332,0.125
burden,Bijan Robinson,RB,False,23,99.82608695652173,0.11979166666666667
burden,Blake Corum,RB,False,13,5.615384615384615,0.06770833333333333
burden,Bo Nix,QB,False,4,2.0,0.020833333333333332
burden,Breece Hall,RB,False,4,58.5,0.020833333333333332
burden,Brian Thomas Jr.,WR,False,19,9.631578947368421,0.09895833333333333
burden,Brock Purdy,QB,False,5,2.2,0.026041666666666668
burden,Bucky Irving,RB,False,26,35.76923076923077,0.13541666666666666
burden,Caleb Williams,QB,False,6,5.0,0.03125
burden,Carnell Tate,WR,False,19,14.526315789473685,0.09895833333333333
burden,Chase Brown,RB,True,192,34.0,1.0
burden,Chris Godwin Jr.,WR,False,9,4.444444444444445,0.046875
burden,Chris Olave,WR,False,5,40.4,0.026041666666666668
burden,Chris Rodriguez Jr.,RB,False,3,2.0,0.015625
burden,Christian Watson,WR,False,67,15.865671641791044,0.3489583333333333
burden,Chuba Hubbard,RB,False,39,8.897435897435898,0.203125
burden,Colston Loveland,TE,False,15,25.4,0.078125
burden,Courtland Sutton,WR,False,1,8.0,0.005208333333333333
burden,Cyrus Allen,WR,False,1,2.0,0.005208333333333333
burden,D'Andre Swift,RB,False,48,30.770833333333332,0.25
burden,DJ Moore,WR,False,10,21.8,0.052083333333333336
burden,DK Metcalf,WR,False,16,9.5,0.08333333333333333
burden,Dak Prescott,QB,False,19,6.052631578947368,0.09895833333333333
burden,Dallas Goedert,TE,False,8,3.625,0.041666666666666664
burden,Dalton Kincaid,TE,False,20,2.2,0.10416666666666667
burden,Davante Adams,WR,False,6,25.166666666666668,0.03125
burden,David Montgomery,RB,False,48,31.270833333333332,0.25
burden,De'Von Achane,RB,False,1,85.0,0.005208333333333333
burden,De'Zhaun Stribling,WR,False,4,3.0,0.020833333333333332
burden,DeVonta Smith,WR,False,6,32.5,0.03125
burden,Derrick Henry,RB,False,71,68.25352112676056,0.3697916666666667
burden,Drake London,WR,False,5,63.2,0.026041666666666668
burden,Drake Maye,QB,False,17,14.058823529411764,0.08854166666666667
burden,Emeka Egbuka,WR,False,37,32.567567567567565,0.19270833333333334
burden,George Kittle,TE,False,58,4.137931034482759,0.3020833333333333
burden,Harold Fannin Jr.,TE,False,81,8.728395061728396,0.421875
burden,Isaiah Likely,TE,False,10,2.0,0.052083333333333336
burden,J.K. Dobbins,RB,False,22,9.454545454545455,0.11458333333333333
burden,Jacory Croskey-Merritt,RB,False,17,6.588235294117647,0.08854166666666667
burden,Jadarian Price,RB,False,20,23.3,0.10416666666666667
burden,Jahmyr Gibbs,RB,False,3,106.0,0.015625
burden,Jake Ferguson,TE,False,11,2.3636363636363638,0.057291666666666664
burden,Jakobi Meyers,WR,False,8,3.75,0.041666666666666664
burden,Jalen Coker,WR,False,1,2.0,0.005208333333333333
burden,Jalen Hurts,QB,False,31,11.774193548387096,0.16145833333333334
burden,Jalen Nailor,WR,False,1,2.0,0.005208333333333333
burden,Jameson Williams,WR,False,97,21.50515463917526,0.5052083333333334
burden,Jared Goff,QB,False,2,2.0,0.010416666666666666
burden,Jauan Jennings,WR,False,2,2.0,0.010416666666666666
burden,Jaxson Dart,QB,False,4,2.75,0.020833333333333332
burden,Jayden Daniels,QB,False,7,9.142857142857142,0.036458333333333336
burden,Jayden Reed,WR,False,24,4.041666666666667,0.125
burden,Jaylen Waddle,WR,False,6,24.333333333333332,0.03125
burden,Jaylen Warren,RB,False,64,15.0625,0.3333333333333333
burden,Jeremiyah Love,RB,False,6,64.66666666666667,0.03125
burden,Joe Burrow,QB,False,4,7.5,0.020833333333333332
burden,Jonathan Taylor,RB,False,2,88.0,0.010416666666666666
burden,Jonathon Brooks,RB,False,23,11.478260869565217,0.11979166666666667
burden,Jordan Addison,WR,False,16,4.1875,0.08333333333333333
burden,Jordan James,RB,False,1,2.0,0.005208333333333333
burden,Jordan Mason,RB,False,27,7.962962962962963,0.140625
burden,Jordyn Tyson,WR,False,12,3.5833333333333335,0.0625
burden,Josh Allen,QB,False,44,35.36363636363637,0.22916666666666666
burden,Josh Downs,WR,False,7,3.0,0.036458333333333336
burden,Josh Jacobs,RB,False,24,52.625,0.125
burden,Justice Hill,RB,False,1,2.0,0.005208333333333333
burden,Justin Herbert,QB,False,3,3.0,0.015625
burden,KC Concepcion,WR,False,7,4.0,0.036458333333333336
burden,Kaelon Black,RB,False,1,2.0,0.005208333333333333
