scenario,managed_ev,managed_sd,score_cells,managed_p10,managed_p50,managed_p90,paths,completed_paths,avg_spend,avg_unused,avg_qb,avg_rb,avg_wr,avg_te,avg_replans,avg_bounded_swaps,unique_rosters,completion_rate,ev_delta_vs_tuten,p10_delta_vs_tuten
tuten,1655.8353869567316,145.38288436409894,24576,1469.357177734375,1653.94140625,1843.5916748046875,192,192,271.7760416666667,26.223958333333332,1.0,5.677083333333333,4.463541666666667,1.859375,15.333333333333334,10.453125,192,1.0,0.0,0.0
loveland,1652.7507824848096,146.311526759311,24576,1467.7549438476562,1647.902587890625,1843.4088134765625,192,192,269.0260416666667,28.973958333333332,1.0,5.9375,4.84375,1.21875,15.661458333333334,11.09375,192,1.0,-3.0846044719219208,-1.60223388671875
burden,1647.1580504526694,145.54928848970636,24576,1463.024658203125,1644.617919921875,1836.5956420898438,192,192,267.4947916666667,30.505208333333332,1.0,5.833333333333333,4.421875,1.7447916666666667,15.536458333333334,10.796875,192,1.0,-8.677336504062168,-6.33251953125
