league,method,match_rank,player,season_template,template_distance,template_sample_prob,historical_pred_fp_per_game,played_games,match_actual_target_share_profile,match_actual_air_yards_share_profile,match_actual_adot_profile,match_actual_red_zone_target_share_profile,match_actual_target_share_iqr_profile,match_actual_high_use_week_rate_profile
dk,production,1,Keenan Allen,2015,0.10974923795833964,0.043092441681998626,13.1525,8.0,0.8108273905375354,0.6716509470132659,0.2634000460087417,0.6941733215025141,0.7125603864734299,0.6800858829844337
dk,production,2,Terrelle Pryor,2017,0.25874208302515583,0.0326287923303868,13.376996722832896,8.0,0.8293135435992578,0.8698444412730126,0.7482517482517483,0.7710333145115754,0.4729794015508301,0.7127872127872128
dk,production,3,Ty Hilton,2014,0.3754495062030807,0.019861153796283164,13.54375,14.0,0.7575597617072619,0.8147952643088756,0.6378855289947968,0.5683019976498237,0.5329537742251715,0.6855817811628082
dk,production,4,Kenny Golladay,2019,0.3857857030181083,0.025767871183954138,13.226447591974608,15.0,0.7958553791887126,0.8630952380952381,0.6299970605526162,0.7839705204974665,0.7368012422360248,0.6695613833294992
dk,production,5,Chris Godwin,2019,0.3861324934211498,0.02574330174569907,13.148164196942776,14.0,0.5716458116093153,0.4620698644421272,0.5716458116093153,0.7052049746660525,0.5449542347352566,0.5590024330900243
dk,production,6,Greg Jennings,2008,0.388709561286949,0.013540723428609399,13.7375,15.0,0.5203139427516159,0.5914127423822715,0.5964912280701754,0.5654970760233918,0.43712351053071274,0.5031438244734644
dk,production,7,Stefon Diggs,2017,0.4236869875453758,0.020688145871319456,13.40803402562628,13.0,0.7583732057416268,0.715311004784689,0.3038277511961722,0.6227272727272728,0.7280701754385964,0.6332877648667122
dk,production,8,Zay Flowers,2025,0.43181767963332024,0.03211741224798167,12.626147990477588,15.0,0.7922880353941798,0.7253518440825355,0.49330638086883555,0.5014970059880239,0.7382035928143712,0.6699286776764941
dk,production,9,Brandin Cooks,2016,0.46619102411234475,0.017386175716510473,14.416875,14.0,0.6896282237356257,0.7712403706598192,0.6032153622864799,0.47379454926624737,0.4119869003758699,0.6120166722488929
dk,production,10,Torrey Smith,2013,0.48569076317620596,0.013864454560973075,13.525,15.0,0.6662525879917185,0.8211180124223603,0.848447204968944,0.6375000000000001,0.6837129054520359,0.6123533471359558
dk,production,11,Cooper Kupp,2020,0.49376511824546915,0.020322631566560143,14.191703013968334,15.0,0.757931638913234,0.5591586327782647,0.20420683610867657,0.8441717791411043,0.7287467134092901,0.6845749342681858
dk,production,12,Diontae Johnson,2021,0.5059385704560511,0.020831860094540945,14.375124660572371,14.0,0.7672322375397667,0.700424178154825,0.2757158006362672,0.4894094993581515,0.7489741343538199,0.686730600765365
dk,usage_depth_w100,1,Keenan Allen,2015,0.23085842544828394,0.04173205517643052,13.1525,8.0,0.8108273905375354,0.6716509470132659,0.2634000460087417,0.6941733215025141,0.7125603864734299,0.6800858829844337
dk,usage_depth_w100,2,Terrelle Pryor,2017,0.4897199998694269,0.02325751487369017,13.376996722832896,8.0,0.8293135435992578,0.8698444412730126,0.7482517482517483,0.7710333145115754,0.4729794015508301,0.7127872127872128
dk,usage_depth_w100,3,Stefon Diggs,2017,0.49835523004365057,0.02273265750483288,13.40803402562628,13.0,0.7583732057416268,0.715311004784689,0.3038277511961722,0.6227272727272728,0.7280701754385964,0.6332877648667122
