candidate_method,baseline_method,period,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better
asymmetric_add_w025,incumbent,recent_2020_2025,zero_brier_row,1080,6,0.00016493447281507102,-5.830059456321324e-05,0.0003898754625327806,0.08
asymmetric_add_w025,incumbent,recent_2020_2025,extended_absence_brier_row,1080,6,-3.8894719633982386e-05,-0.0004382778417607825,0.0004995476032176542,0.5955
asymmetric_add_w025,incumbent,temporal_2023_2025,ppg_crps,540,3,0.0017928555674030342,-0.001332612761873057,0.004765983753857705,0.1495
asymmetric_add_w025,incumbent,temporal_2023_2025,contribution_crps,540,3,0.0878049118122119,0.027734167804369284,0.14790380851266427,0.0
asymmetric_add_w025,incumbent,temporal_2023_2025,played_crps,540,3,-0.0008775716784456902,-0.004764385404940833,0.0026004054418064253,0.616
asymmetric_add_w025,incumbent,temporal_2023_2025,plus3_brier_row,540,3,0.0016222953025826822,-0.0005242576874320325,0.0029635922207616977,0.045
asymmetric_add_w025,incumbent,temporal_2023_2025,plus5_brier_row,540,3,0.0004783383898506992,-0.0011088923841582265,0.0014707688503284105,0.2685
asymmetric_add_w025,incumbent,temporal_2023_2025,impact_brier_row,540,3,0.0019681999709716047,0.0003693947132499449,0.004067993639425919,0.0
asymmetric_add_w025,incumbent,temporal_2023_2025,zero_brier_row,540,3,0.00042019195903900955,0.0002822544339434092,0.0005457761646803874,0.0
asymmetric_add_w025,incumbent,temporal_2023_2025,extended_absence_brier_row,540,3,0.0002941321890440748,-0.00022511639260870364,0.0012742502506634808,0.3125
bull_replace_symmetric_w075,incumbent,full_2017_2025,ppg_crps,1620,9,-0.0019132442635912865,-0.004288214669102831,0.0003707897000852346,0.9505
bull_replace_symmetric_w075,incumbent,full_2017_2025,contribution_crps,1620,9,0.0602842290275979,0.019656484228747228,0.09668141293580015,0.0035
bull_replace_symmetric_w075,incumbent,full_2017_2025,played_crps,1620,9,0.0018355831605380772,-0.005813223656336357,0.00837467158487838,0.3085
bull_replace_symmetric_w075,incumbent,full_2017_2025,plus3_brier_row,1620,9,0.000428253064252537,-0.0004911615021311655,0.0013678104807433673,0.1895
bull_replace_symmetric_w075,incumbent,full_2017_2025,plus5_brier_row,1620,9,0.00039816963846918554,-7.2005626068926e-05,0.0008094696965281751,0.0475
bull_replace_symmetric_w075,incumbent,full_2017_2025,impact_brier_row,1620,9,0.0015696947883596733,0.0008788655313389976,0.002281555049180158,0.0
bull_replace_symmetric_w075,incumbent,full_2017_2025,zero_brier_row,1620,9,0.0002401490422423973,-5.1963637822108935e-05,0.0005135284002553373,0.0495
bull_replace_symmetric_w075,incumbent,full_2017_2025,extended_absence_brier_row,1620,9,2.6055787434165883e-05,-0.0003163376889808425,0.0003701778991343953,0.4535
bull_replace_symmetric_w075,incumbent,recent_2020_2025,ppg_crps,1080,6,-0.001356026016724198,-0.003975271183609596,0.0013970713690153662,0.8415
bull_replace_symmetric_w075,incumbent,recent_2020_2025,contribution_crps,1080,6,0.04923894909312045,-0.008767536352480784,0.1017790852261863,0.039
bull_replace_symmetric_w075,incumbent,recent_2020_2025,played_crps,1080,6,-0.0013481430945236957,-0.009904893225723943,0.006442577196710954,0.6035
bull_replace_symmetric_w075,incumbent,recent_2020_2025,plus3_brier_row,1080,6,0.00043229771856374664,-0.0004422757365033248,0.0013586401448393733,0.1855
bull_replace_symmetric_w075,incumbent,recent_2020_2025,plus5_brier_row,1080,6,0.0003423121482710941,-0.00029978223994392655,0.0007887951050312764,0.1375
bull_replace_symmetric_w075,incumbent,recent_2020_2025,impact_brier_row,1080,6,0.0013475075975019105,0.0005661011802405364,0.0021690513895665947,0.0
bull_replace_symmetric_w075,incumbent,recent_2020_2025,zero_brier_row,1080,6,0.0003100365677500123,2.2851672481193458e-05,0.0006109718818098088,0.017
bull_replace_symmetric_w075,incumbent,recent_2020_2025,extended_absence_brier_row,1080,6,-9.287888478063954e-05,-0.00047309460249926594,0.0002635838566959403,0.6705
bull_replace_symmetric_w075,incumbent,temporal_2023_2025,ppg_crps,540,3,0.0005816032107491372,-0.003513856464225271,0.00399481925020572,0.3715
bull_replace_symmetric_w075,incumbent,temporal_2023_2025,contribution_crps,540,3,0.08191096724642412,-0.003897189836575728,0.1343185735338508,0.045
bull_replace_symmetric_w075,incumbent,temporal_2023_2025,played_crps,540,3,0.0022626609622228224,-0.011457112594679882,0.009547191143312423,0.2685
bull_replace_symmetric_w075,incumbent,temporal_2023_2025,plus3_brier_row,540,3,0.0009159267735614429,-0.00044739638429299827,0.002208261879607415,0.045
bull_replace_symmetric_w075,incumbent,temporal_2023_2025,plus5_brier_row,540,3,-0.00014932233263788744,-0.0011932433035341191,0.0004130089044594807,0.6875
bull_replace_symmetric_w075,incumbent,temporal_2023_2025,impact_brier_row,540,3,0.0014607560302427095,0.00031445230210432127,0.0029201360333085125,0.0
bull_replace_symmetric_w075,incumbent,temporal_2023_2025,zero_brier_row,540,3,0.0006182555313662323,0.0003610868041643777,0.0009746960082406863,0.0
bull_replace_symmetric_w075,incumbent,temporal_2023_2025,extended_absence_brier_row,540,3,-6.316029048403857e-05,-0.0003805431091250949,0.00034359520994899816,0.6285
