player,team,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Ja'Marr Chase,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,136.91,195.61,1706.29,13.89,322.32,1,12,
Jahmyr Gibbs,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,261.01,1279.18,12.6,60.16,82.36,504.98,3.5,304.48,1,18,
Saquon Barkley,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,326.41,1563.25,10.92,53.77,75.13,384.38,2.56,300.35,2,19,
Bijan Robinson,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,334.99,1543.6,11.46,48.87,65.6,356.96,2.4,296.65,3,21,
Christian McCaffrey,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,213.02,1003.43,6.92,85.73,116.09,782.13,5.34,293.96,4,22,
Justin Jefferson,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,116.75,179.06,1567.06,12.04,286.3,2,26,
De'Von Achane,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,264.62,1278.09,8.73,62.3,78.84,408.96,2.75,268.05,5,30,
CeeDee Lamb,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,4.51,22.89,0.17,115.84,169.64,1507.78,8.96,264.75,3,33,
Amon-Ra St. Brown,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,116.12,167.69,1348.03,10.9,257.82,4,38,
Puka Nacua,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,4.54,23.12,0.18,107.34,160.28,1359.39,8.65,244.56,5,40,
Brian Thomas Jr.,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,98.28,162.7,1399.48,8.07,237.51,6,41,
Nico Collins,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,98.34,156.23,1366.33,8.53,236.64,7,42,
Ladd McConkey,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,98.87,153.11,1346.46,8.64,234.9,8,44,
Malik Nabers,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,98.89,158.27,1407.67,7.08,232.01,9,45,
Drake London,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,100.33,155.8,1317.52,8.46,231.96,10,46,
Tyreek Hill,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,4.69,24.73,0.18,103.37,151.86,1226.31,8.36,227.69,11,47,
Jaxon Smith-Njigba,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,107.37,165.04,1264,7.65,225.65,12,48,
A.J. Brown,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,92.63,145.27,1283.04,8.39,224.28,13,49,
Derrick Henry,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,275.56,1323.61,12.56,7.9,10.43,75.35,0.48,219.55,6,50,
Marvin Harrison Jr.,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,94.37,154.93,1216.05,8.25,217.61,14,51,
Tee Higgins,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,94.66,146.69,1192.48,8.33,216.26,15,52,
Brock Bowers,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,114.45,160.88,1202.66,6.03,213.33,1,53,
Josh Jacobs,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,253.72,1058.24,9.6,31.9,44.01,266.47,1.61,211.98,7,54,
Mike Evans,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,82.61,132.55,1017.97,11.29,211.18,16,55,
Terry McLaurin,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,93.14,140.37,1149.75,7.67,207.35,17,56,
Ashton Jeanty,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,244.95,1085.54,7.46,34.76,45.13,263.1,1.33,202.52,8,57,
Chase Brown,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,227.75,994,7.33,40.78,52.18,285.85,1.95,202.12,9,58,
Breece Hall,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,231.48,1041.9,7.05,39.33,53.89,285.11,1.85,199.19,10,59,
