lock_version,model_run_id,forecast_origin,position,history_group,prior_rows,primary_rmse,projection_only_rmse,selected_source
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T192300Z_ddcb796e,2024,RB,limited_history,279,3.669701290609809,3.746234418590266,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T192300Z_ddcb796e,2024,WR,limited_history,369,3.027302619260258,3.0271226856866744,conditional_ppg_projection_only
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T192300Z_ddcb796e,2024,TE,limited_history,164,2.1421386956521293,2.1638954930649006,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T192300Z_ddcb796e,2025,QB,limited_history,84,5.361158899256378,5.326375490694612,conditional_ppg_projection_only
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T192300Z_ddcb796e,2025,RB,limited_history,313,3.619951918632735,3.69085119784402,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T192300Z_ddcb796e,2025,WR,limited_history,421,3.0310339167460283,3.0335477389922603,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T192300Z_ddcb796e,2025,TE,limited_history,189,2.216919239523253,2.2214085042241516,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T192300Z_ddcb796e,2026,QB,limited_history,97,5.21636019105009,5.180560006958565,conditional_ppg_projection_only
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T192300Z_ddcb796e,2026,RB,limited_history,349,3.5925821685560266,3.6488851978363224,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T192300Z_ddcb796e,2026,WR,limited_history,473,2.987327823537558,2.9760925036596904,conditional_ppg_projection_only
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T192300Z_ddcb796e,2026,TE,limited_history,206,2.2313420632093544,2.2491486971538395,conditional_ppg_primary_blend
