Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameHalfPointPPR,FantasyPointsHalfPointPpr
1,Jalen Hurts,PHI,QB,17,3893.1,23.4,11.7,642.4,10.4,0,0,0,0,0,0,0,20.2,343.36
2,Josh Allen,BUF,QB,17,3989.8,27.4,13.2,581.6,8.3,0,0,0,0,0,0,0,20.1,341.55
3,Patrick Mahomes,KC,QB,17,4497.4,33.5,11.4,348.5,1.7,0,0,0,0,0,0,0,19.4,329.95
4,Lamar Jackson,BAL,QB,17,3488.8,24.3,9.7,771.5,4.5,0,0,0,0,0,0,0,18.3,311.7
5,C.J. Stroud,HOU,QB,17,4451.4,32.2,10.2,170.6,2.1,0,0,0,0,0,0,0,18.2,309.32
6,Dak Prescott,DAL,QB,17,4373.3,31.5,11.5,221.8,1.9,0,0,0,0,0,0,0,17.8,302.91
7,Christian McCaffrey,SF,RB,17,0,0,0,1208.4,11,66.4,539.8,4.5,0,0,0,0,17.6,299.42
8,Joe Burrow,CIN,QB,17,4245.3,30.3,12,182.5,2.5,0,0,0,0,0,0,0,17.3,294.46
9,Anthony Richardson,IND,QB,17,3331.3,18.9,10.1,726.3,7.4,0,0,0,0,0,0,0,17.3,293.68
10,Jordan Love,GB,QB,17,4109.1,30.6,11.5,211.3,2.3,0,0,0,0,0,0,0,17.1,290.09
11,Jayden Daniels,WAS,QB,17,3634,20.9,12.9,609.4,4.7,0,0,0,0,0,0,0,16.7,283.1
12,CeeDee Lamb,DAL,WR,17,0,0,0,79.2,0.8,119,1528.4,9.5,0,0,0,0,16.5,280.86
13,Kyler Murray,ARI,QB,17,3610,21.5,11.4,509,5,0,0,0,0,0,0,0,16.5,280.7
14,Brock Purdy,SF,QB,17,4076.4,29.4,11,131.2,1.7,0,0,0,0,0,0,0,16.5,280.58
15,Jared Goff,DET,QB,17,4400.5,29.4,10.3,58.4,0.9,0,0,0,0,0,0,0,16.3,277.66
16,Caleb Williams,CHI,QB,17,3976.7,24.8,12.6,265.7,2.6,0,0,0,0,0,0,0,15.6,265.84
17,Trevor Lawrence,JAX,QB,17,3923.2,23.5,12.3,288.9,3.3,0,0,0,0,0,0,0,15.6,265.62
18,Tyreek Hill,MIA,WR,17,0,0,0,33.1,0.2,107.6,1515.8,9.3,0,0,0,0,15.6,264.69
19,Justin Herbert,LAC,QB,17,3737,24.3,8.4,236.3,2.6,0,0,0,0,0,0,0,15.5,263.31
20,Deshaun Watson,CLE,QB,17,3639.5,23.1,13.2,391.2,3,0,0,0,0,0,0,0,15.3,259.5
21,Breece Hall,NYJ,RB,17,0,0,0,1137.3,8.4,59.9,479.9,3.1,0,0,0,0,15.2,258.07
22,Tua Tagovailoa,MIA,QB,17,4153,27.4,12.2,80.3,0.7,0,0,0,0,0,0,0,15,254.75
23,Bijan Robinson,ATL,RB,17,0,0,0,1096.6,7.6,60.4,492.1,3.5,0,0,0,0,14.8,251.67
24,Geno Smith,SEA,QB,17,3795.8,24.6,10.9,177.3,1.2,0,0,0,0,0,0,0,14.6,247.36
25,Baker Mayfield,TB,QB,17,3878.6,25.1,11.5,151.5,1.4,0,0,0,0,0,0,0,14.5,247.29
26,Justin Jefferson,MIN,WR,17,0,0,0,9.5,0.1,104.5,1454.5,7.3,0,0,0,0,14.2,241.85
27,Kirk Cousins,ATL,QB,17,3866.2,25.9,10.5,71.9,1,0,0,0,0,0,0,0,14.2,241.04
28,Ja'Marr Chase,CIN,WR,17,0,0,0,14.1,0,103.4,1339.2,9.1,0,0,0,0,14.2,241.03
29,Amon-Ra St. Brown,DET,WR,17,0,0,0,34,0.1,111.7,1333.4,8.1,0,0,0,0,14.2,240.79
30,Aaron Rodgers,NYJ,QB,17,3706.7,24.9,8.7,79.8,1.1,0,0,0,0,0,0,0,14.1,239.65
31,Matthew Stafford,LAR,QB,17,3866,25.9,12.2,48.8,0.4,0,0,0,0,0,0,0,13.9,236.12
32,Will Levis,TEN,QB,17,3702.6,21.4,11,177,2,0,0,0,0,0,0,0,13.8,234
33,Saquon Barkley,PHI,RB,17,0,0,0,1144.5,8.6,45.2,333.9,2.5,0,0,0,0,13.8,233.84
34,Daniel Jones,NYG,QB,17,3226.6,17,10.7,480.3,3.4,0,0,0,0,0,0,0,13.7,233.29
35,Jonathan Taylor,IND,RB,17,0,0,0,1235.4,10.1,34.3,267.8,1.3,0,0,0,0,13.7,233.27
36,Derek Carr,NO,QB,17,3847.3,23.9,10.1,74.8,0.6,0,0,0,0,0,0,0,13.6,231.57
37,Puka Nacua,LAR,WR,17,0,0,0,65.8,0.3,94.8,1305.8,7,0,0,0,0,13.4,227.76
38,A.J. Brown,PHI,WR,17,0,0,0,1.8,0,89,1298.6,8.1,0,0,0,0,13,221.34
39,Jahmyr Gibbs,DET,RB,17,0,0,0,953.1,8.1,54.9,397.5,2.1,0,0,0,0,13,220.51
40,Garrett Wilson,NYJ,WR,17,0,0,0,20.5,0.1,95.1,1230.3,8,0,0,0,0,12.9,219.43
41,J.J. McCarthy,MIN,QB,17,3432.6,20.3,12.2,207.4,1.9,0,0,0,0,0,0,0,12.9,218.64
42,Kyren Williams,LAR,RB,17,0,0,0,1068,9.6,37.5,272.2,2.1,0,0,0,0,12.8,217.37
43,Bryce Young,CAR,QB,17,3398.9,19,10.9,254.3,1.7,0,0,0,0,0,0,0,12.7,216.39
44,Travis Etienne Jr.,JAX,RB,17,0,0,0,992.5,8.1,47.2,368,1.6,0,0,0,0,12.7,215.45
45,Bo Nix,DEN,QB,17,3202.5,19.1,11,221.4,2,0,0,0,0,0,0,0,12.6,214.84
46,Derrick Henry,BAL,RB,17,0,0,0,1141.4,11.2,21.5,170.3,0.8,0,0,0,0,12.4,211.52
47,Isiah Pacheco,KC,RB,17,0,0,0,1007,8.4,42.6,290.8,1.9,0,0,0,0,12.3,209.88
48,Drake Maye,NE,QB,17,3205.3,18.7,11.7,228.9,2.2,0,0,0,0,0,0,0,12.2,207.7
49,Josh Jacobs,GB,RB,17,0,0,0,1025.6,8.5,36.7,275.5,1.3,0,0,0,0,12,204.66
50,Chris Olave,NO,WR,17,0,0,0,1.4,0,87.7,1204.3,6.3,0,0,0,0,11.9,201.82
51,De'Von Achane,MIA,RB,17,0,0,0,856.4,7.3,44.6,350.4,2.6,0,0,0,0,11.8,200.18
52,Russell Wilson,PIT,QB,17,2775.3,18,8,254.1,2.1,0,0,0,0,0,0,0,11.7,199.22
53,Davante Adams,LV,WR,17,0,0,0,1.4,0,92.9,1131.9,6.6,0,0,0,0,11.7,198.98
54,Rachaad White,TB,RB,17,0,0,0,872,6.2,51,389.8,2.1,0,0,0,0,11.7,198.28
55,Mike Evans,TB,WR,17,0,0,0,1.6,0,71.3,1085.6,8.6,0,0,0,0,11.5,195.77
56,Marvin Harrison Jr.,ARI,WR,17,0,0,0,4.2,0,84.2,1156,6.6,0,0,0,0,11.5,195.72
57,Deebo Samuel Sr.,SF,WR,17,0,0,0,207,3,63.2,920.4,5.6,0,0,0,0,11.5,194.94
58,Joe Mixon,HOU,RB,17,0,0,0,930.6,7.3,39.9,294.5,1.8,0,0,0,0,11.5,194.66
