Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameHalfPointPPR,FantasyPointsHalfPointPpr
1349,Noah Igbinoghene,MIA,CB,17,0,0,0,0,0,0,0,0,0,0.2,0.4,0.2,1,16.7
1350,Jaylinn Hawkins,ATL,S,17,0,0,0,0,0,0,0,0,0.5,0.2,0.2,0.1,1,16.55
1351,Jordan Kunaszyk,WAS,LB,17,0,0,0,0,0,0,0,0,0.8,0.1,0.2,0.1,1,16.46
1352,Cam Brown,NYG,ILB,17,0,0,0,0,0,0,0,0,0.4,0.1,0.2,0.1,1,16.38
1353,Isaiah Buggs,PIT,DT,17,0,0,0,0,0,0,0,0,0.3,0.1,0.3,0.1,1,16.36
1353,Ray-Ray McCloud,PIT,WR,17,0,0,0,7,0,10.2,89.6,0.3,0,0,0,0,1,16.36
1355,Margus Hunt,ARI,DE,17,0,0,0,0,0,0,0,0,0.6,0.1,0.5,0.2,1,16.32
1356,Nick Vannett,NO,TE,17,0,0,0,0,0,8.1,79.6,0.7,0,0,0,0,1,16.21
1357,Chase Hansen,NO,LB,17,0,0,0,0,0,0,0,0,0.2,0.1,0.1,0.1,0.9,16.14
1358,Ben Banogu,IND,DE,17,0,0,0,0,0,0,0,0,1.1,0.1,0.2,0.1,0.9,16.12
1359,Jacoby Brissett,MIA,QB,17,215.2,0.8,0.8,17,0.8,0,0,0,0,0,0,0,0.9,16.11
1360,Keith Taylor,CAR,CB,17,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.2,0.9,16.07
1361,Alec Ingold,LV,FB,17,0,0,0,13.1,0,9.4,76.9,0.4,0,0,0,0,0.9,15.9
1362,Henry Mondeaux,PIT,DL,17,0,0,0,0,0,0,0,0,0.8,0.1,0.2,0.1,0.9,15.86
1363,Chris Westry,BAL,CB,17,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.1,0.9,15.82
1364,Jordan Matthews,SF,TE,17,0,0,0,0,0,12,98,0,0,0,0,0,0.9,15.8
1365,Cameron Malveaux,CLE,DE,17,0,0,0,0,0,0,0,0,0.7,0.1,0.1,0.1,0.9,15.79
1366,Rachad Wildgoose,BUF,CB,17,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.2,0.9,15.77
1367,Lawrence White IV,TB,S,17,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.2,0.9,15.72
