Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameHalfPointPPR,FantasyPointsHalfPointPpr
1,Aaron Rodgers,GB,QB,16,4060,32,9,297,2,0,0,0,0,0,0,0,19.6,314.1
2,Todd Gurley II,LAR,RB,16,0,0,0,1285,11,66,676,3,0,0,0,0,19.2,307.1
3,Russell Wilson,SEA,QB,16,3901,27,12,464,3,0,0,0,0,0,0,0,19,304.44
4,Tom Brady,NE,QB,16,4422,31,8,47,1,0,0,0,0,0,0,0,18.5,295.58
5,Cam Newton,CAR,QB,16,3542,23,14,532,5,0,0,0,0,0,0,0,18.1,288.88
6,Le'Veon Bell,PIT,RB,16,0,0,0,1252,8,78,618,3,0,0,0,0,18,288
7,David Johnson,ARI,RB,16,0,0,0,1106,9,72,719,3,0,0,0,0,17.8,284.5
8,Deshaun Watson,HOU,QB,16,3818,25,17,463,3,0,0,0,0,0,0,0,17.7,283.02
9,Ezekiel Elliott,DAL,RB,16,0,0,0,1407,11,47,439,2,0,0,0,0,17.6,282.1
10,Andrew Luck,IND,QB,16,3984,26,14,287,3,0,0,0,0,0,0,0,17.6,282.06
11,Drew Brees,NO,QB,16,4484,28,11,49,1,0,0,0,0,0,0,0,17.5,280.26
12,Matthew Stafford,DET,QB,16,4178,27,12,140,2,0,0,0,0,0,0,0,17.3,277.12
13,Jimmy Garoppolo,SF,QB,16,4251,26,11,119,2,0,0,0,0,0,0,0,17.2,275.94
14,Ben Roethlisberger,PIT,QB,16,4392,30,15,40,1,0,0,0,0,0,0,0,17.2,275.68
15,Jared Goff,LAR,QB,16,4098,29,9,57,1,0,0,0,0,0,0,0,17.1,273.62
16,Kirk Cousins,MIN,QB,16,4050,27,12,151,2,0,0,0,0,0,0,0,17.1,273.1
17,Alex Smith,WAS,QB,16,3976,23,8,245,2,0,0,0,0,0,0,0,17,271.54
18,Matt Ryan,ATL,QB,16,4201,28,11,116,0,0,0,0,0,0,0,0,16.9,269.64
19,Antonio Brown,PIT,WR,16,0,0,0,5,0,108,1548,10,0,0,0,0,16.8,269.3
20,Marcus Mariota,TEN,QB,16,3655,24,13,344,3,0,0,0,0,0,0,0,16.8,268.6
21,Carson Wentz,PHI,QB,16,3652,27,10,225,2,0,0,0,0,0,0,0,16.8,268.58
22,Dak Prescott,DAL,QB,16,3482,22,11,348,4,0,0,0,0,0,0,0,16.5,264.08
23,Philip Rivers,LAC,QB,16,4336,28,13,20,0,0,0,0,0,0,0,0,16.3,261.44
24,Patrick Mahomes,KC,QB,16,3949,24,14,207,2,0,0,0,0,0,0,0,16.2,258.66
25,Alvin Kamara,NO,RB,16,0,0,0,824,7,74,711,4,0,0,0,0,15.9,254.5
26,Leonard Fournette,JAX,RB,16,0,0,0,1234,11,42,344,1,0,0,0,0,15.6,248.8
27,Blake Bortles,JAX,QB,16,3651,22,14,307,2,0,0,0,0,0,0,0,15.5,248.74
28,Andy Dalton,CIN,QB,16,3697,25,12,120,2,0,0,0,0,0,0,0,15.5,247.88
29,Case Keenum,DEN,QB,16,3964,24,13,116,1,0,0,0,0,0,0,0,15.4,246.16
30,Kareem Hunt,KC,RB,16,0,0,0,1183,9,50,399,2,0,0,0,0,15.3,245.2
31,Mitchell Trubisky,CHI,QB,16,3470,21,15,337,3,0,0,0,0,0,0,0,15.3,244.5
32,Eli Manning,NYG,QB,16,3993,26,14,25,1,0,0,0,0,0,0,0,15.3,244.22
33,Odell Beckham Jr.,NYG,WR,16,0,0,0,14,0,94,1290,11,0,0,0,0,15.2,243.4
34,Derek Carr,LV,QB,16,3935,25,12,85,0,0,0,0,0,0,0,0,15.1,241.9
35,Ryan Tannehill,MIA,QB,16,3938,23,14,139,1,0,0,0,0,0,0,0,15.1,241.42
36,DeAndre Hopkins,HOU,WR,16,0,0,0,0,0,95,1297,11,0,0,0,0,15.1,241.2
37,Saquon Barkley,NYG,RB,16,0,0,0,1075,7,58,523,2,0,0,0,0,14.9,238.8
38,Melvin Gordon III,LAC,RB,16,0,0,0,1069,7,55,458,3,0,0,0,0,14.9,238.2
39,Julio Jones,ATL,WR,16,0,0,0,5,0,96,1502,6,0,0,0,0,14.7,234.7
40,Dalvin Cook,MIN,RB,16,0,0,0,1118,7,54,429,2,0,0,0,0,14.5,231.7
41,Davante Adams,GB,WR,16,0,0,0,6,0,91,1133,12,0,0,0,0,14.5,231.4
42,Michael Thomas,NO,WR,16,0,0,0,4,0,99,1238,9,0,0,0,0,14.2,227.7
43,Jameis Winston,TB,QB,16,3453,21,12,148,2,0,0,0,0,0,0,0,14.1,224.92
44,Keenan Allen,LAC,WR,16,0,0,0,5,0,94,1223,8,0,0,0,0,13.6,217.8
45,Christian McCaffrey,CAR,RB,16,0,0,0,708,4,74,638,4,0,0,0,0,13.6,217.6
46,A.J. Green,CIN,WR,16,0,0,0,0,0,83,1213,9,0,0,0,0,13.4,214.8
47,Mike Evans,TB,WR,16,0,0,0,0,0,80,1174,9,0,0,0,0,13.2,211.4
48,Devonta Freeman,ATL,RB,16,0,0,0,959,8,44,368,2,0,0,0,0,13.2,210.7
48,Rob Gronkowski,NE,TE,16,0,0,0,0,0,76,1187,9,0,0,0,0,13.2,210.7
50,Tyreek Hill,KC,WR,16,0,0,0,102,1,73,1133,7,0,0,0,0,13,208
51,Joe Flacco,BAL,QB,16,3423,21,13,70,1,0,0,0,0,0,0,0,13,207.92
52,LeSean McCoy,BUF,RB,16,0,0,0,962,6,48,365,2,0,0,0,0,12.7,202.7
53,Joe Mixon,CIN,RB,16,0,0,0,961,7,42,355,2,0,0,0,0,12.7,202.6
54,T.Y. Hilton,IND,WR,16,0,0,0,0,0,78,1233,7,0,0,0,0,12.6,202.3
55,Jordan Howard,CHI,RB,16,0,0,0,1160,8,29,191,1,0,0,0,0,12.6,201.6
56,Stefon Diggs,MIN,WR,16,0,0,0,19,0,78,1102,8,0,0,0,0,12.4,199.1
57,Adam Thielen,MIN,WR,16,0,0,0,4,0,86,1154,6,0,0,0,0,12,192.8
58,JuJu Smith-Schuster,PIT,WR,16,0,0,0,2,0,67,1023,9,0,0,0,0,11.9,190
59,Baker Mayfield,CLE,QB,16,2805,16,7,152,2,0,0,0,0,0,0,0,11.8,189.4
60,Kenyan Drake,MIA,RB,16,0,0,0,893,6,46,389,1,0,0,0,0,11.8,189.2
61,Larry Fitzgerald,ARI,WR,16,0,0,0,0,0,95,991,7,0,0,0,0,11.7,186.6
62,Doug Baldwin,SEA,WR,16,0,0,0,8,0,85,1006,7,0,0,0,0,11.6,185.9
63,Amari Cooper,LV,WR,16,0,0,0,5,0,75,994,7,0,0,0,0,11.2,179.4
64,Chris Hogan,NE,WR,16,0,0,0,18,0,71,915,8,0,0,0,0,11,176.8
65,Marvin Jones Jr.,DET,WR,16,0,0,0,1,0,68,1005,7,0,0,0,0,11,176.6
66,Derrick Henry,TEN,RB,16,0,0,0,950,7,24,232,1,0,0,0,0,11,176.2
66,Golden Tate,DET,WR,16,0,0,0,19,0,90,953,6,0,0,0,0,11,176.2
68,Sam Darnold,NYJ,QB,16,2954,16,12,118,1,0,0,0,0,0,0,0,11,175.96
69,Alex Collins,BAL,RB,16,0,0,0,994,6,31,248,1,0,0,0,0,11,175.7
70,Allen Robinson II,CHI,WR,16,0,0,0,0,0,72,970,7,0,0,0,0,10.9,175
71,Lamar Miller,HOU,RB,16,0,0,0,917,5,36,296,1,0,0,0,0,10.8,173.3
72,Travis Kelce,KC,TE,16,0,0,0,7,0,81,1008,5,0,0,0,0,10.8,172
73,Zach Ertz,PHI,TE,16,0,0,0,0,0,81,887,7,0,0,0,0,10.7,171.2
74,Josh Gordon,CLE,WR,16,0,0,0,6,0,66,955,7,0,0,0,0,10.7,171.1
75,Corey Davis,TEN,WR,16,0,0,0,0,0,73,939,7,0,0,0,0,10.6,170.4
76,Jay Ajayi,PHI,RB,16,0,0,0,992,6,26,188,1,0,0,0,0,10.6,169
77,Jarvis Landry,CLE,WR,16,0,0,0,4,0,85,932,6,0,0,0,0,10.5,168.1
78,Emmanuel Sanders,DEN,WR,16,0,0,0,1,0,71,949,6,0,0,0,0,10.4,166.5
