rank,id,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_ppr_per_gp,fpts_ppr
1,21831,Jalen Hurts,PHI,QB,17,3877.2,24.0,12.1,615.3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,346.2
2,19801,Josh Allen,BUF,QB,17,3981.2,27.6,14.1,573.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,344.8
3,18877,Christian McCaffrey,SF,RB,17,0.0,0.0,0.0,1231.7,10.8,66.1,540.1,5.0,0.0,0.0,0.0,0.0,19.7,335.1
4,21679,CeeDee Lamb,DAL,WR,17,0.0,0.0,0.0,81.7,0.9,117.9,1515.2,8.5,0.0,0.0,0.0,0.0,19.6,332.4
5,18890,Patrick Mahomes,KC,QB,17,4442.3,33.2,12.0,361.4,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,326.4
6,19781,Lamar Jackson,BAL,QB,17,3499.3,24.5,9.9,803.2,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,317.7
7,18082,Tyreek Hill,MIA,WR,17,0.0,0.0,0.0,28.6,0.2,108.6,1534.8,8.7,0.0,0.0,0.0,0.0,18.6,316.9
8,23239,C.J. Stroud,HOU,QB,17,4417.5,29.9,9.4,176.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,304.8
9,18055,Dak Prescott,DAL,QB,17,4295.0,31.6,12.4,221.7,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,300.0
10,24117,Anthony Richardson,IND,QB,17,3417.5,19.2,9.9,663.5,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,298.4
11,22526,Breece Hall,NYJ,RB,17,0.0,0.0,0.0,1077.6,8.5,64.6,524.4,3.8,0.0,0.0,0.0,0.0,17.4,295.8
12,21693,Joe Burrow,CIN,QB,17,4230.8,30.1,12.0,196.9,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,293.7
13,22587,Amon-Ra St. Brown,DET,WR,17,0.0,0.0,0.0,31.6,0.1,111.2,1346.7,7.3,0.0,0.0,0.0,0.0,17.2,292.0
14,21841,Jordan Love,GB,QB,17,4019.4,30.3,11.4,218.1,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,289.6
