Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameHalfPointPPR,FantasyPointsHalfPointPpr
1,Christian McCaffrey,CAR,RB,16,0,0,0,1218,13,108,887,4,0,0,0,0,22.9,366.5
2,Lamar Jackson,BAL,QB,16,3384,29,10,1005,5,0,0,0,0,0,0,0,21.7,347.86
3,Patrick Mahomes,KC,QB,16,4765,36,11,258,2,0,0,0,0,0,0,0,21.4,342.4
4,Dak Prescott,DAL,QB,16,4664,27,11,292,5,0,0,0,0,0,0,0,20.1,321.76
5,Russell Wilson,SEA,QB,16,4004,31,8,367,2,0,0,0,0,0,0,0,19.2,306.86
6,Deshaun Watson,HOU,QB,16,3733,25,12,509,6,0,0,0,0,0,0,0,18.8,300.22
7,Kyler Murray,ARI,QB,16,4093,25,13,515,3,0,0,0,0,0,0,0,18.7,299.22
8,Josh Allen,BUF,QB,16,3388,21,11,485,9,0,0,0,0,0,0,0,18,288.02
9,Carson Wentz,PHI,QB,16,4151,29,9,210,2,0,0,0,0,0,0,0,17.7,283.04
10,Drew Brees,NO,QB,16,4286,32,9,23,1,0,0,0,0,0,0,0,17.6,281.74
11,Tom Brady,TB,QB,16,4488,27,8,22,2,0,0,0,0,0,0,0,17.5,279.72
12,Aaron Rodgers,GB,QB,16,4202,26,5,194,1,0,0,0,0,0,0,0,17.5,279.48
13,Saquon Barkley,NYG,RB,16,0,0,0,1174,10,61,494,3,0,0,0,0,17.2,275.3
14,Matt Ryan,ATL,QB,16,4587,27,13,126,1,0,0,0,0,0,0,0,17.1,274.08
15,Ezekiel Elliott,DAL,RB,16,0,0,0,1357,10,55,429,2,0,0,0,0,17,272.1
16,Cam Newton,NE,QB,16,3557,20,12,489,6,0,0,0,0,0,0,0,16.8,269.18
17,Gardner Minshew II,JAX,QB,16,3774,24,10,351,1,0,0,0,0,0,0,0,16.8,268.06
18,Michael Thomas,NO,WR,16,0,0,0,0,0,144,1378,9,0,0,0,0,16.5,263.8
19,Dalvin Cook,MIN,RB,15,0,0,0,1124,11,58,548,1,0,0,0,0,17.5,262.2
