Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameHalfPointPPR,FantasyPointsHalfPointPpr
1,Patrick Mahomes,KC,QB,16,4722,36,12,267,2,0,0,0,0,0,0,0,21.7,347.58
2,Deshaun Watson,HOU,QB,16,4027,26,11,491,4,0,0,0,0,0,0,0,19.8,316.18
3,Saquon Barkley,NYG,RB,16,0,0,0,1265,10,82,650,3,0,0,0,0,19.2,306.5
4,Aaron Rodgers,GB,QB,16,4149,29,7,291,1,0,0,0,0,0,0,0,18.9,303.06
5,Matt Ryan,ATL,QB,16,4606,29,10,129,1,0,0,0,0,0,0,0,18.7,299.14
6,Carson Wentz,PHI,QB,16,4319,31,11,167,1,0,0,0,0,0,0,0,18.6,297.46
7,Baker Mayfield,CLE,QB,16,4626,30,15,149,1,0,0,0,0,0,0,0,18.5,295.94
8,Christian McCaffrey,CAR,RB,16,0,0,0,975,7,94,804,5,0,0,0,0,18.4,294.9
9,Jared Goff,LAR,QB,16,4417,31,11,93,1,0,0,0,0,0,0,0,18.4,293.98
10,Cam Newton,CAR,QB,16,3787,24,15,521,4,0,0,0,0,0,0,0,18.3,293.58
11,Russell Wilson,SEA,QB,16,3679,29,10,376,2,0,0,0,0,0,0,0,18.3,292.76
11,Drew Brees,NO,QB,16,4414,30,9,22,2,0,0,0,0,0,0,0,18.3,292.76
13,Jameis Winston,TB,QB,16,4494,27,17,296,1,0,0,0,0,0,0,0,18.1,289.36
14,Dak Prescott,DAL,QB,16,3988,24,11,232,5,0,0,0,0,0,0,0,17.9,286.72
15,Alvin Kamara,NO,RB,16,0,0,0,885,9,86,754,4,0,0,0,0,17.7,282.9
16,Tom Brady,NE,QB,16,4380,29,9,29,1,0,0,0,0,0,0,0,17.6,282.1
17,Lamar Jackson,BAL,QB,16,2934,15,13,873,7,0,0,0,0,0,0,0,17.5,280.66
18,Mitchell Trubisky,CHI,QB,16,3776,24,13,415,3,0,0,0,0,0,0,0,17.5,280.54
19,Kyler Murray,ARI,QB,16,3738,21,15,517,4,0,0,0,0,0,0,0,17.5,279.22
20,Ben Roethlisberger,PIT,QB,16,4465,29,15,75,1,0,0,0,0,0,0,0,17.4,278.1
21,Philip Rivers,LAC,QB,16,4462,30,12,16,0,0,0,0,0,0,0,0,17.3,276.08
22,Kirk Cousins,MIN,QB,16,3914,27,11,151,1,0,0,0,0,0,0,0,16.5,263.66
23,Josh Allen,BUF,QB,16,3043,18,14,619,6,0,0,0,0,0,0,0,16.5,263.62
24,Jimmy Garoppolo,SF,QB,16,4394,25,16,84,1,0,0,0,0,0,0,0,16.1,258.16
25,Ezekiel Elliott,DAL,RB,16,0,0,0,1181,7,64,492,3,0,0,0,0,16,255.3
26,DeAndre Hopkins,HOU,WR,16,0,0,0,6,0,102,1451,10,0,0,0,0,15.9,254.7
27,Jacoby Brissett,IND,QB,16,3509,20,9,259,4,0,0,0,0,0,0,0,15.8,252.26
28,Julio Jones,ATL,WR,16,0,0,0,9,0,103,1522,8,0,0,0,0,15.7,250.6
29,Davante Adams,GB,WR,16,0,0,0,1,0,101,1279,12,0,0,0,0,15.5,248.5
30,Andy Dalton,CIN,QB,16,3752,26,14,145,1,0,0,0,0,0,0,0,15.4,246.58
31,Le'Veon Bell,NYJ,RB,16,0,0,0,1045,7,62,512,3,0,0,0,0,15.2,242.7
32,Derek Carr,LV,QB,16,4059,23,12,63,1,0,0,0,0,0,0,0,15.2,242.66
33,James Conner,PIT,RB,16,0,0,0,1092,9,51,448,2,0,0,0,0,15.1,241.5
34,Matthew Stafford,DET,QB,16,3959,24,11,83,0,0,0,0,0,0,0,0,15,240.66
35,David Johnson,ARI,RB,16,0,0,0,1058,6,58,552,3,0,0,0,0,14.9,238
36,Michael Thomas,NO,WR,16,0,0,0,0,0,114,1345,8,0,0,0,0,14.8,237.5
37,Tyreek Hill,KC,WR,16,0,0,0,106,1,82,1275,9,0,0,0,0,14.8,237.1
38,JuJu Smith-Schuster,PIT,WR,16,0,0,0,9,0,102,1328,9,0,0,0,0,14.8,236.7
39,Sam Darnold,NYJ,QB,16,3796,23,16,187,1,0,0,0,0,0,0,0,14.8,236.54
40,Dalvin Cook,MIN,RB,16,0,0,0,1129,7,52,406,3,0,0,0,0,14.7,235.5
41,Marcus Mariota,TEN,QB,16,3261,18,12,356,3,0,0,0,0,0,0,0,14.5,232.04
42,Joe Mixon,CIN,RB,16,0,0,0,1191,8,47,358,1,0,0,0,0,14.3,228.4
43,Nick Chubb,CLE,RB,16,0,0,0,1206,8,36,298,2,0,0,0,0,14.2,226.4
44,Todd Gurley II,LAR,RB,16,0,0,0,987,9,44,412,2,0,0,0,0,14.1,225.9
45,Odell Beckham Jr.,CLE,WR,16,0,0,0,22,0,88,1276,9,0,0,0,0,14.1,225.8
46,Nick Foles,JAX,QB,16,3729,22,13,81,0,0,0,0,0,0,0,0,13.7,219.26
47,Antonio Brown,LV,WR,16,0,0,0,1,0,92,1195,9,0,0,0,0,13.6,217.6
48,Mike Evans,TB,WR,16,0,0,0,0,0,85,1350,7,0,0,0,0,13.6,217.5
49,Leonard Fournette,JAX,RB,16,0,0,0,943,8,49,408,2,0,0,0,0,13.5,215.6
50,Aaron Jones,GB,RB,16,0,0,0,1015,8,38,299,2,0,0,0,0,13,208.4
51,Keenan Allen,LAC,WR,16,0,0,0,17,0,97,1239,6,0,0,0,0,13,208.1
