Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameHalfPointPPR,FantasyPointsHalfPointPpr
1,Cam Newton,CAR,QB,16,3854,27,12,599,8,0,0,0,0,0,0,0,21.6,346.06
2,Aaron Rodgers,GB,QB,16,4319,33,8,257,2,0,0,0,0,0,0,0,20.4,326.46
3,Russell Wilson,SEA,QB,16,4008,28,10,562,2,0,0,0,0,0,0,0,20,320.52
4,Andrew Luck,IND,QB,16,4478,32,17,292,2,0,0,0,0,0,0,0,19.6,314.32
5,Drew Brees,NO,QB,16,4848,32,14,32,1,0,0,0,0,0,0,0,18.9,303.12
6,Antonio Brown,PIT,WR,16,0,0,0,24,0,124,1694,10,0,0,0,0,18.2,291.8
7,Ben Roethlisberger,PIT,QB,16,4593,29,13,69,1,0,0,0,0,0,0,0,17.9,286.62
8,Blake Bortles,JAX,QB,16,4114,29,17,317,1,0,0,0,0,0,0,0,17.8,284.26
9,Carson Palmer,ARI,QB,16,4472,31,13,40,0,0,0,0,0,0,0,0,17.6,280.88
10,Eli Manning,NYG,QB,16,4482,31,14,45,0,0,0,0,0,0,0,0,17.5,279.78
11,Philip Rivers,LAC,QB,16,4544,30,14,47,0,0,0,0,0,0,0,0,17.4,278.46
12,Julio Jones,ATL,WR,16,0,0,0,7,0,114,1621,9,0,0,0,0,17,271.8
13,Jameis Winston,TB,QB,16,4044,25,15,207,3,0,0,0,0,0,0,0,16.9,270.46
14,Matthew Stafford,DET,QB,16,4279,26,13,132,1,0,0,0,0,0,0,0,16.8,268.36
15,Ryan Tannehill,MIA,QB,16,4090,25,12,218,1,0,0,0,0,0,0,0,16.7,267.4
16,Derek Carr,LV,QB,16,4087,28,13,116,1,0,0,0,0,0,0,0,16.7,267.08
17,Odell Beckham Jr.,NYG,WR,16,0,0,0,12,0,101,1506,11,0,0,0,0,16.6,266.3
18,Kirk Cousins,WAS,QB,16,4163,27,15,81,2,0,0,0,0,0,0,0,16.5,264.62
19,Tyrod Taylor,BUF,QB,16,3299,21,10,506,3,0,0,0,0,0,0,0,16.5,264.56
20,Ryan Fitzpatrick,NYJ,QB,16,3816,26,15,239,2,0,0,0,0,0,0,0,16.4,262.54
21,Andy Dalton,CIN,QB,16,3858,26,13,170,2,0,0,0,0,0,0,0,16.3,261.32
22,Marcus Mariota,TEN,QB,16,3630,22,14,355,3,0,0,0,0,0,0,0,16.2,258.7
23,Alex Smith,KC,QB,16,3525,22,8,395,1,0,0,0,0,0,0,0,16.2,258.5
24,Matt Ryan,ATL,QB,16,4424,25,14,84,0,0,0,0,0,0,0,0,16.1,257.36
25,Joe Flacco,BAL,QB,16,4184,25,16,62,1,0,0,0,0,0,0,0,15.5,247.56
26,Jay Cutler,CHI,QB,16,3827,25,16,178,1,0,0,0,0,0,0,0,15.3,244.88
27,Tom Brady,NE,QB,16,3441,27,7,41,1,0,0,0,0,0,0,0,15.1,241.74
28,Todd Gurley II,LAR,RB,16,0,0,0,1323,10,34,280,1,0,0,0,0,15,239.3
29,David Johnson,ARI,RB,16,0,0,0,982,8,54,488,3,0,0,0,0,14.8,236
30,Adrian Peterson,MIN,RB,16,0,0,0,1318,10,33,231,1,0,0,0,0,14.5,231.4
31,Lamar Miller,HOU,RB,16,0,0,0,1179,7,48,369,2,0,0,0,0,14.3,228.8
32,DeAndre Hopkins,HOU,WR,16,0,0,0,0,0,92,1287,9,0,0,0,0,14.3,228.7
33,A.J. Green,CIN,WR,16,0,0,0,0,0,86,1251,10,0,0,0,0,14.1,226.1
34,Ezekiel Elliott,DAL,RB,16,0,0,0,1182,8,39,311,2,0,0,0,0,14,224.8
35,Brock Osweiler,HOU,QB,16,3657,23,13,100,0,0,0,0,0,0,0,0,13.9,222.28
36,Le'Veon Bell,PIT,RB,16,0,0,0,959,8,48,411,2,0,0,0,0,13.7,219
37,Allen Robinson II,JAX,WR,16,0,0,0,0,0,79,1243,9,0,0,0,0,13.6,217.8
38,Rob Gronkowski,NE,TE,16,0,0,0,0,0,81,1079,11,0,0,0,0,13.4,214.4
39,Devonta Freeman,ATL,RB,16,0,0,0,868,7,59,475,2,0,0,0,0,13.4,213.8
40,Robert Griffin III,CLE,QB,16,3264,16,12,296,2,0,0,0,0,0,0,0,13.3,212.16
41,Alshon Jeffery,CHI,WR,16,0,0,0,2,0,84,1219,8,0,0,0,0,13.3,212.1
42,Brandon Marshall,NYJ,WR,16,0,0,0,0,0,88,1194,8,0,0,0,0,13.1,209.4
43,Mark Ingram II,NO,RB,16,0,0,0,971,8,50,367,1,0,0,0,0,13,208.8
44,Eddie Lacy,GB,RB,16,0,0,0,1067,8,31,271,2,0,0,0,0,12.8,205.3
45,Mike Evans,TB,WR,16,0,0,0,0,0,78,1200,8,0,0,0,0,12.8,205
46,LeSean McCoy,BUF,RB,16,0,0,0,1079,7,37,283,2,0,0,0,0,12.8,204.7
47,Jamaal Charles,KC,RB,16,0,0,0,966,7,40,332,3,0,0,0,0,12.7,203.8
48,Doug Martin,TB,RB,16,0,0,0,1216,7,32,237,1,0,0,0,0,12.7,203.3
49,Keenan Allen,LAC,WR,16,0,0,0,0,0,99,1137,7,0,0,0,0,12.7,203.2
50,Jordy Nelson,GB,WR,16,0,0,0,1,0,81,1165,8,0,0,0,0,12.7,203.1
51,T.Y. Hilton,IND,WR,16,0,0,0,4,0,78,1203,7,0,0,0,0,12.6,201.7
52,Brandin Cooks,NO,WR,16,0,0,0,40,0,85,1137,7,0,0,0,0,12.5,200.2
53,Dez Bryant,DAL,WR,16,0,0,0,0,0,78,1071,9,0,0,0,0,12.5,200.1
54,Demaryius Thomas,DEN,WR,16,0,0,0,0,0,88,1158,7,0,0,0,0,12.5,199.8
55,Amari Cooper,LV,WR,16,0,0,0,4,0,82,1159,7,0,0,0,0,12.3,197.3
56,Jordan Reed,WAS,TE,16,0,0,0,0,0,93,991,9,0,0,0,0,12.2,195.6
57,Sam Bradford,MIN,QB,16,3439,19,12,54,0,0,0,0,0,0,0,0,12.2,194.96
58,Randall Cobb,GB,WR,16,0,0,0,54,0,81,1046,7,0,0,0,0,12,192.5
59,Jarvis Landry,MIA,WR,16,0,0,0,63,0,95,1034,6,0,0,0,0,12,191.2
60,Sammy Watkins,BUF,WR,16,0,0,0,2,0,71,1070,8,0,0,0,0,11.9,190.7
61,Golden Tate,DET,WR,16,0,0,0,37,0,89,1073,6,0,0,0,0,11.8,189.5
62,Jeremy Maclin,KC,WR,16,0,0,0,10,0,83,1069,7,0,0,0,0,11.8,189.4
63,Matt Forte,NYJ,RB,16,0,0,0,884,5,46,388,2,0,0,0,0,11.8,188.2
64,CJ Anderson,DEN,RB,16,0,0,0,1032,7,33,244,1,0,0,0,0,11.8,188.1
65,Latavius Murray,LV,RB,16,0,0,0,989,7,34,239,1,0,0,0,0,11.5,183.8
66,Eric Decker,NYJ,WR,16,0,0,0,1,0,76,984,8,0,0,0,0,11.4,182.5
67,Donte Moncrief,IND,WR,16,0,0,0,0,0,75,964,8,0,0,0,0,11.4,181.9
68,Greg Olsen,CAR,TE,16,0,0,0,0,0,80,1064,6,0,0,0,0,11.3,180.4
69,Blaine Gabbert,SF,QB,16,2809,15,12,255,1,0,0,0,0,0,0,0,11.2,179.86
70,Doug Baldwin,SEA,WR,16,0,0,0,1,0,71,954,8,0,0,0,0,11.2,179
71,Carlos Hyde,SF,RB,16,0,0,0,1028,6,31,202,1,0,0,0,0,11,176.5
72,Thomas Rawls,SEA,RB,16,0,0,0,1031,7,22,175,1,0,0,0,0,11,175.6
73,Michael Floyd,ARI,WR,16,0,0,0,1,0,64,997,7,0,0,0,0,10.9,173.8
74,Julian Edelman,NE,WR,16,0,0,0,28,0,87,922,6,0,0,0,0,10.8,172.5
75,DeMarco Murray,TEN,RB,16,0,0,0,936,6,32,248,1,0,0,0,0,10.8,172.4
76,John Brown,ARI,WR,16,0,0,0,8,0,67,975,7,0,0,0,0,10.7,171.8
77,Larry Fitzgerald,ARI,WR,16,0,0,0,0,0,79,922,7,0,0,0,0,10.7,171.7
78,Kelvin Benjamin,CAR,WR,16,0,0,0,1,0,67,917,8,0,0,0,0,10.7,171.3
79,Delanie Walker,TEN,TE,16,0,0,0,0,0,82,994,5,0,0,0,0,10.6,170.4
80,Jeremy Langford,CHI,RB,16,0,0,0,799,5,35,316,2,0,0,0,0,10.6,169
81,Jordan Matthews,PHI,TE,16,0,0,0,0,0,73,923,7,0,0,0,0,10.6,168.8
82,Jeremy Hill,CIN,RB,16,0,0,0,954,8,20,142,1,0,0,0,0,10.5,167.6
83,Giovani Bernard,CIN,RB,16,0,0,0,663,4,48,417,2,0,0,0,0,10.4,166
84,Jonathan Stewart,CAR,RB,16,0,0,0,1010,6,21,155,1,0,0,0,0,10.3,165
84,Danny Woodhead,LAC,RB,16,0,0,0,351,2,71,604,4,0,0,0,0,10.3,165
86,Ryan Mathews,PHI,RB,16,0,0,0,899,6,29,213,1,0,0,0,0,10.1,161.7
87,Frank Gore,IND,RB,16,0,0,0,846,6,32,248,1,0,0,0,0,10.1,161.4
88,Duke Johnson,CLE,RB,16,0,0,0,545,3,57,493,2,0,0,0,0,10,160.3
