Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameHalfPointPPR,FantasyPointsHalfPointPpr
1,Andrew Luck,IND,QB,16,4774,35,15,254,3,0,0,0,0,0,0,0,21.5,344.36
2,Aaron Rodgers,GB,QB,16,4499,32,9,233,2,0,0,0,0,0,0,0,20.3,325.26
3,Russell Wilson,SEA,QB,16,3710,26,11,584,3,0,0,0,0,0,0,0,19.2,306.8
4,Peyton Manning,DEN,QB,16,4660,35,13,15,0,0,0,0,0,0,0,0,18.9,301.9
5,Drew Brees,NO,QB,16,4628,31,13,60,1,0,0,0,0,0,0,0,18.4,295.12
6,Ben Roethlisberger,PIT,QB,16,4627,30,13,81,0,0,0,0,0,0,0,0,17.9,287.18
7,Tom Brady,NE,QB,16,4337,31,11,50,1,0,0,0,0,0,0,0,17.9,286.48
8,Matt Ryan,ATL,QB,16,4586,29,14,95,0,0,0,0,0,0,0,0,17.6,280.94
9,Ryan Tannehill,MIA,QB,16,4092,27,14,280,1,0,0,0,0,0,0,0,17.4,277.68
10,Tony Romo,DAL,QB,16,4184,32,12,60,0,0,0,0,0,0,0,0,17.3,277.36
11,Matthew Stafford,DET,QB,16,4440,28,14,93,1,0,0,0,0,0,0,0,17.3,276.9
12,Cam Newton,CAR,QB,16,3399,20,14,545,5,0,0,0,0,0,0,0,17,272.46
13,Colin Kaepernick,SF,QB,16,3469,20,11,541,3,0,0,0,0,0,0,0,16.8,268.86
14,Eli Manning,NYG,QB,16,4444,29,16,53,0,0,0,0,0,0,0,0,16.7,267.06
15,Demaryius Thomas,DEN,WR,16,0,0,0,0,0,102,1404,12,0,0,0,0,16.5,263.4
16,Philip Rivers,LAC,QB,16,4247,29,16,69,0,0,0,0,0,0,0,0,16.3,260.78
17,Dez Bryant,DAL,WR,16,0,0,0,0,0,93,1337,13,0,0,0,0,16.1,258.2
18,Antonio Brown,PIT,WR,16,0,0,0,22,0,112,1498,9,0,0,0,0,16.1,258
19,Sam Bradford,PHI,QB,16,3885,26,13,149,1,0,0,0,0,0,0,0,15.9,254.3
20,Eddie Lacy,GB,RB,16,0,0,0,1247,10,44,359,2,0,0,0,0,15.7,250.6
21,Joe Flacco,BAL,QB,16,3992,26,14,89,1,0,0,0,0,0,0,0,15.7,250.58
22,Jay Cutler,CHI,QB,16,3884,26,17,182,1,0,0,0,0,0,0,0,15.6,249.56
23,Le'Veon Bell,PIT,RB,16,0,0,0,1063,8,60,536,2,0,0,0,0,15.5,247.9
24,Adrian Peterson,MIN,RB,16,0,0,0,1313,10,42,318,1,0,0,0,0,15.4,246.1
25,Alex Smith,KC,QB,16,3634,22,10,262,1,0,0,0,0,0,0,0,15.3,245.56
26,Jamaal Charles,KC,RB,16,0,0,0,1117,9,48,375,4,0,0,0,0,15.3,245.2
27,Julio Jones,ATL,WR,16,0,0,0,4,0,100,1435,9,0,0,0,0,15.2,243.9
28,Teddy Bridgewater,MIN,QB,16,3818,22,14,246,1,0,0,0,0,0,0,0,15.2,243.32
29,Marshawn Lynch,SEA,RB,16,0,0,0,1269,10,35,295,2,0,0,0,0,15.1,241.9
30,CJ Anderson,DEN,RB,16,0,0,0,1148,10,42,343,2,0,0,0,0,15,240.1
31,Andy Dalton,CIN,QB,16,3716,24,18,178,2,0,0,0,0,0,0,0,14.9,238.44
32,Odell Beckham Jr.,NYG,WR,16,0,0,0,31,0,96,1312,10,0,0,0,0,14.9,238.3
33,Blake Bortles,JAX,QB,16,3667,20,17,332,2,0,0,0,0,0,0,0,14.9,237.88
34,Carson Palmer,ARI,QB,16,4028,25,14,40,0,0,0,0,0,0,0,0,14.8,237.12
35,Matt Forte,CHI,RB,16,0,0,0,1035,7,62,488,2,0,0,0,0,14.6,233.3
36,Randall Cobb,GB,WR,16,0,0,0,66,0,93,1239,10,0,0,0,0,14.6,233
37,Calvin Johnson,DET,WR,16,0,0,0,0,0,87,1293,10,0,0,0,0,14.6,232.8
38,Jameis Winston,TB,QB,16,3682,23,17,158,1,0,0,0,0,0,0,0,14.2,227.08
39,A.J. Green,CIN,WR,16,0,0,0,7,0,87,1250,9,0,0,0,0,13.7,219.2
40,Rob Gronkowski,NE,TE,16,0,0,0,0,0,83,1101,11,0,0,0,0,13.6,217.6
41,Jeremy Hill,CIN,RB,16,0,0,0,1206,10,27,215,1,0,0,0,0,13.5,215.6
42,DeMarco Murray,PHI,RB,16,0,0,0,1209,10,33,250,0,0,0,0,0,13.4,214.4
43,Marcus Mariota,TEN,QB,16,3153,16,13,376,2,0,0,0,0,0,0,0,13.4,213.72
44,Alshon Jeffery,CHI,WR,16,0,0,0,31,0,83,1139,9,0,0,0,0,13.3,212.5
45,Derek Carr,LV,QB,16,3625,21,15,102,0,0,0,0,0,0,0,0,13.1,209.2
46,Mike Evans,TB,WR,16,0,0,0,0,0,76,1145,9,0,0,0,0,12.9,206.5
47,Justin Forsett,BAL,RB,16,0,0,0,1021,6,53,370,1,0,0,0,0,12.8,205.6
48,Brandin Cooks,NO,WR,16,0,0,0,68,0,90,1129,6,0,0,0,0,12.5,200.7
49,T.Y. Hilton,IND,WR,16,0,0,0,8,0,82,1224,6,0,0,0,0,12.4,198.2
50,Emmanuel Sanders,DEN,WR,16,0,0,0,26,0,80,1063,8,0,0,0,0,12.3,196.9
51,Lamar Miller,MIA,RB,16,0,0,0,1076,7,35,259,1,0,0,0,0,12.2,195
52,DeAndre Hopkins,HOU,WR,16,0,0,0,0,0,84,1189,6,0,0,0,0,12.2,194.9
53,Nick Foles,LAR,QB,16,3378,19,14,117,0,0,0,0,0,0,0,0,12.2,194.82
54,LeSean McCoy,BUF,RB,16,0,0,0,1163,6,32,225,1,0,0,0,0,12,192.8
55,Jordan Matthews,PHI,TE,16,0,0,0,0,0,79,1068,8,0,0,0,0,12,192.3
56,Frank Gore,IND,RB,16,0,0,0,991,6,34,274,2,0,0,0,0,11.7,187.5
57,Golden Tate,DET,WR,16,0,0,0,20,0,82,1074,6,0,0,0,0,11.6,186.4
58,Mark Ingram II,NO,RB,16,0,0,0,1005,9,27,176,0,0,0,0,0,11.4,181.6
59,Melvin Gordon III,LAC,RB,16,0,0,0,1003,7,29,222,1,0,0,0,0,11.3,181
60,Keenan Allen,LAC,WR,16,0,0,0,0,0,80,1025,7,0,0,0,0,11.3,180.5
61,Julian Edelman,NE,WR,16,0,0,0,48,0,88,951,6,0,0,0,0,11.2,179.9
62,Davante Adams,GB,WR,16,0,0,0,0,0,73,980,7,0,0,0,0,11,176.5
63,Jimmy Graham,SEA,TE,16,0,0,0,0,0,71,862,9,0,0,0,0,10.9,173.7
64,Tyrod Taylor,BUF,QB,16,2406,13,11,287,3,0,0,0,0,0,0,0,10.8,172.94
65,Jeremy Maclin,KC,WR,16,0,0,0,0,0,74,996,6,0,0,0,0,10.8,172.6
66,Latavius Murray,LV,RB,16,0,0,0,985,6,30,236,0,0,0,0,0,10.7,171.1
67,Brandon Marshall,NYJ,WR,16,0,0,0,1,0,72,944,7,0,0,0,0,10.7,170.5
68,DeSean Jackson,WAS,WR,16,0,0,0,18,0,62,1011,6,0,0,0,0,10.6,169.9
69,Andre Ellington,ARI,RB,16,0,0,0,770,4,46,371,2,0,0,0,0,10.6,169.1
70,Carlos Hyde,SF,RB,16,0,0,0,992,7,21,152,1,0,0,0,0,10.6,168.9
71,Kirk Cousins,WAS,QB,16,2929,17,13,94,0,0,0,0,0,0,0,0,10.5,168.56
72,Greg Olsen,CAR,TE,16,0,0,0,0,0,78,929,6,0,0,0,0,10.5,167.9
73,Amari Cooper,LV,WR,16,0,0,0,5,0,74,955,6,0,0,0,0,10.4,167
74,Steve Smith,BAL,WR,16,0,0,0,0,0,74,957,6,0,0,0,0,10.4,166.7
75,Alfred Morris,WAS,RB,16,0,0,0,1035,7,19,148,0,0,0,0,0,10.4,165.8
76,Andre Johnson,IND,WR,16,0,0,0,0,0,73,925,7,0,0,0,0,10.3,165
77,Allen Robinson II,JAX,WR,16,0,0,0,0,0,73,915,6,0,0,0,0,10.2,164
78,Anquan Boldin,SF,WR,16,0,0,0,1,0,75,959,5,0,0,0,0,10.2,163.5
79,Jarvis Landry,MIA,WR,16,0,0,0,5,0,84,906,6,0,0,0,0,10.2,163.1
80,Charles Johnson,MIN,WR,16,0,0,0,2,0,66,929,6,0,0,0,0,10.1,162.1
81,Jonathan Stewart,CAR,RB,16,0,0,0,938,5,28,200,1,0,0,0,0,10,159.8
82,Mike Wallace,MIN,WR,16,0,0,0,4,0,63,896,6,0,0,0,0,9.7,155.5
83,Sammy Watkins,BUF,WR,16,0,0,0,7,0,61,902,6,0,0,0,0,9.7,155.4
84,Vincent Jackson,TB,WR,16,0,0,0,0,0,65,947,5,0,0,0,0,9.7,155.2
85,T.J. Yeldon,JAX,RB,16,0,0,0,830,5,32,240,1,0,0,0,0,9.7,155
86,LeGarrette Blount,NE,RB,16,0,0,0,888,9,12,81,0,0,0,0,0,9.7,154.9
87,Chris Ivory,NYJ,RB,16,0,0,0,887,6,21,149,1,0,0,0,0,9.6,154.1
88,Josh McCown,CLE,QB,16,2774,13,15,149,1,0,0,0,0,0,0,0,9.6,153.86
89,Eric Decker,NYJ,WR,16,0,0,0,2,0,68,895,5,0,0,0,0,9.6,153.7
90,Larry Fitzgerald,ARI,WR,16,0,0,0,0,0,71,861,6,0,0,0,0,9.6,153.6
91,Travis Kelce,KC,TE,16,0,0,0,0,0,72,853,6,0,0,0,0,9.6,153.3
92,Ameer Abdullah,DET,RB,16,0,0,0,775,5,32,268,1,0,0,0,0,9.5,152.3
93,Martellus Bennett,CHI,TE,16,0,0,0,0,0,79,826,5,0,0,0,0,9.5,152.1
94,John Brown,ARI,WR,16,0,0,0,5,0,61,885,5,0,0,0,0,9.3,149.5
95,Giovani Bernard,CIN,RB,16,0,0,0,530,4,47,382,2,0,0,0,0,9.3,148.7
95,Roddy White,ATL,WR,16,0,0,0,0,0,69,822,6,0,0,0,0,9.3,148.7
97,Marques Colston,NO,WR,16,0,0,0,0,0,61,840,6,0,0,0,0,9.3,148.5
98,Torrey Smith,SF,WR,16,0,0,0,1,0,55,847,6,0,0,0,0,9.3,148.3
99,Todd Gurley II,LAR,RB,16,0,0,0,798,6,23,188,1,0,0,0,0,9.3,148.1
100,Pierre Garcon,WAS,WR,16,0,0,0,0,0,73,875,4,0,0,0,0,9.2,148
101,Nelson Agholor,PHI,WR,16,0,0,0,0,0,60,819,6,0,0,0,0,9.1,145.9
102,CJ Spiller,NO,RB,16,0,0,0,518,3,53,411,2,0,0,0,0,9.1,145.4
103,Arian Foster,HOU,RB,16,0,0,0,772,5,27,217,1,0,0,0,0,9,144.4
104,Kendall Wright,TEN,WR,16,0,0,0,17,0,71,846,4,0,0,0,0,9,143.8
105,Jason Witten,DAL,TE,16,0,0,0,0,0,65,741,6,0,0,0,0,8.9,142.6
106,Doug Martin,TB,RB,16,0,0,0,795,5,25,164,1,0,0,0,0,8.9,142.4
107,Isaiah Crowell,CLE,RB,16,0,0,0,839,6,20,154,0,0,0,0,0,8.8,141.3
108,Joique Bell,DET,RB,16,0,0,0,600,6,30,273,1,0,0,0,0,8.8,140.3
109,Joseph Randle,DAL,RB,16,0,0,0,835,5,20,147,1,0,0,0,0,8.8,140.2
110,Rueben Randle,NYG,WR,16,0,0,0,0,0,57,808,5,0,0,0,0,8.7,139.3
111,Michael Floyd,ARI,WR,16,0,0,0,0,0,52,791,6,0,0,0,0,8.7,139.1
112,Brian Hoyer,HOU,QB,16,2624,13,11,41,0,0,0,0,0,0,0,0,8.7,139.06
113,Rashad Jennings,NYG,RB,16,0,0,0,734,5,29,224,0,0,0,0,0,8.6,138.3
114,Stephen Gostkowski,NE,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.6,138
115,Ryan Fitzpatrick,NYJ,QB,16,2133,13,10,146,1,0,0,0,0,0,0,0,8.6,137.92
