rank,id,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_half_ppr_per_gp,fpts_half_ppr
1,19781,Lamar Jackson,BAL,QB,17,3854.9,31.1,7.8,875.6,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,366.8
2,19801,Josh Allen,BUF,QB,17,3902.1,28.7,10.6,547.7,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,354.6
3,21831,Jalen Hurts,PHI,QB,17,3520.3,23.5,9.9,655.1,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,353.3
4,23235,Jayden Daniels,WAS,QB,17,3911.4,27.3,10.5,803.4,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,353.0
5,21693,Joe Burrow,CIN,QB,17,4602.6,35.6,10.3,186.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,333.7
6,18890,Patrick Mahomes,KC,QB,17,4231.8,30.7,12.1,320.6,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,307.9
7,19790,Baker Mayfield,TB,QB,17,4166.1,32.6,14.6,284.9,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,303.7
8,25069,Bo Nix,DEN,QB,17,3816.7,27.5,11.3,398.8,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,297.4
9,20889,Kyler Murray,ARI,QB,17,3819.6,23.0,11.2,546.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,297.2
10,22492,Justin Fields,NYJ,QB,17,3201.7,18.9,10.7,775.2,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,290.6
11,19766,Saquon Barkley,PHI,RB,17,0.0,0.0,0.0,1648.0,10.5,38.0,288.7,2.7,0.0,0.0,0.0,0.0,17.0,289.7
12,23241,Brock Purdy,SF,QB,17,4239.8,26.7,13.0,255.8,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,288.6
13,23189,Bijan Robinson,ATL,RB,17,0.0,0.0,0.0,1333.4,11.5,55.2,418.8,2.4,0.0,0.0,0.0,0.0,16.7,283.4
14,24927,Caleb Williams,CHI,QB,17,3872.4,24.2,9.5,444.6,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,283.2
15,21681,Justin Herbert,LAC,QB,17,3885.4,25.8,7.5,280.8,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,281.9
16,18055,Dak Prescott,DAL,QB,17,4269.1,28.4,12.5,164.1,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,280.8
17,17922,Jared Goff,DET,QB,17,4325.7,30.7,11.8,58.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,276.3
18,21841,Jordan Love,GB,QB,17,3907.7,28.7,11.8,163.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,273.6
19,23200,Jahmyr Gibbs,DET,RB,17,0.0,0.0,0.0,1190.5,11.2,51.7,468.8,2.7,0.0,0.0,0.0,0.0,16.0,272.6
20,24956,J.J. McCarthy,MIN,QB,17,4021.0,27.5,14.3,253.2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,272.2
