rank,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_half_ppr_per_gp,fpts_half_ppr
353,Ray-Ray McCloud,ATL,WR,17,0.0,0.0,0.0,17.7,0.1,10.9,117.7,0.8,0.0,0.0,0.0,0.0,1.4,870.6
354,Josh Oliver,MIN,TE,17,0.0,0.0,0.0,0.0,0.0,18.9,185.2,1.5,0.0,0.0,0.0,0.0,2.1,870.6
355,Eric Gray,NYG,RB,17,0.0,0.0,0.0,184.9,1.4,11.5,79.8,0.1,0.0,0.0,0.0,0.0,2.4,870.5
356,Charlie Jones,CIN,WR,17,0.0,0.0,0.0,1.8,0.0,12.0,139.0,0.7,0.0,0.0,0.0,0.0,1.4,870.5
357,Emari Demercado,ARI,RB,17,0.0,0.0,0.0,154.5,0.9,15.3,102.2,0.4,0.0,0.0,0.0,0.0,2.4,870.4
358,Brevin Jordan,HOU,TE,17,0.0,0.0,0.0,0.0,0.0,15.3,187.4,1.7,0.0,0.0,0.0,0.0,2.2,870.2
359,Russell Wilson,PIT,QB,17,2851.6,17.8,8.9,285.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,870.2
360,Deuce Vaughn,DAL,RB,17,0.0,0.0,0.0,148.9,1.1,12.4,94.6,0.6,0.0,0.0,0.0,0.0,2.4,870.0
361,Chris Moore,ARI,WR,17,0.0,0.0,0.0,7.5,0.0,11.4,135.5,0.6,0.0,0.0,0.0,0.0,1.4,869.8
362,Adam Trautman,DEN,TE,17,0.0,0.0,0.0,0.0,0.0,18.1,174.2,1.6,0.0,0.0,0.0,0.0,2.1,869.7
363,Tejhaun Palmer,ARI,WR,17,0.0,0.0,0.0,0.0,0.0,10.8,119.3,1.0,0.0,0.0,0.0,0.0,1.4,869.5
364,Cornelius Johnson,LAC,WR,17,0.0,0.0,0.0,0.0,0.0,11.2,128.5,0.8,0.0,0.0,0.0,0.0,1.4,869.4
365,Ty Johnson,BUF,RB,17,0.0,0.0,0.0,155.7,0.9,11.0,92.8,0.7,0.0,0.0,0.0,0.0,2.3,869.2
366,Xavier Hutchinson,HOU,WR,17,0.0,0.0,0.0,14.5,0.0,9.7,122.5,0.7,0.0,0.0,0.0,0.0,1.3,868.9
367,Jamari Thrash,CLE,WR,17,0.0,0.0,0.0,3.1,0.0,10.1,125.2,0.8,0.0,0.0,0.0,0.0,1.3,868.9
368,Isaac Guerendo,SF,RB,17,0.0,0.0,0.0,195.9,1.5,7.0,58.8,0.2,0.0,0.0,0.0,0.0,2.3,868.4
369,Chris Rodriguez Jr.,WAS,RB,17,0.0,0.0,0.0,208.8,1.5,7.0,48.6,0.1,0.0,0.0,0.0,0.0,2.3,868.1
370,Olamide Zaccheaus,WAS,WR,17,0.0,0.0,0.0,1.8,0.0,9.4,126.6,0.7,0.0,0.0,0.0,0.0,1.3,867.9
371,Marcedes Lewis,CHI,TE,17,0.0,0.0,0.0,0.0,0.0,8.0,62.0,4.0,0.0,0.0,0.0,0.0,2.0,867.8
372,Tyquan Thornton,NE,WR,17,0.0,0.0,0.0,8.2,0.1,8.5,108.7,0.8,0.0,0.0,0.0,0.0,1.3,867.5
373,Deonte Harty,BAL,WR,17,0.0,0.0,0.0,12.1,0.0,9.2,106.4,0.8,0.0,0.0,0.0,0.0,1.2,867.4
374,Marcus Rosemy-Jacksaint,WAS,WR,17,0.0,0.0,0.0,4.1,0.0,9.0,114.7,0.8,0.0,0.0,0.0,0.0,1.2,867.4
375,Tahj Washington,MIA,WR,17,0.0,0.0,0.0,0.0,0.0,9.0,114.9,0.8,0.0,0.0,0.0,0.0,1.2,867.0
376,Jordan Whittington,LAR,WR,17,0.0,0.0,0.0,0.0,0.0,9.6,110.8,0.8,0.0,0.0,0.0,0.0,1.2,866.9
377,Will Mallory,IND,TE,17,0.0,0.0,0.0,0.0,0.0,16.0,174.2,1.3,0.0,0.0,0.0,0.0,2.0,866.8
378,Laviska Shenault Jr.,SEA,WR,17,0.0,0.0,0.0,39.0,0.1,8.9,90.8,0.4,0.0,0.0,0.0,0.0,1.2,866.6
379,Durham Smythe,MIA,TE,17,0.0,0.0,0.0,0.0,0.0,17.7,174.9,1.1,0.0,0.0,0.0,0.0,1.9,866.5
380,D.J. Montgomery,IND,WR,17,0.0,0.0,0.0,3.0,0.0,9.6,115.2,0.6,0.0,0.0,0.0,0.0,1.2,866.4
381,John Metchie III,HOU,WR,17,0.0,0.0,0.0,2.5,0.0,10.2,112.3,0.6,0.0,0.0,0.0,0.0,1.2,866.4
382,Johnny Mundt,MIN,TE,17,0.0,0.0,0.0,0.0,0.0,17.6,172.0,1.1,0.0,0.0,0.0,0.0,1.9,866.2
383,Rasheen Ali,BAL,RB,17,0.0,0.0,0.0,181.0,1.5,7.3,54.7,0.1,0.0,0.0,0.0,0.0,2.2,866.1
384,Deven Thompkins,CAR,WR,17,0.0,0.0,0.0,24.1,0.0,8.0,91.4,0.7,0.0,0.0,0.0,0.0,1.2,865.9
385,Jalen Brooks,DAL,WR,17,0.0,0.0,0.0,0.1,0.0,10.1,109.7,0.6,0.0,0.0,0.0,0.0,1.1,865.8
386,Mo Alie-Cox,IND,TE,17,0.0,0.0,0.0,0.0,0.0,11.9,141.7,2.0,0.0,0.0,0.0,0.0,1.9,865.7
387,Austin Hooper,NE,TE,17,0.0,0.0,0.0,0.0,0.0,17.4,167.0,1.1,0.0,0.0,0.0,0.0,1.9,865.6
388,Kyle Philips,TEN,WR,17,0.0,0.0,0.0,1.6,0.0,10.3,116.6,0.4,0.0,0.0,0.0,0.0,1.1,865.5
389,David Moore,CAR,WR,17,0.0,0.0,0.0,2.7,0.0,7.6,107.7,0.7,0.0,0.0,0.0,0.0,1.1,865.2
390,AJ Barner,SEA,TE,17,0.0,0.0,0.0,0.0,0.0,15.9,167.8,1.1,0.0,0.0,0.0,0.0,1.8,864.9
391,Devaughn Vele,DEN,WR,17,0.0,0.0,0.0,0.0,0.0,8.3,100.8,0.7,0.0,0.0,0.0,0.0,1.1,864.6
392,Jeremy Ruckert,NYJ,TE,17,0.0,0.0,0.0,0.0,0.0,16.1,162.7,1.1,0.0,0.0,0.0,0.0,1.8,864.5
393,Rakim Jarrett,TB,WR,17,0.0,0.0,0.0,4.7,0.0,7.9,101.9,0.6,0.0,0.0,0.0,0.0,1.1,864.4
394,Devin Duvernay,JAX,WR,17,0.0,0.0,0.0,18.4,0.1,9.5,91.1,0.3,0.0,0.0,0.0,0.0,1.1,864.3
395,Elijah Higgins,ARI,TE,17,0.0,0.0,0.0,0.0,0.0,15.5,165.2,1.0,0.0,0.0,0.0,0.0,1.8,863.9
396,Anthony Gould,IND,WR,17,0.0,0.0,0.0,7.3,0.0,7.6,95.3,0.6,0.0,0.0,0.0,0.0,1.0,863.8
397,Cade Stover,HOU,TE,17,0.0,0.0,0.0,0.0,0.0,14.3,158.2,1.2,0.0,0.0,0.0,0.0,1.8,863.8
398,Ashton Dulin,IND,WR,17,0.0,0.0,0.0,1.5,0.0,7.9,92.6,0.7,0.0,0.0,0.0,0.0,1.0,863.7
399,Isaiah McKenzie,NYG,WR,17,0.0,0.0,0.0,10.2,0.0,10.3,77.0,0.6,0.0,0.0,0.0,0.0,1.0,863.6
400,Michael Woods II,CLE,WR,17,0.0,0.0,0.0,2.8,0.0,6.7,88.2,0.8,0.0,0.0,0.0,0.0,1.0,863.4
401,Jaheim Bell,NE,TE,17,0.0,0.0,0.0,0.0,0.0,13.8,153.6,1.2,0.0,0.0,0.0,0.0,1.7,863.1
402,Terrace Marshall Jr.,CAR,WR,17,0.0,0.0,0.0,1.4,0.0,8.4,101.3,0.4,0.0,0.0,0.0,0.0,1.0,863.0
403,Sterling Shepard,TB,WR,17,0.0,0.0,0.0,0.0,0.0,8.5,87.6,0.6,0.0,0.0,0.0,0.0,1.0,862.8
404,Brock Wright,DET,TE,17,0.0,0.0,0.0,0.0,0.0,14.4,132.3,1.4,0.0,0.0,0.0,0.0,1.7,862.4
405,Foster Moreau,NO,TE,17,0.0,0.0,0.0,0.4,0.0,14.5,147.4,1.1,0.0,0.0,0.0,0.0,1.7,862.2
406,KJ Hamler,BUF,WR,17,0.0,0.0,0.0,2.5,0.0,6.0,91.5,0.6,0.0,0.0,0.0,0.0,0.9,862.2
407,Ben Skowronek,HOU,WR,17,0.0,0.0,0.0,1.8,0.0,7.2,80.1,0.7,0.0,0.0,0.0,0.0,0.9,862.2
408,Josh Whyle,TEN,TE,17,0.0,0.0,0.0,0.0,0.0,14.5,157.4,0.9,0.0,0.0,0.0,0.0,1.7,862.0
409,Joshua Cephus,JAX,WR,17,0.0,0.0,0.0,0.0,0.0,6.8,93.5,0.5,0.0,0.0,0.0,0.0,0.9,861.9
410,Kevin Harris,NE,RB,17,0.0,0.0,0.0,153.1,1.4,6.7,50.0,0.1,0.0,0.0,0.0,0.0,1.9,861.9
411,Isaiah Williams,DET,WR,17,0.0,0.0,0.0,0.0,0.0,8.5,83.3,0.5,0.0,0.0,0.0,0.0,0.9,861.8
412,Justyn Ross,KC,WR,17,0.0,0.0,0.0,0.0,0.0,6.2,81.9,0.7,0.0,0.0,0.0,0.0,0.9,861.7
413,Ronnie Bell,SF,WR,17,0.0,0.0,0.0,1.8,0.0,6.9,81.6,0.6,0.0,0.0,0.0,0.0,0.9,861.6
414,Kayshon Boutte,NE,WR,17,0.0,0.0,0.0,2.3,0.0,6.9,86.1,0.5,0.0,0.0,0.0,0.0,0.9,861.5
415,Jason Brownlee,NYJ,WR,17,0.0,0.0,0.0,0.9,0.0,6.7,82.2,0.6,0.0,0.0,0.0,0.0,0.9,861.4
416,Chris Conley,SF,WR,17,0.0,0.0,0.0,2.5,0.0,6.2,76.1,0.7,0.0,0.0,0.0,0.0,0.9,861.3
417,Dylan Laube,LV,RB,17,0.0,0.0,0.0,137.5,0.8,9.8,73.2,0.2,0.0,0.0,0.0,0.0,1.9,861.2
418,Jalen Guyton,LV,WR,17,0.0,0.0,0.0,2.2,0.0,6.1,81.3,0.6,0.0,0.0,0.0,0.0,0.9,861.2
419,Danny Gray,SF,WR,17,0.0,0.0,0.0,2.6,0.0,5.4,77.7,0.7,0.0,0.0,0.0,0.0,0.9,861.1
420,Zach Pascal,ARI,WR,17,0.0,0.0,0.0,1.4,0.0,6.4,77.7,0.6,0.0,0.0,0.0,0.0,0.9,860.9
421,Erick All Jr.,CIN,TE,17,0.0,0.0,0.0,0.0,0.0,13.7,143.9,1.0,0.0,0.0,0.0,0.0,1.6,860.8
422,Lil'Jordan Humphrey,DEN,WR,17,0.0,0.0,0.0,0.0,0.0,7.6,83.4,0.4,0.0,0.0,0.0,0.0,0.9,860.7
423,Malik Heath,GB,WR,17,0.0,0.0,0.0,1.1,0.0,7.4,75.8,0.5,0.0,0.0,0.0,0.0,0.8,860.6
424,Isaiah Davis,NYJ,RB,17,0.0,0.0,0.0,171.9,1.1,5.7,39.1,0.1,0.0,0.0,0.0,0.0,1.8,860.4
425,Lucas Krull,DEN,TE,17,0.0,0.0,0.0,0.0,0.0,13.1,142.5,1.0,0.0,0.0,0.0,0.0,1.6,860.4
426,Israel Abanikanda,NYJ,RB,17,0.0,0.0,0.0,167.7,0.9,7.0,46.6,0.1,0.0,0.0,0.0,0.0,1.8,860.2
427,Jalen Reagor,NE,WR,17,0.0,0.0,0.0,4.4,0.0,5.4,71.8,0.6,0.0,0.0,0.0,0.0,0.8,860.1
428,Tim Jones,JAX,WR,17,0.0,0.0,0.0,2.5,0.0,5.6,66.0,0.7,0.0,0.0,0.0,0.0,0.8,860.0
429,Michael Carter,ARI,RB,17,0.0,0.0,0.0,131.8,0.8,10.2,67.3,0.1,0.0,0.0,0.0,0.0,1.8,859.7
430,Kendall Milton,PHI,RB,17,0.0,0.0,0.0,146.0,2.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,1.8,859.4
431,Ameer Abdullah,LV,RB,17,0.0,0.0,0.0,98.7,0.2,14.5,104.6,0.2,0.0,0.0,0.0,0.0,1.8,859.2
432,Robert Tonyan,MIN,TE,17,0.0,0.0,0.0,0.0,0.0,13.2,136.1,0.9,0.0,0.0,0.0,0.0,1.5,859.2
433,Royce Freeman,DAL,RB,17,0.0,0.0,0.0,167.9,1.0,5.0,33.0,0.2,0.0,0.0,0.0,0.0,1.7,859.0
434,D'Ernest Johnson,JAX,RB,17,0.0,0.0,0.0,155.1,0.7,7.2,52.1,0.2,0.0,0.0,0.0,0.0,1.7,859.0
435,Emani Bailey,KC,RB,17,0.0,0.0,0.0,146.0,0.9,7.4,55.8,0.0,0.0,0.0,0.0,0.0,1.7,858.5
436,Darnell Washington,PIT,TE,17,0.0,0.0,0.0,0.0,0.0,12.4,124.7,1.0,0.0,0.0,0.0,0.0,1.5,858.3
437,Equanimeous St. Brown,NO,WR,17,0.0,0.0,0.0,1.9,0.0,4.7,58.9,0.6,0.0,0.0,0.0,0.0,0.7,858.2
438,Justin Shorter,BUF,WR,17,0.0,0.0,0.0,0.0,0.0,6.3,88.7,0.0,0.0,0.0,0.0,0.0,0.7,858.2
439,Stephen Sullivan,CAR,TE,17,0.0,0.0,0.0,0.0,0.0,13.0,132.6,0.8,0.0,0.0,0.0,0.0,1.4,858.2
