rank,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_half_ppr_per_gp,fpts_half_ppr
486,Brenton Strange,JAX,TE,17,0.0,0.0,0.0,0.0,0.0,9.9,90.2,0.9,0.0,0.0,0.0,0.0,1.1,853.0
487,Denzel Mims,JAX,WR,17,0.0,0.0,0.0,0.3,0.0,3.3,38.9,0.2,0.0,0.0,0.0,0.0,0.4,853.0
488,Easop Winston Jr.,SEA,WR,17,0.0,0.0,0.0,0.0,0.0,2.9,34.1,0.3,0.0,0.0,0.0,0.0,0.4,852.8
489,Jaelon Darden,CLE,WR,17,0.0,0.0,0.0,0.0,0.0,3.2,36.6,0.2,0.0,0.0,0.0,0.0,0.4,852.6
490,Miles Boykin,NYG,WR,17,0.0,0.0,0.0,0.0,0.0,3.3,35.9,0.2,0.0,0.0,0.0,0.0,0.4,852.6
491,Jack Stoll,NYG,TE,17,0.0,0.0,0.0,0.0,0.0,9.5,93.3,0.8,0.0,0.0,0.0,0.0,1.1,852.5
492,Cameron Latu,SF,TE,17,0.0,0.0,0.0,0.0,0.0,8.2,98.0,0.8,0.0,0.0,0.0,0.0,1.1,852.3
493,Peyton Hendershot,DAL,TE,17,0.0,0.0,0.0,0.0,0.0,9.5,91.1,0.8,0.0,0.0,0.0,0.0,1.1,852.3
494,David Sills,DEN,WR,17,0.0,0.0,0.0,0.0,0.0,3.0,32.8,0.2,0.0,0.0,0.0,0.0,0.4,852.2
495,Frank Gore Jr.,BUF,RB,17,0.0,0.0,0.0,126.2,0.7,4.8,36.9,0.0,0.0,0.0,0.0,0.0,1.3,852.2
496,Craig Reynolds,DET,RB,17,0.0,0.0,0.0,127.5,0.8,4.2,32.6,0.0,0.0,0.0,0.0,0.0,1.3,852.2
497,James Proche II,CLE,WR,17,0.0,0.0,0.0,0.0,0.0,2.9,32.8,0.2,0.0,0.0,0.0,0.0,0.3,852.1
498,Elijah Cooks,JAX,WR,17,0.0,0.0,0.0,0.0,0.0,3.5,35.8,0.1,0.0,0.0,0.0,0.0,0.3,852.1
499,Jeff Wilson Jr.,MIA,RB,17,0.0,0.0,0.0,113.4,0.9,4.9,36.0,0.0,0.0,0.0,0.0,0.0,1.3,852.0
500,Ronnie Rivers,LAR,RB,17,0.0,0.0,0.0,119.2,0.6,5.4,39.7,0.1,0.0,0.0,0.0,0.0,1.3,852.0
501,Brayden Willis,SF,TE,17,0.0,0.0,0.0,0.0,0.0,8.0,95.8,0.8,0.0,0.0,0.0,0.0,1.1,852.0
502,Ross Dwelley,ATL,TE,17,0.0,0.0,0.0,0.0,0.0,7.0,98.4,0.8,0.0,0.0,0.0,0.0,1.1,851.7
503,Tom Kennedy,DET,WR,17,0.0,0.0,0.0,0.0,0.0,2.5,29.7,0.2,0.0,0.0,0.0,0.0,0.3,851.6
504,Malik Taylor,NYJ,WR,17,0.0,0.0,0.0,0.0,0.0,2.4,29.7,0.2,0.0,0.0,0.0,0.0,0.3,851.5
505,Dallin Holker,NO,TE,17,0.0,0.0,0.0,0.2,0.0,8.7,98.9,0.6,0.0,0.0,0.0,0.0,1.1,851.5
506,Erik Ezukanma,MIA,WR,17,0.0,0.0,0.0,0.0,0.0,2.4,28.7,0.2,0.0,0.0,0.0,0.0,0.3,851.5
507,Armani Rogers,WAS,TE,17,0.0,0.0,0.0,0.2,0.0,7.8,90.9,0.8,0.0,0.0,0.0,0.0,1.0,851.4
508,Ian Thomas,CAR,TE,17,0.0,0.0,0.0,0.0,0.0,9.8,97.9,0.5,0.0,0.0,0.0,0.0,1.0,851.3
509,Colton Dowell,TEN,WR,17,0.0,0.0,0.0,0.0,0.0,2.1,25.7,0.2,0.0,0.0,0.0,0.0,0.3,851.0
510,Kristian Wilkerson,LV,WR,17,0.0,0.0,0.0,0.0,0.0,2.1,24.7,0.2,0.0,0.0,0.0,0.0,0.3,850.9
511,Charlie Woerner,ATL,TE,17,0.0,0.0,0.0,0.0,0.0,8.8,85.1,0.7,0.0,0.0,0.0,0.0,1.0,850.7
512,MyCole Pruitt,PIT,TE,17,0.0,0.0,0.0,0.0,0.0,6.1,68.2,1.2,0.0,0.0,0.0,0.0,1.0,850.7
513,DeWayne McBride,MIN,RB,17,0.0,0.0,0.0,115.9,0.8,4.0,29.3,0.0,0.0,0.0,0.0,0.0,1.3,850.6
514,J.J. McCarthy,MIN,QB,17,2990.9,17.2,10.5,167.8,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,850.5
515,Maurice Alexander,DET,WR,17,0.0,0.0,0.0,0.0,0.0,1.7,21.9,0.2,0.0,0.0,0.0,0.0,0.2,850.4
516,Tre'Quan Smith,DET,WR,17,0.0,0.0,0.0,0.0,0.0,1.7,21.8,0.2,0.0,0.0,0.0,0.0,0.2,850.4
517,Braylon Sanders,MIA,WR,17,0.0,0.0,0.0,0.0,0.0,1.8,20.2,0.2,0.0,0.0,0.0,0.0,0.2,850.3
518,Seth Williams,JAX,WR,17,0.0,0.0,0.0,0.0,0.0,1.8,19.9,0.2,0.0,0.0,0.0,0.0,0.2,850.3
519,Quintin Morris,BUF,TE,17,0.0,0.0,0.0,0.0,0.0,6.5,67.7,1.1,0.0,0.0,0.0,0.0,1.0,850.2
520,Anthony Schwartz,MIA,WR,17,0.0,0.0,0.0,0.0,0.0,1.7,19.9,0.2,0.0,0.0,0.0,0.0,0.2,850.2
521,Nsimba Webster,CHI,WR,17,0.0,0.0,0.0,0.0,0.0,1.7,19.9,0.2,0.0,0.0,0.0,0.0,0.2,850.2
522,Kwamie Lassiter II,CIN,WR,17,0.0,0.0,0.0,0.0,0.0,1.7,19.9,0.2,0.0,0.0,0.0,0.0,0.2,850.2
523,Shedrick Jackson,CIN,WR,17,0.0,0.0,0.0,0.0,0.0,1.7,19.9,0.2,0.0,0.0,0.0,0.0,0.2,850.2
524,Drake Maye,NE,QB,17,2882.0,16.2,11.8,243.8,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,850.2
525,Blake Watson,DEN,RB,17,0.0,0.0,0.0,89.6,0.8,5.3,39.4,0.1,0.0,0.0,0.0,0.0,1.2,850.2
526,Dante Pettis,CHI,WR,17,0.0,0.0,0.0,0.3,0.0,1.6,19.8,0.2,0.0,0.0,0.0,0.0,0.2,850.2
527,Cody White,SEA,WR,17,0.0,0.0,0.0,0.0,0.0,1.7,19.5,0.2,0.0,0.0,0.0,0.0,0.2,850.2
528,DJ Turner,LV,WR,17,0.0,0.0,0.0,0.1,0.0,1.6,19.7,0.2,0.0,0.0,0.0,0.0,0.2,850.2
529,Andy Isabella,BUF,WR,17,0.0,0.0,0.0,0.0,0.0,1.5,20.0,0.2,0.0,0.0,0.0,0.0,0.2,850.1
530,Lance McCutcheon,NYJ,WR,17,0.0,0.0,0.0,0.0,0.0,1.7,18.6,0.2,0.0,0.0,0.0,0.0,0.2,850.1
531,Jacob Harris,PHI,WR,17,0.0,0.0,0.0,0.0,0.0,1.6,18.5,0.2,0.0,0.0,0.0,0.0,0.2,850.0
532,Montrell Washington,KC,WR,17,0.0,0.0,0.0,0.0,0.0,1.6,18.3,0.2,0.0,0.0,0.0,0.0,0.2,850.0
533,Tyrie Cleveland,IND,WR,17,0.0,0.0,0.0,0.0,0.0,1.5,18.5,0.2,0.0,0.0,0.0,0.0,0.2,850.0
534,Stanley Morgan Jr.,NO,WR,17,0.0,0.0,0.0,0.0,0.0,1.5,17.4,0.2,0.0,0.0,0.0,0.0,0.2,849.9
535,Irvin Charles,NYJ,WR,17,0.0,0.0,0.0,0.0,0.0,1.5,16.8,0.2,0.0,0.0,0.0,0.0,0.2,849.8
536,Britain Covey,PHI,WR,17,0.0,0.0,0.0,0.0,0.0,1.5,16.6,0.2,0.0,0.0,0.0,0.0,0.2,849.8
537,Dez Fitzpatrick,PIT,WR,17,0.0,0.0,0.0,0.0,0.0,1.5,16.5,0.2,0.0,0.0,0.0,0.0,0.2,849.8
538,Mason Kinsey,TEN,WR,17,0.0,0.0,0.0,0.0,0.0,1.4,16.9,0.2,0.0,0.0,0.0,0.0,0.2,849.8
539,Deneric Prince,KC,RB,17,0.0,0.0,0.0,106.5,0.4,5.4,35.7,0.2,0.0,0.0,0.0,0.0,1.2,849.8
540,Dare Ogunbowale,HOU,RB,17,0.0,0.0,0.0,72.0,0.3,8.8,64.8,0.1,0.0,0.0,0.0,0.0,1.2,849.7
541,Cam Sims,CAR,WR,17,0.0,0.0,0.0,0.0,0.0,1.6,20.9,0.1,0.0,0.0,0.0,0.0,0.2,849.7
542,N'Keal Harry,MIN,WR,17,0.0,0.0,0.0,0.0,0.0,1.4,15.7,0.2,0.0,0.0,0.0,0.0,0.2,849.6
543,Trishton Jackson,MIN,WR,17,0.0,0.0,0.0,0.0,0.0,1.4,15.6,0.2,0.0,0.0,0.0,0.0,0.2,849.6
544,Juwann Winfree,IND,WR,17,0.0,0.0,0.0,0.0,0.0,1.3,16.1,0.2,0.0,0.0,0.0,0.0,0.2,849.6
545,Jalen Virgil,DEN,WR,17,0.0,0.0,0.0,0.0,0.0,1.3,15.0,0.2,0.0,0.0,0.0,0.0,0.2,849.5
546,Jalen Camp,CLE,WR,17,0.0,0.0,0.0,0.0,0.0,1.6,19.2,0.1,0.0,0.0,0.0,0.0,0.2,849.5
547,Andre Baccellia,ARI,WR,17,0.0,0.0,0.0,0.0,0.0,1.3,14.7,0.2,0.0,0.0,0.0,0.0,0.2,849.5
548,Kenny McIntosh,SEA,RB,17,0.0,0.0,0.0,85.3,0.5,6.5,45.9,0.1,0.0,0.0,0.0,0.0,1.2,849.2
549,Mike Strachan,CAR,WR,17,0.0,0.0,0.0,0.0,0.0,1.3,17.0,0.1,0.0,0.0,0.0,0.0,0.2,849.1
550,Gunner Olszewski,NYG,WR,17,0.0,0.0,0.0,0.0,0.0,1.5,15.3,0.1,0.0,0.0,0.0,0.0,0.2,849.1
551,John FitzPatrick,ATL,TE,17,0.0,0.0,0.0,0.0,0.0,7.1,82.7,0.6,0.0,0.0,0.0,0.0,0.9,849.0
552,Jeff Smith,ARI,WR,17,0.0,0.0,0.0,0.0,0.0,1.3,14.6,0.1,0.0,0.0,0.0,0.0,0.2,848.9
553,Rashaad Penny,CAR,RB,17,0.0,0.0,0.0,98.7,0.9,2.7,21.7,0.1,0.0,0.0,0.0,0.0,1.1,848.6
554,Avery Williams,ATL,RB,17,0.0,0.0,0.0,72.7,0.4,6.8,49.4,0.2,0.0,0.0,0.0,0.0,1.1,848.5
555,Cam Akers,HOU,RB,17,0.0,0.0,0.0,102.7,0.7,3.3,23.7,0.1,0.0,0.0,0.0,0.0,1.1,848.3
556,Harrison Bryant,LV,TE,17,0.0,0.0,0.0,0.0,0.0,7.7,78.3,0.5,0.0,0.0,0.0,0.0,0.9,848.3
557,Grant Calcaterra,PHI,TE,17,0.0,0.0,0.0,0.0,0.0,6.7,70.9,0.7,0.0,0.0,0.0,0.0,0.9,848.2
558,John Bates,WAS,TE,17,0.0,0.0,0.0,0.0,0.0,8.6,78.9,0.4,0.0,0.0,0.0,0.0,0.9,848.2
559,Boston Scott,LAR,RB,17,0.0,0.0,0.0,82.0,0.8,3.8,28.1,0.1,0.0,0.0,0.0,0.0,1.1,847.6
560,Jordan Mason,SF,RB,17,0.0,0.0,0.0,106.5,0.8,1.8,13.4,0.1,0.0,0.0,0.0,0.0,1.1,847.5
561,James Mitchell,DET,TE,17,0.0,0.0,0.0,0.0,0.0,7.0,74.2,0.5,0.0,0.0,0.0,0.0,0.8,847.5
562,Quintez Cephus,HOU,WR,17,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.1,0.0,0.0,0.0,0.0,0.1,847.2
563,Mitchell Tinsley,WAS,WR,17,0.0,0.0,0.0,0.0,0.0,0.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,847.0
564,Steven Sims,HOU,WR,17,0.0,0.0,0.0,0.0,0.0,0.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,846.8
565,Malik Cunningham,BAL,WR,17,0.5,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.6
566,Austin Trammell,JAX,WR,17,0.0,0.0,0.0,0.0,0.0,0.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,846.6
567,Keelan Doss,LV,WR,17,0.0,0.0,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,846.5
568,Michael Bandy,DEN,WR,17,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,846.4
569,Jalen Coker,CAR,WR,17,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,846.3
570,Austin Watkins Jr.,PHI,WR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,846.2
571,DeVante Parker,PHI,WR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,846.2
572,DeAndre Carter,CHI,WR,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.2
573,Russell Gage,TB,WR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,846.2
574,Joseph Ngata,PHI,WR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,846.2
575,Kendric Pryor,CIN,WR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,846.2
576,Trent Taylor,SF,WR,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.2
577,Alex Bachman,HOU,WR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,846.2
578,Dan Chisena,ARI,WR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,846.2
579,Shi Smith,KC,WR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,846.2
580,Tay Martin,SF,WR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,846.2
581,Dennis Houston,NYG,WR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,846.2
582,Daylen Baldwin,MIN,WR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,846.2
583,Bryce Ford-Wheaton,NYG,WR,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.2
584,Michael Gallup,LV,WR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,846.2
585,Cole Fotheringham,LV,TE,17,0.0,0.0,0.0,0.0,0.0,5.4,54.2,0.6,0.0,0.0,0.0,0.0,0.7,845.3
586,Elijah Dotson,LAC,RB,17,0.0,0.0,0.0,68.4,0.8,3.5,25.9,0.0,0.0,0.0,0.0,0.0,0.9,845.2
587,Jawhar Jordan,HOU,RB,17,0.0,0.0,0.0,89.3,0.6,2.8,20.3,0.0,0.0,0.0,0.0,0.0,0.9,845.2
588,Zach Evans,LAR,RB,17,0.0,0.0,0.0,77.1,0.7,3.2,23.4,0.0,0.0,0.0,0.0,0.0,0.9,845.1
589,Raheem Blackshear,CAR,RB,17,0.0,0.0,0.0,47.6,0.1,7.6,58.0,0.1,0.0,0.0,0.0,0.0,0.9,844.8
590,Josiah Deguara,JAX,TE,17,0.0,0.0,0.0,0.0,0.0,6.2,54.7,0.3,0.0,0.0,0.0,0.0,0.6,844.0
591,Charlie Kolar,BAL,TE,17,0.0,0.0,0.0,0.0,0.0,4.6,54.3,0.4,0.0,0.0,0.0,0.0,0.6,843.7
592,Jody Fortson Jr.,MIA,TE,17,0.0,0.0,0.0,0.0,0.0,4.6,46.6,0.5,0.0,0.0,0.0,0.0,0.6,843.6
593,Kenny Yeboah,NYJ,TE,17,0.0,0.0,0.0,0.0,0.0,5.0,52.7,0.3,0.0,0.0,0.0,0.0,0.6,843.2
594,Giovanni Ricci,CLE,TE,17,0.0,0.0,0.0,6.2,0.0,5.0,43.6,0.3,0.0,0.0,0.0,0.0,0.5,842.9
595,Tyler Goodson,IND,RB,17,0.0,0.0,0.0,67.1,0.1,5.3,29.6,0.1,0.0,0.0,0.0,0.0,0.8,842.8
596,Ko Kieft,TB,TE,17,0.0,0.0,0.0,0.0,0.0,4.4,42.7,0.4,0.0,0.0,0.0,0.0,0.5,842.5
597,Hunter Long,LAR,TE,17,0.0,0.0,0.0,0.0,0.0,4.3,47.2,0.3,0.0,0.0,0.0,0.0,0.5,842.3
598,Julius Chestnut,TEN,RB,17,0.0,0.0,0.0,51.3,0.3,4.5,32.2,0.1,0.0,0.0,0.0,0.0,0.7,842.2
599,Chris Evans,CIN,RB,17,0.0,0.0,0.0,40.9,0.1,6.1,46.0,0.1,0.0,0.0,0.0,0.0,0.8,842.2
600,Kene Nwangwu,MIN,RB,17,0.0,0.0,0.0,68.5,0.4,3.2,20.9,0.0,0.0,0.0,0.0,0.0,0.7,842.2
601,Cody Schrader,SF,RB,17,0.0,0.0,0.0,73.2,0.2,2.2,13.8,0.1,0.0,0.0,0.0,0.0,0.7,840.9
602,Albert Okwuegbunam Jr.,PHI,TE,17,0.0,0.0,0.0,0.0,0.0,3.0,33.4,0.3,0.0,0.0,0.0,0.0,0.4,840.2
603,Hassan Haskins,TEN,RB,17,0.0,0.0,0.0,63.2,0.2,3.0,18.7,0.0,0.0,0.0,0.0,0.0,0.6,840.1
604,Myles Gaskin,MIN,RB,17,0.0,0.0,0.0,62.2,0.4,1.6,11.7,0.0,0.0,0.0,0.0,0.0,0.6,839.8
605,Dante Miller,NYG,RB,17,0.0,0.0,0.0,29.3,0.2,4.2,28.2,0.2,0.0,0.0,0.0,0.0,0.6,839.5
606,Chris Manhertz,NYG,TE,17,0.0,0.0,0.0,0.0,0.0,3.2,29.8,0.2,0.0,0.0,0.0,0.0,0.3,839.4
607,Julian Hill,MIA,TE,17,0.0,0.0,0.0,0.0,0.0,2.9,29.2,0.2,0.0,0.0,0.0,0.0,0.3,839.2
608,Salvon Ahmed,MIA,RB,17,0.0,0.0,0.0,48.6,0.0,3.7,27.7,0.0,0.0,0.0,0.0,0.0,0.5,838.7
609,Travis Homer,CHI,RB,17,0.0,0.0,0.0,35.4,0.1,3.4,25.5,0.1,0.0,0.0,0.0,0.0,0.5,838.2
610,Mitchell Wilcox,NE,TE,17,0.0,0.0,0.0,0.0,0.0,2.8,25.9,0.1,0.0,0.0,0.0,0.0,0.3,838.2
611,DeeJay Dallas,ARI,RB,17,0.0,0.0,0.0,38.6,0.0,4.2,29.7,0.0,0.0,0.0,0.0,0.0,0.5,838.2
612,Shane Zylstra,DET,TE,17,0.0,0.0,0.0,0.0,0.0,2.3,21.0,0.2,0.0,0.0,0.0,0.0,0.3,838.0
613,Nick Vannett,TEN,TE,17,0.0,0.0,0.0,0.0,0.0,2.5,25.2,0.1,0.0,0.0,0.0,0.0,0.3,838.0
614,Tre' McKitty,BUF,TE,17,0.0,0.0,0.0,0.0,0.0,2.0,19.8,0.2,0.0,0.0,0.0,0.0,0.2,837.8
615,Malik Davis,DAL,RB,17,0.0,0.0,0.0,45.7,0.0,3.1,24.0,0.0,0.0,0.0,0.0,0.0,0.5,837.8
616,Dalton Keene,HOU,TE,17,0.0,0.0,0.0,0.0,0.0,1.9,20.1,0.2,0.0,0.0,0.0,0.0,0.2,837.8
617,La'Mical Perine,PIT,RB,17,0.0,0.0,0.0,0.2,0.0,6.2,41.7,0.2,0.0,0.0,0.0,0.0,0.5,837.7
618,Brady Russell,SEA,TE,17,0.0,0.0,0.0,0.0,0.0,1.9,18.1,0.2,0.0,0.0,0.0,0.0,0.2,837.6
619,Daijun Edwards,PIT,RB,17,0.0,0.0,0.0,41.3,0.3,1.8,14.3,0.0,0.0,0.0,0.0,0.0,0.5,837.5
620,Eric Tomlinson,IND,TE,17,0.0,0.0,0.0,0.0,0.0,1.8,17.7,0.2,0.0,0.0,0.0,0.0,0.2,837.5
621,Zack Kuntz,NYJ,TE,17,0.0,0.0,0.0,0.0,0.0,1.7,16.0,0.2,0.0,0.0,0.0,0.0,0.2,837.2
622,Keilan Robinson,JAX,RB,17,0.0,0.0,0.0,40.2,0.2,2.3,16.0,0.0,0.0,0.0,0.0,0.0,0.5,837.2
623,Nate Adkins,DEN,TE,17,0.0,0.0,0.0,0.0,0.0,1.7,15.3,0.2,0.0,0.0,0.0,0.0,0.2,837.2
624,Keaontay Ingram,KC,RB,17,0.0,0.0,0.0,39.2,0.1,2.5,14.2,0.1,0.0,0.0,0.0,0.0,0.5,837.0
625,Stephen Carlson,CHI,TE,17,0.0,0.0,0.0,0.0,0.0,2.0,17.7,0.1,0.0,0.0,0.0,0.0,0.2,837.0
626,Tyler Davis,GB,TE,17,0.0,0.0,0.0,0.0,0.0,1.8,17.1,0.1,0.0,0.0,0.0,0.0,0.2,836.8
627,Eric Saubert,SF,TE,17,0.0,0.0,0.0,0.0,0.0,1.8,17.0,0.1,0.0,0.0,0.0,0.0,0.2,836.8
628,Darrynton Evans,BUF,RB,17,0.0,0.0,0.0,18.8,0.1,2.8,20.4,0.2,0.0,0.0,0.0,0.0,0.4,836.4
629,Zach Gentry,LV,TE,17,0.0,0.0,0.0,0.0,0.0,1.5,13.0,0.1,0.0,0.0,0.0,0.0,0.2,836.2
630,Sean Tucker,TB,RB,17,0.0,0.0,0.0,37.4,0.1,1.8,13.9,0.0,0.0,0.0,0.0,0.0,0.4,835.9
631,Patrick Taylor Jr.,SF,RB,17,0.0,0.0,0.0,25.9,0.1,2.3,16.5,0.1,0.0,0.0,0.0,0.0,0.4,835.8
632,Rodney Williams,PIT,TE,17,0.0,0.0,0.0,0.0,0.0,0.9,7.9,0.1,0.0,0.0,0.0,0.0,0.1,835.4
633,JaMycal Hasty,NE,RB,17,0.0,0.0,0.0,28.7,0.0,2.4,17.6,0.0,0.0,0.0,0.0,0.0,0.3,835.1
634,Emanuel Wilson,GB,RB,17,0.0,0.0,0.0,34.3,0.0,1.9,14.2,0.0,0.0,0.0,0.0,0.0,0.3,835.0
635,Nick Muse,MIN,TE,17,0.0,0.0,0.0,0.0,0.0,0.9,9.1,0.0,0.0,0.0,0.0,0.0,0.1,835.0
636,Jesper Horsted,NO,TE,17,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.1,834.5
637,Tyler Mabry,SEA,TE,17,0.0,0.0,0.0,0.0,0.0,0.4,3.7,0.0,0.0,0.0,0.0,0.0,0.0,834.2
638,Jermar Jefferson,DET,RB,17,0.0,0.0,0.0,9.4,0.0,2.1,15.9,0.2,0.0,0.0,0.0,0.0,0.3,834.0
639,Jashaun Corbin,NYG,RB,17,0.0,0.0,0.0,15.3,0.2,1.8,11.2,0.0,0.0,0.0,0.0,0.0,0.3,834.0
640,Snoop Conner,DAL,RB,17,0.0,0.0,0.0,9.2,0.0,2.1,15.6,0.2,0.0,0.0,0.0,0.0,0.3,834.0
641,Zonovan Knight,DET,RB,17,0.0,0.0,0.0,10.3,0.0,2.0,14.9,0.2,0.0,0.0,0.0,0.0,0.3,834.0
642,Tucker Fisk,ATL,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,833.6
643,Brevyn Spann-Ford,DAL,TE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833.6
644,Tanner Conner,MIA,TE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833.6
645,Sean McKeon,DET,TE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833.6
646,Darren Waller,NYG,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,833.6
647,Feleipe Franks,CAR,TE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833.6
648,David Wells,TB,TE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833.6
649,Tyree Jackson,NYG,TE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833.6
650,Jake Tonges,SF,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,833.6
651,Jordan Matthews,CAR,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,833.6
652,John Stephens Jr.,DAL,TE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833.6
653,Noah Togiai,PHI,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,833.6
654,Jake Funk,DET,RB,17,0.0,0.0,0.0,8.4,0.0,1.8,13.7,0.2,0.0,0.0,0.0,0.0,0.3,833.6
655,J.J. Taylor,HOU,RB,17,0.0,0.0,0.0,7.4,0.0,1.9,13.6,0.2,0.0,0.0,0.0,0.0,0.2,833.5
656,Chris Brooks,MIA,RB,17,0.0,0.0,0.0,7.6,0.0,1.9,12.4,0.2,0.0,0.0,0.0,0.0,0.2,833.4
657,James Robinson,NO,RB,17,0.0,0.0,0.0,8.5,0.0,1.7,11.1,0.2,0.0,0.0,0.0,0.0,0.2,833.3
658,John Kelly Jr.,CLE,RB,17,0.0,0.0,0.0,9.9,0.0,2.0,13.8,0.1,0.0,0.0,0.0,0.0,0.2,833.2
659,Tyrion Davis-Price,PHI,RB,17,0.0,0.0,0.0,14.6,0.0,1.1,4.6,0.0,0.0,0.0,0.0,0.0,0.1,831.7
660,Mike Boone,CAR,RB,17,0.0,0.0,0.0,0.4,0.0,1.7,12.2,0.0,0.0,0.0,0.0,0.0,0.1,831.4
661,Louis Rees-Zammit,KC,RB,17,0.0,0.0,0.0,18.7,0.0,0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.1,831.4
662,Brittain Brown,LV,RB,17,0.0,0.0,0.0,0.0,0.0,0.4,3.7,0.0,0.0,0.0,0.0,0.0,0.0,829.8
663,Jordan Mims,NO,RB,17,0.0,0.0,0.0,2.7,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,829.7
664,Xazavian Valladay,NYJ,RB,17,0.0,0.0,0.0,1.8,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,829.6
665,Jonathan Ward,PIT,RB,17,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,829.3
666,Tony Jones,ARI,RB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,829.2
667,George Holani,SEA,RB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,829.2
668,Dillon Johnson,TEN,RB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,829.2
669,Tyler Badie,DEN,RB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,829.2
