player,player_id,position,player_game_count,team_name,dropbacks,attempts,no_pressure_dropback_percent,no_pressure_dropbacks,no_pressure_attempts,no_pressure_completions,no_pressure_completion_percent,no_pressure_thrown_aways,no_pressure_hit_as_threw,no_pressure_drops,no_pressure_yards,no_pressure_touchdowns,no_pressure_interceptions,no_pressure_accuracy_percent,no_pressure_qb_rating
Drew Brees,802,QB,16,NO,653,635,72.7,475,473,327,69.1,2,0,0,4237,32,10,72.3,110.8
Jay Cutler,2956,QB,16,DEN,651,616,74.2,483,472,313,66.3,2,0,0,3644,19,13,68.9,91.5
Kurt Warner,112,QB,16,ARZ,625,598,67.0,419,418,308,73.7,2,0,0,3282,23,8,76.6,106.6
Donovan McNabb,438,QB,16,PHI,618,571,73.3,453,445,285,64.0,3,0,0,3191,18,9,66.4,90.4
Peyton Manning,327,QB,16,IND,573,555,69.6,399,399,281,70.4,6,0,0,3079,25,6,73.8,107.5
Aaron Rodgers,2241,QB,16,GB,599,536,71.8,430,415,289,69.6,4,0,0,3408,24,9,71.7,104.6
David Garrard,1109,QB,16,JAX,616,535,65.4,403,385,257,66.8,2,0,0,2817,10,10,68.5,86.0
Brett Favre,14,QB,16,NYJ,559,522,78.9,441,434,304,70.0,3,0,0,3051,20,14,71.9,91.7
Matt Cassel,2447,QB,16,NE,602,516,72.8,438,411,284,69.1,6,0,0,3122,20,7,72.8,100.4
Jason Campbell,2242,QB,16,WAS,571,506,68.3,390,380,250,65.8,2,0,0,2468,9,3,69.3,88.6
Eli Manning,1722,QB,16,NYG,510,479,74.3,379,375,245,65.3,2,0,0,2639,19,5,67.5,97.2
Philip Rivers,1725,QB,16,SD,515,478,70.7,364,357,251,70.3,13,0,0,3145,27,9,73.8,112.1
Chad Pennington,596,QB,16,MIA,509,474,73.3,373,367,267,72.8,0,0,0,2953,16,5,74.0,105.1
Ben Roethlisberger,1732,QB,16,PIT,532,468,65.8,350,341,218,63.9,1,0,0,2552,15,8,65.9,91.4
Kyle Orton,2323,QB,15,CHI,501,465,71.9,360,358,224,62.6,4,0,0,2414,19,7,66.1,91.9
Tony Romo,1693,QB,13,DAL,480,450,66.0,317,310,211,68.1,3,0,0,2597,21,8,69.4,105.5
Marc Bulger,684,QB,15,STR,484,439,77.1,373,368,217,59.0,4,0,0,2253,10,12,61.1,72.2
Matt Ryan,4317,QB,16,ATL,472,434,73.5,347,329,216,65.7,7,0,0,2655,14,7,68.1,95.7
Joe Flacco,4332,QB,16,BLT,474,428,69.8,331,327,212,64.8,8,0,0,2453,9,9,67.7,85.1
Tyler Thigpen,3833,QB,14,KC,480,420,76.7,368,346,205,59.2,2,0,0,2309,17,8,60.8,86.0
Kerry Collins,115,QB,16,TEN,429,415,76.9,330,324,203,62.7,6,0,0,2148,10,5,65.7,85.8
Jake Delhomme,303,QB,16,CAR,439,414,74.7,328,326,209,64.1,1,0,0,2761,15,7,67.6,97.2
Matt Schaub,1811,QB,11,HST,416,380,68.5,285,280,204,72.9,4,0,0,2463,10,6,77.9,102.4
Jeff Garcia,550,QB,12,TB,425,376,72.5,308,289,209,72.3,0,0,0,2185,6,4,75.2,95.0
Trent Edwards,3708,QB,14,BUF,415,374,72.0,299,289,196,67.8,2,0,0,2053,7,7,70.0,86.2
Ryan Fitzpatrick,2467,QB,12,CIN,448,372,70.5,316,296,194,65.5,2,0,0,1706,7,6,69.0,80.2
JaMarcus Russell,3617,QB,15,OAK,409,368,68.0,278,271,159,58.7,6,0,0,1938,10,5,61.2,85.4
Gus Frerotte,93,QB,11,MIN,334,301,71.0,237,233,148,63.5,1,0,0,1746,10,10,66.7,82.7
Shaun Hill,1255,QB,9,SF,325,288,70.2,228,220,146,66.4,4,0,0,1613,13,7,69.5,94.4
Derek Anderson,2430,QB,10,CLV,306,283,71.6,219,210,112,53.3,3,0,0,1278,6,6,56.0,69.5
Dan Orlovsky,2362,QB,10,DET,272,255,70.2,191,189,120,63.5,3,0,0,1397,7,5,66.3,87.1
Seneca Wallace,1422,QB,9,SEA,265,242,59.2,157,155,103,66.5,1,0,0,1018,7,0,68.2,99.9
J.T. O'Sullivan,1169,QB,9,SF,273,220,59.3,162,157,104,66.2,3,0,0,1368,6,8,68.9,85.1
Matt Hasselbeck,408,QB,7,SEA,239,209,65.7,157,152,92,60.5,2,0,0,1011,4,5,62.6,75.3
Brian Griese,379,QB,5,TB,194,184,74.2,144,143,94,65.7,1,0,0,888,5,5,68.1,79.8
Sage Rosenfels,863,QB,6,HST,189,174,74.1,140,136,98,72.1,0,0,0,1280,5,7,74.8,92.2
Tarvaris Jackson,3009,QB,7,MIN,178,149,60.7,108,102,67,65.7,0,0,0,787,8,2,68.4,106.9
Carson Palmer,1317,QB,4,CIN,144,129,75.7,109,108,67,62.0,1,0,0,680,2,3,67.0,74.6
Jon Kitna,217,QB,4,DET,139,120,70.5,98,95,55,57.9,1,0,0,631,4,5,59.8,70.1
Daunte Culpepper,446,QB,5,DET,134,115,55.2,74,70,38,54.3,0,0,0,407,1,4,58.5,52.5
J.P. Losman,1743,QB,4,BUF,125,104,67.2,84,81,53,65.4,0,0,0,417,1,3,67.9,66.7
Ken Dorsey,1535,QB,4,CLV,96,91,62.5,60,60,34,56.7,1,0,0,249,0,5,59.6,31.9
Brady Quinn,3638,QB,3,CLV,93,89,71.0,66,63,34,54.0,0,0,0,387,0,2,54.8,59.4
Damon Huard,215,QB,5,KC,91,81,63.7,58,58,35,60.3,0,0,0,260,1,4,64.8,48.1
Brad Johnson,31,QB,3,DAL,86,78,66.3,57,57,35,61.4,0,0,0,337,1,2,63.6,69.1
Trent Green,58,QB,3,STR,80,72,67.5,54,52,31,59.6,0,0,0,442,0,4,59.6,55.1
Rex Grossman,1338,QB,3,CHI,64,62,73.4,47,47,25,53.2,3,0,0,217,1,1,56.8,63.9
Andrew Walter,2286,QB,2,OAK,56,49,78.6,44,42,18,42.9,2,0,0,174,0,3,46.2,25.3
Byron Leftwich,1323,QB,5,PIT,40,36,57.5,23,23,14,60.9,0,0,0,168,1,0,66.7,97.7
Vince Young,2948,QB,3,TEN,45,36,73.3,33,29,20,69.0,0,0,0,192,1,1,71.4,84.3
Kevin Kolb,3652,QB,4,PHI,36,34,83.3,30,29,17,58.6,0,0,0,144,0,3,60.7,32.0
Jim Sorgi,1910,QB,1,IND,31,30,87.1,27,26,21,80.8,0,0,0,172,0,0,80.8,94.2
Matt Leinart,2955,QB,4,ARZ,32,29,78.1,25,24,13,54.2,0,0,0,214,1,1,56.5,80.9
Brodie Croyle,3030,QB,2,KC,30,29,53.3,16,16,11,68.8,0,0,0,66,0,0,73.3,76.6
Charlie Frye,2284,QB,1,SEA,28,23,64.3,18,17,8,47.1,0,0,0,67,1,2,50.0,37.7
Bruce Gradkowski,3139,QB,2,CLV,26,21,65.4,17,17,7,41.2,0,0,0,26,0,1,43.8,24.4
Brooks Bollinger,1502,QB,2,DAL,20,17,65.0,13,13,8,61.5,0,0,0,55,0,1,61.5,38.9
Drew Stanton,3659,QB,3,DET,26,17,73.1,19,16,9,56.3,0,0,0,119,1,0,56.3,100.8
David Carr,1009,QB,2,NYG,16,12,68.8,11,10,8,80.0,0,0,0,97,2,0,80.0,146.7
Chad Henne,4371,QB,1,MIA,12,12,75.0,9,9,6,66.7,0,0,0,61,0,0,66.7,85.9
Jordan Palmer,3821,QB,3,CIN,15,12,80.0,12,11,7,63.6,0,0,0,41,0,2,63.6,31.1
