player,player_id,position,player_game_count,team_name,dropbacks,attempts,no_pressure_dropback_percent,no_pressure_dropbacks,no_pressure_attempts,no_pressure_completions,no_pressure_completion_percent,no_pressure_thrown_aways,no_pressure_hit_as_threw,no_pressure_drops,no_pressure_yards,no_pressure_touchdowns,no_pressure_interceptions,no_pressure_accuracy_percent,no_pressure_qb_rating
Brett Favre,14,QB,16,GB,637,612,74.6,475,471,277,58.8,2,0,34,3116,17,17,68.1,75.7
Jon Kitna,217,QB,16,DET,676,595,62.9,425,418,281,67.2,5,0,18,3240,16,13,73.8,90.2
Marc Bulger,684,QB,16,STR,641,588,71.6,459,458,299,65.3,4,0,15,3310,19,5,71.2,95.9
Peyton Manning,327,QB,16,IND,577,557,72.4,418,415,278,67.0,5,0,23,3315,26,8,75.4,104.0
Drew Brees,802,QB,16,NO,583,553,72.4,422,416,282,67.8,5,0,34,3500,22,7,80.8,104.2
Eli Manning,1722,QB,16,NYG,551,522,63.9,352,350,215,61.4,1,0,22,2207,19,10,70.1,85.7
Carson Palmer,1317,QB,16,CIN,560,520,67.7,379,375,262,69.9,3,0,17,3308,21,10,76.6,104.6
Tom Brady,698,QB,16,NE,556,516,70.3,391,381,265,69.6,5,1,26,2886,18,5,79.3,101.9
Chad Pennington,596,QB,16,NYJ,536,485,73.5,394,374,244,65.2,2,0,12,2474,10,11,71.7,80.7
Rex Grossman,1338,QB,16,CHI,501,479,65.1,326,326,195,59.8,7,0,11,2305,18,12,66.7,84.5
Ben Roethlisberger,1732,QB,15,PIT,530,469,60.6,321,314,205,65.3,4,0,16,2456,13,13,74.2,85.6
Steve McNair,114,QB,16,BLT,494,467,68.6,339,330,217,65.8,7,0,10,2257,13,11,73.0,84.6
Philip Rivers,1725,QB,16,SD,501,460,67.3,337,327,223,68.2,6,0,14,2591,13,7,75.0,96.3
Alex Smith,2218,QB,16,SF,502,442,62.2,312,300,189,63.0,5,0,9,2185,12,13,71.0,80.2
David Carr,1009,QB,16,HST,506,441,66.0,334,318,235,73.9,1,0,16,2072,8,5,82.3,92.6
Brad Johnson,31,QB,15,MIN,485,438,67.6,328,318,209,65.7,2,0,18,2048,7,9,75.2,79.2
Jake Delhomme,303,QB,13,CAR,455,430,71.2,324,321,217,67.6,3,0,18,2372,12,4,76.3,96.5
J.P. Losman,1743,QB,16,BUF,492,428,65.9,324,317,220,69.4,1,0,5,2352,15,8,74.5,96.1
Charlie Frye,2284,QB,13,CLV,473,394,63.2,299,286,196,68.5,1,0,19,1913,8,11,77.1,80.4
Joey Harrington,1011,QB,11,MIA,408,388,69.6,284,282,172,61.0,7,0,23,1672,6,11,73.0,68.5
Michael Vick,773,QB,16,ATL,489,388,60.7,297,268,160,59.7,1,0,24,1907,13,9,70.8,83.7
Matt Leinart,2955,QB,12,ARZ,410,377,60.5,248,240,155,64.6,1,0,7,1880,9,7,72.0,88.9
Matt Hasselbeck,408,QB,12,SEA,412,368,70.4,290,283,176,62.2,3,0,26,2023,14,9,73.7,86.9
Vince Young,2948,QB,15,TEN,424,357,66.7,283,258,141,54.7,1,1,19,1719,8,7,64.8,74.4
Tony Romo,1693,QB,12,DAL,376,337,67.0,252,243,170,70.0,5,0,11,2229,14,11,77.0,98.9
Bruce Gradkowski,3139,QB,13,TB,384,328,55.7,214,199,115,57.8,4,0,16,1031,6,7,70.8,67.2
Jake Plummer,248,QB,12,DEN,345,317,69.6,240,235,144,61.3,3,0,17,1594,9,7,71.2,81.8
Donovan McNabb,438,QB,10,PHI,354,316,63.6,225,217,130,59.9,1,0,20,1958,14,4,71.8,103.4
Andrew Walter,2286,QB,12,OAK,327,276,61.2,200,195,113,57.9,1,0,11,1290,3,13,64.6,55.3
Mark Brunell,51,QB,10,WAS,279,260,65.9,184,181,132,72.9,3,0,9,1480,6,1,81.5,105.7
Damon Huard,215,QB,10,KC,261,244,69.0,180,179,116,64.8,2,0,11,1377,8,1,75.1,100.7
David Garrard,1109,QB,10,JAX,285,241,60.4,172,161,101,62.7,0,0,7,1132,9,6,69.7,86.8
Jason Campbell,2242,QB,7,WAS,228,207,65.8,150,145,80,55.2,0,0,4,933,6,4,60.4,77.2
Trent Green,58,QB,8,KC,229,198,68.6,157,155,103,66.5,0,0,9,1188,6,7,72.7,83.5
