player,player_id,position,player_game_count,team_name,dropbacks,attempts,no_pressure_dropback_percent,no_pressure_dropbacks,no_pressure_attempts,no_pressure_completions,no_pressure_completion_percent,no_pressure_thrown_aways,no_pressure_hit_as_threw,no_pressure_drops,no_pressure_yards,no_pressure_touchdowns,no_pressure_interceptions,no_pressure_accuracy_percent,no_pressure_qb_rating
Peyton Manning,327,QB,16,DEN,677,659,77.3,523,523,371,70.9,5,0,32,4382,49,7,78.9,121.8
Matt Ryan,4317,QB,16,ATL,703,651,58.7,413,411,304,74.0,2,0,26,3026,18,9,83.1,99.9
Drew Brees,802,QB,16,NO,699,650,70.2,491,485,367,75.7,3,0,17,4266,29,6,80.5,116.6
Matthew Stafford,4924,QB,16,DET,668,634,71.1,475,469,296,63.1,4,0,44,3679,26,12,75.6,95.2
Tom Brady,698,QB,16,NE,671,628,67.4,452,450,297,66.0,2,0,45,3180,20,6,77.7,95.8
Joe Flacco,4332,QB,16,BLT,677,614,64.3,435,426,272,63.8,4,0,25,2937,16,12,71.4,84.8
Ryan Tannehill,7014,QB,16,MIA,661,588,66.4,439,434,287,66.1,4,0,24,3037,19,7,74.2,94.2
Andy Dalton,6187,QB,16,CIN,640,586,74.8,479,464,316,68.1,6,0,23,3636,30,14,76.4,100.5
Ben Roethlisberger,1732,QB,16,PIT,639,584,67.6,432,429,298,69.5,2,0,27,3206,18,7,78.9,98.3
Carson Palmer,1317,QB,16,ARZ,618,572,59.7,369,367,261,71.1,0,0,11,3126,21,7,76.2,108.0
Andrew Luck,7007,QB,16,IND,645,570,62.5,403,382,260,68.1,1,0,23,2726,16,3,75.3,99.2
Eli Manning,1722,QB,16,NYG,596,551,59.4,354,353,222,62.9,7,0,24,2569,11,17,72.4,75.1
Philip Rivers,1725,QB,16,SD,590,544,66.4,392,382,285,74.6,4,0,15,3180,24,7,81.5,112.2
Tony Romo,1693,QB,15,DAL,579,535,64.9,376,370,262,70.8,1,0,20,2951,24,5,77.3,110.3
Alex Smith,2218,QB,15,KC,593,508,65.8,390,366,243,66.4,5,0,26,2554,19,6,76.6,97.0
Chad Henne,4371,QB,15,JAX,551,503,64.4,355,351,224,63.8,7,0,21,2265,11,10,74.5,80.7
Cam Newton,6153,QB,16,CAR,554,473,63.0,349,338,223,66.0,5,0,17,2566,15,5,74.5,97.3
Robert Griffin III,7008,QB,13,WAS,530,456,61.7,327,316,210,66.5,0,0,23,2395,11,7,76.4,91.4
