player,player_id,position,player_game_count,team_name,dropbacks,attempts,no_pressure_dropback_percent,no_pressure_dropbacks,no_pressure_attempts,no_pressure_completions,no_pressure_completion_percent,no_pressure_thrown_aways,no_pressure_hit_as_threw,no_pressure_drops,no_pressure_yards,no_pressure_touchdowns,no_pressure_interceptions,no_pressure_accuracy_percent,no_pressure_qb_rating
Drew Brees,802,QB,16,NO,675,652,75.9,512,508,367,72.2,4,0,16,3731,23,11,78.5,99.0
Tom Brady,698,QB,16,NE,615,578,70.4,433,425,317,74.6,3,0,13,3731,40,5,79.1,127.3
Carson Palmer,1317,QB,16,CIN,596,575,75.3,449,446,312,70.0,1,0,5,3518,21,14,72.7,95.9
Matt Hasselbeck,408,QB,16,SEA,612,562,71.9,440,433,292,67.4,4,0,10,3125,22,7,71.7,98.6
Jon Kitna,217,QB,16,DET,624,561,65.2,407,402,269,66.9,9,0,10,3036,14,13,72.3,87.4
Brett Favre,14,QB,16,GB,556,535,69.4,386,382,270,70.7,3,0,6,3065,20,4,74.2,107.5
Eli Manning,1722,QB,16,NYG,565,529,68.8,389,381,241,63.3,2,0,12,2673,19,16,69.1,83.2
Derek Anderson,2430,QB,16,CLV,554,527,71.5,396,386,235,60.9,4,0,13,2913,25,9,67.2,96.1
Tony Romo,1693,QB,16,DAL,561,520,67.6,379,374,243,65.0,0,0,7,2948,27,12,68.3,99.8
Peyton Manning,327,QB,16,IND,537,514,67.0,360,360,264,73.3,2,0,5,3002,25,4,77.3,116.5
Donovan McNabb,438,QB,14,PHI,546,473,63.9,349,338,229,67.8,4,0,5,2504,16,3,72.4,101.5
Jay Cutler,2956,QB,16,DEN,507,467,70.8,359,353,239,67.7,1,0,5,2791,19,13,70.9,94.0
Philip Rivers,1725,QB,16,SD,491,460,65.6,322,315,209,66.3,7,0,5,2410,16,6,70.6,98.2
Kurt Warner,112,QB,14,ARZ,474,451,66.9,317,315,213,67.6,1,1,9,2538,22,9,73.3,103.4
Jason Campbell,2242,QB,13,WAS,459,416,69.9,321,313,210,67.1,6,0,3,2284,9,8,71.5,87.3
Ben Roethlisberger,1732,QB,15,PIT,474,404,62.4,296,286,201,70.3,1,0,7,2205,25,8,74.6,110.3
Vince Young,2948,QB,15,TEN,460,382,69.1,318,288,195,67.7,1,0,3,2060,9,12,70.5,81.4
Marc Bulger,684,QB,12,STR,417,378,67.9,283,283,183,64.7,1,0,3,1810,9,12,67.4,75.6
