player,player_id,position,player_game_count,team_name,dropbacks,attempts,no_pressure_dropback_percent,no_pressure_dropbacks,no_pressure_attempts,no_pressure_completions,no_pressure_completion_percent,no_pressure_thrown_aways,no_pressure_hit_as_threw,no_pressure_drops,no_pressure_yards,no_pressure_touchdowns,no_pressure_interceptions,no_pressure_accuracy_percent,no_pressure_qb_rating
Peyton Manning,327,QB,16,IND,696,679,74.0,515,515,361,70.1,2,0,0,3608,27,9,70.8,99.9
Drew Brees,802,QB,16,NO,685,658,72.4,496,495,358,72.3,5,0,0,3609,27,13,75.1,100.0
Sam Bradford,5526,QB,16,STR,634,590,65.8,417,416,279,67.1,3,0,0,2711,14,8,69.8,88.3
Carson Palmer,1317,QB,16,CIN,621,586,72.0,447,442,286,64.7,9,0,0,3154,21,14,67.8,88.4
Matt Schaub,1811,QB,16,HST,611,574,69.7,426,421,296,70.3,9,0,0,3574,19,7,74.0,104.2
Matt Ryan,4317,QB,16,ATL,611,571,68.6,419,407,272,66.8,7,0,0,2801,18,8,69.0,93.0
Philip Rivers,1725,QB,16,SD,588,541,65.3,384,378,271,71.7,3,0,0,3585,24,8,73.8,113.7
Eli Manning,1722,QB,16,NYG,565,539,69.2,391,386,271,70.2,2,0,0,3114,21,16,71.9,95.1
Mark Sanchez,4928,QB,15,NYJ,542,506,72.1,391,386,233,60.4,1,0,0,2709,12,9,63.8,82.3
Kyle Orton,2323,QB,13,DEN,540,498,68.7,371,370,230,62.2,2,0,0,2785,16,3,64.2,96.3
Tom Brady,698,QB,16,NE,520,492,68.8,358,357,252,70.6,3,0,0,3018,30,3,72.0,120.6
Chad Henne,4371,QB,15,MIA,539,491,70.3,379,373,253,67.8,9,0,0,2774,11,13,71.9,84.9
Joe Flacco,4332,QB,16,BLT,541,489,67.5,365,360,247,68.6,5,0,0,3002,20,6,70.8,105.6
Aaron Rodgers,2241,QB,15,GB,543,475,72.0,391,369,260,70.5,1,0,0,3253,24,5,72.2,113.6
Josh Freeman,4940,QB,16,TB,543,474,58.9,320,307,206,67.1,2,0,0,2548,15,3,68.7,104.8
Donovan McNabb,438,QB,13,WAS,523,472,59.5,311,302,204,67.5,0,0,0,2438,12,8,69.6,94.2
Matt Cassel,2447,QB,15,KC,496,450,65.7,326,317,203,64.0,8,0,0,2342,20,4,68.8,102.0
Matt Hasselbeck,408,QB,14,SEA,480,444,73.3,352,346,213,61.6,6,0,0,2362,10,13,63.8,75.8
Ryan Fitzpatrick,2467,QB,13,BUF,481,440,66.7,321,316,206,65.2,0,0,0,2376,21,10,67.3,96.7
Jay Cutler,2956,QB,15,CHI,508,432,57.3,291,283,181,64.0,0,0,0,2153,18,9,65.6,95.0
Shaun Hill,1255,QB,11,DET,447,416,71.1,318,311,207,66.6,3,0,0,2209,15,9,69.0,91.2
Ben Roethlisberger,1732,QB,12,PIT,432,389,64.6,279,271,178,65.7,1,0,0,2251,11,3,69.3,100.3
Michael Vick,773,QB,12,PHI,466,372,58.4,272,246,179,72.8,0,0,0,2230,15,1,76.5,119.1
David Garrard,1109,QB,14,JAX,419,366,62.1,260,251,178,70.9,1,0,0,2076,17,10,73.0,101.6
Brett Favre,14,QB,13,MIN,382,358,66.5,254,252,167,66.3,2,0,0,1883,7,10,67.6,81.2
Alex Smith,2218,QB,11,SF,373,342,63.8,238,236,160,67.8,6,0,0,1721,9,7,72.1,89.3
Jason Campbell,2242,QB,13,OAK,377,329,60.5,228,219,138,63.0,3,0,0,1604,10,2,68.0,96.5
Derek Anderson,2430,QB,12,ARZ,354,327,61.0,216,216,117,54.2,2,0,0,1448,6,7,56.0,70.9
Jon Kitna,217,QB,10,DAL,353,318,75.1,265,257,173,67.3,3,0,0,2023,14,11,70.9,91.3
Jimmy Clausen,5573,QB,13,CAR,345,300,65.5,226,218,126,57.8,7,0,0,1231,2,8,62.4,61.5
Kerry Collins,115,QB,10,TEN,291,278,66.3,193,193,121,62.7,6,0,0,1344,12,6,67.2,91.1
