player,player_id,position,player_game_count,team_name,dropbacks,attempts,no_pressure_dropback_percent,no_pressure_dropbacks,no_pressure_attempts,no_pressure_completions,no_pressure_completion_percent,no_pressure_thrown_aways,no_pressure_hit_as_threw,no_pressure_drops,no_pressure_yards,no_pressure_touchdowns,no_pressure_interceptions,no_pressure_accuracy_percent,no_pressure_qb_rating
Matt Schaub,1811,QB,16,HST,626,583,70.0,438,432,323,74.8,4,0,0,3858,24,11,77.8,109.5
Peyton Manning,327,QB,16,IND,583,571,78.2,456,455,324,71.2,2,0,0,3547,28,10,73.0,105.3
Tom Brady,698,QB,16,NE,587,565,74.3,436,431,307,71.2,1,0,0,3502,20,5,72.2,105.9
Jay Cutler,2956,QB,16,CHI,609,555,67.7,412,398,269,67.6,6,0,0,2704,19,15,70.2,86.9
Tony Romo,1693,QB,16,DAL,597,550,69.8,417,408,273,66.9,1,0,0,3499,22,7,68.6,104.4
Kyle Orton,2323,QB,16,DEN,581,541,70.4,409,405,278,68.6,10,0,0,3130,17,7,71.1,98.3
Aaron Rodgers,2241,QB,16,GB,623,541,68.4,426,410,278,67.8,3,0,0,3356,23,6,70.2,105.3
Brett Favre,14,QB,16,MIN,566,531,74.9,424,423,308,72.8,2,0,0,3553,26,3,74.2,115.3
David Garrard,1109,QB,16,JAX,593,516,65.1,386,365,246,67.4,4,0,0,2742,11,8,70.3,90.5
Drew Brees,802,QB,15,NO,539,514,75.1,405,401,307,76.6,1,0,0,3653,31,8,78.7,121.3
Kurt Warner,112,QB,15,ARZ,543,514,70.0,380,376,275,73.1,1,0,0,3027,25,7,76.8,111.0
Eli Manning,1722,QB,16,NYG,546,509,69.8,381,378,251,66.4,0,0,0,3086,21,10,68.4,98.9
Jason Campbell,2242,QB,16,WAS,577,507,65.7,379,367,265,72.2,8,0,0,2696,13,8,76.4,95.6
Ben Roethlisberger,1732,QB,15,PIT,567,506,71.8,407,402,280,69.7,3,0,0,3484,23,8,72.2,107.0
