player,player_id,position,player_game_count,team_name,dropbacks,attempts,no_pressure_dropback_percent,no_pressure_dropbacks,no_pressure_attempts,no_pressure_completions,no_pressure_completion_percent,no_pressure_thrown_aways,no_pressure_hit_as_threw,no_pressure_drops,no_pressure_yards,no_pressure_touchdowns,no_pressure_interceptions,no_pressure_accuracy_percent,no_pressure_qb_rating
Matthew Stafford,4924,QB,16,DET,711,663,75.8,539,534,361,67.6,8,0,0,4095,35,11,69.8,103.6
Drew Brees,802,QB,16,NO,693,657,74.7,518,513,384,74.9,3,0,0,4482,36,11,76.6,115.3
Tom Brady,698,QB,16,NE,656,611,73.8,484,479,335,69.9,2,0,0,4229,31,10,71.0,110.0
Eli Manning,1722,QB,16,NYG,627,589,60.9,382,378,245,64.8,3,0,0,3137,22,9,66.2,100.2
Philip Rivers,1725,QB,16,SD,621,582,70.9,440,434,300,69.1,13,0,0,3794,23,14,72.3,100.3
Ryan Fitzpatrick,2467,QB,16,BUF,617,569,78.0,481,467,308,66.0,0,0,0,3346,22,15,67.8,89.2
Matt Ryan,4317,QB,16,ATL,607,566,71.7,435,423,283,66.9,6,0,0,3402,25,7,69.4,104.2
Josh Freeman,4940,QB,15,TB,609,551,66.3,404,395,266,67.3,2,0,0,2715,14,15,70.0,82.8
Mark Sanchez,4928,QB,16,NYJ,600,543,72.5,435,424,265,62.5,1,0,0,3064,23,13,65.0,89.6
Joe Flacco,4332,QB,16,BLT,582,542,69.6,405,402,250,62.2,2,0,0,2888,17,6,63.5,91.7
Tony Romo,1693,QB,16,DAL,565,522,68.7,388,385,269,69.9,6,0,0,3254,24,6,73.5,109.8
Matt Hasselbeck,408,QB,16,TEN,544,518,79.0,430,425,276,64.9,4,0,0,3062,15,9,67.8,89.2
Cam Newton,6153,QB,16,CAR,600,517,65.3,392,374,240,64.2,1,0,0,2973,16,11,65.6,90.7
Andy Dalton,6187,QB,16,CIN,563,516,75.5,425,415,261,62.9,7,0,0,2839,16,13,66.1,82.8
Ben Roethlisberger,1732,QB,15,PIT,566,513,67.3,381,378,250,66.1,0,0,0,3247,15,12,68.1,93.0
Aaron Rodgers,2241,QB,15,GB,580,502,72.4,420,396,293,74.0,2,0,0,3976,41,6,75.5,133.8
Colt McCoy,5609,QB,13,CLV,534,462,66.5,355,337,206,61.1,1,0,0,2177,12,7,63.2,83.2
Rex Grossman,1338,QB,13,WAS,487,458,63.0,307,304,197,64.8,3,0,0,2368,11,9,68.4,88.3
Tarvaris Jackson,3009,QB,15,SEA,512,450,61.7,316,305,214,70.2,3,0,0,2307,10,4,72.3,97.5
Alex Smith,2218,QB,16,SF,515,445,62.1,320,307,216,70.4,6,0,0,2369,13,3,74.0,102.9
Michael Vick,773,QB,13,PHI,498,423,60.0,299,279,192,68.8,2,0,0,2415,11,7,73.3,98.2
Blaine Gabbert,6162,QB,15,JAX,475,413,67.8,322,311,169,54.3,3,0,0,1682,9,8,56.7,68.8
Sam Bradford,5526,QB,10,STR,398,357,65.6,261,259,153,59.1,2,0,0,1702,4,6,61.2,74.2
Matt Moore,4018,QB,13,MIA,393,346,67.4,265,262,171,65.3,2,0,0,2013,13,6,67.1,95.5
Carson Palmer,1317,QB,10,OAK,350,328,70.0,245,243,156,64.2,3,0,0,2140,11,6,66.7,97.1
Jay Cutler,2956,QB,10,CHI,345,314,61.7,213,209,123,58.9,4,0,0,1500,10,5,60.3,87.0
Matt Schaub,1811,QB,10,HST,313,292,65.2,204,200,139,69.5,2,0,0,1904,12,5,73.5,109.3
