player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Clinton Portis,1058,HB,WAS,16,324,34,10,15.9,201,0,1255,4,9,34,758,27.3,30,61,32,7,60,52.8,60.7,60.4,67.0,78.1,69.4,56.9,54.7,32,1,389,47,282,361,7,1,56,370,11,1262,760,2.35,3.9,1.38,12
Edgerrin James,439,HB,ARZ,16,323,35,9,14.3,175,0,1221,5,7,35,676,25.3,17,52,1,5,87,54.6,60.7,30.5,,71.1,41.9,63.8,65.5,27,2,208,24,232,356,0,0,33,347,7,1221,676,2.09,3.8,0.9,0
Willie Parker,2142,HB,PIT,15,321,25,20,33.4,440,0,1316,2,5,25,532,14.5,32,50,25,4,83,59.8,53.5,51.7,49.1,73.9,55.6,53.9,70.1,32,1,164,23,166,337,0,0,27,344,2,1316,532,1.66,4.1,0.99,0
LaDainian Tomlinson,777,HB,SD,16,315,36,26,41.3,609,0,1474,2,11,36,746,29.7,44,75,27,0,111,91.7,80.0,38.2,68.9,74.5,80.2,75.3,66.5,49,2,475,60,328,353,0,0,82,375,15,1474,746,2.37,4.7,1.45,0
Thomas Jones,585,HB,NYJ,16,310,33,7,12.7,142,0,1122,0,3,33,579,19.9,27,56,22,3,59,69.1,65.8,59.4,,84.2,65.6,61.6,57.9,36,1,217,28,208,361,0,0,30,338,1,1122,579,1.87,3.6,1.04,5
LenDale White,2990,HB,TEN,16,303,24,5,10.4,116,1,1115,2,1,24,706,18.0,22,57,31,5,50,47.1,58.0,56.1,,77.2,48.0,57.9,76.2,28,1,114,20,234,353,0,0,29,323,7,1115,706,2.33,3.7,0.49,11
Jamal Lewis,583,HB,CLV,15,298,39,14,28.8,378,0,1312,1,4,39,771,33.9,33,59,8,3,83,67.7,59.9,51.2,,56.7,65.8,59.2,60.3,66,2,248,30,201,325,0,0,36,328,9,1312,771,2.59,4.4,1.23,11
Willis McGahee,1339,HB,BLT,15,294,39,15,28.4,343,0,1206,2,11,39,751,37.9,32,57,3,4,112,68.3,70.7,83.9,,84.8,77.4,64.1,57.1,46,0,231,43,166,316,0,0,48,337,7,1206,751,2.55,4.1,1.39,5
Marshawn Lynch,3628,HB,BUF,13,280,52,9,23.6,263,0,1115,1,9,52,648,47.4,25,52,4,2,66,75.8,80.1,48.2,68.9,55.3,61.1,79.1,57.4,56,1,186,18,134,300,0,0,24,298,7,1115,648,2.31,4.0,1.39,10
Brian Westbrook,1094,HB,PHI,15,278,39,19,30.4,408,0,1340,10,15,39,655,34.6,39,73,24,1,33,88.5,77.7,67.3,,81.0,67.4,79.0,48.2,36,1,771,90,464,323,0,0,109,368,7,1340,655,2.36,4.8,1.66,9
Joseph Addai,2975,HB,IND,15,261,33,6,10.2,109,0,1072,1,7,33,546,27.8,27,65,14,0,53,91.3,80.8,86.0,,70.8,75.1,78.2,57.5,23,0,359,40,297,279,0,0,43,301,12,1072,546,2.09,4.1,1.21,12
Frank Gore,2282,HB,SF,15,260,26,12,22.9,253,1,1103,7,13,26,617,29.6,28,43,28,4,112,54.9,55.2,17.5,,66.4,50.1,58.5,42.7,43,4,436,53,264,285,0,0,65,313,5,1103,617,2.37,4.2,1.65,0
DeShaun Foster,1041,HB,CAR,16,247,36,3,6.0,53,0,890,4,8,36,436,28.6,22,42,5,7,44,27.0,50.2,21.6,,57.3,39.5,55.3,55.9,20,2,188,25,180,268,0,0,37,272,3,890,436,1.77,3.6,1.04,3
Adrian Peterson,3623,HB,MIN,14,238,46,22,49.1,659,0,1341,3,6,46,726,61.7,43,63,18,4,57,52.0,90.8,44.0,,54.5,66.5,90.5,56.9,73,1,268,19,142,265,0,0,22,257,12,1341,726,3.05,5.6,1.89,10
Steven Jackson,1745,HB,SL,12,237,25,8,31.8,319,0,1002,3,10,25,583,31.3,15,37,26,5,53,39.2,69.4,83.9,67.9,75.0,47.6,71.5,59.1,54,0,271,38,240,254,0,0,48,275,5,1002,583,2.46,4.2,1.13,4
Warrick Dunn,236,HB,ATL,16,228,30,8,23.7,171,0,721,7,5,30,372,21.5,15,36,2,2,53,71.8,53.3,58.7,,73.0,37.4,56.0,59.3,38,2,238,37,229,247,0,0,55,265,4,721,372,1.63,3.2,1.04,7
Fred Taylor,333,HB,JAX,15,222,51,17,44.0,538,0,1223,2,4,51,692,74.2,36,45,15,2,75,69.1,90.0,81.4,,87.3,44.0,90.0,57.3,80,0,58,9,141,242,0,0,13,231,5,1223,692,3.12,5.5,0.41,1
Earnest Graham,1613,HB,TB,15,222,31,7,17.5,157,0,898,7,7,31,565,35.7,21,46,30,1,86,83.6,64.1,85.6,,75.6,51.4,64.5,75.5,28,0,324,49,278,244,0,0,65,271,10,898,565,2.55,4.0,1.17,1
Justin Fargas,1410,HB,OAK,14,222,19,11,25.8,261,0,1011,3,3,19,560,22.7,24,53,23,3,12,70.4,65.8,83.8,,68.4,47.6,67.7,60.0,48,0,188,23,167,250,0,0,31,245,4,1011,560,2.52,4.6,1.13,2
Shaun Alexander,597,HB,SEA,13,207,23,14,35.9,257,0,716,6,3,23,422,24.0,22,37,29,2,35,67.5,48.3,82.4,,44.7,29.8,55.5,58.7,25,0,76,14,182,225,0,0,23,221,4,716,422,2.04,3.5,0.42,4
Marion Barber III,2326,HB,DAL,16,204,51,15,36.4,357,0,981,2,11,51,559,68.5,27,49,9,3,58,61.8,90.0,84.5,,82.6,64.7,90.2,58.1,54,0,282,44,232,217,0,0,52,248,10,981,559,2.74,4.8,1.22,4
Brandon Jacobs,2327,HB,NYG,11,202,33,14,26.8,271,0,1012,9,7,33,520,45.8,26,51,21,5,82,32.8,63.0,84.4,,77.9,28.6,68.0,58.6,43,0,174,23,154,217,0,0,35,225,4,1012,520,2.57,5.0,1.13,1
Cedric Benson,2221,HB,CHI,11,196,15,4,14.8,100,0,674,5,4,15,323,14.7,17,34,6,3,59,53.2,42.4,81.1,,58.0,37.1,46.9,50.7,43,0,123,17,114,213,0,0,26,213,4,674,323,1.65,3.4,1.08,6
Ron Dayne,589,HB,HST,13,194,12,6,19.3,149,0,773,1,2,12,399,13.6,16,43,13,1,32,80.2,56.2,81.6,,75.1,62.1,54.3,50.6,39,1,112,17,147,211,0,0,21,211,6,773,399,2.06,4.0,0.76,2
Ryan Grant,2609,HB,GB,14,189,28,17,48.5,464,0,956,1,2,28,459,33.3,24,36,12,1,7,80.1,72.6,82.8,,69.7,60.8,71.7,69.9,66,0,145,30,138,201,0,0,34,219,8,956,459,2.43,5.1,1.05,7
Laurence Maroney,2966,HB,NE,13,185,24,4,17.1,144,0,840,1,2,24,392,29.1,18,49,19,0,51,90.5,77.7,34.4,,57.8,56.5,77.6,56.7,59,1,116,4,85,210,0,0,6,189,6,840,392,2.12,4.5,1.36,5
Kenny Watson,1001,HB,CIN,16,178,13,5,11.4,89,0,780,1,9,13,353,19.0,14,40,7,3,29,59.0,70.7,54.5,,65.6,65.7,70.8,68.7,24,1,374,52,290,204,0,0,65,230,7,780,353,1.98,4.4,1.29,1
Rudi Johnson,857,HB,CIN,11,170,22,4,14.5,72,0,498,0,2,22,304,23.5,7,27,7,3,22,46.9,51.2,37.3,,49.5,51.6,53.7,56.7,22,1,110,13,151,198,0,0,15,183,3,498,304,1.79,2.9,0.73,2
Travis Henry,825,HB,DEN,12,167,28,8,22.3,154,0,691,1,0,28,411,39.6,19,37,10,2,24,60.6,60.7,82.0,,70.6,46.4,62.5,57.1,33,0,65,7,157,201,0,0,13,174,4,691,411,2.46,4.1,0.41,11
