player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Reggie Wayne,800,WR,IND,16,11.4,5,64.5,,0,0,0,7.5,9,72,14,1,66.4,60.8,76.4,72.6,75.7,0.0,0,4,50,0.4,3,711,1,111,96.3,685,15.9,113,90.6,172,6,84.1,598,1355,407,3.7,12.2,1.98
Larry Fitzgerald,1724,WR,ARZ,16,13.0,4,53.6,,0,0,1,3.2,3,59,1,0,82.3,82.8,78.4,,77.5,0.2,1,8,41,0.0,0,638,3,90,96.9,618,18.8,120,67.0,168,6,80.7,515,1137,213,2.4,12.6,1.84
Roddy White,2244,WR,ATL,16,10.1,5,68.9,,0,0,1,7.3,9,73,2,1,64.4,62.2,82.7,,83.8,0.5,3,3,46,0.0,0,620,5,115,93.4,579,11.1,69,106.6,167,10,87.3,541,1389,371,3.2,12.1,2.4
Brandon Lloyd,1436,WR,DEN,16,18.4,2,52.4,,0,0,0,4.9,4,72,10,0,82.8,81.9,90.7,73.3,90.6,0.0,0,4,71,1.1,7,610,1,77,93.6,571,8.7,53,100.4,147,11,91.3,557,1448,195,2.5,18.8,2.54
Santana Moss,786,WR,WAS,16,10.0,13,65.5,,0,0,0,7.9,8,61,32,3,63.8,27.2,76.1,71.2,75.4,0.9,6,6,56,0.3,2,662,2,93,94.7,627,46.5,308,85.9,142,6,52.3,346,1115,511,5.5,12.0,1.78
Steve Johnson,4538,WR,BUF,16,10.4,12,59.0,,0,0,1,13.7,13,62,4,1,31.3,52.5,76.1,,75.8,0.0,0,10,45,0.0,0,583,4,82,96.7,564,20.2,118,77.4,139,10,79.8,465,1073,424,5.2,13.1,1.9
Terrell Owens,188,WR,CIN,14,14.4,9,54.5,,0,0,0,10.0,8,47,7,0,48.9,81.6,69.9,66.5,69.4,0.5,3,10,78,0.2,1,554,2,72,94.0,521,17.3,96,69.7,132,9,82.1,455,983,283,3.9,13.7,1.89
Brandon Marshall,3064,WR,MIA,14,11.1,9,65.2,,0,0,1,13.1,13,57,17,2,36.1,63.4,77.1,,75.7,0.0,0,7,46,0.0,0,515,5,86,95.9,494,21.6,111,73.9,132,3,78.3,403,1014,231,2.7,11.8,2.05
Calvin Johnson,3618,WR,DET,15,14.6,6,58.8,,0,0,0,7.2,6,57,11,1,73.7,54.2,83.2,,82.4,0.0,0,6,87,0.0,0,652,1,77,95.6,623,21.2,138,98.1,131,12,78.8,514,1120,337,4.4,14.5,1.8
Andre Johnson,1319,WR,HST,13,12.2,1,65.6,,0,0,1,6.5,6,59,13,1,76.4,63.6,84.9,,84.1,0.6,3,5,60,0.0,0,524,4,86,94.7,496,24.8,130,99.9,131,8,74.6,391,1216,338,3.9,14.1,2.45
Marques Colston,3197,WR,NO,15,10.9,7,66.7,,0,0,1,9.7,9,57,20,0,49.3,82.5,75.2,66.8,74.3,0.0,0,3,43,0.2,1,580,1,84,96.7,561,64.0,371,100.1,126,7,36.0,209,1023,296,3.5,12.2,1.82
Hakeem Nicks,4952,WR,NYG,13,12.5,7,62.7,,0,0,0,7.1,6,55,21,1,65.6,61.3,80.6,,79.4,0.0,0,7,46,0.0,0,478,3,79,94.8,453,5.6,27,95.1,126,11,94.4,451,1052,297,3.8,13.3,2.32
