player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Nico Collins,61441,WR,HST,15,13.3,6,60.7,56.7,17,30,1,1.4,1,0.0,48,13,1,88.0,50.2,87.4,68.1,87.0,0.0,0,1,57,0.2,1,519,3,43.2,71,91.7,476,20.6,107,106.0,117,6,79.4,412,1117,325,4.6,15.7,2.35
CeeDee Lamb,61570,WR,DAL,14,12.7,10,65.8,46.7,14,30,2,9.6,8,0.12,43,9,0,55.2,82.2,77.6,,79.0,0.0,0,3,74,0.0,0,498,6,50.3,75,91.4,455,34.7,173,94.1,114,3,64.5,321,1077,320,4.3,14.4,2.37
Kyle Pitts,83964,TE,ATL,17,7.5,9,77.2,55.0,11,20,0,4.3,4,-0.01,51,2,0,81.8,83.1,73.6,81.3,82.0,45.0,268,3,36,3.9,23,596,7,45.6,88,91.1,543,34.7,207,104.0,114,5,20.3,121,928,399,4.5,10.5,1.71
DeVonta Smith,61100,WR,PHI,17,12.4,6,68.8,41.7,10,24,0,3.8,3,0.04,44,24,0,78.8,82.3,76.3,,78.0,0.0,0,1,79,0.0,0,556,2,43.9,77,94.6,526,57.9,322,105.1,112,4,41.9,233,1008,291,3.8,13.1,1.92
Davante Adams,8688,WR,LA,14,13.6,2,54.1,34.5,10,29,0,11.8,8,0.17,51,26,0,40.8,80.5,85.2,,84.1,0.0,0,1,44,0.0,0,431,0,52.7,60,95.1,410,14.4,62,112.6,111,14,85.6,369,789,119,2.0,13.2,1.92
Michael Pittman Jr.,29049,WR,IND,17,8.4,7,72.7,43.8,7,16,2,4.8,4,0.07,47,14,0,75.2,82.4,70.4,69.3,70.8,1.0,6,5,27,0.2,1,575,5,49.6,80,93.4,537,28.9,166,94.7,110,7,69.2,398,784,272,3.4,9.8,1.46
Jakobi Meyers,47468,WR,JAX,16,9.4,9,70.1,52.2,12,23,1,3.8,3,0.16,43,15,1,82.1,82.3,72.1,,74.8,0.0,0,6,50,0.0,0,561,4,51.0,75,93.8,526,42.6,239,79.0,107,3,57.4,322,835,290,3.9,11.1,1.59
Tyler Warren,129798,TE,IND,17,5.9,5,71.7,39.1,9,23,1,6.2,5,0.04,42,14,0,72.5,54.3,67.6,64.2,72.0,39.4,227,2,41,6.9,40,576,4,47.9,76,87.2,502,43.6,251,98.7,106,4,13.7,79,817,487,6.4,10.8,1.63
Jerry Jeudy,61103,WR,CLV,17,12.3,3,47.6,34.8,8,23,1,15.3,9,-0.27,31,8,1,32.7,30.0,58.5,,57.9,0.2,1,7,60,0.0,0,628,3,35.5,50,94.1,591,18.6,117,44.2,105,2,81.2,510,602,168,3.4,12.0,1.02
Drake London,86519,WR,ATL,12,11.1,4,65.4,43.3,13,30,1,2.9,2,0.0,46,2,1,86.1,46.8,88.0,75.3,89.9,0.0,0,2,43,1.0,4,421,3,45.2,68,93.1,392,33.7,142,107.8,104,7,66.3,279,919,243,3.6,13.5,2.34
