player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Malik Washington,97108,WR,MIA,17,5.4,13,74.2,55.6,5,9,0,2.1,1,-0.05,16,17,0,86.3,72.4,60.9,,62.9,0.5,2,2,28,0.0,0,384,2,43.8,46,95.8,368,48.2,185,87.9,62,3,47.4,182,317,262,5.7,6.9,0.86
Mason Taylor,157122,TE,NYJ,13,5.8,0,71.0,78.6,11,14,3,10.2,5,-0.18,23,22,0,53.9,78.6,59.6,35.7,60.0,46.7,196,1,27,11.0,46,420,5,41.6,44,84.0,353,31.7,133,84.7,62,1,20.0,84,369,136,3.1,8.4,1.05
Luther Burden III,157170,WR,CHI,15,7.5,10,78.3,0.0,0,1,0,9.6,5,0.0,27,6,0,55.3,81.9,79.3,,79.9,0.0,0,0,65,0.0,0,256,0,43.8,47,94.5,242,45.3,116,123.1,60,2,53.5,137,652,342,7.3,13.9,2.69
Keon Coleman,144949,WR,BUF,13,12.2,1,63.3,35.7,5,14,1,9.5,4,0.29,24,4,1,57.7,31.9,66.1,60.9,64.0,0.9,3,2,37,0.3,1,337,3,56.0,38,93.5,315,17.8,60,91.3,60,4,81.3,274,404,85,2.2,10.6,1.28
Darius Slayton,25578,WR,NYG,14,13.8,6,61.7,27.3,3,11,0,14.0,6,0.0,23,21,1,43.1,29.7,58.0,65.9,59.3,0.0,0,0,52,0.2,1,467,4,45.1,37,92.9,434,16.5,77,96.4,60,1,83.5,390,538,190,5.1,14.5,1.24
Mike Evans,8642,WR,TB,8,14.4,1,50.8,48.0,12,25,0,11.8,4,0.12,23,30,0,50.9,76.8,69.8,,71.2,0.0,0,2,45,0.0,0,252,3,48.5,30,90.1,227,25.8,65,73.3,59,3,74.2,187,368,33,1.1,12.3,1.62
Xavier Legette,99197,WR,CAR,15,11.0,5,59.3,46.2,6,13,2,2.8,1,-0.08,18,5,1,79.9,28.7,52.6,,54.7,0.0,0,3,36,0.0,0,428,9,44.7,35,94.2,403,36.9,158,72.9,59,3,63.1,270,363,74,2.1,10.4,0.9
Terry McLaurin,48229,WR,WAS,10,14.1,3,64.4,53.3,8,15,0,2.6,1,-0.05,33,32,0,81.9,77.9,86.5,,87.0,0.0,0,1,56,0.0,0,284,2,45.0,38,92.3,262,13.7,39,106.7,59,3,86.3,245,582,99,2.6,15.3,2.22
Brenton Strange,101694,TE,JAX,12,7.0,9,78.0,66.7,6,9,0,6.1,3,0.17,28,15,0,70.7,79.3,77.6,58.4,77.6,47.8,173,0,30,8.3,30,362,5,47.8,46,87.6,317,36.2,131,121.8,59,3,15.2,55,540,257,5.6,11.7,1.7
Colby Parkinson,52266,TE,LA,15,5.1,5,75.4,42.9,3,7,1,10.4,5,0.27,24,26,1,52.3,31.6,74.9,54.3,75.5,74.0,245,2,26,23.0,76,331,3,56.3,43,74.0,245,11.8,39,119.7,57,8,13.9,46,408,276,6.4,9.5,1.67
RJ Harvey,99622,HB,DEN,17,0.4,10,82.5,,0,0,0,7.8,4,0.2,18,10,0,63.6,78.8,68.3,54.9,68.1,1.0,3,0,32,10.7,33,308,0,49.2,47,84.7,261,8.4,26,121.9,57,5,8.8,27,356,371,7.9,7.6,1.36
Andrei Iosivas,109811,WR,CIN,17,9.9,2,58.9,20.0,3,15,0,13.2,5,-0.02,24,7,0,44.3,77.9,53.7,74.8,53.8,0.2,1,1,37,0.5,3,584,1,44.7,33,94.5,552,58.2,340,88.0,56,2,41.4,242,435,103,3.1,13.2,0.79
Xavier Hutchinson,122518,WR,HST,17,11.0,3,62.5,37.5,3,8,1,2.8,1,0.05,19,13,0,80.4,78.1,64.0,60.3,63.1,0.2,1,1,33,0.7,3,436,3,47.0,35,92.0,401,20.9,91,96.4,56,3,78.9,344,428,148,4.2,12.2,1.07
Christian Watson,66581,WR,GB,10,18.0,0,63.6,52.4,11,21,0,2.8,1,0.33,28,12,0,80.5,77.7,86.7,65.5,88.5,4.3,11,2,52,0.4,1,256,1,56.6,35,94.9,243,30.5,78,122.6,55,6,65.2,167,611,118,3.4,17.5,2.51
Jonnu Smith,11855,TE,PIT,17,4.5,7,70.4,42.9,3,7,1,5.0,2,-0.17,10,25,1,72.7,35.3,46.9,54.5,49.7,39.4,136,0,21,5.2,18,345,5,41.8,38,88.7,306,43.2,149,90.2,54,2,15.7,54,222,181,4.8,5.8,0.73
Sterling Shepard,10674,WR,TB,13,9.1,5,72.2,45.5,5,11,0,2.5,1,-0.15,18,30,1,82.2,32.0,61.6,78.1,62.8,0.0,0,0,36,0.8,3,382,2,41.8,39,92.1,352,49.0,187,97.1,54,1,51.0,195,371,149,3.8,9.5,1.05
Jonathan Taylor,57488,HB,IND,17,-0.7,9,85.2,25.0,1,4,0,8.0,4,0.07,15,14,1,63.0,80.6,78.1,58.6,52.9,0.0,0,0,43,15.4,80,520,1,49.9,46,79.2,412,6.0,31,108.2,54,2,5.2,27,378,436,9.5,8.2,0.92
Gunnar Helm,144726,TE,TEN,16,5.7,4,81.5,64.3,9,14,1,6.4,3,-0.19,17,31,0,68.2,78.5,66.5,55.7,69.3,56.4,168,0,34,15.1,45,298,3,39.2,44,82.6,246,34.2,102,106.6,54,2,9.1,27,357,164,3.7,8.1,1.45
Garrett Wilson,97405,WR,NYJ,7,9.8,9,66.7,41.7,5,12,1,7.7,3,-0.14,18,22,1,64.8,29.3,72.5,,72.1,0.0,0,2,33,0.0,0,242,2,43.1,36,93.0,225,38.8,94,97.4,54,4,61.2,148,395,98,2.7,11.0,1.76
Pat Freiermuth,84085,TE,PIT,17,6.5,5,77.4,50.0,4,8,0,2.4,1,-0.03,21,25,0,75.0,78.3,67.4,76.7,68.5,22.6,82,1,68,2.8,10,363,3,41.9,41,90.6,329,61.2,222,122.1,53,4,16.3,59,486,259,6.3,11.9,1.48
Calvin Austin III,61418,WR,PIT,14,10.5,3,58.5,44.4,4,9,0,8.8,3,-0.01,15,25,0,58.7,83.1,54.8,,55.7,0.6,2,3,31,0.0,0,326,2,43.9,31,93.6,305,48.2,157,75.4,53,3,50.9,166,372,129,4.2,12.0,1.22
Ryan Flournoy,159617,WR,DAL,15,9.8,7,75.5,40.0,4,10,1,2.4,1,0.09,29,9,0,83.0,79.1,80.3,,78.8,0.0,0,2,46,0.0,0,292,1,50.9,40,93.5,273,35.6,104,111.8,53,4,64.0,187,475,201,5.0,11.9,1.74
Tyler Lockett,9502,WR,LV,17,7.3,2,61.5,30.0,3,10,0,11.1,4,-0.33,14,23,0,52.1,77.0,52.1,,52.8,0.3,1,1,33,0.0,0,396,1,38.2,32,94.4,374,71.5,283,75.1,52,1,28.3,112,291,84,2.6,9.1,0.78
Ricky Pearsall,100660,WR,SF,9,14.0,0,69.2,81.8,9,11,0,2.7,1,0.16,27,28,0,80.4,77.9,73.5,,75.3,0.0,0,4,45,0.0,0,302,1,50.9,36,94.4,285,23.2,70,70.0,52,0,76.8,232,528,78,2.2,14.7,1.85
Kendrick Bourne,12270,WR,SF,16,11.1,5,72.5,54.5,6,11,1,15.9,7,0.07,27,28,0,31.7,77.6,63.8,,65.5,0.0,0,2,56,0.0,0,374,3,49.7,37,96.3,360,25.1,94,91.2,51,0,74.9,280,551,167,4.5,14.9,1.53
Van Jefferson,47447,WR,TEN,16,12.6,0,56.9,54.5,6,11,0,0.0,0,-0.19,17,31,0,88.0,76.6,59.1,,60.5,0.0,0,0,43,0.0,0,399,1,40.5,29,94.0,375,14.3,57,84.6,51,1,85.7,342,350,83,2.9,12.1,0.93
Marvin Mims Jr.,122937,WR,DEN,15,9.6,4,72.5,75.0,3,4,0,2.6,1,0.13,14,10,0,81.3,72.6,63.5,,62.7,0.0,0,0,31,0.0,0,290,0,45.1,37,94.8,275,30.7,89,95.4,51,1,65.2,189,322,227,6.1,8.7,1.17
Christian Kirk,47546,WR,HST,13,7.5,2,56.0,20.0,2,10,2,9.7,3,-0.01,12,13,0,57.4,76.3,56.2,,55.8,0.0,0,4,47,0.0,0,300,2,43.4,28,93.0,279,72.0,216,42.0,50,1,27.3,82,239,115,4.1,8.5,0.86
Tyjae Spears,97195,HB,TEN,13,-2.7,26,90.0,100.0,1,1,1,2.2,1,-0.2,10,31,0,84.8,87.3,75.3,49.2,90.2,2.1,6,1,34,21.3,61,287,2,36.2,45,74.9,215,8.7,25,80.3,50,0,2.4,7,264,374,8.3,5.9,1.23
Jalen Nailor,84292,WR,MIN,17,13.1,3,59.2,75.0,9,12,0,3.3,1,-0.18,23,18,0,78.4,77.8,66.3,66.4,67.1,0.2,1,5,62,1.1,5,451,3,41.7,29,92.9,419,60.1,271,76.8,49,4,39.5,178,444,114,3.9,15.3,1.06
Dalton Kincaid,91791,TE,BUF,12,9.5,1,79.6,45.5,5,11,0,4.9,2,0.25,27,4,1,65.5,29.5,81.8,22.6,81.9,23.8,53,0,47,0.9,2,223,2,50.7,39,91.9,205,54.3,121,149.2,49,5,21.5,48,571,260,6.7,14.6,2.79
Chris Godwin,11839,WR,TB,9,7.8,10,67.3,46.2,6,13,0,5.7,2,0.02,21,30,0,70.8,77.3,68.9,77.5,68.8,0.0,0,1,59,1.4,4,294,0,45.0,33,90.1,265,54.1,159,93.9,49,2,45.9,135,360,206,6.2,10.9,1.36
John Metchie III,97400,WR,NYJ,15,5.5,1,68.8,37.5,3,8,0,10.8,4,-0.24,15,22,0,51.6,79.9,57.6,68.1,58.7,0.0,0,2,22,0.4,1,264,1,38.5,33,97.0,256,37.1,98,79.7,48,2,62.1,164,274,144,4.4,8.3,1.07
Saquon Barkley,45791,HB,PHI,16,0.7,9,77.1,0.0,0,1,1,7.5,3,0.09,11,24,1,63.4,86.7,67.9,42.3,47.2,0.2,1,0,47,22.9,101,441,2,46.1,37,73.5,324,7.3,32,103.9,48,2,9.1,40,273,300,8.1,7.4,0.84
Dawson Knox,35883,TE,BUF,17,7.5,2,75.0,33.3,3,9,0,10.0,4,0.18,23,4,0,55.3,77.6,68.6,70.4,67.0,49.4,171,2,32,4.6,16,346,1,50.3,36,89.6,310,34.4,119,111.2,48,4,13.3,46,417,183,5.1,11.6,1.35
Michael Mayer,122906,TE,LV,13,4.8,5,74.5,16.7,1,6,0,5.4,2,-0.3,18,23,1,71.4,28.9,64.6,54.9,69.8,64.9,181,3,23,14.7,41,279,2,38.5,35,79.6,222,23.3,65,73.7,47,1,8.6,24,328,200,5.7,9.4,1.48
Travis Etienne Jr.,57185,HB,JAX,17,-1.4,11,76.6,0.0,0,2,0,10.0,4,0.0,14,15,1,56.7,75.4,72.6,69.3,60.2,0.0,0,0,45,21.4,80,374,0,45.4,36,74.1,277,10.2,38,131.4,47,6,3.2,12,292,339,9.4,8.1,1.05
Pat Bryant,144800,WR,DEN,15,10.0,7,66.0,57.1,8,14,1,8.8,3,0.02,22,10,0,60.9,77.0,60.9,64.9,64.4,0.9,3,3,48,0.3,1,325,5,42.9,31,95.1,309,57.8,188,71.1,47,1,40.6,132,378,152,4.9,12.2,1.22
Kayshon Boutte,124087,WR,NE,14,17.5,2,71.7,55.6,5,9,0,2.9,1,0.29,27,19,0,79.9,77.3,70.9,74.5,71.8,0.3,1,2,39,0.5,2,397,3,55.1,33,94.0,373,9.8,39,133.2,46,6,89.9,357,551,40,1.2,16.7,1.48
Javonte Williams,77803,HB,DAL,16,-1.1,7,76.1,0.0,0,7,0,2.8,1,0.11,7,9,1,80.5,73.9,75.3,66.5,45.7,0.2,1,0,14,25.3,124,491,1,49.6,35,69.9,343,3.9,19,92.5,46,2,2.4,12,137,203,5.8,3.9,0.4
David Njoku,11784,TE,CLV,12,5.9,3,71.7,75.0,9,12,0,5.7,2,-0.35,11,8,0,70.8,28.6,55.9,47.7,61.6,55.7,186,2,23,11.4,38,334,0,34.3,33,82.9,277,28.7,96,99.3,46,4,14.4,48,293,166,5.0,8.9,1.06
Rico Dowdle,40693,HB,CAR,17,-1.2,7,84.8,,0,0,0,4.9,2,-0.18,14,5,1,73.7,73.7,64.4,24.6,55.9,0.0,0,1,36,16.1,52,323,3,44.0,39,77.7,251,5.3,17,91.8,46,1,11.8,38,297,350,9.0,7.6,1.18
Cole Kmet,60995,TE,CHI,16,9.4,2,66.7,20.0,1,5,0,6.3,2,0.06,17,6,0,69.0,77.0,65.1,69.3,62.4,57.5,252,1,31,17.4,76,438,3,47.2,30,77.2,338,18.9,83,95.3,45,2,18.7,82,347,149,5.0,11.6,1.03
D'Andre Swift,57212,HB,CHI,16,-0.9,3,75.6,0.0,0,1,1,8.1,3,0.13,12,6,0,64.3,71.1,81.0,49.2,61.6,4.8,18,0,55,16.9,63,372,3,49.0,34,78.8,293,3.5,13,100.1,45,1,6.5,24,299,367,10.8,8.8,1.02
Sam LaPorta,101690,TE,DET,9,5.7,8,88.9,100.0,7,7,0,0.0,0,0.22,23,11,0,90.1,78.3,82.0,60.6,83.2,40.1,115,0,40,11.5,33,287,1,52.7,40,85.0,244,40.4,116,134.2,45,3,18.1,52,489,273,6.8,12.2,2.0
Kyren Williams,97118,HB,LA,17,3.0,2,81.8,71.4,5,7,1,5.3,2,0.21,12,26,0,71.4,75.8,83.5,65.8,57.9,0.0,0,0,30,24.5,118,482,1,52.6,36,72.6,350,7.1,34,116.0,44,3,0.8,4,281,158,4.4,7.8,0.8
Dontayvion Wicks,99711,WR,GB,14,11.6,3,68.2,63.6,7,11,1,9.1,3,0.07,21,12,0,58.8,77.0,70.2,79.4,71.2,3.6,9,2,30,1.6,4,253,1,49.2,30,94.1,238,48.6,123,86.6,44,2,47.8,121,332,68,2.3,11.1,1.39
Demario Douglas,104155,WR,NE,17,10.4,4,72.1,60.0,3,5,0,3.1,1,0.24,17,19,0,79.9,78.9,79.4,,81.1,0.0,0,0,58,0.0,0,239,0,55.0,31,92.9,222,82.4,197,128.7,43,3,15.5,37,447,221,7.1,14.4,2.01
Josh Jacobs,45953,HB,GB,15,-0.9,7,83.7,100.0,2,2,0,0.0,0,0.32,8,12,0,90.0,72.3,86.1,37.6,90.0,3.1,9,0,31,19.9,57,286,1,55.0,36,76.2,218,2.4,7,101.7,43,1,4.9,14,282,308,8.6,7.8,1.29
Tyrone Tracy,84226,HB,NYG,15,0.5,10,83.7,33.3,1,3,0,5.3,2,0.05,14,21,1,72.6,79.7,69.5,45.5,66.0,0.0,0,0,42,17.7,61,345,2,43.7,36,78.6,271,5.5,19,110.1,43,2,8.4,29,288,327,9.1,8.0,1.06
Jake Tonges,60864,TE,SF,13,5.9,1,79.1,28.6,2,7,0,2.9,1,0.12,21,28,0,70.9,77.3,75.7,57.1,72.7,61.4,162,0,23,7.2,19,264,1,52.4,34,87.5,231,28.8,76,133.8,43,5,8.0,21,293,151,4.4,8.6,1.27
Darnell Washington,124044,TE,PIT,16,5.3,12,72.1,50.0,3,6,0,11.4,4,0.04,16,25,2,50.8,20.8,71.0,68.4,65.1,68.5,191,1,36,19.7,55,279,1,49.4,31,76.0,212,16.8,47,95.5,43,1,14.7,41,364,228,7.4,11.7,1.72
Jalen Coker,143068,WR,CAR,11,9.6,2,76.7,87.5,7,8,0,0.0,0,0.0,22,5,1,89.0,77.1,72.5,62.3,72.5,1.0,3,1,34,0.3,1,305,1,43.9,33,94.4,288,58.4,178,117.8,43,3,39.7,121,394,94,2.8,11.9,1.37
Travis Hunter,160766,WR,JAX,7,8.1,9,65.1,50.0,4,8,0,6.7,2,-0.09,12,15,1,66.8,27.3,62.2,,62.7,0.0,0,2,44,0.0,0,238,3,41.3,28,94.5,225,64.7,154,73.6,43,1,33.6,80,298,141,5.0,10.6,1.32
Tre Harris,122676,WR,LAC,17,9.5,5,69.8,71.4,5,7,0,3.2,1,-0.02,18,27,0,77.3,77.0,63.8,67.7,67.0,1.3,4,1,37,0.7,2,303,2,49.7,30,97.0,294,37.3,113,89.7,43,1,60.7,184,324,142,4.7,10.8,1.1
Rachaad White,131633,HB,TB,17,-2.1,12,95.2,,0,0,0,0.0,0,-0.22,10,30,0,90.2,90.2,80.9,58.2,67.1,0.0,0,0,18,19.6,80,408,0,41.5,40,74.3,303,7.4,30,88.3,42,0,5.9,24,218,329,8.2,5.5,0.72
Tez Johnson,123709,WR,TB,16,12.2,6,66.7,66.7,4,6,0,3.4,1,-0.09,16,30,0,65.8,77.5,63.5,62.4,64.3,0.0,0,0,45,0.3,1,318,1,44.3,28,93.4,297,39.6,126,129.2,42,5,59.4,189,322,107,3.8,11.5,1.08
Isaiah Bond,163586,WR,CLV,16,17.0,1,42.9,50.0,6,12,1,5.3,1,-0.31,12,8,0,69.9,77.5,57.1,,57.3,0.0,0,1,52,0.0,0,367,1,32.0,18,93.7,344,45.5,167,61.4,42,0,54.2,199,338,84,4.7,18.8,0.98
JuJu Smith-Schuster,11817,WR,KC,17,5.2,7,78.6,50.0,3,6,1,2.9,1,0.01,19,16,0,70.3,77.1,56.7,72.8,60.5,1.0,4,2,30,0.7,3,413,4,47.2,33,93.7,387,44.3,183,89.0,42,1,54.7,226,345,194,5.9,10.5,0.89
Mike Gesicki,47153,TE,CIN,13,10.5,0,66.7,54.5,6,11,0,0.0,0,-0.05,19,7,0,87.6,76.5,70.8,26.0,71.7,2.6,7,3,37,0.4,1,268,1,46.0,28,93.7,251,78.4,210,74.2,42,2,19.0,51,307,68,2.4,11.0,1.22
Michael Carter,57337,HB,ARZ,13,1.9,17,78.6,33.3,1,3,0,5.7,2,-0.06,12,1,0,69.5,88.5,71.4,69.2,67.6,0.7,2,0,18,16.0,47,294,0,43.4,33,80.6,237,3.1,9,93.2,42,0,4.4,13,267,259,7.8,8.1,1.13
Jaylen Warren,98692,HB,PIT,16,-2.6,24,95.2,,0,0,0,2.4,1,0.03,13,25,0,82.6,83.2,81.4,70.7,84.4,5.1,13,0,65,14.4,37,257,0,47.5,40,82.1,211,3.1,8,115.6,42,2,2.3,6,333,440,11.0,8.3,1.58
TreVeyon Henderson,145059,HB,NE,17,0.4,10,85.4,0.0,0,1,1,5.4,2,0.24,7,19,0,70.8,80.8,68.9,23.6,56.8,0.3,1,0,19,13.8,40,290,3,55.1,35,82.1,238,3.8,11,97.3,41,1,7.9,23,221,244,7.0,6.3,0.93
Tucker Kraft,104034,TE,GB,8,4.8,6,80.0,50.0,1,2,0,8.6,3,0.23,22,12,0,51.7,77.2,78.1,53.5,82.9,58.8,150,0,59,12.9,33,255,1,51.7,32,82.4,210,29.0,74,157.2,40,6,12.2,31,489,347,10.8,15.3,2.33
Matthew Golden,156165,WR,GB,14,12.7,3,72.5,60.0,3,5,0,3.3,1,0.16,16,12,0,76.7,81.2,66.1,66.4,68.1,2.1,6,1,46,0.3,1,286,0,50.4,29,93.4,267,41.3,118,89.7,40,0,56.6,162,361,104,3.6,12.4,1.35
Breece Hall,97636,HB,NYJ,16,1.0,5,90.0,0.0,0,1,0,2.7,1,-0.21,13,22,0,72.2,73.3,83.5,45.8,75.2,0.0,0,0,42,22.9,80,349,1,41.1,36,73.4,256,3.7,13,111.5,40,1,3.4,12,350,325,9.0,9.7,1.37
Tony Pollard,27126,HB,TEN,17,-0.1,5,84.6,100.0,2,2,1,8.3,3,-0.28,11,31,1,63.6,51.2,67.0,58.0,51.8,0.5,2,1,29,18.6,73,393,2,37.0,33,77.4,304,4.3,17,78.0,39,0,2.8,11,206,211,6.4,6.2,0.68
James Cook,83666,HB,BUF,16,1.2,8,84.6,0.0,0,1,0,5.7,2,0.18,11,4,0,70.1,37.8,83.1,35.7,63.1,0.3,1,0,51,7.1,21,296,1,52.1,33,88.2,261,2.7,8,114.9,39,2,0.7,2,291,272,8.2,8.8,1.11
Alvin Kamara,11822,HB,NO,11,0.8,4,84.6,0.0,0,1,0,8.3,3,-0.18,7,20,2,61.2,41.1,51.7,23.4,39.5,0.0,0,0,26,16.0,48,300,0,42.8,33,80.0,240,7.7,23,86.5,39,0,5.3,16,186,201,6.1,5.6,0.78
Cedric Tillman,84434,WR,CLV,13,11.9,0,53.8,50.0,3,6,0,4.5,1,-0.29,13,8,0,72.1,74.9,55.8,,57.4,0.0,0,2,42,0.0,0,335,2,34.8,21,94.3,316,31.9,107,71.5,39,2,68.1,228,270,61,2.9,12.9,0.85
DeAndre Hopkins,7808,WR,BLT,17,14.5,0,57.9,64.7,11,17,0,4.3,1,-0.18,15,3,0,73.5,75.3,81.3,,82.3,0.0,0,1,41,0.0,0,216,0,42.6,22,93.5,202,27.3,59,93.1,38,2,72.7,157,330,67,3.0,15.0,1.63
Noah Fant,42388,TE,CIN,15,3.7,2,89.5,75.0,3,4,0,2.9,1,-0.32,13,7,3,79.4,17.1,56.4,32.0,56.6,66.2,155,0,25,3.4,8,234,3,40.7,34,91.5,214,23.5,55,124.6,38,3,9.0,21,288,177,5.2,8.5,1.35
Rhamondre Stevenson,98689,HB,NE,14,4.2,6,86.5,50.0,1,2,1,3.0,1,0.26,11,19,1,79.4,40.8,73.7,67.6,65.7,0.0,0,0,55,23.6,86,364,1,53.1,32,70.9,258,0.3,1,123.5,37,2,5.2,19,345,269,8.4,10.8,1.34
Joshua Palmer,62979,WR,BUF,12,11.1,0,59.5,57.1,4,7,1,4.3,1,0.22,13,4,0,72.3,74.9,58.4,,61.5,1.2,3,2,45,0.0,0,256,5,49.8,22,92.6,237,21.1,54,63.2,37,0,77.7,199,303,54,2.5,13.8,1.28
Aaron Jones,11937,HB,MIN,12,-0.1,3,75.7,50.0,1,2,0,9.7,3,-0.37,9,18,2,58.0,56.7,65.0,35.6,46.1,2.2,5,0,27,13.0,30,230,0,40.4,28,80.9,186,1.3,3,96.6,37,1,4.8,11,199,222,7.9,7.1,1.07
Dyami Brown,77986,WR,JAX,13,14.4,3,54.1,50.0,4,8,0,16.7,4,-0.13,13,15,0,29.4,27.9,55.5,,58.0,0.0,0,1,39,0.0,0,219,2,42.4,20,93.6,205,26.0,57,70.4,37,1,74.0,162,227,36,1.8,11.4,1.11
KaVontae Turpin,47658,WR,DAL,15,9.2,6,70.3,50.0,1,2,1,13.3,4,0.2,16,9,0,45.4,74.7,61.6,67.1,64.7,0.0,0,1,86,0.4,1,267,1,51.9,26,89.9,240,72.7,194,112.0,37,2,25.5,68,396,212,8.2,15.2,1.65
Chuba Hubbard,57373,HB,CAR,15,-1.3,7,83.3,100.0,1,1,0,11.8,4,-0.02,12,5,0,49.6,75.8,67.5,46.8,59.5,0.0,0,0,35,16.8,47,280,0,46.6,30,78.6,220,3.2,9,120.3,36,3,14.3,40,223,295,9.8,7.4,1.01
Tommy Tremble,84025,TE,CAR,17,4.3,4,75.0,100.0,1,1,0,6.9,2,-0.13,10,5,0,66.6,76.3,61.6,59.5,54.2,50.9,165,0,54,9.6,31,324,3,43.4,27,84.9,275,35.2,114,111.9,36,2,10.8,35,249,168,6.2,9.2,0.91
Tyquan Thornton,78092,WR,KC,14,27.8,0,52.8,40.0,4,10,0,0.0,0,0.13,15,16,0,83.2,81.0,66.2,,68.4,0.0,0,0,61,0.0,0,275,1,48.1,19,93.8,258,37.5,103,124.5,36,3,62.5,172,438,62,3.3,23.1,1.7
Devaughn Vele,100637,WR,NO,13,12.6,0,69.4,81.8,9,11,0,0.0,0,-0.04,19,20,0,86.5,75.9,72.7,72.3,74.3,3.4,9,0,17,1.9,5,267,1,44.1,25,90.6,242,41.6,111,112.4,36,2,54.7,146,293,32,1.3,11.7,1.21
Woody Marks,124179,HB,HST,16,2.1,7,66.7,0.0,0,4,0,4.0,1,0.01,7,13,0,74.2,80.7,68.8,49.0,61.4,0.6,2,0,50,24.3,84,345,0,41.6,24,70.1,242,2.0,7,109.5,36,3,5.2,18,208,224,9.3,8.7,0.86
Elijah Higgins,98027,TE,ARZ,17,4.1,14,83.3,33.3,2,6,1,0.0,0,0.08,15,1,1,88.0,27.5,61.5,41.0,62.7,45.2,147,1,27,2.5,8,325,4,48.1,30,92.3,300,41.5,135,89.9,36,0,10.2,33,301,211,7.0,10.0,1.0
Dylan Sampson,163772,HB,CLV,15,-1.3,8,94.3,,0,0,1,2.9,1,-0.29,8,8,1,78.9,65.3,65.8,23.0,80.6,6.9,12,0,66,10.4,18,173,1,37.5,33,84.4,146,9.8,17,118.0,35,2,10.4,18,271,324,9.8,8.2,1.86
Tyler Higbee,10744,TE,LA,10,6.1,0,71.4,33.3,2,6,0,10.7,3,0.32,17,26,0,52.9,75.5,68.4,65.6,66.9,62.0,134,0,24,8.8,19,216,3,54.9,25,87.5,189,24.5,53,123.6,35,3,13.0,28,281,137,5.5,11.2,1.49
Brandin Cooks,8655,WR,BUF,15,14.7,1,68.6,76.9,10,13,0,4.0,1,-0.02,14,4,0,73.5,75.3,57.2,,57.1,0.0,0,0,50,0.0,0,373,1,46.3,24,94.9,354,37.5,140,92.4,35,0,61.9,231,279,42,1.8,11.6,0.79
Calvin Ridley,48262,WR,TEN,7,13.5,2,48.6,14.3,1,7,0,15.0,3,-0.24,13,31,0,41.9,73.6,67.8,,66.7,0.0,0,1,47,0.0,0,171,1,35.0,17,93.6,160,24.6,42,66.7,35,0,75.4,129,303,86,5.1,17.8,1.89
David Sills V,34579,WR,ATL,17,11.1,3,51.4,50.0,2,4,0,14.3,3,-0.1,9,2,0,43.5,73.9,53.0,70.6,52.8,0.3,1,1,21,1.4,5,354,2,43.9,18,94.4,334,41.2,146,74.8,35,2,58.2,206,191,59,3.3,10.6,0.57
Rashod Bateman,84296,WR,BLT,13,12.7,2,54.3,40.0,2,5,0,13.6,3,0.02,12,3,0,46.6,74.4,55.5,,54.6,0.0,0,1,36,0.0,0,335,2,49.2,19,95.2,319,11.3,38,81.1,35,2,88.4,296,224,42,2.2,11.8,0.7
Darren Waller,9637,TE,MIA,9,11.9,0,70.6,62.5,5,8,0,0.0,0,0.13,19,17,0,85.7,76.3,82.8,62.4,87.6,21.1,36,0,34,0.6,1,171,1,46.6,24,94.7,162,40.9,70,135.2,34,6,38.0,65,283,69,2.9,11.8,1.75
Isaiah Likely,83955,TE,BLT,14,7.9,3,79.4,66.7,2,3,0,3.6,1,-0.23,11,3,2,75.5,18.6,56.4,46.1,57.0,14.5,39,0,43,5.6,15,269,5,42.7,27,88.5,238,73.2,197,114.1,34,1,11.2,30,307,122,4.5,11.4,1.29
Omarion Hampton,162750,HB,LAC,9,-1.6,3,94.1,75.0,3,4,0,0.0,0,0.06,7,27,1,88.7,74.2,77.4,15.7,67.7,1.3,3,0,22,17.0,40,235,0,47.7,32,78.7,185,4.7,11,100.0,34,1,3.4,8,192,248,7.8,6.0,1.04
Isaiah Williams,97156,WR,NYJ,11,3.1,2,76.5,50.0,1,2,0,3.7,1,-0.4,10,22,0,74.9,67.6,61.4,62.4,61.6,0.0,0,0,25,0.5,1,220,1,34.3,26,97.3,214,66.8,147,89.5,34,0,32.7,72,193,122,4.7,7.4,0.9
Kenneth Walker III,97199,HB,SEA,17,-1.6,9,91.2,0.0,0,1,0,6.1,2,0.1,12,29,1,69.0,83.1,88.4,35.7,66.8,1.2,3,0,46,16.9,42,248,1,52.2,31,79.0,196,12.5,31,101.2,34,0,5.6,14,282,341,11.0,9.1,1.44
Ja'Tavion Sanders,144717,TE,CAR,12,5.2,5,87.9,33.3,1,3,0,6.5,2,-0.1,8,5,0,57.0,76.3,51.6,75.2,50.2,23.8,62,0,18,6.9,18,260,1,45.1,29,88.1,229,58.1,151,100.8,33,1,16.5,43,190,85,2.9,6.6,0.83
