player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Michael Turner,1873,HB,ATL,16,334,46,18,31.4,431,0,1371,2,5,46,942,41.6,32,72,2,2,0,80.3,64.1,82.2,,58.8,46.3,65.0,85.7,55,0,85,12,178,361,0,0,17,346,12,1371,942,2.82,4.1,0.48,0
Steven Jackson,1745,HB,SL,16,330,23,15,25.3,314,1,1241,5,7,23,874,21.1,33,61,26,1,0,90.5,62.2,62.1,,57.3,52.3,64.9,58.7,42,1,374,46,372,370,0,0,59,376,6,1241,874,2.65,3.8,1.01,0
Arian Foster,5398,HB,HST,16,327,31,19,33.9,548,0,1616,5,18,31,846,32.3,42,90,13,3,0,75.7,73.7,83.7,,62.4,83.7,68.6,56.9,74,1,604,66,363,348,0,0,78,393,16,1616,846,2.59,4.9,1.66,0
Rashard Mendenhall,4337,HB,PIT,16,324,42,15,30.4,389,0,1279,3,6,42,825,35.2,28,60,25,2,0,85.4,75.9,82.1,,52.2,51.1,77.4,58.2,50,0,167,23,184,368,0,0,30,347,13,1279,825,2.55,3.9,0.91,0
Cedric Benson,2221,HB,CIN,16,322,33,6,10.5,117,0,1116,1,4,33,751,24.7,27,59,7,7,0,36.9,58.2,82.4,,65.7,62.4,57.1,57.8,26,0,178,28,238,356,0,0,35,350,7,1116,751,2.33,3.5,0.75,0
Chris Johnson,4338,HB,TEN,16,316,44,20,42.0,573,0,1365,4,5,44,894,38.5,37,56,31,3,0,74.4,74.8,58.9,,28.5,44.2,83.4,57.9,76,1,245,44,349,348,0,0,55,360,11,1365,894,2.83,4.3,0.7,0
Ray Rice,4369,HB,BLT,16,307,5,7,14.3,175,0,1224,1,14,5,698,11.7,23,52,3,0,0,91.6,68.8,21.3,,45.3,88.5,65.7,55.2,50,3,626,63,318,349,0,0,75,370,5,1224,698,2.27,4.0,1.97,0
Maurice Jones-Drew,3005,HB,JAX,14,301,29,13,21.7,285,0,1311,1,8,29,858,31.5,34,75,15,4,0,68.8,72.1,82.5,42.6,73.5,76.2,68.5,65.5,37,0,317,34,235,355,0,0,39,335,5,1311,858,2.85,4.4,1.35,0
Adrian Peterson,3623,HB,MIN,15,283,46,18,34.5,448,0,1298,6,7,46,877,51.5,36,72,18,2,0,90.0,86.5,82.5,,37.2,52.4,90.5,59.6,80,0,341,36,264,314,0,0,47,319,12,1298,877,3.1,4.6,1.29,0
Ahmad Bradshaw,3866,HB,NYG,16,276,42,19,36.6,453,0,1239,6,8,42,829,46.5,34,63,21,7,0,29.7,76.6,22.7,,89.8,62.9,73.4,73.5,48,2,314,47,262,289,0,0,56,323,8,1239,829,3.0,4.5,1.2,0
Peyton Hillis,4541,HB,CLV,16,270,31,10,20.5,242,0,1181,2,11,31,787,37.0,23,59,8,8,0,29.5,74.2,58.5,48.3,78.3,87.9,67.5,56.1,48,2,477,61,316,314,0,0,68,331,11,1181,787,2.91,4.4,1.51,0
Thomas Jones,585,HB,KC,16,245,11,6,19.6,176,0,896,0,2,11,514,10.5,21,39,16,2,0,75.6,50.4,80.9,,86.5,68.9,47.3,59.6,70,0,122,14,137,263,0,0,17,259,6,896,514,2.1,3.7,0.89,0
Matt Forte,4358,HB,CHI,16,237,22,12,32.8,352,0,1072,1,9,22,617,28.0,29,42,6,3,0,67.0,73.7,57.4,,79.0,72.1,70.2,50.4,68,1,549,51,277,270,0,0,65,288,6,1072,617,2.6,4.5,1.98,0
Jamaal Charles,4387,HB,KC,16,231,25,18,34.7,509,0,1466,5,8,25,714,37.0,45,70,16,3,0,69.2,86.3,25.9,,87.9,65.7,87.7,61.1,80,2,468,45,258,265,0,0,59,276,5,1466,714,3.09,6.3,1.81,0
BenJarvus Green-Ellis,4599,HB,NE,16,229,20,9,18.0,181,0,1008,1,0,20,611,22.1,28,61,19,0,0,90.9,60.7,81.1,,21.6,48.5,65.0,56.9,33,1,85,12,128,270,0,0,15,241,13,1008,611,2.67,4.4,0.66,0
Darren McFadden,4318,HB,OAK,13,222,30,17,45.7,529,0,1157,3,12,30,766,53.9,28,45,23,3,0,53.3,69.2,82.6,39.8,76.0,75.7,64.4,58.8,57,0,507,47,202,271,0,0,52,269,7,1157,766,3.45,5.2,2.51,0
Fred Jackson,3368,HB,BUF,16,222,42,11,28.3,266,0,939,9,9,42,646,58.7,19,42,4,5,0,42.8,61.7,83.7,,81.5,45.1,64.7,63.7,39,1,215,31,294,251,0,0,49,253,5,939,646,2.91,4.2,0.73,0
LaDainian Tomlinson,777,HB,NYJ,15,219,19,11,24.0,219,1,914,5,5,19,493,19.9,21,41,22,5,0,71.3,52.8,83.0,,53.7,51.3,54.1,61.8,31,1,368,52,322,259,0,0,75,271,6,914,493,2.25,4.2,1.14,0
LeSean McCoy,4976,HB,PHI,15,207,19,10,33.1,358,0,1080,3,11,19,617,31.4,28,48,24,3,0,73.4,69.3,83.8,,64.7,71.5,66.2,70.8,62,0,577,78,424,262,0,0,84,285,7,1080,617,2.98,5.2,1.36,0
Frank Gore,2282,HB,SF,11,203,13,10,27.9,238,0,853,5,11,13,509,24.2,20,42,28,3,0,62.7,61.3,54.4,,67.1,51.3,63.7,58.8,64,1,452,46,271,225,0,0,62,249,3,853,509,2.51,4.2,1.67,0
Marshawn Lynch,3628,HB,SEA,16,202,36,9,27.8,205,0,737,2,7,36,544,51.7,18,39,29,3,0,56.2,64.0,43.1,,66.6,38.6,68.7,57.8,39,1,145,22,172,228,0,0,25,224,6,737,544,2.69,3.6,0.84,0
LeGarrette Blount,5863,HB,TB,13,201,49,18,45.7,460,0,1007,1,0,49,739,87.5,32,40,30,5,0,56.7,86.4,80.0,,51.4,33.8,87.8,69.5,53,0,14,5,90,220,0,0,6,206,6,1007,739,3.68,5.0,0.16,0
Ronnie Brown,2219,HB,MIA,16,200,17,4,13.6,100,0,734,2,5,17,430,20.3,17,41,17,3,0,57.0,62.3,83.6,52.9,77.0,61.9,58.1,67.7,51,0,242,33,225,262,0,0,38,233,5,734,430,2.15,3.7,1.08,0
Brandon Jackson,3679,HB,GB,16,190,26,4,18.6,131,0,703,2,8,26,510,39.2,16,27,12,2,0,84.8,71.6,82.0,,75.8,81.6,65.0,58.8,71,0,342,43,229,218,0,0,50,233,3,703,510,2.68,3.7,1.49,0
Shonn Greene,4988,HB,NYJ,15,185,16,4,9.5,73,0,770,2,2,16,464,22.5,12,40,22,3,0,55.4,66.4,80.3,,55.1,43.9,69.0,59.0,23,1,120,16,112,218,0,0,24,201,2,770,464,2.51,4.2,1.07,0
Felix Jones,4336,HB,DAL,16,185,24,6,15.3,122,0,800,1,8,24,501,37.2,25,45,9,2,0,81.2,67.1,49.2,,73.3,87.0,59.2,58.1,34,1,450,48,227,207,0,0,51,233,1,800,501,2.71,4.3,1.98,0
Knowshon Moreno,4935,HB,DEN,13,182,26,7,19.0,148,0,779,1,6,26,454,36.4,22,35,10,4,0,53.8,65.5,19.2,,47.2,80.5,63.4,60.5,35,2,372,37,207,204,0,0,45,219,5,779,454,2.49,4.3,1.8,0
Mike Tolbert,4740,HB,SD,15,182,27,8,25.6,189,0,737,2,3,27,529,42.3,18,43,27,4,0,42.6,58.1,80.4,,76.3,66.4,56.0,52.7,36,1,188,24,121,213,0,0,28,206,11,737,529,2.91,4.0,1.55,0
Jonathan Stewart,4327,HB,CAR,14,178,30,8,30.4,234,0,770,2,4,30,484,49.7,19,32,5,4,0,34.1,58.7,79.9,,54.7,55.6,59.6,59.9,48,0,103,8,108,194,0,0,13,186,2,770,484,2.72,4.3,0.95,0
Jahvid Best,5555,HB,DET,16,171,7,6,26.1,146,0,559,5,9,7,303,12.4,13,25,11,1,0,80.5,60.3,82.9,55.2,47.1,60.4,60.5,70.9,45,0,487,58,302,196,0,0,74,229,4,559,303,1.77,3.3,1.61,0
