player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Brandon Marshall,3064,WR,DEN,15,11.9,20,58.8,,0,0,1,13.3,16,67,10,3,31.1,24.8,78.0,,75.1,0.0,0,7,47,0.0,0,634,6,104,94.3,598,25.9,164,75.6,177,6,74.1,470,1265,439,4.2,12.2,2.12
Andre Johnson,1319,WR,HST,16,10.5,8,71.0,,0,0,0,8.7,11,80,13,1,59.5,68.3,88.2,,85.9,0.2,1,11,65,0.0,0,603,0,115,96.4,581,26.0,157,90.0,162,8,73.8,445,1577,500,4.3,13.7,2.71
Dwayne Bowe,3639,WR,KC,16,10.2,18,55.5,,0,0,1,15.7,16,49,16,0,28.9,82.6,70.2,,69.5,0.0,0,6,36,0.0,0,626,4,86,96.6,605,10.9,68,74.7,155,7,89.1,558,1022,400,4.7,11.9,1.69
Tony Gonzalez,237,TE,KC,16,9.0,11,64.0,,0,0,0,5.0,5,67,16,0,84.8,83.3,86.9,60.0,85.2,19.5,121,5,35,2.7,17,619,4,96,93.7,580,77.4,479,93.4,150,10,2.7,17,1066,282,2.9,11.1,1.84
Calvin Johnson,3618,WR,DET,16,14.4,14,53.1,,0,0,1,14.3,13,51,11,2,37.2,26.9,73.9,,73.9,0.0,0,8,96,0.0,0,578,3,78,93.8,542,16.3,94,88.6,147,12,83.4,482,1331,514,6.6,17.1,2.46
Larry Fitzgerald,1724,WR,ARZ,16,11.0,12,65.8,,0,0,0,4.0,4,66,1,1,84.9,65.1,80.2,66.5,79.0,0.4,3,2,78,0.1,1,687,1,96,95.3,655,19.5,134,119.6,146,12,79.8,548,1437,494,5.1,15.0,2.19
Roddy White,2244,WR,ATL,16,12.6,2,62.0,,0,0,1,13.7,14,62,2,1,34.8,64.5,86.6,,84.3,0.0,0,7,70,0.0,0,486,8,88,94.7,460,33.1,161,90.2,142,7,66.7,324,1384,394,4.5,15.7,3.01
Wes Welker,2204,WR,NE,16,4.6,3,79.3,,0,0,0,6.7,8,57,19,1,75.2,61.8,74.9,,74.9,0.0,0,3,64,0.0,0,568,2,111,96.8,550,83.1,472,99.6,140,3,16.5,94,1165,767,6.9,10.5,2.12
Terrell Owens,188,WR,DAL,16,14.9,4,49.6,,0,0,0,12.7,10,38,9,1,35.8,51.8,70.6,,68.5,0.0,0,9,75,0.0,0,604,2,69,96.2,581,30.6,185,72.0,139,10,69.0,417,1052,292,4.2,15.2,1.81
Antonio Bryant,1070,WR,TB,16,12.6,7,61.0,,0,0,1,9.8,9,60,30,1,48.5,54.0,82.9,,82.0,0.0,0,5,71,0.0,0,574,5,83,95.8,550,30.8,177,93.0,136,7,69.2,397,1248,401,4.8,15.0,2.27
